ortho_dose,pipe_material,date,location,lead,lead_dissolved,lead_part,cens_lead_part,cens_lead_dissolved,date_yday,date_numeric,scaled_lead_dissolved,scaled_lead_part,scaled_lead,d_x
0-0.5,Pb-Cu,2017-09-27,LP11,0.0079,0.0072,7.00000000000001e-4,none,none,0.7397260273972602,0.7397260273972602,0.10805024055839514,-0.5224137254413537,1.0414739142853742,0
0-0.5,Pb-Cu,2017-10-04,LP11,0.0204,0.0191,0.0013000000000000025,none,none,0.7589041095890411,0.7589041095890411,0.633565316710138,-0.12295314961871633,1.6536437327966926,1
0-0.5,Pb-Cu,2017-10-12,LP11,0.0211,0.02,0.0011000000000000003,none,none,0.7808219178082192,0.7808219178082192,0.6583670823630998,-0.23075168636226034,1.6754146586144956,1.1428571428571428
0-0.5,Pb-Cu,2017-10-17,LP11,0.0179,0.0167,0.0011999999999999997,none,none,0.7945205479452054,0.7945205479452054,0.5612350237939451,-0.17460400737293647,1.5692821070540823,0.7142857142857143
0-0.5,Pb-Cu,2017-10-24,LP11,0.0132,0.0124,8.000000000000004e-4,none,none,0.8136986301369863,0.8136986301369863,0.4008710406560701,-0.4362470880719366,1.372736796613504,1
0-0.5,Pb-Cu,2017-11-07,LP11,0.0094,0.0088,5.999999999999998e-4,none,none,0.852054794520548,0.852054794520548,0.2161423743822008,-0.6218858081318579,1.1536558144640232,2
0-0.5,Pb-Cu,2017-11-14,LP11,0.0036,0.0032,3.9999999999999975e-4,none,none,0.8712328767123287,0.8712328767123287,-0.32876081075704533,-0.8835288888308586,0.5343208740849856,1
0-0.5,Pb-Cu,2017-11-21,LP11,0.0025,0.0022,2.999999999999999e-4,none,none,0.8904109589041096,0.8904109589041096,-0.5305910500286449,-1.0691676088907787,0.2990198686792014,1
0-0.5,Pb-Cu,2017-12-05,LP11,0.0103,0.0088,0.0014999999999999996,none,none,0.9287671232876712,0.9287671232876712,0.2161423743822008,-0.03061142937682816,1.212657506225286,2
0-0.5,Pb-Cu,2017-12-19,LP11,0.0102,0.0087,0.0015000000000000013,none,none,0.9671232876712329,0.9671232876712329,0.20998625818619326,-0.03061142937682759,1.2063619320377716,2
0-0.5,Pb-Cu,2018-01-03,LP11,0.0112,0.0094,0.0017999999999999995,none,none,0.00821917808219178,1.0082191780821919,0.25167091762503757,0.08703907332606424,1.2667134775943307,2.142857142857143
0-0.5,Pb-Cu,2018-01-09,LP11,0.0237,0.0206,0.0030999999999999986,none,none,0.024657534246575342,1.0246575342465754,0.6742890584154879,0.4378293566743442,1.750398795743296,0.8571428571428571
0-0.5,Pb-Cu,2018-01-16,LP11,0.0067,0.0061,5.999999999999998e-4,none,none,0.043835616438356165,1.0438356164383562,0.01874552889563811,-0.6218858081318579,0.9351588063234788,1
0-0.5,Pb-Cu,2018-01-23,LP11,0.0071,0.0064,7.000000000000001e-4,none,none,0.06301369863013699,1.063013698630137,0.04460590144837705,-0.5224137254413542,0.9725774754753429,1
0-0.5,Pb-Cu,2018-01-30,LP11,0.0055,0.0044,0.0010999999999999994,none,none,0.0821917808219178,1.0821917808219177,-0.15722433782322207,-0.23075168636226093,0.8078044931516907,1
