location,ortho_dose,pipe_material,date,date_numeric,pk_vals_diss,pk_vals_part
LP11,0-0.5,Pb-Cu,2017-09-27,0.7397260273972602,0.19179180578001992,0.1867696242799318
LP11,0-0.5,Pb-Cu,2017-10-04,0.7589041095890411,-0.19643150717879698,0.027548037103200165
LP11,0-0.5,Pb-Cu,2017-10-12,0.7808219178082192,-0.16623471140765408,0.16176103991016139
LP11,0-0.5,Pb-Cu,2017-10-17,0.7945205479452054,0.03914083295867869,-0.01632714964140104
LP11,0-0.5,Pb-Cu,2017-10-24,0.8136986301369863,0.1680720021754348,0.12487913205097756
LP11,0-0.5,Pb-Cu,2017-11-07,0.852054794520548,0.20821475793187322,0.09007929329201989
LP11,0-0.5,Pb-Cu,2017-11-14,0.8712328767123287,0.11039231217053536,-0.00427554950127523
LP11,0-0.5,Pb-Cu,2017-11-21,0.8904109589041096,0.11990123731353543,-0.0356285262283053
LP11,0-0.5,Pb-Cu,2017-12-05,0.9287671232876712,-0.0033330361064595575,-0.08417789574691789
LP11,0-0.5,Pb-Cu,2017-12-19,0.9671232876712328,0.18119307582077238,-0.04392708379629162
LP11,0-0.5,Pb-Cu,2018-01-03,1.008219178082192,0.17750858975450137,-0.0667705773156407
LP11,0-0.5,Pb-Cu,2018-01-09,1.0246575342465754,-0.03605090515290106,-0.056610702541976476
LP11,0-0.5,Pb-Cu,2018-01-16,1.0438356164383562,0.05868576173033599,-0.01555846856660768
LP11,0-0.5,Pb-Cu,2018-01-23,1.063013698630137,0.06613820478508618,0.14224856904909308
LP11,0-0.5,Pb-Cu,2018-01-30,1.0821917808219177,0.14167267050005217,0.05058875819334475
LP11,0-0.5,Pb-Cu,2018-02-07,1.104109589041096,0.09515392270696271,-0.03932000583257175
LP11,0-0.5,Pb-Cu,2018-02-13,1.1205479452054794,0.11058585721850701,0.0524747277395295
LP11,0-0.5,Pb-Cu,2018-02-20,1.1397260273972605,0.03754550220730085,0.04033144957676075
LP11,0-0.5,Pb-Cu,2018-02-28,1.1616438356164385,-0.022417876475237034,0.0450964480954421
LP11,0-0.5,Pb-Cu,2018-03-06,1.178082191780822,0.01520478978592183,-0.055701727833544074
LP11,0-0.5,Pb-Cu,2018-03-13,1.1972602739726028,0.1402677168152384,0.06506751110772593
LP11,0-0.5,Pb-Cu,2018-03-21,1.2191780821917808,0.057873092239698096,0.08641387339353564
LP11,0-0.5,Pb-Cu,2018-03-27,1.2356164383561643,-0.04148227437699829,-0.03846441618892419
LP11,0-0.5,Pb-Cu,2018-04-03,1.2547945205479452,-0.008385232855540947,0.052303848213600776
LP11,0-0.5,Pb-Cu,2018-04-10,1.273972602739726,0.028763544139722763,0.025306279988652564
LP11,0-0.5,Pb-Cu,2018-04-17,1.2931506849315069,0.062075223377062644,0.0881319588574036
LP11,0-0.5,Pb-Cu,2018-04-24,1.3123287671232875,0.006881757313016636,0.1134995291580555
LP11,0-0.5,Pb-Cu,2018-05-04,1.3397260273972602,0.0249473392942897,-0.02305318400310514
LP11,0-0.5,Pb-Cu,2018-05-08,1.3506849315068492,0.029410736798738554,-0.0485493653302661
LP11,0-0.5,Pb-Cu,2018-05-15,1.36986301369863,-0.017753440212934853,0.11868759419143174
LP11,0-0.5,Pb-Cu,2018-05-22,1.389041095890411,-0.07276252882701473,0.10334683449671704
LP11,0-0.5,Pb-Cu,2018-05-30,1.410958904109589,0.045659521445922696,0.09816858613479568
LP11,0-0.5,Pb-Cu,2018-06-06,1.43013698630137,-0.09945313307051562,0.11317918217937951
LP11,0-0.5,Pb-Cu,2018-06-13,1.4493150684931506,0.07692250882737198,0.09951927545452188
LP11,0-0.5,Pb-Cu,2018-06-19,1.4657534246575343,-0.030058592862688298,0.1697088129226014
LP11,0-0.5,Pb-Cu,2018-06-26,1.484931506849315,-0.02871475065027102,0.05943403210625707
LP11,0-0.5,Pb-Cu,2018-07-03,1.504109589041096,0.022434806031135162,0.015996945788704437
LP11,0-0.5,Pb-Cu,2018-07-10,1.523287671232877,-0.08124552498379603,0.014617547831500216
LP11,0-0.5,Pb-Cu,2018-07-17,1.5424657534246575,0.009021719991495473,0.0013746383654866141
LP11,0-0.5,Pb-Cu,2018-07-24,1.5616438356164384,-0.06780651754554962,-0.025712305529169147
LP11,0-0.5,Pb-Cu,2018-08-07,1.6,0.13583547430207887,0.034914165897254414
LP11,0-0.5,Pb-Cu,2018-08-14,1.6191780821917807,0.016125519501503895,0.054306241343426334
LP11,0-0.5,Pb-Cu,2018-08-21,1.6383561643835618,-0.06368764233267775,0.1559093354126282
LP11,0-0.5,Pb-Cu,2018-08-29,1.6602739726027398,0.1597961619986505,0.04707665890337025
LP11,0-0.5,Pb-Cu,2018-09-04,1.6767123287671233,-0.017178122428680498,0.008123460385488283
LP11,0-0.5,Pb-Cu,2018-09-11,1.695890410958904,-0.010305193685016811,0.09712337344988949
LP11,0-0.5,Pb-Cu,2018-09-18,1.7150684931506848,-0.0808065771626958,0.054210382928307835
LP11,0-0.5,Pb-Cu,2018-09-25,1.7342465753424658,-0.127916618951426,0.0938234257402597
LP11,0-0.5,Pb-Cu,2018-10-03,1.7561643835616438,-0.16562269651343908,0.044812230331943634
LP11,0-0.5,Pb-Cu,2018-10-10,1.7753424657534247,-0.04921727899573161,0.05866635108995118
LP11,0-0.5,Pb-Cu,2018-10-16,1.7917808219178082,0.11644026746542643,0.1993189122954081
LP11,0-0.5,Pb-Cu,2018-10-24,1.8136986301369864,-0.11707992618259469,0.11431678712499672
LP11,0-0.5,Pb-Cu,2018-10-31,1.8328767123287673,-0.08553611501388395,-0.0073534680138874105
LP11,0-0.5,Pb-Cu,2018-11-06,1.8493150684931503,-0.07185145986380614,0.025277750799131322
LP11,0-0.5,Pb-Cu,2018-11-13,1.8684931506849316,-0.0558957388577393,0.01421036308620923
LP11,0-0.5,Pb-Cu,2018-11-20,1.887671232876712,-0.08302582793199127,0.046332459877689205
LP11,0-0.5,Pb-Cu,2018-11-27,1.906849315068493,-0.04266745785208094,0.031103470556883776
LP11,0-0.5,Pb-Cu,2018-12-04,1.926027397260274,0.028446988121745113,0.027282363990729024
LP11,0-0.5,Pb-Cu,2018-12-18,1.9643835616438357,-0.020692527961564067,-0.08618822165420342
LP11,0-0.5,Pb-Cu,2019-01-02,2.0054794520547947,0.0040862035784123875,0.1759689941052636
LP11,0-0.5,Pb-Cu,2019-01-09,2.0246575342465754,0.047644150815993755,-0.017187131197872893
LP11,0-0.5,Pb-Cu,2019-01-16,2.043835616438356,-0.023801732784484154,0.037708747382515076
LP11,0-0.5,Pb-Cu,2019-01-23,2.063013698630137,-0.02686002137969206,0.056545979629152046
LP11,0-0.5,Pb-Cu,2019-01-29,2.0794520547945208,0.005337700312327224,0.10901989134793658
LP11,0-0.5,Pb-Cu,2019-02-05,2.0986301369863014,-0.17772141517605727,0.04894723773941749
LP11,0-0.5,Pb-Cu,2019-02-13,2.1205479452054794,-0.0907674714157386,0.12558896166494352
LP11,0-0.5,Pb-Cu,2019-02-19,2.136986301369863,0.04763267247258324,0.016166190457480654
LP11,0-0.5,Pb-Cu,2019-02-27,2.158904109589041,0.19802704695365891,-0.010968028814482462
LP11,0-0.5,Pb-Cu,2019-03-06,2.1780821917808217,0.1630293717881472,-0.0429615316830353
LP11,0-0.5,Pb-Cu,2019-03-13,2.197260273972603,0.016830070637108327,-0.0013071442858765686
LP11,0-0.5,Pb-Cu,2019-03-19,2.213698630136986,0.08459853439754836,0.102741407885736
LP11,0-0.5,Pb-Cu,2019-03-26,2.232876712328767,0.15284224711978373,7.299876915837014e-4
LP11,0-0.5,Pb-Cu,2019-04-02,2.252054794520548,0.19045507151081964,0.08111994748653274
LP11,0-0.5,Pb-Cu,2019-04-09,2.271232876712329,0.06261286003863298,0.09991163980603163
LP11,0-0.5,Pb-Cu,2019-04-17,2.293150684931507,0.06133254692865575,0.14390124735430995
LP11,0-0.5,Pb-Cu,2019-04-23,2.3095890410958906,0.16772918642103507,0.025940606991024094
LP11,0-0.5,Pb-Cu,2019-04-30,2.328767123287671,0.020762983592989403,0.047683478296738246
LP11,0-0.5,Pb-Cu,2019-05-07,2.3479452054794523,-0.02022899820823579,0.05347369149534534
LP11,0-0.5,Pb-Cu,2019-05-15,2.3698630136986303,0.09062516625070899,0.1848735816685989
LP11,0-0.5,Pb-Cu,2019-05-21,2.3863013698630136,0.023838510387887344,0.07658739323105948
LP11,0-0.5,Pb-Cu,2019-05-29,2.4082191780821915,-0.03530920686076397,0.014732894588260863
LP11,0-0.5,Pb-Cu,2019-06-05,2.4273972602739726,0.012213725090957455,0.1361560268597719
LP11,0-0.5,Pb-Cu,2019-06-12,2.4465753424657533,0.00827450886853041,0.045603543242687346
LP11,0-0.5,Pb-Cu,2019-06-18,2.463013698630137,-0.03099558877476135,0.031750543496547344
LP11,0-0.5,Pb-Cu,2019-06-26,2.484931506849315,-0.028495256448033114,0.04836290040593799
LP11,0-0.5,Pb-Cu,2019-07-02,2.5013698630136987,0.012115236578659549,0.03111893201341963
LP11,0-0.5,Pb-Cu,2019-07-09,2.5205479452054793,0.009487196197999731,-0.0030598484601400723
LP11,0-0.5,Pb-Cu,2019-07-16,2.5397260273972604,0.06078688636148601,-0.13626820644130255
LP11,0-0.5,Pb-Cu,2019-07-23,2.558904109589041,-0.02844232011901773,0.08614170891538718
LP11,0-0.5,Pb-Cu,2019-07-30,2.5780821917808217,0.04780777995413936,-0.12080311655862383
LP11,0-0.5,Pb-Cu,2019-08-07,2.6,0.008609919760377963,-0.08304090845039235
LP11,0-0.5,Pb-Cu,2019-08-13,2.616438356164384,-0.01687642336706857,0.047763849891104215
LP11,0-0.5,Pb-Cu,2019-08-20,2.6356164383561644,-0.08513863164357297,0.056519716472959086
LP11,0-0.5,Pb-Cu,2019-08-27,2.654794520547945,0.03219541311930571,-0.01170948440660486
LP11,0-0.5,Pb-Cu,2019-09-03,2.673972602739726,-0.026820821677052208,-0.07519762415734388
LP11,0-0.5,Pb-Cu,2019-09-11,2.695890410958904,0.0440097442612173,0.030981601387297206
LP11,0-0.5,Pb-Cu,2019-09-17,2.712328767123288,-0.03472345137715809,0.10564126612110705
LP11,0-0.5,Pb-Cu,2019-09-24,2.7315068493150685,0.012432670535271311,0.11819369908891925
LP11,0-0.5,Pb-Cu,2019-10-01,2.750684931506849,-0.017744992847926577,0.05550691435004537
