type,ortho_dose,pipe_material,date,location,value,bdl
lead,0-0.5,Pb-Cu,2017-09-27,LP11,0.0079,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-09-27,LP11,0.0072,FALSE
lead,0-0.5,Pb #1,2017-09-27,LP12,0.2352,FALSE
lead_dissolved,0-0.5,Pb #1,2017-09-27,LP12,0.2192,FALSE
lead,0-0.5,Pb #2,2017-09-27,LP13,0.2467,FALSE
lead_dissolved,0-0.5,Pb #2,2017-09-27,LP13,0.2357,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-09-27,LP15,0.0012,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-09-27,LP15,9e-4,FALSE
lead,1.0,Pb-Cu,2017-09-27,LP21,0.0465,FALSE
lead_dissolved,1.0,Pb-Cu,2017-09-27,LP21,0.0403,FALSE
lead,1.0,Pb #1,2017-09-27,LP22,0.2508,FALSE
lead_dissolved,1.0,Pb #1,2017-09-27,LP22,0.232,FALSE
lead,1.0,Pb #2,2017-09-27,LP23,0.2312,FALSE
lead_dissolved,1.0,Pb #2,2017-09-27,LP23,0.2262,FALSE
lead,1.0,Cu/Pb-Sn,2017-09-27,LP25,6e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-09-27,LP25,5e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-09-27,LP31,0.0572,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-09-27,LP31,0.0548,FALSE
lead,2.0-0.75,Pb #1,2017-09-27,LP32,0.2803,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-09-27,LP32,0.2682,FALSE
lead,2.0-0.75,Pb #2,2017-09-27,LP33,0.2662,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-09-27,LP33,0.246,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-09-27,LP35,5e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-09-27,LP35,0.0024,FALSE
lead,0-0.5,Pb-Cu,2017-10-04,LP11,0.0204,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-10-04,LP11,0.0191,FALSE
lead,0-0.5,Pb #1,2017-10-04,LP12,0.2504,FALSE
lead_dissolved,0-0.5,Pb #1,2017-10-04,LP12,0.2426,FALSE
lead,0-0.5,Pb #2,2017-10-04,LP13,0.2694,FALSE
lead_dissolved,0-0.5,Pb #2,2017-10-04,LP13,0.2604,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-10-04,LP15,8e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-10-04,LP15,6e-4,FALSE
lead,1.0,Pb-Cu,2017-10-04,LP21,0.018,FALSE
lead_dissolved,1.0,Pb-Cu,2017-10-04,LP21,0.0167,FALSE
lead,1.0,Pb #1,2017-10-04,LP22,0.2275,FALSE
lead_dissolved,1.0,Pb #1,2017-10-04,LP22,0.2176,FALSE
lead,1.0,Pb #2,2017-10-04,LP23,0.2447,FALSE
lead_dissolved,1.0,Pb #2,2017-10-04,LP23,0.2362,FALSE
lead,1.0,Cu/Pb-Sn,2017-10-04,LP25,5e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-10-04,LP25,4e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-10-04,LP31,0.0226,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-10-04,LP31,0.0212,FALSE
lead,2.0-0.75,Pb #1,2017-10-04,LP32,0.2959,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-10-04,LP32,0.2799,FALSE
lead,2.0-0.75,Pb #2,2017-10-04,LP33,0.2612,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-10-04,LP33,0.2476,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-10-04,LP35,3e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-10-04,LP35,2e-4,FALSE
lead,0-0.5,Pb-Cu,2017-10-12,LP11,0.0211,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-10-12,LP11,0.02,FALSE
lead,0-0.5,Pb #1,2017-10-12,LP12,0.2373,FALSE
lead_dissolved,0-0.5,Pb #1,2017-10-12,LP12,0.229,FALSE
lead,0-0.5,Pb #2,2017-10-12,LP13,0.2611,FALSE
lead_dissolved,0-0.5,Pb #2,2017-10-12,LP13,0.2511,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-10-12,LP15,9e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-10-12,LP15,7e-4,FALSE
lead,1.0,Pb #1,2017-10-12,LP22,0.2416,FALSE
lead_dissolved,1.0,Pb #1,2017-10-12,LP22,0.2308,FALSE
lead,1.0,Pb #2,2017-10-12,LP23,0.2315,FALSE
lead_dissolved,1.0,Pb #2,2017-10-12,LP23,0.2244,FALSE
lead,1.0,Cu/Pb-Sn,2017-10-12,LP25,5e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-10-12,LP25,4e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-10-12,LP31,0.0464,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-10-12,LP31,0.0442,FALSE
lead,2.0-0.75,Pb #1,2017-10-12,LP32,0.2897,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-10-12,LP32,0.2732,FALSE
lead,2.0-0.75,Pb #2,2017-10-12,LP33,0.2272,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-10-12,LP33,0.2166,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-10-12,LP35,4e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-10-12,LP35,3e-4,FALSE
lead,0-0.5,Pb-Cu,2017-10-17,LP11,0.0179,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-10-17,LP11,0.0167,FALSE
lead,0-0.5,Pb #1,2017-10-17,LP12,0.2063,FALSE
lead_dissolved,0-0.5,Pb #1,2017-10-17,LP12,0.1968,FALSE
lead,0-0.5,Pb #2,2017-10-17,LP13,0.2295,FALSE
lead_dissolved,0-0.5,Pb #2,2017-10-17,LP13,0.2188,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-10-17,LP15,7e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-10-17,LP15,6e-4,FALSE
lead,1.0,Pb-Cu,2017-10-17,LP21,0.015,FALSE
lead_dissolved,1.0,Pb-Cu,2017-10-17,LP21,0.0149,FALSE
lead,1.0,Pb #1,2017-10-17,LP22,0.2153,FALSE
lead_dissolved,1.0,Pb #1,2017-10-17,LP22,0.2049,FALSE
lead,1.0,Pb #2,2017-10-17,LP23,0.2308,FALSE
lead_dissolved,1.0,Pb #2,2017-10-17,LP23,0.2206,FALSE
lead,1.0,Cu/Pb-Sn,2017-10-17,LP25,5e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-10-17,LP25,4e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-10-17,LP31,0.0486,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-10-17,LP31,0.0458,FALSE
lead,2.0-0.75,Pb #1,2017-10-17,LP32,0.2571,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-10-17,LP32,0.2423,FALSE
lead,2.0-0.75,Pb #2,2017-10-17,LP33,0.2181,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-10-17,LP33,0.2074,FALSE
