ortho_dose,pipe_material,date,location,lead,lead_dissolved,lead_part,cens_lead_part,cens_lead_dissolved,date_yday,date_numeric,scaled_lead_dissolved,scaled_lead_part,scaled_lead,d_x,.prediction_lead_dissolved,.prediction_lead_part
0-0.5,Pb-Cu,2017-09-27,LP11,0.0079,0.0072,7.00000000000001e-4,none,none,0.7397260273972602,0.7397260273972602,0.8488898349016094,0.6182875923144924,1.0414739142853742,0,0.8488898349016094,0.6182875923144924
0-0.5,Pb-Cu,2017-10-04,LP11,0.0204,0.0191,0.0013,none,none,0.7589041095890411,0.7589041095890411,0.5559037707748761,-0.08486876906601096,1.6536437327966926,1,0.5559037707748761,-0.08486876906601096
0-0.5,Pb-Cu,2017-10-12,LP11,0.0211,0.02,0.0011,none,none,0.7808219178082192,0.7808219178082192,0.36078636067793474,-0.5188372736490536,1.6754146586144956,1.1428571428571428,0.36078636067793474,-0.5188372736490536
0-0.5,Pb-Cu,2017-10-17,LP11,0.0179,0.0167,0.00119999999999999,none,none,0.7945205479452054,0.7945205479452054,0.1281804768069857,-1.0240104423814778,1.5692821070540823,0.7142857142857143,0.1281804768069857,-1.0240104423814778
0-0.5,Pb-Cu,2017-10-24,LP11,0.0132,0.0124,8.000000000000004e-4,none,none,0.8136986301369863,0.8136986301369863,-0.0032875463914732173,-0.9570236171112313,1.372736796613504,1,-0.0032875463914732173,-0.9570236171112313
0-0.5,Pb-Cu,2017-11-07,LP11,0.0094,0.0088,5.999999999999998e-4,none,none,0.852054794520548,0.852054794520548,0.008271809932567431,-0.6317488170800177,1.1536558144640232,2,0.008271809932567431,-0.6317488170800177
0-0.5,Pb-Cu,2017-11-14,LP11,0.0036,0.0032,3.9999999999999975e-4,none,none,0.8712328767123287,0.8712328767123287,0.20266693778660225,-0.037352371994334554,0.5343208740849856,1,0.20266693778660225,-0.037352371994334554
0-0.5,Pb-Cu,2017-11-21,LP11,0.0025,0.0022,2.999999999999999e-4,none,none,0.8904109589041096,0.8904109589041096,0.28828369268813614,0.013082562860052604,0.2990198686792014,1,0.28828369268813614,0.013082562860052604
0-0.5,Pb-Cu,2017-12-05,LP11,0.0103,0.0088,0.00149999999999999,none,none,0.9287671232876712,0.9287671232876712,0.10502197816290867,-0.8176438131013779,1.212657506225286,2,0.10502197816290867,-0.8176438131013779
0-0.5,Pb-Cu,2017-12-19,LP11,0.0102,0.0087,0.0015,none,none,0.9671232876712328,0.9671232876712328,0.21104181142676395,-0.4226999745273247,1.2063619320377716,2,0.21104181142676395,-0.4226999745273247
0-0.5,Pb-Cu,2018-01-03,LP11,0.0112,0.0094,0.00179999999999999,none,none,0.00821917808219178,1.008219178082192,0.19346315940908054,-0.6450527623049421,1.2667134775943307,2.142857142857143,0.19346315940908054,-0.6450527623049421
0-0.5,Pb-Cu,2018-01-09,LP11,0.0237,0.0206,0.00309999999999999,none,none,0.02465753424657534,1.0246575342465754,0.21751572702935465,-0.5789715377462614,1.750398795743296,0.8571428571428571,0.21751572702935465,-0.5789715377462614
0-0.5,Pb-Cu,2018-01-16,LP11,0.0067,0.0061,5.999999999999998e-4,none,none,0.04383561643835616,1.0438356164383562,0.03854187486631941,-1.1054388028060205,0.9351588063234788,1,0.03854187486631941,-1.1054388028060205
0-0.5,Pb-Cu,2018-01-23,LP11,0.0071,0.0064,7.000000000000001e-4,none,none,0.06301369863013699,1.063013698630137,0.30366412014272026,-0.0924941442271251,0.9725774754753428,1,0.30366412014272026,-0.0924941442271251
0-0.5,Pb-Cu,2018-01-30,LP11,0.0055,0.0044,0.00109999999999999,none,none,0.0821917808219178,1.0821917808219177,0.25848489532344027,-0.28376462398248703,0.8078044931516907,1,0.25848489532344027,-0.28376462398248703
0-0.5,Pb-Cu,2018-02-07,LP11,0.0033,0.003,2.999999999999999e-4,none,none,0.10410958904109588,1.104109589041096,0.1748985417924553,0.0036537372368833365,0.47817319509566114,1.1428571428571428,0.1748985417924553,0.0036537372368833365
