# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_ef1b08a1c3_model
# start_datetime = 2023-06-16 13:39:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/standata-ef1545688c3.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_528b3f9cfb1e303abe35a8ef32934e2e-202306161039-1-021879.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_528b3f9cfb1e303abe35a8ef32934e2e-profile-202306161039-1-061c09.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0187296
# Diagonal elements of inverse mass matrix:
# 0.122729, 2.13534, 0.55342, 0.0402148, 0.00790082, 0.00698989, 0.0171412, 0.145111, 0.0629751, 0.366178, 0.0614024, 0.151857, 0.030237, 0.204626, 0.159487, 0.37268, 0.255398, 0.396143, 0.519579, 0.148226, 0.0419557, 0.00702893, 0.0808786, 0.170109, 0.108694, 0.0748829, 0.164927, 0.137161, 0.0705628, 0.061058, 0.0100933, 0.0917574, 0.190121, 0.142487, 0.0855564, 0.148419, 0.150743, 0.0897009, 0.299467, 0.108048, 0.382177, 0.315812, 0.598306, 0.469049, 0.631802, 0.788148, 0.425703, 0.604609, 0.400438, 0.844748, 0.670305, 1.02742, 0.957754, 1.02079, 0.976148, 0.6107, 0.559389, 0.563829, 0.783754, 0.754711, 0.843024, 0.827723, 0.934823, 0.895132, 1.01897, 0.365565, 0.308872, 0.675708, 0.561929, 0.802189, 0.717401, 1.09739, 0.987947, 1.46489, 0.644157, 0.587464, 0.739953, 0.906807, 0.913544, 0.795473, 1.01401, 1.01784, 1.00421, 0.512257, 0.470479, 0.778609, 0.696598, 0.76906, 0.902832, 0.878348, 0.954937, 1.03501, 0.119644, 0.0927319, 0.156398, 0.0302448, 0.1934, 0.112637, 0.229748, 0.172314, 0.102803, 0.0127431, 0.00205582, 0.044541, 0.0744435, 0.138092, 0.185284, 0.201246, 0.270825, 0.121565, 0.123492, 0.232872, 0.122009, 0.120509
-259.94,0.798067,0.0187296,8,255,0,317.372,-0.305097,0.411426,-2.2236,0.197943,-0.272495,-0.128498,0.055993,1.3138,0.0624662,-1.05781,6.72212,1.08765,-0.0236594,-1.57034,-0.862726,-0.0408645,-1.18582,0.699375,0.590395,1.02874,0.68702,-0.331466,-1.08144,-1.96174,0.911612,-0.735875,0.821775,1.56121,0.867105,0.867949,-0.338564,-0.960095,-1.54697,1.02652,-0.893751,0.311834,0.876493,0.991944,-1.42519,0.141245,0.61132,1.00872,0.0195328,0.0668336,0.369982,0.292087,0.52928,-1.31563,0.617979,1.94327,0.754544,1.14962,-1.22239,-0.995354,-0.612532,0.0637925,-0.692119,-0.531564,0.453431,-0.566029,0.233598,-0.120219,0.0667421,0.506639,0.0378114,0.977015,-0.729354,2.69408,1.97514,1.10483,-0.130427,0.309751,-2.06543,0.109664,-0.225344,-0.843631,0.381471,1.00191,1.67139,-0.839562,-0.622527,-0.542124,0.103444,0.44139,-1.40102,0.354473,-1.465,-0.836501,-0.45816,0.667429,-0.653317,0.145308,-0.390215,0.515471,0.714014,0.0259685,-0.356269,0.217682,-0.110215,0.370353,0.180755,0.64934,0.112142,1.4279,0.868055,-0.123745,1.36381,1.4318,-1.35207,0.628044,0.653608,-1.00231,0.658459,0.660624,-14.9473,1.3306,-1.83175,-0.86378,0.376392,8.83155,0.419905,-7.11072,1.1189,-0.0243393,-1.61546,-0.887516,-0.0420388,-1.21989,0.719472,0.60736,0.595718,-0.287416,-0.937721,-1.70104,0.790464,-0.638081,0.712565,1.35373,0.860957,-0.335836,-0.95236,-1.5345,1.01825,-0.886551,0.309322,0.869432,-0.754325,0.0747584,0.323559,0.533894,0.0103383,0.0353737,0.195824,0.154595,-0.0839271,0.0394224,0.123966,0.0481343,0.0733369,-0.0779795,-0.0634961,-0.0390749,-0.02617,-0.0200992,0.0171449,-0.0214023,0.00883267,-0.00454564,0.00252361,0.0191567,0.107143,-0.0799836,0.295442,0.216601,0.121159,-0.0143031,0.0339684,-0.226502,-0.0233105,-0.0872687,0.039461,0.103642,0.172896,-0.0868478,-0.0643968,-0.0560796,0.0641376,-0.20358,0.0515078,-0.212876,-0.12155,-0.0665744,0.0969828,-0.0949323,-0.0705335,0.0931742,0.129062,0.00469395,-0.0643975,0.0393472,-0.019922,0.0669433,-0.107418,1.18386,1.24288,-1.17367,0.545176,0.567368,-0.870057,0.571578,0.573458,-22.3294,-0.305097
-264.595,0.992115,0.0187296,8,255,0,312.817,-0.0974435,-2.79137,-1.36692,0.402647,-0.295382,-0.0318813,0.0681117,1.46404,-0.421951,-1.47659,7.0053,0.851119,-0.151346,-0.650706,-1.14022,0.622485,-0.445139,1.33494,1.32101,0.916191,0.662631,-0.176375,-1.01699,-1.49201,1.05366,-0.706895,0.959493,0.374234,1.05054,0.810504,-0.221203,-0.719862,-1.24098,0.994509,-0.828182,1.00177,1.19913,1.0797,-0.538364,-0.591468,0.577459,0.65558,0.778581,-1.11318,0.232066,-0.874218,0.326437,-2.62811,-0.175489,0.59602,0.824532,-0.0752687,1.45328,-1.13058,-0.821263,0.0209331,-0.222713,0.161218,1.47123,0.0509722,0.461782,-0.857205,1.01499,1.04017,0.0580143,0.295001,-0.779458,1.96105,2.07536,-1.76424,-0.392135,0.40657,-1.94855,0.0908335,-0.106039,-0.641397,-0.329772,-0.310468,1.04494,-0.318894,-0.385403,1.07422,0.153037,-0.2485,-0.637533,0.592537,0.518369,-0.459616,0.754029,0.280937,0.789005,0.240565,-0.723044,0.835222,1.32942,0.146313,-1.48854,0.139024,-0.946037,0.617707,0.101216,0.675789,0.125807,1.50068,0.916581,-0.414636,1.06359,1.18507,-1.41672,0.330806,0.431428,-1.123,0.35727,0.304376,-9.57565,2.82066,-2.06924,-0.223338,0.477143,10.256,-2.95589,-10.344,0.779787,-0.138662,-0.596171,-1.04466,0.570315,-0.407832,1.22306,1.2103,0.696118,-0.185288,-1.06839,-1.56741,1.1069,-0.74262,1.00798,0.393147,0.875104,-0.238833,-0.777237,-1.3399,1.07377,-0.894191,1.08162,1.29471,-0.175742,-0.193077,0.188504,0.214005,0.254157,-0.363382,0.0757548,-0.285377,-0.0550143,-0.00367351,0.0124765,0.01726,-0.0015756,0.0304216,-0.0236665,-0.0171916,-0.0129206,0.00935295,0.0853522,0.00295712,0.02679,-0.0497302,0.0588837,0.0603445,0.026796,-0.0708009,0.178129,0.188512,-0.160252,-0.035619,0.0369302,-0.176994,-0.0162279,-0.0981572,-0.0504672,-0.0475129,0.159914,-0.0488024,-0.0589807,0.164395,-0.0597802,-0.153368,0.142543,0.124701,-0.110567,0.181393,0.0675834,0.189807,-0.0731833,0.0845374,0.134558,0.0148091,-0.150664,0.0140714,-0.0957536,0.0625216,-0.380047,0.974869,1.08621,-1.29854,0.30321,0.395438,-1.02932,0.327467,0.278985,-23.1492,-0.0974435
-279.121,0.873247,0.0187296,8,255,0,330.925,-0.386234,0.0912135,-1.6179,0.777116,-0.226197,0.0636728,0.225965,1.65062,-0.457886,-3.15383,6.2401,1.30665,-0.0910404,-1.03484,-1.59363,-1.52625,-0.619182,-0.289912,0.091254,0.456275,0.830483,-0.253932,-0.988394,-1.91318,1.11368,-1.1133,0.316679,1.96656,0.841397,0.299142,-0.160442,-0.407164,-1.00318,0.533564,-0.358368,0.413621,0.717272,1.56848,-0.596173,0.026048,-0.68285,2.53586,-1.18997,0.172184,0.725439,-0.982929,0.476016,0.650569,0.39785,-1.29499,-0.0612309,0.0197243,-1.0352,1.02791,1.20359,0.17137,-0.342114,0.0422439,-0.244651,0.698152,0.0781895,0.639364,-1.19491,-0.440943,0.0859949,0.901954,1.26559,-1.31298,-0.808542,1.86483,-0.316661,0.500169,1.24016,0.0196301,-0.227155,-0.896499,0.897015,0.584436,-1.00541,0.360162,0.677217,-0.950714,0.0869758,-1.18346,-1.61359,-1.43842,-0.658371,1.00935,0.100745,-0.489554,-0.718904,0.0782671,-0.445358,0.414401,0.480533,-0.0695626,-0.614474,-0.066614,-0.079619,0.17038,0.221122,0.727079,0.121436,1.42897,0.76213,-0.373138,1.73429,1.73866,-1.18997,0.88264,0.907635,-1.21398,0.778598,0.787434,-10.0958,4.84928,-1.41149,0.397325,1.41004,10.3,-2.85725,-19.6802,0.596193,-0.0415394,-0.472172,-0.727134,-0.696389,-0.282517,-0.13228,0.0416369,0.698766,-0.213658,-0.831632,-1.60975,0.937051,-0.936729,0.266453,1.65466,0.469198,-0.251649,-0.638628,-1.57346,0.836883,-0.562091,0.648755,1.12502,-0.283788,0.0123993,-0.325047,1.20711,-0.566445,0.0819623,0.34532,-0.46789,0.111488,0.0681798,-0.221924,-0.0104932,0.00338016,-0.177403,0.176153,0.20626,-0.02942,0.00363275,-0.0210387,0.0600374,0.0067239,0.054982,-0.102756,-0.0379188,0.0177054,0.0248437,-0.0257738,-0.0158717,0.0366067,-0.00621609,0.00981835,0.0243445,-0.019757,-0.0779737,0.0780186,0.0508318,-0.0874459,0.0313254,0.0589015,-0.0826891,-0.0926262,-0.126291,-0.112581,-0.0515288,0.0789987,0.00788501,-0.0383159,-0.0562665,-0.0984783,0.0916331,0.106256,-0.0153818,-0.135874,-0.0147298,-0.0176055,0.0376748,-0.28438,1.32175,1.32509,-0.906913,0.672686,0.691736,-0.925213,0.593393,0.600127,-22.4096,-0.386234
-279.418,0.962333,0.0187296,8,255,0,346.968,-0.278847,-0.402206,-1.74104,0.680728,-0.228125,0.0178937,-0.0160686,1.74189,-0.318524,-1.87844,8.03466,1.51767,0.0134082,-1.17362,-0.831667,-1.5865,-0.24992,0.0872754,0.0942364,0.664883,0.879121,-0.359201,-0.858532,-2.17755,1.1449,-0.222348,0.587594,0.510134,0.808714,0.603637,-0.21389,-0.919657,-1.24377,0.978736,-0.420828,-0.104929,0.570285,1.34011,-0.830478,-0.622044,-0.456639,1.16098,-0.153595,-0.467585,0.889293,-0.131048,0.195958,-1.30436,-0.689229,-1.072,-0.0599396,-0.452601,0.0469754,1.21139,1.69648,0.0415471,0.952917,0.662993,-0.368851,0.587471,0.0372931,-0.101698,-0.872085,1.0249,0.0396816,-0.155713,0.572115,-0.598408,-1.03286,1.6705,0.561305,1.37004,1.66194,0.0508475,-0.143804,-1.98789,0.311126,-0.342767,-0.332616,0.522054,-0.526692,-1.51995,0.0522606,1.08951,-1.00877,0.700318,-1.34048,0.228155,-0.830268,-0.852869,0.246724,0.172001,-0.724597,0.634994,0.933985,0.237503,-0.631767,0.703381,-0.667274,-0.0693648,0.136647,0.689075,0.111915,1.38223,0.881298,-0.207136,1.3559,1.48102,-1.28796,0.609666,0.678272,-1.12446,0.531213,0.585634,-13.9887,5.46942,-1.8329,0.14377,-0.129106,13.9955,-2.55923,-15.0926,1.00907,0.00891489,-0.780317,-0.552961,-1.05484,-0.166167,0.0580279,0.0626561,0.710957,-0.290491,-0.694307,-1.76102,0.925897,-0.179816,0.475195,0.412553,0.80894,-0.286636,-1.23244,-1.66679,1.31162,-0.563957,-0.140617,0.764246,-0.162739,-0.121894,-0.089482,0.227504,-0.0300981,-0.0916269,0.174264,-0.0256799,-0.0541923,-0.0286355,-0.0445383,-0.00249032,-0.0188043,0.00195169,0.0503298,0.0704839,0.0378133,0.0263086,-0.0146366,0.0233118,0.00147985,-0.00403555,-0.0346057,0.0406695,-0.0079176,0.0290906,-0.0304276,-0.0525183,0.084941,0.028541,0.0696631,0.0845057,-0.00751526,-0.103888,0.0162597,-0.0179132,-0.0173827,0.0272829,-0.0275252,-0.0794332,0.187398,-0.173509,0.120455,-0.230565,0.0392429,-0.142807,-0.146694,0.0424367,-0.0990137,0.0867697,0.127626,0.0324539,-0.0863288,0.0961146,-0.0911807,-0.00947846,-0.182548,1.19495,1.30522,-1.13507,0.537297,0.59776,-0.990981,0.468157,0.516118,-22.9279,-0.278847
-278.41,0.743313,0.0187296,8,255,0,330.919,-0.158815,-0.816665,-1.26308,0.202365,-0.348908,-0.154288,0.335807,1.41033,0.132826,-1.80608,6.57172,0.843614,0.0224234,-0.652349,-0.638093,0.434907,-0.754892,0.541747,0.939865,1.15049,0.921368,-0.165996,-1.42412,-1.89997,1.30092,-0.759682,0.413727,1.71006,0.747333,0.933732,-0.348215,-1.16497,-2.08549,0.85194,-0.788306,0.943301,1.79699,0.879904,-1.09471,-0.0564286,0.0601377,0.852284,-0.748447,0.0749153,-0.208292,-1.30584,0.334252,1.56337,1.1661,1.24571,0.107349,0.471434,-0.696408,-1.22284,-1.60585,0.0358715,-1.10346,-0.185071,1.52086,-1.44923,0.46379,0.0106138,0.513749,-1.05887,0.0796064,0.0992077,-0.490669,2.11074,0.456385,-0.697412,-0.747207,-0.554902,-1.63116,0.228976,1.54445,0.568783,0.077541,-0.677613,-0.0417367,-1.10036,0.755738,1.64668,0.0179533,0.037262,-0.680456,-0.706002,-0.383961,-0.702732,1.31219,1.08828,-0.511739,0.0903978,-0.796225,1.02396,1.13056,-0.0704917,-1.80149,-0.030096,-0.569379,0.627901,0.0839801,0.701923,0.125817,1.59185,1.02892,-0.29279,0.953929,1.01951,-1.21119,0.481231,0.42717,-1.05516,0.444524,0.376941,-8.30062,1.32988,-2.29293,-1.01394,2.20683,9.26828,0.872896,-11.8691,0.970573,0.025798,-0.750523,-0.734122,0.500358,-0.868499,0.623277,1.08131,0.688568,-0.124054,-1.06429,-1.41991,0.972222,-0.567735,0.309191,1.27798,0.821594,-0.306396,-1.02506,-1.83503,0.749625,-0.693633,0.830014,1.58118,-0.36591,-0.0188614,0.0201012,0.284878,-0.25017,0.0250406,-0.069622,-0.436481,0.0560804,0.0418296,0.0446855,0.00385078,0.016911,-0.0249812,-0.043865,-0.0576042,-0.0878421,-0.0147328,0.12107,-0.115368,0.0369206,0.000844928,0.0408977,-0.0842928,0.0227162,-0.112351,0.483308,0.104501,-0.159691,-0.171092,-0.127059,-0.373497,0.0277281,0.0102116,0.00139212,-0.0121654,-0.000749312,-0.0197551,0.013568,0.0295633,0.0033684,-0.0615117,-0.063821,-0.0347092,-0.0635254,0.118619,0.098378,-0.0462601,-0.0668671,0.085992,0.0949442,-0.0059199,-0.151289,-0.00252746,-0.0478165,0.0527312,-0.301258,0.981516,1.04899,-1.24621,0.495149,0.439524,-1.08568,0.457379,0.387842,-22.3782,-0.158815
-266.553,0.998305,0.0187296,8,255,0,337.124,-0.118212,0.554561,-1.57416,0.555534,-0.203521,-0.0102123,0.198554,1.74528,-0.157984,-2.1228,6.04136,0.82415,0.0101869,-0.0688648,-0.359877,-0.860433,-1.10987,0.368118,1.37008,0.670564,0.599427,-0.136529,-0.725154,-1.35673,0.74515,-0.6319,0.758961,1.17303,0.995899,1.05802,-0.233997,-1.27527,-1.58429,1.6938,-0.676276,-0.129858,1.09551,0.795647,-0.376881,-0.38414,0.106942,1.16409,-0.136772,-0.83998,0.661599,0.129618,0.533398,-1.02986,0.898849,-1.59085,0.413477,-0.578139,0.949626,1.0721,1.8007,0.0967542,0.346212,0.374949,-0.370238,1.15819,-0.351788,0.0219112,-0.710426,1.30006,0.0495836,-0.731811,-0.816198,0.0669674,0.536772,0.861012,0.635444,0.752395,0.864931,0.072096,-1.45676,-1.61337,1.06671,0.898871,0.160877,1.26472,-0.725506,-1.32395,0.0422552,0.543255,-0.728725,1.35506,-0.684356,1.04559,-1.11455,-1.27663,0.468991,0.14733,-1.22856,1.10257,1.67893,0.354475,-1.70083,0.890585,-1.15351,0.289378,0.0717651,0.702872,0.112375,1.31466,0.774697,-0.758117,1.26552,1.45396,-1.64231,0.476388,0.51466,-1.45846,0.400489,0.388,-9.51006,3.35618,-1.22955,-0.0616964,1.19953,10.5439,-0.95444,-12.8246,0.552645,0.00683098,-0.0461782,-0.241321,-0.576975,-0.744239,0.246847,0.918728,0.596968,-0.135969,-0.72218,-1.35116,0.742094,-0.629309,0.755849,1.16821,0.841812,-0.186179,-1.01466,-1.26053,1.34767,-0.538076,-0.103321,0.871637,-0.201028,-0.2049,0.0570429,0.620923,-0.0729538,-0.448044,0.352896,0.0691381,-0.0996434,0.0869674,-0.153921,0.0400056,-0.0559374,0.0918803,0.103731,0.174225,0.0171664,0.0185913,-0.0183577,0.057427,-0.0174429,0.00108644,-0.0352255,0.0644615,-0.0527606,-0.0588446,0.00482808,0.0386991,0.0620755,0.0458129,0.0542447,0.062358,-0.0615558,-0.0681731,0.0450743,0.037982,0.0067979,0.053441,-0.0306564,-0.055944,0.080038,-0.107363,0.199642,-0.100826,0.154047,-0.164207,-0.188086,0.0690966,-0.0881677,0.0791261,0.120488,0.0254389,-0.122061,0.063913,-0.0827818,0.0207672,-0.587311,0.980393,1.12638,-1.27229,0.369056,0.398705,-1.12986,0.310258,0.300582,-22.0711,-0.118212
