# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_ef1b08a1c3_model
# start_datetime = 2023-06-16 13:39:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/standata-ef1545688c3.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_528b3f9cfb1e303abe35a8ef32934e2e-202306161039-4-021879.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_528b3f9cfb1e303abe35a8ef32934e2e-profile-202306161039-4-061c09.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0147175
# Diagonal elements of inverse mass matrix:
# 0.105762, 2.06889, 0.475128, 0.0366715, 0.0101929, 0.00751251, 0.022459, 0.160712, 0.0642035, 0.339067, 0.0714613, 0.150099, 0.0252488, 0.270784, 0.225078, 0.376857, 0.302317, 0.501412, 0.5376, 0.141257, 0.0434005, 0.0068839, 0.0902149, 0.17051, 0.110181, 0.0731413, 0.134996, 0.14555, 0.0769111, 0.0596936, 0.00877481, 0.0822643, 0.166998, 0.116599, 0.0767132, 0.131446, 0.147337, 0.0804023, 0.318105, 0.112716, 0.445234, 0.339578, 0.62672, 0.425932, 0.621193, 0.84057, 0.577365, 0.575061, 0.522923, 0.952573, 0.659768, 0.780814, 0.827496, 0.99141, 0.876928, 1.11409, 0.668324, 0.488563, 0.820413, 0.802934, 0.865225, 0.730398, 0.889062, 0.970545, 1.08801, 0.37357, 0.274508, 0.659984, 0.533954, 0.673127, 0.642268, 1.01276, 0.935745, 1.40653, 0.694905, 0.549131, 0.935625, 0.775166, 0.926543, 0.758027, 1.10316, 0.887998, 1.01046, 0.553242, 0.474707, 0.818122, 0.738886, 0.762972, 0.92737, 0.818921, 0.81303, 0.666325, 0.105275, 0.0895489, 0.160282, 0.0306641, 0.170253, 0.0994205, 0.22269, 0.204427, 0.100727, 0.0113238, 0.00191464, 0.0373591, 0.0744877, 0.135445, 0.167931, 0.179229, 0.268669, 0.106836, 0.109833, 0.234823, 0.105898, 0.105689
-257.729,0.944178,0.0147175,8,511,0,322.629,0.147692,-2.7757,-0.770888,0.831838,-0.363986,0.052478,0.19212,1.8802,-0.338148,-3.15386,5.76812,1.37968,-0.3803,-1.00778,-1.19052,-0.451607,-1.2937,0.463481,1.89687,0.705652,0.893064,-0.362989,-0.772047,-2.54446,0.811799,-0.546494,0.996123,1.59211,0.740624,1.11665,-0.306017,-1.01441,-1.84663,0.569029,-0.765656,0.946379,0.964938,0.872734,-0.095539,0.343337,-0.713911,1.43719,-0.618151,0.305945,0.892498,-2.13405,0.191253,-0.548177,0.792802,-0.3773,-0.318675,-2.22893,0.579138,0.847769,-0.159525,0.00992404,0.209752,-1.61523,0.206036,1.37788,-0.196975,-0.216494,-1.4791,0.659485,0.00930833,-0.22272,-0.133032,1.04947,0.359674,1.01729,0.260311,1.15097,-0.353697,1.22297,-0.253864,-0.609437,1.33378,0.47516,-1.26408,0.00964915,0.116485,-0.767764,0.137871,0.0340142,-1.36714,-1.13583,-0.242472,0.0263402,0.443301,1.12807,0.445583,0.0894702,-0.994941,0.655758,1.21138,0.249172,-0.766949,0.791707,-0.267279,0.372306,0.101179,0.670229,0.119904,1.43715,1.07804,-0.566126,0.660941,0.763383,-1.43647,0.0876333,0.0945169,-1.27705,0.0789573,0.067537,-4.44657,4.79814,-2.09952,0.302699,1.10817,10.8452,-1.95048,-18.1919,0.973571,-0.26836,-0.711144,-0.840092,-0.318678,-0.912899,0.327056,1.33853,0.661424,-0.268838,-0.571797,-1.88449,0.601237,-0.404746,0.737752,1.17915,0.974541,-0.267072,-0.885313,-1.61161,0.496611,-0.668214,0.825937,0.842135,-0.0182721,0.0656642,-0.136537,0.274866,-0.118223,0.0585128,0.170693,-0.408143,-0.00544013,0.0078678,-0.00374434,-0.00316255,-0.02212,0.00574739,0.0084133,-0.00158313,0.00195244,-0.0150351,0.00191785,0.0128258,-0.00183351,-0.0020152,-0.013768,0.0061387,-0.272379,-0.162694,1.28347,0.439869,1.24411,0.318352,1.4076,-0.43256,-0.0350006,-0.0840239,0.18389,0.0655111,-0.174281,0.00133034,0.01606,-0.105853,0.00304325,-0.122318,-0.101623,-0.021694,0.00235666,0.0396623,0.100929,0.0398664,-0.100667,0.066349,0.122567,0.025211,-0.0775992,0.0801043,-0.027043,0.0376696,-0.610306,0.71252,0.822956,-1.54857,0.094472,0.101893,-1.37671,0.085119,0.0728075,-22.6429,0.147692
-260.444,0.957373,0.0147175,8,255,0,318.563,0.214404,-2.9985,-0.513765,0.935053,-0.293309,0.0935091,0.0587162,1.88118,-0.360898,-3.12201,6.52304,1.29052,-0.341337,-0.96892,-1.10053,-0.833826,-1.33769,0.507526,1.87294,0.712263,0.789895,-0.301824,-0.93532,-2.33969,0.947286,-0.504597,1.13279,1.50813,0.689419,1.02685,-0.352716,-0.906918,-1.78358,0.411821,-0.648815,0.952325,1.02297,0.780508,-0.543704,0.282864,-0.798059,1.17632,-0.411948,-0.264249,0.835508,-2.14696,0.191161,-0.962487,0.708726,-0.0288634,-0.385098,-1.91673,-0.251118,1.01776,-0.0834141,0.0175911,0.115199,-1.3726,0.0349097,1.69345,-1.02331,-0.587397,-1.09136,1.48171,0.00220587,-0.169333,-0.162636,0.482023,0.374349,0.843899,0.0972932,0.912758,-1.3188,1.01288,0.165995,-0.995252,0.821636,0.274089,-1.53301,0.0385644,0.428733,-1.51066,0.16285,-0.304859,-1.83917,-1.57149,-0.301954,0.886445,0.479064,0.325973,0.530191,0.106983,-1.13002,0.818612,1.23475,0.100486,-1.07586,1.05285,-0.479027,0.66875,0.0888217,0.669002,0.118716,1.50734,1.1123,-0.658909,0.612476,0.637486,-1.41202,0.0540053,0.0567211,-1.29451,0.0554522,0.0291015,-3.35131,6.09938,-1.91327,0.609963,0.383008,12.271,-2.35415,-20.365,0.91919,-0.243121,-0.690126,-0.783867,-0.593903,-0.952785,0.361492,1.33403,0.544569,-0.208084,-0.644828,-1.61302,0.653077,-0.347879,0.780967,1.03973,0.801463,-0.275298,-0.707857,-1.3921,0.32143,-0.506406,0.743297,0.798433,-0.103935,0.0540726,-0.152558,0.224867,-0.0787484,-0.0505142,0.159717,-0.410414,-0.0169312,0.0124672,-0.000507739,-0.00677429,-0.0337173,-0.00441743,0.0179035,-0.00146734,0.000254113,-0.00302776,7.70061e-05,0.00373553,-0.00225728,-0.00129572,-0.0024074,0.00326845,-0.171514,-0.164731,0.488233,0.379172,0.854772,0.0985467,0.924518,-1.33579,0.0270323,-0.162077,0.133803,0.0446354,-0.249651,0.0062802,0.0698191,-0.246011,-0.0326148,-0.196761,-0.168124,-0.0323041,0.0948347,0.0512518,0.0348737,0.0567215,-0.10037,0.0727106,0.109673,0.00892531,-0.0955595,0.0935156,-0.042548,0.0593995,-0.732901,0.681254,0.709073,-1.57058,0.0600698,0.0630906,-1.43988,0.0616792,0.0323694,-22.9861,0.214404
-263.156,0.991562,0.0147175,8,255,0,317.894,0.224003,-2.84118,-1.64351,0.790953,-0.365592,-0.0856004,0.00888989,1.8322,-0.738021,-3.54158,5.59034,0.851585,0.0189017,-0.912308,-1.05295,-0.207967,-0.907635,0.112408,-0.0766529,0.637112,0.716191,-0.143915,-1.13381,-1.5323,0.148687,-1.09665,0.691636,1.14648,0.852541,0.859138,-0.233145,-1.17039,-1.84054,0.883221,-0.796632,1.0357,0.998237,0.804917,-0.929607,-0.232463,-1.06369,0.612085,0.725917,-1.56106,0.174715,0.449384,0.490246,1.27817,0.825426,-0.515108,-1.53414,-0.757838,0.043593,-1.68947,-0.814964,0.090167,0.0142417,-0.140835,1.25665,0.360153,1.64559,0.271733,0.121922,1.4121,0.0137148,-0.226994,0.00656413,1.21614,1.00473,-0.809473,-0.193973,2.00241,-0.969276,0.585137,0.15321,-0.426261,-1.39872,-0.0647287,-0.873506,-1.10136,-0.201305,1.12785,0.149605,-0.239559,-1.18679,0.5702,-0.421281,-0.650699,-0.279989,0.423419,-2.95236,0.0789782,-0.975354,0.819022,1.1118,0.177983,-1.26221,0.353274,-0.663335,0.490296,0.0982666,0.665602,0.112159,1.3245,1.01643,-0.847182,0.654112,0.684337,-1.51655,0.0881442,0.0684048,-1.37956,0.0283612,0.0215537,-9.18779,4.4217,-2.04378,-0.478536,0.0496975,10.2426,-4.12579,-19.7987,0.542555,0.0120425,-0.581243,-0.670849,-0.132499,-0.578265,0.0716162,-0.0488365,0.610582,-0.122693,-0.966624,-1.30635,0.126762,-0.934941,0.589648,0.977422,0.691535,-0.187663,-0.942068,-1.48148,0.710919,-0.641222,0.833651,0.803498,-0.455736,-0.113964,-0.521471,0.300072,0.355878,-0.765303,0.0856536,0.220309,0.115249,0.0744262,-0.0464458,-0.138329,-0.0683319,0.00393065,-0.152334,-0.0734828,0.000195323,-0.00193154,0.0172348,0.00493945,0.0225691,0.00372678,0.00167214,0.0193668,-0.132823,0.00384091,0.71161,0.587907,-0.473653,-0.113501,1.17168,-0.567159,0.0229209,-0.0637705,-0.209255,-0.0096837,-0.130681,-0.164769,-0.0301162,0.168731,-0.0189199,-0.0937305,0.0450334,-0.033272,-0.051391,-0.022113,0.0334409,-0.233172,-0.0958447,0.0804825,0.109253,0.0174898,-0.124033,0.0347151,-0.0651837,0.0481798,-0.861102,0.66486,0.695581,-1.54147,0.0895925,0.0695287,-1.40223,0.0288272,0.0219079,-22.4937,0.224003
-244.149,0.989947,0.0147175,8,255,0,299.171,-2.47993e-05,-2.42387,-1.394,0.928149,-0.323099,0.0701646,-0.0586613,2.10605,-0.293266,-2.73323,6.11335,0.606536,-0.0557953,-0.508719,-0.948821,-0.465505,-1.01568,0.798443,1.85957,1.21606,0.605368,-0.243803,-0.832862,-1.57995,1.28222,-0.560017,0.403587,0.911924,0.99823,0.736094,-0.216785,-0.604686,-1.27954,0.652583,-0.937656,0.0727194,0.829373,1.13487,-1.53555,-0.613009,-0.381611,1.06719,-0.272101,-0.670474,1.24862,-1.18146,0.274923,-0.737431,1.22336,-0.72003,0.443152,-0.143835,0.294139,1.26381,0.0854005,0.0548827,0.27522,0.5415,-0.129921,0.548016,-0.695262,0.242308,-1.82906,0.547919,0.134837,0.47356,0.0512604,2.46467,1.02078,0.0815351,-0.433485,1.37251,-1.02421,0.560446,0.0452964,-0.732426,-0.0912069,1.16105,-0.734241,-0.0679142,0.762193,-0.088125,0.0513002,0.0669054,-0.90874,-0.626017,-0.445115,0.613641,0.334448,0.372524,-0.386076,0.184396,-0.945328,0.762679,1.06272,-0.0759792,-1.29379,0.51893,-0.555717,0.249232,0.113438,0.669071,0.112043,1.3897,1.12009,-0.437899,0.764017,0.874879,-1.22512,0.20786,0.27041,-0.950445,0.236346,0.19709,-8.52201,5.67409,-1.97521,0.42894,-0.358617,12.875,-1.79283,-16.7092,0.737584,-0.0678505,-0.618633,-1.15382,-0.566082,-1.23513,0.970956,2.26135,0.604297,-0.243372,-0.831388,-1.57715,1.27995,-0.559026,0.402872,0.91031,0.835371,-0.246023,-0.68624,-1.45211,0.740597,-1.06412,0.0825272,0.941231,-0.422157,-0.16853,-0.104914,0.293394,-0.0748068,-0.184329,0.343273,-0.324811,-0.0404722,0.0671412,-0.0395172,0.0243214,-0.00789404,0.0161431,0.0693614,0.00468701,0.0371098,0.073014,-0.0175181,0.0738927,-0.0937468,0.0326721,-0.246624,0.0738796,0.265405,0.0287287,1.38132,0.572095,0.045696,-0.242945,0.769218,-0.574015,0.00232372,-0.0375736,-0.00467893,0.0595619,-0.0376667,-0.00348401,0.0391007,-0.00452083,0.0123371,-0.167568,-0.115435,-0.0820772,0.113153,0.0616708,0.0686918,-0.0711907,-0.107236,0.0865166,0.120553,-0.00861891,-0.146764,0.0588663,-0.0630394,0.0282723,-0.490487,0.855768,0.979944,-1.37225,0.232822,0.302884,-1.06458,0.264729,0.220759,-22.7589,-2.47993e-05
-241.676,0.993726,0.0147175,8,255,0,298.69,-0.297389,0.677493,-1.84286,0.393285,-0.182727,-0.0361021,0.081172,1.20337,-0.350636,-1.58232,9.10369,1.2483,0.0562226,-0.871149,-0.567997,-0.608131,-0.737106,1.03963,0.341237,0.877519,0.79752,-0.166561,-1.02842,-1.87344,0.492847,-0.963565,1.08252,1.44961,0.761827,0.629867,-0.179336,-0.801554,-1.25655,0.736417,-0.372948,0.5445,0.613773,1.32717,-0.821017,-0.531559,-0.618151,1.8603,-1.02319,0.204263,-0.515891,-0.535596,0.240627,0.191729,0.429126,0.216884,-0.663808,-0.0391049,-0.274603,-1.31547,0.508774,0.195414,-0.763697,0.895392,1.2516,-0.699436,1.17742,-1.36889,2.04048,-0.19299,0.0837856,0.333647,0.136335,-0.0487916,0.474901,0.540872,0.654722,0.742056,-0.590905,0.857655,0.259436,-0.871481,0.188847,-0.467747,0.739588,-0.0998142,-0.675581,0.429793,0.0543789,-0.00674425,-0.930302,-0.350765,-0.302025,0.264015,0.405095,0.0546251,0.113546,0.116857,-1.25379,1.33246,1.79948,0.348718,-0.974506,0.160897,-0.838737,0.257556,0.0717879,0.672971,0.117919,1.46542,1.01375,-0.202798,1.14047,1.21566,-1.05788,0.516753,0.584975,-0.824774,0.520033,0.4873,-16.7768,3.58035,-1.66349,-0.328662,0.738965,10.9551,-3.19208,-14.405,1.09541,0.0493364,-0.76445,-0.498428,-0.533647,-0.646825,0.912298,0.299442,0.607572,-0.126891,-0.783479,-1.42724,0.375464,-0.73407,0.824694,1.10435,0.83594,-0.238009,-1.0638,-1.66766,0.977349,-0.494965,0.722643,0.81458,-0.197558,-0.127907,-0.148743,0.447637,-0.246207,0.0491511,-0.124137,-0.128879,0.0374667,0.0838573,0.0423823,-0.129718,-0.00764167,-0.0536614,-0.257062,0.0994217,-0.0639868,0.075021,0.104866,-0.0586027,0.0986507,-0.114693,0.170963,-0.0161698,0.286154,0.116928,-0.0418464,0.407301,0.463882,0.561526,0.636428,-0.506793,0.0141079,-0.0473902,0.0102693,-0.0254356,0.040218,-0.00542779,-0.0367374,0.0233717,-0.000788115,-0.108713,-0.0409895,-0.0352938,0.0308521,0.0473383,0.00638334,0.0132687,-0.0900073,0.0956547,0.129181,0.0250337,-0.0699577,0.0115504,-0.0602112,0.0184894,-0.205586,1.15615,1.23237,-1.07243,0.523857,0.593017,-0.836112,0.527182,0.493999,-23.3978,-0.297389
-256.353,0.997499,0.0147175,8,255,0,290.152,-0.218087,-0.0590049,-1.48176,0.560506,-0.136551,0.0501638,-0.00247793,1.18323,-0.439416,-1.87496,9.84561,1.02882,0.251791,-0.98777,-0.88789,-0.782859,-0.283936,1.57467,0.0929036,0.722924,0.702799,-0.17345,-0.890159,-1.81293,0.976455,-0.0526622,-0.0685132,1.28504,0.970441,0.609548,-0.199129,-0.613265,-1.23535,0.625948,-0.547342,0.760424,0.972237,1.12996,-0.857994,-0.524385,-0.198047,2.4648,-1.43317,-0.288778,1.50295,-0.800774,0.243865,1.47901,0.582487,1.18684,-0.251115,-0.60494,0.940936,0.586976,-0.723939,0.00990051,-0.419666,0.222092,1.53721,-0.28286,0.337782,0.370047,1.20406,-1.22506,0.0895332,-0.541207,-0.252154,1.54733,0.335955,-0.478633,0.944168,-0.548453,-1.28276,0.186594,0.449742,-1.48698,0.255798,0.290771,1.20993,0.909487,0.138477,0.74677,0.0507746,0.256512,-1.03101,0.424917,-0.613027,0.180687,-1.39129,0.2958,0.0018155,0.129321,-1.15802,1.10233,1.37953,0.369556,-1.20242,-0.266315,-1.79679,-0.0219677,0.0840195,0.68093,0.11448,1.39877,0.952613,-0.33398,1.13504,1.22519,-1.21552,0.480706,0.502816,-1.10686,0.470063,0.470271,-14.5888,5.51852,-1.34443,0.493893,-0.0243967,11.6496,-4.32632,-18.4601,0.743756,0.182026,-0.714083,-0.641877,-0.565948,-0.205264,1.13837,0.0671622,0.682025,-0.168323,-0.863847,-1.75935,0.947592,-0.0511056,-0.0664881,1.24706,0.688764,-0.225008,-0.692965,-1.39589,0.707296,-0.618475,0.859249,1.09859,-0.209235,-0.127879,-0.0482969,0.601078,-0.349499,-0.0704228,0.366517,-0.195281,0.0146429,0.00576691,0.0117503,-0.00248617,-0.00598921,0.00931574,0.00581136,-0.00716736,-0.0375741,0.0198846,0.137631,-0.0253253,0.0302427,0.0331315,0.107803,-0.109684,-0.100986,-0.0470505,0.288724,0.0626874,-0.0893103,0.176176,-0.102338,-0.239355,0.0228355,-0.0755007,0.012988,0.0147638,0.0614339,0.0461788,0.00703113,0.0379169,0.0331725,-0.133332,0.0549508,-0.0792775,0.0233667,-0.179924,0.0382532,0.000234783,-0.097296,0.0926173,0.115907,0.0310499,-0.101026,-0.0223757,-0.150966,-0.00184572,-0.318154,1.08125,1.16713,-1.15792,0.457927,0.478988,-1.05441,0.447788,0.447986,-23.5172,-0.218087
