# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_11b66bac0b77_model
# start_datetime = 2023-06-28 15:49:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/standata-11b64fe96bd2.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_ca8dcd9b4d713097e042797eb154c030-202306281249-4-530af0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_ca8dcd9b4d713097e042797eb154c030-profile-202306281249-4-7dba6b.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.00770525
# Diagonal elements of inverse mass matrix:
# 0.0885732, 2.25018, 0.190563, 0.0386299, 0.00213063, 0.00202342, 0.00621786, 0.0627507, 0.029443, 0.293326, 0.0436151, 0.109916, 0.0125466, 0.131539, 0.190374, 0.0884137, 0.166439, 0.110867, 0.153973, 0.096179, 0.0401247, 0.00835994, 0.0950159, 0.170182, 0.0407882, 0.0732939, 0.0652302, 0.0523701, 0.0703231, 0.0686722, 0.0110957, 0.0905113, 0.151498, 0.0521091, 0.0914509, 0.0518245, 0.0586047, 0.0727244, 0.391356, 0.345639, 0.571744, 0.70122, 0.720385, 0.617126, 0.778742, 0.918586, 1.26421, 0.532919, 0.413322, 0.783564, 0.65843, 0.771344, 0.612909, 0.763543, 0.701911, 0.926529, 0.519197, 0.700043, 0.721713, 0.629799, 0.872563, 0.676822, 0.856926, 0.779831, 0.946554, 0.0508673, 0.0230645, 0.176546, 0.128954, 0.254509, 0.166142, 0.313544, 0.332505, 0.170552, 0.510814, 0.551576, 0.555613, 0.523088, 0.610326, 0.647651, 0.914513, 0.857359, 0.778854, 0.316803, 0.250223, 0.547542, 0.501587, 0.52234, 0.515255, 0.808009, 0.661949, 0.514871, 0.143009, 0.0647772, 0.0933023, 0.00738531, 0.0933002, 0.071773, 0.111685, 0.0868683, 0.0753975, 0.00216897, 0.0346547, 0.0834909, 0.132212, 0.180941, 0.19735, 0.268324, 0.110638, 0.112707, 0.227642, 0.111017, 0.109323
-463.993,0.929851,0.00770525,9,511,0,528.765,-0.416204,-6.89957,-0.943278,0.774372,-0.144995,0.136896,-0.283786,0.948686,-0.681073,-2.06499,15.463,0.960229,-0.0595762,-1.0072,-0.858424,-0.0464619,-0.84865,0.133982,0.70269,1.00711,1.10607,-0.272899,-1.60881,-2.00722,0.744438,-1.30501,0.57722,0.280687,0.56961,0.836668,-0.220208,-1.01861,-1.40262,0.824947,-1.13735,0.190141,0.584772,0.885545,1.22857,1.30977,0.245043,2.19918,-0.247692,1.0495,-1.00207,-1.09178,0.0709232,-0.118318,0.565156,0.00580825,0.208641,0.217609,0.530754,1.9108,-0.430003,0.225955,0.0918538,1.23164,1.44126,0.608743,0.188452,1.70947,-0.475103,1.04766,0.0756902,0.0705029,-0.115077,0.718846,0.681515,0.421079,-0.0895656,1.1735,-1.35237,0.86705,-0.229007,-0.128599,-0.706714,-0.0852223,-0.0648649,-1.53911,1.29378,0.300417,0.0491715,2.89726,-1.96355,-0.971157,-0.6557,0.564131,-0.616792,1.26726,0.0614404,0.0528383,-1.58302,0.986375,1.36553,0.0818162,-1.16015,0.96946,-0.703572,-0.0061893,0.101314,0.170292,1.98623,0.943692,-0.0671933,1.35697,1.43383,-0.851493,0.687559,0.720792,-0.683533,0.694195,0.641357,-14.5859,11.9741,-2.24207,2.11683,-4.38819,14.6696,-10.5314,-31.9311,0.967058,-0.0599999,-1.01436,-0.864529,-0.0467923,-0.854685,0.134935,0.707687,0.630027,-0.155446,-0.916391,-1.14333,0.424039,-0.743346,0.32879,0.159882,0.740907,-0.195004,-0.902024,-1.24208,0.730527,-1.00717,0.168378,0.517842,0.0871338,0.0928928,0.0173792,0.155973,-0.0175671,0.0744342,-0.0710703,-0.0774327,-0.0267344,0.1277,0.0013124,0.0471435,0.0491698,0.119926,0.431754,-0.0971614,0.00695243,0.0932231,0.109089,0.0460759,0.014264,0.12939,-0.0359606,0.0792978,0.0611295,-0.0997772,0.623275,0.590908,0.365097,-0.0776579,1.01748,-1.17257,-0.0112606,-0.00632342,-0.0347502,-0.00419051,-0.0031895,-0.0756802,0.0636172,0.014772,0.153086,-0.103751,-0.0513143,-0.0346461,0.0298077,-0.0325902,0.06696,0.0032464,-0.160381,0.0999332,0.138347,0.00828909,-0.117539,0.0982195,-0.0712814,-0.00062706,-0.0634098,1.28056,1.3531,-0.803547,0.648844,0.680205,-0.645044,0.655106,0.605244,-27.8761,-0.416204
-463.614,0.864837,0.00770525,9,511,0,522.717,-0.237312,-7.18385,-0.699904,0.838443,-0.144968,0.142105,-0.288293,1.01108,-0.693588,-2.40715,14.3055,0.988623,-0.121382,-0.87534,-1.1079,0.0823157,-1.01847,0.114031,0.913284,0.956682,0.889402,-0.228046,-1.49708,-1.87413,0.319087,-1.19624,0.567756,0.612352,0.77743,1.13817,-0.256138,-1.29081,-1.49634,0.519967,-1.05464,-0.0678891,0.529327,0.816575,0.0533112,-0.0292514,-0.323795,1.39662,-0.7216,-0.180002,-0.396694,-0.819096,0.457759,0.134299,1.62361,-0.223806,1.09384,-0.975615,-0.587261,-1.56267,0.346266,0.110243,-0.130218,1.47304,1.01743,0.599988,-0.650439,0.642015,0.422854,-0.307274,0.0930744,0.0494201,0.031668,0.958998,0.963379,0.154508,0.123231,0.531493,-1.37704,0.593812,-0.339631,-0.160973,-0.468133,1.25741,-0.967528,-1.09803,-0.11646,1.05364,0.0964481,2.13034,-1.27759,0.123601,-0.391082,0.0823168,-1.72625,0.522541,-2.05351,0.0295494,-1.4255,0.741287,1.13914,-0.073607,-0.979827,0.646653,-0.679098,-0.18364,0.117441,0.174107,2.20671,1.07239,-0.247088,1.04235,1.1173,-0.944631,0.453931,0.438695,-0.767372,0.444319,0.394722,-10.0125,11.9944,-2.07384,2.03289,-4.12418,14.464,-9.92214,-34.4355,0.945797,-0.116124,-0.837422,-1.05991,0.0787499,-0.974349,0.109091,0.873722,0.691448,-0.17729,-1.16387,-1.457,0.248068,-0.929992,0.44139,0.476061,0.929401,-0.209156,-1.05404,-1.22187,0.424592,-0.86119,-0.0554365,0.432235,0.0244037,-0.0133901,-0.14822,0.639318,-0.330319,-0.0823978,-0.181591,-0.374949,0.0148055,0.178992,-0.0246731,0.120589,-0.107555,-0.0647417,-0.172274,0.0381735,-0.0121199,0.137103,0.0946965,0.0558435,-0.0605392,0.0597551,0.0393569,-0.0285993,0.0293463,0.0188049,0.569465,0.572066,0.0917488,0.0731763,0.315607,-0.817702,-0.0327568,-0.0155256,-0.0451505,0.121275,-0.0933162,-0.105903,-0.0112323,0.101622,0.0629502,-0.0377519,0.00365233,-0.0115562,0.00243241,-0.0510096,0.0154408,-0.06068,-0.167412,0.0870575,0.133782,-0.00864449,-0.115072,0.0759437,-0.079754,-0.0215668,-0.264976,1.11781,1.19819,-1.01302,0.486793,0.470454,-0.822925,0.476485,0.423298,-27.7127,-0.237312
-472.894,0.948312,0.00770525,9,511,0,515.566,-0.208003,-6.51099,-0.800295,0.866465,-0.137881,0.160608,-0.303396,1.03406,-0.655209,-2.36476,14.1219,0.77101,-0.0860811,-0.918724,-1.03547,0.100437,-1.145,0.276297,0.699316,0.939496,0.821785,-0.235979,-1.29272,-1.71639,0.548362,-1.30268,0.476055,0.648093,0.702573,1.19956,-0.335224,-1.32176,-1.59635,0.438092,-1.17326,-0.134397,0.61713,0.699957,0.951339,0.419902,0.0387125,0.565326,-0.553168,0.0600034,-0.04058,-0.564937,0.280237,-0.0939845,1.43855,-0.491992,0.678103,-1.18447,-0.653629,-1.44008,0.791311,0.055598,-0.256119,1.35663,0.721544,1.13459,-0.293838,0.772372,0.0812103,-0.129165,0.0554769,0.0224547,-0.00865943,0.960777,1.02975,-0.135497,0.20599,0.435932,-1.52612,0.603157,-0.257088,-0.00981778,0.0287047,1.59524,-0.051726,-1.41095,0.464963,1.65413,0.1581,1.76953,-1.04375,-0.43327,-0.652257,0.331439,-1.37586,0.219136,-2.31749,0.0236921,-1.33669,0.747336,0.937521,-0.0848083,-0.643378,0.786598,-0.548431,-0.0737917,0.125711,0.17326,2.1307,1.06404,-0.235553,1.01144,1.07335,-0.928497,0.432588,0.420508,-0.816726,0.408338,0.376366,-11.3017,12.2362,-1.94715,2.26809,-4.28454,14.603,-9.25283,-33.395,0.72436,-0.0808729,-0.863137,-0.972822,0.0943598,-1.07573,0.25958,0.657004,0.577364,-0.165793,-0.908228,-1.20589,0.385264,-0.915227,0.334463,0.455333,0.839641,-0.234642,-0.925178,-1.11738,0.306646,-0.821231,-0.0940719,0.431965,0.2666,0.117672,0.0108487,0.158425,-0.155018,0.0168152,-0.011372,-0.158316,-0.00522535,0.0799804,-0.0273538,0.0377012,-0.0658544,-0.0363405,-0.0800658,0.0439953,-0.0142087,0.0752615,0.040029,0.0629435,-0.0163012,0.0428488,0.0045053,-0.00716564,0.0135437,-0.00522299,0.579499,0.6211,-0.0817258,0.124244,0.262936,-0.920491,-0.0406456,-0.00155219,0.00453821,0.252207,-0.00817787,-0.223072,0.0735105,0.261517,0.0419239,-0.0247286,-0.0102651,-0.0154534,0.00785251,-0.0325972,0.00519181,-0.0549064,-0.168036,0.0939482,0.117857,-0.0106613,-0.0808796,0.0988839,-0.0689437,-0.00927642,-0.250639,1.07621,1.14209,-0.987961,0.460292,0.447439,-0.869032,0.43449,0.40047,-27.3362,-0.208003
-485.891,0.834363,0.00770525,9,511,0,539.835,-0.0508325,-8.43351,-0.288635,1.0128,-0.164058,0.191417,-0.323061,1.22091,-0.676186,-2.84045,13.1719,0.79306,-0.0949345,-0.827739,-1.313,0.532329,-1.24193,0.397465,0.490656,0.856854,1.2359,-0.221015,-1.80016,-1.7833,0.375759,-1.06835,0.614801,0.731811,0.642967,1.04555,-0.272434,-1.17252,-1.60245,0.644347,-1.00132,0.648667,0.64109,0.826538,-0.29585,1.4979,1.54296,1.46351,-0.914551,-0.239261,-1.86357,-2.32827,0.0871499,-0.404825,1.10377,0.0677004,0.870069,-0.27982,1.75356,1.91826,-0.0964203,0.154882,1.30839,0.439628,0.189658,1.12879,-1.11603,0.605404,-0.333471,0.596956,0.114508,0.169392,-0.114903,0.468138,0.410211,0.866189,0.256155,1.49035,-0.597576,0.739819,0.787263,0.265588,-0.908896,0.976832,1.6497,1.11949,2.21607,-0.202956,0.00268906,0.353276,-1.28618,-1.48867,2.12587,0.708851,-0.718889,1.48442,-0.875161,0.0454779,-1.51816,0.640672,0.986623,0.192721,-1.25033,0.984734,-1.01399,0.128134,0.11374,0.164022,1.88452,0.610196,-0.721447,1.46454,1.64689,-1.88841,0.451297,0.483421,-1.65654,0.462864,0.389667,-3.80187,13.3405,-2.16095,2.52133,-4.25532,16.0817,-8.90666,-37.4142,0.679537,-0.081345,-0.709252,-1.12505,0.456128,-1.06415,0.34057,0.420421,0.794644,-0.142105,-1.15744,-1.1466,0.241601,-0.686917,0.395296,0.47053,0.864184,-0.225177,-0.969134,-1.32448,0.532578,-0.827625,0.536148,0.529886,-0.0257833,0.130542,0.134468,0.127545,-0.0797031,-0.0208515,-0.16241,-0.202909,-0.0627003,0.170955,0.0104856,0.134758,-0.0433392,0.271595,0.297104,-0.0149338,0.149821,0.0503411,0.0217174,0.129256,-0.127794,0.0693239,-0.0381852,0.0683565,0.12532,-0.0850077,0.346338,0.303482,0.640823,0.189508,1.10259,-0.442098,0.002117,0.000714182,-0.00244408,0.00262677,0.00443615,0.00301038,0.00595914,-0.000545762,0.0160662,-0.0584926,-0.0677015,0.0966801,0.032237,-0.0326935,0.0675082,-0.0398004,-0.172676,0.0728702,0.112219,0.0219201,-0.142213,0.112004,-0.115331,0.014574,-0.440224,0.893656,1.00493,-1.1523,0.27538,0.294982,-1.01081,0.282438,0.237773,-27.7704,-0.0508325
-481.799,0.997861,0.00770525,9,511,0,548.477,-0.276841,-6.57578,-1.01498,1.0718,-0.16837,0.198103,-0.369921,1.36575,-0.829111,-2.76389,11.2504,1.13002,-0.129264,-0.767359,-1.38151,0.479789,-1.6127,0.580178,0.73409,0.696898,0.488949,-0.12025,-0.812375,-1.34639,0.578265,-0.765136,0.680088,0.277588,1.02832,0.809852,-0.0846362,-0.901979,-1.10864,0.503236,-0.925866,0.203224,0.349809,1.13062,1.03358,0.556854,1.16874,1.01919,1.4455,-0.455638,3.12714,-1.17151,0.143671,-1.00277,1.0264,0.400808,0.632485,0.589896,0.902657,0.0195437,0.988884,0.179707,-0.935463,1.6007,1.13415,0.679601,1.08781,1.59232,0.725458,0.564804,0.120815,-0.133267,0.157691,1.69731,1.33783,-0.351143,0.0595573,1.20778,-1.64686,0.422151,0.645559,1.31031,-0.756577,2.61604,0.249589,-0.281008,-1.09837,-1.17527,0.026584,0.0452017,-0.833446,0.07714,-1.37024,0.776406,1.70094,-1.18069,-1.45169,0.0511191,-1.46575,0.842713,1.0061,-0.0203765,-0.827254,0.766669,-0.254693,0.473492,0.108506,0.169426,2.11193,0.701777,-0.346692,1.60902,1.7275,-1.38402,0.728383,0.806502,-1.14536,0.742152,0.655478,-11.4189,12.0582,-1.89423,2.22875,-4.16177,15.3653,-9.32786,-31.095,0.787509,-0.0900835,-0.534771,-0.96277,0.334364,-1.12389,0.404325,0.511586,0.502795,-0.123656,-0.83538,-1.38451,0.59464,-0.786803,0.699347,0.285449,0.915636,-0.0956915,-1.0198,-1.25346,0.568969,-1.0468,0.229769,0.395502,0.148495,0.0800038,0.167914,0.146428,0.207676,-0.065462,0.44928,-0.168312,-0.180205,0.184452,0.0720279,0.113662,0.106008,0.162214,0.00351213,0.177709,-0.113018,0.193388,0.137022,0.082106,0.131424,0.192376,0.0876462,0.0682368,-0.0562588,0.0665691,0.716521,0.564766,-0.148235,0.0251421,0.509865,-0.695222,0.0171616,0.0348333,-0.0201129,0.0695447,0.00663507,-0.00747031,-0.0291992,-0.0312433,0.00231067,-0.042605,0.00394333,-0.0700454,0.0396892,0.0869505,-0.0603558,-0.0742091,-0.159042,0.091439,0.109168,-0.00221097,-0.0897616,0.0831878,-0.0276356,0.0513765,-0.243301,1.12918,1.21232,-0.971276,0.511162,0.565985,-0.803786,0.520826,0.46,-26.5554,-0.276841
-475.24,0.930112,0.00770525,9,511,0,536.692,-0.0443852,-7.7063,-1.13383,1.17506,-0.188687,0.232588,-0.418708,1.3629,-0.959828,-3.04327,11.8238,1.01263,-0.136781,-0.869743,-1.45071,0.33205,-1.24642,-0.110233,0.876357,0.802345,0.811889,-0.14275,-1.28482,-1.38982,0.495988,-0.919488,0.454933,0.644715,0.924287,0.82068,-0.199202,-0.838129,-1.26431,0.675,-0.904687,0.45869,0.456558,0.982679,-0.480497,0.724968,-0.0944273,2.05888,-2.04698,1.37119,-2.38042,0.141537,0.0858041,-0.554007,0.67525,0.378676,0.345837,-0.0818447,0.269021,1.42967,-0.159494,0.211063,0.468337,2.16477,1.77293,-0.621256,-0.618116,-0.688669,-0.421336,-0.128567,0.0221973,0.0545341,-0.0370775,1.67381,1.21168,1.7927,0.900017,2.36297,-1.61808,0.297496,0.835077,-0.88883,-0.354916,-1.71083,-0.816813,1.42449,1.71299,1.73078,0.00466835,0.130116,-0.608601,-0.0593348,-0.590961,-0.0740587,0.764475,0.820381,0.695397,0.157458,-1.33866,0.777716,0.878518,0.205869,-0.813462,0.546918,-0.698441,0.177576,0.126833,0.176202,2.15753,0.942508,-0.517036,0.978029,1.03598,-1.2742,0.307552,0.323612,-1.09496,0.299465,0.29486,-13.4062,13.8936,-2.23099,2.75007,-4.95071,16.1146,-11.3488,-35.983,0.812479,-0.109746,-0.697835,-1.16397,0.266419,-1.00006,-0.0884446,0.703141,0.750418,-0.131942,-1.18754,-1.28459,0.458435,-0.84987,0.420489,0.595901,0.806465,-0.195751,-0.823612,-1.24241,0.663308,-0.889017,0.450745,0.44865,-0.0412286,0.0622053,-0.00810225,0.17666,-0.175639,0.117653,-0.204249,0.0121444,-0.11693,0.14252,0.0799245,0.0729933,-0.0172744,0.0567804,0.30175,-0.0336632,0.0103958,0.0480521,0.0393543,-0.0137902,-0.0137205,-0.0152866,-0.0093525,-0.00285385,0.0162237,-0.0110304,0.497951,0.360471,0.53332,0.267751,0.702973,-0.481373,0.00389843,-0.00414937,-0.00165687,-0.00798675,-0.00381317,0.00665001,0.00799687,0.00807988,0.0204878,-0.0958292,-0.00934275,-0.0930516,-0.0116611,0.120373,0.129176,0.109496,-0.169787,0.0986401,0.111425,0.0261109,-0.103174,0.0693673,-0.0885854,0.0225226,-0.48731,0.921801,0.976422,-1.20095,0.28987,0.305007,-1.03201,0.282248,0.277908,-27.1863,-0.0443852
