# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd4d46294c_model
# start_datetime = 2023-06-16 19:15:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd3839a509.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_51b134b60d51aa5bd706d492e3e27d52-202306161615-1-2c1c41.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_51b134b60d51aa5bd706d492e3e27d52-profile-202306161615-1-559899.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0138615
# Diagonal elements of inverse mass matrix:
# 0.130916, 3.08791, 0.586477, 0.0561541, 0.0144985, 0.0107854, 0.0420272, 0.190914, 0.0672215, 0.388261, 0.104646, 0.188092, 0.0891189, 0.271756, 0.190356, 0.398148, 0.260607, 0.437778, 0.533779, 0.246822, 0.0504954, 0.00819149, 0.115838, 0.219379, 0.134959, 0.101144, 0.163996, 0.17173, 0.0957374, 0.0689385, 0.00842581, 0.0916692, 0.178305, 0.129564, 0.0960594, 0.139859, 0.160587, 0.0808796, 0.349293, 0.126609, 0.413504, 0.410458, 0.609931, 0.56373, 0.66882, 0.793342, 0.657082, 0.482223, 0.452859, 0.813457, 0.615019, 0.924019, 0.719917, 0.904701, 0.908099, 0.791523, 0.621444, 0.512531, 0.829977, 0.901811, 0.968259, 0.83456, 1.00444, 0.972802, 0.828104, 0.248081, 0.162963, 0.565952, 0.491289, 0.589429, 0.666891, 0.811607, 0.756686, 1.70026, 0.635313, 0.579958, 0.786799, 0.767824, 0.956481, 0.968373, 0.944166, 0.863608, 1.08604, 0.580262, 0.466073, 0.787204, 0.829593, 0.887383, 0.909887, 1.16645, 0.965343, 0.754814, 0.107086, 0.083014, 0.171237, 0.0318018, 0.196197, 0.113023, 0.235775, 0.169317, 0.0919759, 0.0147893, 0.00213851, 0.0442242, 0.0778032, 0.147025, 0.209526, 0.22436, 0.264164, 0.138713, 0.141052, 0.235704, 0.137707, 0.135085
-262.874,0.992733,0.0138615,8,255,0,325.313,-0.273523,-1.71876,-0.744495,0.592017,-0.319394,-0.106751,0.172097,1.89371,-0.104673,-2.66822,5.74353,0.857027,-0.168676,-0.875325,-1.09864,-0.590024,-0.473347,0.242691,0.61325,1.21783,0.38145,-0.175436,-0.867492,-1.38325,0.893318,-0.682938,0.565455,0.616434,1.04326,0.819746,-0.326646,-0.961294,-1.74757,0.908553,-0.709611,0.39173,1.05011,0.908379,-0.134861,-0.048945,-0.100472,0.937032,-0.15768,-0.134503,1.62921,-2.17592,0.690923,-2.95674,0.297181,1.49477,1.37366,-1.35349,0.696859,-0.3428,1.09486,0.0608344,-2.30839,-0.509554,1.8588,-0.404163,-0.41474,0.751823,-0.275337,-1.09369,0.0578563,0.600633,0.468098,1.37901,1.05002,0.217571,-0.531667,0.953429,-0.336592,0.526741,-1.03905,-2.4432,0.377186,0.347804,-0.297889,0.0306232,0.592788,1.88453,0.0398588,0.543951,-0.535709,-1.54411,0.0230629,2.38283,-0.075059,0.333278,0.253623,0.143746,-0.663743,0.423682,0.934823,0.0896761,-0.878192,0.186746,-0.65992,-0.0662963,0.143765,0.677011,0.119549,1.47897,0.875824,-0.296205,1.31042,1.3968,-1.15117,0.59224,0.652684,-1.02349,0.622544,0.590781,-4.27603,3.40027,-1.83444,-0.613126,0.988446,10.8765,-0.601192,-15.325,1.04371,-0.205419,-1.06599,-1.33795,-0.718547,-0.576454,0.295556,0.746832,0.39795,-0.183024,-0.905016,-1.44308,0.931959,-0.712479,0.589914,0.643098,0.74464,-0.296718,-0.873219,-1.58745,0.82531,-0.644596,0.355839,0.953898,-0.0931782,-0.0338172,-0.0694182,0.647417,-0.108945,-0.0929312,1.12566,-1.50339,-0.179872,0.0180788,0.0909336,0.0835658,-0.082339,0.042393,-0.020854,0.0666054,-0.133555,-0.0294809,0.107543,-0.0233834,-0.0239953,0.0434977,-0.01593,-0.0632769,0.316378,0.246566,0.72638,0.553087,0.114603,-0.28005,0.50221,-0.177297,-0.0414153,-0.0973832,0.0150342,0.0138631,-0.0118735,0.0012206,0.0236278,0.0751153,0.0781906,-0.0770058,-0.22196,0.00331519,0.342521,-0.0107894,0.0479073,0.0364572,-0.0954232,0.0609108,0.134395,0.0128923,-0.126254,0.0268477,-0.0948737,-0.0095311,-0.259423,1.1477,1.22335,-1.00822,0.518698,0.571636,-0.896396,0.545239,0.51742,-24.7494,-0.273523
-263.689,0.998343,0.0138615,8,255,0,321.77,-0.319072,-3.21043,-0.427364,0.740934,-0.254852,0.0383151,-0.0334886,1.48529,-0.135236,-2.82066,7.6359,1.62533,-0.0781271,-1.21542,-1.11657,-0.249855,-1.79213,0.785095,1.02763,0.62532,0.528219,-0.194857,-0.907865,-1.47836,0.69558,-0.303205,0.513653,1.27038,1.13296,0.571296,-0.185037,-0.843869,-1.5066,1.10445,-0.606295,0.691419,0.807323,1.11342,-0.995188,-0.578993,0.0440822,0.882177,-2.09458,0.649823,0.513055,0.87407,0.138216,-1.08261,0.926716,-0.752786,1.16782,-0.111157,-0.471755,0.0855063,0.558212,0.0190273,-0.295899,0.476722,1.08138,0.134685,2.03454,-0.2447,-0.517146,2.70987,0.157386,0.783289,-0.000760722,0.855477,1.61919,0.44514,-0.109931,-1.1458,0.957982,0.0458294,-0.589887,-0.475503,1.92588,-0.774743,-0.977098,0.458765,-1.44941,1.59849,0.0532078,-0.417064,-2.31106,-0.521061,-1.19208,-0.695781,0.715295,0.387372,-1.32291,0.0470776,-0.593816,0.362083,0.59548,-0.0046821,-0.813385,0.324772,-0.318857,0.433205,0.181406,0.654859,0.114778,1.38151,1.00041,-0.212659,1.198,1.2465,-0.995157,0.600422,0.591296,-0.830806,0.531625,0.544031,-3.26331,5.6577,-1.94602,0.29257,-0.255716,11.3415,-1.03265,-21.5383,1.01635,-0.0488544,-0.760026,-0.698211,-0.156239,-1.12065,0.490936,0.642598,0.598452,-0.220766,-1.02858,-1.67493,0.788066,-0.34352,0.581949,1.43929,0.636094,-0.206025,-0.939584,-1.67748,1.22972,-0.675064,0.769842,0.898892,-0.137551,-0.0800259,0.00609285,0.121931,-0.289503,0.0898156,0.0709123,0.12081,-0.020599,0.0176329,-0.0143235,0.0222204,-0.00211502,-0.0089762,0.00162695,0.0106212,-0.0465703,0.0750292,0.170194,0.0211975,0.320208,-0.0385124,-0.0813915,0.426495,0.0358977,-3.48635e-05,0.039206,0.0742065,0.0204005,-0.0050381,-0.0525112,0.0439038,-0.0313866,-0.0253005,0.102472,-0.0412224,-0.0519892,0.0244099,-0.0771202,0.0850521,-0.0196344,-0.108799,-0.0245303,-0.0561202,-0.0327557,0.0336744,0.0182365,-0.0622793,-0.107722,0.0656841,0.108024,-0.000849364,-0.147553,0.0589157,-0.0578427,0.0785861,-0.212747,1.19849,1.24701,-0.995564,0.600668,0.591538,-0.831146,0.531842,0.544254,-25.5066,-0.319072
-255.245,0.86474,0.0138615,8,255,0,316.357,-0.566536,-0.878547,-1.38472,0.546448,-0.163488,0.0342491,0.0317226,1.09162,-0.453881,-2.06933,9.41269,0.963517,-0.00666719,-0.122545,-1.09791,-0.261621,-0.832782,-0.341082,0.957834,0.659645,0.614876,-0.222244,-1.01513,-1.35744,0.654663,-1.05093,0.650001,0.856947,0.879415,0.703452,-0.174673,-0.660096,-0.853815,0.417862,-0.648974,0.288525,0.888751,1.28549,-0.911253,-0.0626655,-0.221569,2.06646,1.17119,-0.37393,0.917915,-1.35656,0.206672,2.0372,1.63591,0.840579,0.811869,-0.918988,-0.431552,-0.0595157,0.72299,0.067687,-0.49938,0.849744,-0.166315,0.236326,-1.13236,0.510079,0.069271,-1.07061,0.0757755,0.376818,0.06543,0.255234,0.0972699,-0.147764,0.0593493,2.44759,-1.1157,0.506945,-0.103622,-0.822795,0.0338723,1.35147,0.83287,1.24787,0.431016,-0.865488,0.0939505,0.269096,-0.430394,1.58347,0.288755,-0.932625,-0.498929,0.372806,0.387694,0.103958,-0.773726,0.74459,0.721965,0.0599809,-0.905982,0.400812,-0.593807,0.0810362,0.127661,0.667829,0.116548,1.44967,1.06265,-0.0826177,1.3609,1.43911,-0.733763,0.834156,0.822083,-0.614322,0.829925,0.735096,-13.0339,5.14354,-1.53886,0.322377,0.298595,10.275,-4.27224,-19.478,0.635579,-0.00439798,-0.0808365,-0.724231,-0.172577,-0.549341,-0.224993,0.631831,0.540731,-0.195445,-0.892717,-1.19375,0.575721,-0.9242,0.571621,0.753613,0.904281,-0.224541,-0.848546,-1.09757,0.537157,-0.834249,0.370896,1.14248,-0.188331,-0.0129512,-0.0457921,0.427081,0.242053,-0.0772808,0.189708,-0.280363,0.137892,0.11073,0.0568963,0.054953,-0.0622036,-0.0292105,-0.00402844,0.048937,-0.0378407,0.0643898,-0.0126026,0.0179078,-0.0858049,0.0386515,0.00524904,-0.0811262,0.191026,0.0331694,0.12939,0.0493105,-0.0749081,0.0300868,1.24079,-0.5656,-0.00973538,-0.0773021,0.00318232,0.126972,0.0782486,0.117238,0.0404942,-0.0813131,0.0279747,-0.044743,0.164615,0.0300184,-0.096954,-0.0518678,0.0387562,0.040304,-0.0987747,0.0950551,0.0921669,0.00765723,-0.115659,0.0511681,-0.075806,0.0103452,-0.0877936,1.44616,1.52927,-0.779733,0.886415,0.873586,-0.652809,0.881919,0.78115,-26.1911,-0.566536
-255.741,0.953761,0.0138615,8,255,0,306.843,-0.368923,-1.74157,-1.63384,0.40588,-0.180034,0.00302735,-0.0716601,1.00165,-0.376493,-1.40149,9.27004,0.847675,0.0658921,-0.481619,-1.3303,0.437586,-0.801536,1.05492,0.687507,0.720615,0.895655,-0.160853,-1.00874,-2.00097,0.925673,-0.486733,0.464698,0.814686,0.797942,0.755872,-0.167703,-0.745221,-1.71968,0.62727,-0.549734,0.395532,0.708018,1.00288,-1.38868,-0.112479,-0.819065,2.43874,-0.0252691,-0.864199,0.991218,-0.480799,0.317542,1.01702,1.5526,0.763731,0.255712,-0.185257,-1.08818,-1.07056,-0.636857,0.0315487,-0.997353,0.347225,0.34278,0.603399,-0.430515,0.0253866,0.414199,-1.00325,0.0980436,0.0280246,-0.176237,0.450627,0.231559,0.808561,-1.34742,1.54345,-0.629573,1.21389,-0.428386,0.460559,0.284632,0.629183,0.34361,-0.552886,1.11436,-0.727826,0.105521,1.39094,-0.595001,1.09883,-1.65724,0.683221,-0.424189,0.947844,-0.0622439,0.100311,-0.688517,0.67338,0.896551,-0.0181916,-0.783776,0.40908,-0.663038,0.592654,0.13865,0.672171,0.117879,1.45454,1.08864,-0.0969879,1.15002,1.1613,-0.889159,0.586675,0.630209,-0.732167,0.536394,0.602452,-15.1458,3.76252,-1.66892,0.0280637,-0.664293,9.28537,-3.49011,-12.9918,0.610848,0.0474829,-0.347062,-0.958638,0.315331,-0.577599,0.760189,0.495428,0.714681,-0.128351,-0.804915,-1.59666,0.738633,-0.388385,0.370802,0.650072,0.758049,-0.168186,-0.747367,-1.72463,0.629076,-0.551317,0.396671,0.710057,-0.440965,-0.0357168,-0.260088,0.774404,-0.00802401,-0.27442,0.314754,-0.152674,0.0320858,0.0489826,0.0240947,0.00806737,-0.00584463,-0.0343306,-0.0337749,-0.020092,-0.0977841,0.0340432,0.0336074,0.0591594,-0.0422092,0.00248899,0.0406095,-0.0983619,0.0340188,-0.213933,0.547013,0.281088,0.981508,-1.63563,1.87358,-0.764235,-0.0452038,0.0485987,0.0300347,0.0663921,0.0362581,-0.0583412,0.117588,-0.076801,0.139526,-0.0596852,0.110225,-0.166239,0.0685346,-0.0425508,0.0950792,-0.00624375,-0.0954627,0.093364,0.124307,-0.00252226,-0.10867,0.0567188,-0.09193,0.0821713,-0.105585,1.25196,1.26424,-0.967973,0.638677,0.68607,-0.797065,0.583939,0.655853,-26.1811,-0.368923
-254.125,0.93543,0.0138615,8,511,0,307.322,-0.318803,-1.13823,-0.922786,0.611472,-0.179471,-0.00598576,0.0738863,1.47505,-0.230287,-2.41468,7.58427,0.770169,0.120494,-0.943187,-1.12229,-0.0363682,-0.659736,0.611035,1.17741,0.838218,0.500219,0.00702305,-0.558098,-1.29725,0.63183,-0.884758,0.846571,1.13382,1.00519,0.300165,-0.0540801,-0.412562,-0.81648,0.424649,-0.436489,0.358521,0.56444,1.90353,-0.473982,0.736298,-0.701004,1.38093,-0.439429,0.880216,0.397833,-0.286013,0.217762,-0.614545,0.725822,-1.64733,-0.0156253,-0.0992889,0.160689,0.774714,1.10504,0.201273,-0.106083,1.95105,0.52761,-0.418541,0.469603,1.23579,0.11412,0.459915,0.0779914,0.871132,0.82535,0.70818,0.634158,-1.76705,0.650009,1.05889,0.724499,0.139565,-0.589822,-0.444739,-1.31502,-0.809063,-0.660785,-0.69354,-0.399766,-0.288288,0.00246261,-0.541406,-0.95859,-1.48641,-0.675714,-0.0900039,0.356613,-0.821832,0.483547,0.0639809,-0.413864,0.325681,0.548145,0.0101573,-0.344188,0.168014,-0.775721,0.113808,0.219518,0.62687,0.124576,1.5266,0.706715,-0.249546,1.69306,1.80049,-1.44848,0.814824,0.856357,-1.23143,0.833082,0.702819,-6.99866,4.63757,-1.36115,-0.0453976,0.560374,11.1872,-1.74656,-18.3136,0.645569,0.101,-0.790596,-0.940725,-0.0304845,-0.553002,0.51218,0.986929,0.502818,0.00705953,-0.560997,-1.30399,0.635112,-0.889354,0.850968,1.13971,0.571372,-0.102943,-0.785323,-1.55419,0.80833,-0.830869,0.682455,1.07443,-0.103215,0.160338,-0.152652,0.300715,-0.095691,0.191678,0.086633,-0.0622828,-0.123692,0.146089,-0.331563,-0.00314495,-0.0199842,0.0323423,0.155929,0.222416,-0.00827353,0.152165,0.041149,-0.0326426,0.036625,0.0963813,0.00890036,0.0358694,0.12158,0.11519,0.0988374,0.0885065,-0.246619,0.0907188,0.147784,0.101115,-0.0014525,-0.00109522,-0.00323839,-0.00199241,-0.00162726,-0.00170792,-0.000984468,-0.000709943,-0.0346397,-0.0613315,-0.0951019,-0.0432328,-0.00575853,0.0228165,-0.0525816,0.0309378,-0.0908507,0.0714929,0.120328,0.00222972,-0.0755556,0.0368822,-0.170285,0.0249828,-0.176358,1.19651,1.27244,-1.02367,0.575849,0.605201,-0.870273,0.588752,0.496693,-25.5883,-0.318803
-252.064,0.919639,0.0138615,8,511,0,306.96,-0.530806,-2.0123,-1.94301,0.498093,-0.299217,-0.00434911,0.158208,1.655,-0.489169,-1.82947,5.43377,1.55148,0.426964,-1.3974,-1.2548,-0.59197,-0.86204,1.11952,1.34735,0.41117,0.941375,-0.048115,-0.800241,-1.78012,1.04217,-0.56704,0.326522,0.963812,0.772361,0.644222,-0.140092,-0.54985,-1.25477,0.529332,-0.501098,0.31645,0.728013,1.16107,-0.580226,-0.18896,0.529842,0.733282,-0.369066,-1.01487,0.427895,-1.32638,0.508853,0.238933,0.8376,0.665959,0.952296,-0.565047,0.839673,-0.62476,-0.668196,0.145363,-0.165459,0.319244,0.685387,0.41454,-0.35921,-0.771615,0.0401678,0.212645,0.462799,-0.14798,0.139729,0.849739,0.672869,0.567212,-0.436544,0.119056,-2.17558,1.02428,1.23076,1.50602,-0.480233,0.00441645,-0.529053,0.0626226,-0.0956874,0.601236,0.0139934,1.04255,0.932285,2.31329,0.668005,0.45687,-0.462022,0.825806,1.27224,0.00638877,-0.853836,0.8648,1.1236,-0.0285186,-1.03866,0.29687,-0.68794,0.0641267,0.091349,0.689906,0.120295,1.50098,1.85747,-0.0192,0.783956,0.786815,-0.381853,0.426405,0.454353,-0.454519,0.421666,0.414604,-10.5579,2.70652,-1.62588,-0.0236321,0.859665,8.99288,-2.65803,-9.9409,0.637921,0.175555,-0.574568,-0.515936,-0.243401,-0.354445,0.460313,0.55399,0.727081,-0.0371621,-0.618075,-1.37489,0.804933,-0.437959,0.252193,0.744411,0.747989,-0.162657,-0.638416,-1.45688,0.614593,-0.581812,0.367422,0.845276,-0.29525,-0.0961528,0.269611,0.373133,-0.1878,-0.516419,0.217735,-0.67493,0.0347319,0.121756,0.0968056,0.138428,-0.0821368,0.122057,-0.0908167,-0.0971308,-0.0765743,0.147746,0.317196,0.191848,-0.166242,-0.357102,0.0185896,0.0984118,-0.151572,0.143122,0.870369,0.689206,0.580983,-0.447143,0.121947,-2.2284,0.0172224,0.0210742,-0.00672007,6.1801e-05,-0.00740323,0.000876301,-0.00133899,0.00841332,0.00666063,0.00595616,0.0147791,0.00426773,0.00291884,-0.00295175,0.00527589,0.00812809,-0.0779971,0.0789987,0.102639,-0.00260515,-0.0948803,0.0271188,-0.0628427,0.00585791,-0.0356634,1.45617,1.46148,-0.709279,0.792035,0.843947,-0.844256,0.783232,0.770115,-24.8286,-0.530806
