# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd4d46294c_model
# start_datetime = 2023-06-16 19:15:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd3839a509.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_51b134b60d51aa5bd706d492e3e27d52-202306161615-3-2c1c41.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_51b134b60d51aa5bd706d492e3e27d52-profile-202306161615-3-559899.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0182096
# Diagonal elements of inverse mass matrix:
# 0.095089, 3.02457, 0.643404, 0.0414749, 0.00816898, 0.00787067, 0.0203501, 0.128425, 0.0750876, 0.333304, 0.0615077, 0.152924, 0.0250768, 0.207948, 0.18578, 0.370707, 0.251563, 0.354419, 0.486806, 0.159013, 0.0515124, 0.00629663, 0.0993023, 0.219563, 0.12718, 0.0805238, 0.148225, 0.144441, 0.0955234, 0.0550612, 0.00680539, 0.0749396, 0.148567, 0.13429, 0.077773, 0.169466, 0.17063, 0.0754846, 0.277988, 0.108855, 0.398347, 0.348802, 0.674385, 0.45236, 0.658364, 0.801187, 0.862791, 0.531098, 0.46613, 0.798797, 0.758743, 0.858717, 0.829109, 0.858724, 0.802967, 0.756289, 0.658006, 0.535088, 0.683583, 0.775006, 0.921293, 0.90415, 0.867939, 0.964208, 1.05615, 0.358815, 0.233362, 0.531753, 0.483606, 0.710356, 0.592976, 0.912833, 0.854595, 1.45224, 0.693205, 0.613424, 0.972715, 0.835254, 0.933989, 0.936685, 1.02951, 0.741863, 1.50464, 0.596558, 0.513876, 0.725491, 0.699375, 0.85788, 0.780335, 0.852698, 0.718467, 0.930006, 0.102026, 0.0942251, 0.16543, 0.0288168, 0.215869, 0.125714, 0.27909, 0.20317, 0.0885776, 0.011324, 0.00219221, 0.043398, 0.0676412, 0.103607, 0.15397, 0.170134, 0.207575, 0.0961452, 0.0993876, 0.176111, 0.0971231, 0.0965942
-259.936,0.902461,0.0182096,8,255,0,313.812,-0.31719,-1.13207,-1.47379,0.526836,-0.271261,-0.0318646,0.157171,1.53007,-0.276869,-1.89324,7.13632,0.634014,-0.0607186,-0.547701,-1.26566,-0.179309,-0.459966,-0.0786609,1.28,0.929676,0.420823,-0.2151,-0.851252,-1.51948,1.1373,-0.376649,0.869722,0.682503,1.172,1.11167,-0.397851,-1.26367,-2.25838,1.52433,-1.33038,0.992863,0.299017,0.644442,-0.497984,-0.518663,-0.941978,0.626164,-0.433601,0.165961,-1.10159,-1.23305,0.247265,-0.108731,1.45832,1.15381,0.0302996,0.517939,-1.76219,0.608807,0.192064,0.021987,-0.0349345,1.17301,-0.380906,1.42615,-2.03637,0.70706,-0.376597,0.0648206,0.0289822,0.579325,0.411102,1.19386,-0.135977,-1.29711,0.246139,0.4287,-0.515149,0.320903,-1.25225,-0.638432,0.0345993,0.705524,-0.672153,0.0152417,-0.111638,-1.24496,0.0647521,-0.281076,-0.293574,0.464502,-0.476485,0.42934,0.237002,1.08719,0.0139431,0.437291,-1.0807,0.912716,1.57001,-0.126233,-1.74438,1.33265,-0.589199,-0.344419,0.0803353,0.642763,0.127636,1.50988,1.59992,-0.142606,0.729204,0.805371,-0.686366,0.371478,0.389489,-0.57056,0.352726,0.333663,-10.5174,3.75967,-1.93581,-0.227396,1.12162,10.9191,-1.97583,-13.5108,0.589428,-0.0564486,-0.509184,-1.17665,-0.166699,-0.427619,-0.0731291,1.18999,0.493206,-0.252098,-0.99767,-1.78083,1.33292,-0.441434,1.01932,0.799895,0.716406,-0.256392,-0.81436,-1.45539,0.982342,-0.857354,0.639843,0.192699,-0.123134,-0.128247,-0.232919,0.154829,-0.107215,0.0410365,-0.272386,-0.304891,-0.00239067,0.0320641,0.0253688,0.000666198,0.0113879,-0.0387454,0.0133859,0.00422291,-0.00101248,0.0339964,-0.0110395,0.041333,-0.0590185,0.0204922,-0.0109146,0.00187865,0.185907,0.131924,0.383113,-0.0436355,-0.416247,0.0789868,0.137571,-0.165313,-0.0810855,-0.0413398,0.00224038,0.0456842,-0.0435233,0.000986929,-0.00722877,-0.0806138,-0.122912,-0.128377,0.203123,-0.208362,0.187746,0.103639,0.475417,0.00609721,-0.0868183,0.0733233,0.126127,-0.0101409,-0.140135,0.107059,-0.0473335,-0.027669,-0.228159,1.16667,1.28853,-1.09813,0.594336,0.623153,-0.912851,0.564334,0.533834,-25.3849,-0.31719
-250.748,0.852966,0.0182096,8,255,0,318.171,0.193662,-0.965504,-0.492663,0.623984,-0.178013,0.0367536,0.010203,1.3701,-0.0224563,-2.33496,9.06815,1.13,-0.179911,-1.02332,-1.28284,-0.240499,-1.10273,0.43612,1.51605,0.899344,0.823459,-0.322895,-1.09122,-1.76124,1.28247,-0.574717,0.719948,1.28567,0.923461,1.07435,-0.382452,-0.977515,-1.72274,1.09723,-0.800555,0.444301,0.533903,0.807561,-0.94533,-0.351055,-0.0432304,1.00231,-0.0401919,-0.518983,0.937084,-1.84746,0.378277,0.827085,-0.402456,-0.552802,0.0224599,-0.29461,0.671497,0.563258,0.415627,0.0253482,-0.705573,-0.196947,1.06092,-0.737759,1.12743,-0.774169,0.467022,0.605918,0.107806,0.263092,-1.97177,-0.467371,0.436863,1.62074,-1.01634,-0.776811,0.214329,0.0785828,0.725994,-0.631939,-0.516986,0.613971,0.240874,0.325422,0.918,1.18645,0.144932,0.793385,-1.1277,-0.952731,-0.986714,-0.621798,0.431983,-0.426672,0.061632,0.210949,-1.62272,0.988816,1.56441,0.689133,-1.85239,-0.111755,-0.817447,1.1673,0.0681359,0.657678,0.116686,1.38918,0.806411,-0.959881,0.839483,0.952823,-1.89787,0.0958392,0.0602632,-1.84002,0.074389,0.0856049,-4.46755,5.65839,-1.61425,0.333287,0.0925222,12.4243,-0.203637,-21.1738,1.01626,-0.161802,-0.920317,-1.15371,-0.216291,-0.991736,0.392222,1.36345,0.760432,-0.298181,-1.0077,-1.62643,1.18431,-0.530729,0.664844,1.18727,0.867603,-0.308854,-0.789403,-1.39121,0.886083,-0.646497,0.3588,0.431159,-0.357597,-0.132796,-0.0163531,0.379151,-0.0152037,-0.196319,0.354477,-0.69885,0.0209651,-0.0102015,-0.0140125,0.000569318,-0.00746782,0.0170212,0.0142776,0.0105354,-0.0760652,-0.0212321,0.114374,-0.0795351,0.121544,-0.0834603,0.0503479,0.0653218,0.0206745,-0.154947,-0.0367273,0.0343299,0.127363,-0.079867,-0.0610439,0.0168425,0.10522,-0.0915884,-0.0749279,0.0889842,0.0349104,0.0471641,0.133048,0.171955,0.167364,-0.237887,-0.200977,-0.208146,-0.131168,0.0911263,-0.090006,0.0130012,-0.110565,0.0673739,0.106592,0.0469547,-0.126214,-0.00761456,-0.0556975,0.079535,-0.774058,0.676968,0.768366,-1.53047,0.0772857,0.0485969,-1.48381,0.059988,0.0690327,-25.9448,0.193662
-255.629,0.820687,0.0182096,8,255,0,303.13,0.226507,-3.6316,-1.3347,0.523005,-0.304952,0.00636903,-0.064508,1.27341,-0.406395,-1.90257,7.84374,1.16477,-0.269095,-0.905972,-1.13849,0.120416,-1.18711,1.29769,1.13995,0.734187,0.850408,-0.340482,-1.18436,-1.7252,0.606966,-1.12139,1.3311,1.30575,0.778913,0.796465,-0.317853,-0.599526,-1.51262,0.698223,-0.847439,1.01547,1.24,1.05368,0.278802,-0.0913324,-0.0248975,1.29856,-0.280075,1.23979,0.867325,-0.383167,0.428364,0.109197,0.229707,0.642322,-0.296571,0.510118,-0.622082,-0.315948,0.7312,0.0231492,0.55309,0.0536772,0.00653481,0.691547,-0.307077,0.979207,2.63737,1.15781,0.051475,0.12154,-0.772382,0.122827,0.810256,0.722007,-1.04686,1.7291,0.87487,0.262187,-0.458649,-1.44882,0.925515,-0.452076,-0.1588,-0.899722,0.984695,0.284191,0.0960448,0.0338655,-0.844684,0.865984,-0.57737,1.31024,0.446976,1.85267,0.881705,0.172915,-1.30672,1.35543,2.05435,-0.0186752,-1.60785,0.956568,-0.505747,0.784698,0.0659324,0.607346,0.114881,1.41226,0.707955,-0.994641,0.880015,1.00664,-2.20052,0.0473381,0.121818,-1.85989,0.0142004,-0.0454812,-10.4691,4.10232,-2.39197,0.049957,-0.505984,9.98827,-3.18766,-14.9233,0.855162,-0.197566,-0.665152,-0.835865,0.0884078,-0.871558,0.952751,0.836938,0.662394,-0.265206,-0.922516,-1.34378,0.472774,-0.873465,1.03681,1.01707,0.839218,-0.334915,-0.631707,-1.59381,0.735702,-0.892928,1.06998,1.30656,0.119429,-0.0391235,-0.0106652,0.556257,-0.119974,0.531082,0.371531,-0.164135,0.00252782,0.00531754,0.0148692,-0.00686539,0.0118088,-0.0144007,-0.00731395,0.0169267,0.0284703,0.00276303,0.000336379,0.0355974,-0.0158068,0.0504046,0.135759,0.0595981,0.0318663,-0.202508,0.0322038,0.212439,0.189301,-0.274473,0.453348,0.22938,-0.0440508,-0.139151,0.0888909,-0.0434196,-0.0152519,-0.0864137,0.0945749,0.0272951,0.00585584,-0.146058,0.149742,-0.0998359,0.226559,0.0772888,0.320355,0.15246,-0.0861552,0.0893664,0.135448,-0.0012313,-0.106009,0.0630688,-0.0333451,0.051737,-0.704162,0.623011,0.712658,-1.55787,0.0335133,0.0862418,-1.31672,0.0100533,-0.0321987,-25.4577,0.226507
-257.292,0.960901,0.0182096,8,255,0,315.547,0.142243,-3.59401,-0.875614,0.481158,-0.32715,-0.0539727,0.0526222,1.41159,-0.366511,-2.05064,6.75857,0.933764,-0.138313,-0.438622,-1.18157,-0.46036,-1.32316,1.26038,1.0648,0.758162,0.737271,-0.355523,-0.917748,-1.91241,0.792324,-1.0652,1.61703,0.99753,0.715893,0.692117,-0.320681,-0.748612,-1.46415,1.12944,-0.961979,0.55409,1.08989,0.992216,0.199878,-0.372936,-0.906238,0.803521,0.0403217,-0.14927,0.901399,-1.54342,0.270631,-0.105465,-0.492124,-0.461705,1.61065,-1.48214,-0.0595739,-0.826067,-1.44431,0.0492755,0.213464,-0.214786,-0.367922,0.179982,-1.09819,1.84286,1.10658,0.78171,0.0483895,0.510437,-0.110492,-0.294484,-0.159329,1.43589,-0.941004,1.47774,0.491477,0.722061,-0.502621,-1.16179,0.908896,0.498577,-1.50952,0.561062,0.0362277,-0.400744,0.0724009,-0.267757,-0.766174,0.952549,0.301592,1.01349,-0.0990604,0.480172,0.651006,0.183432,-1.33129,1.09907,1.9013,0.000190236,-1.91666,0.216665,-1.28717,1.07417,0.0637546,0.647707,0.121209,1.53082,0.770757,-0.816489,0.929913,1.046,-1.9379,0.164408,0.154364,-1.58541,0.121595,0.142158,-5.91789,3.25194,-2.21106,-0.364778,0.355651,9.54033,-2.47709,-13.8594,0.707945,-0.104863,-0.332547,-0.895822,-0.349028,-1.00317,0.955571,0.807289,0.527807,-0.254517,-0.657009,-1.36908,0.567219,-0.762573,1.15762,0.714125,0.686729,-0.318185,-0.742784,-1.45275,1.12065,-0.95449,0.549777,1.08141,0.0540933,-0.100928,-0.245256,0.217458,0.0109123,-0.0403972,0.243947,-0.417697,-0.00519683,-0.0242497,-0.0227508,0.0793655,-0.0730335,-0.00293554,-0.0407049,-0.0711693,0.0103294,-0.0103934,-0.0178036,0.00870925,-0.0531408,0.0891752,0.0535466,0.0378266,0.368567,-0.0797821,-0.212636,-0.115045,1.0368,-0.679462,1.06702,0.354876,-0.0363903,-0.0841147,0.0658049,0.0360974,-0.109291,0.0406214,0.00262292,-0.0290143,-0.0491151,-0.14054,0.174728,0.0553216,0.185907,-0.0181708,0.0880787,0.119415,-0.0848757,0.0700705,0.121217,1.21285e-05,-0.122196,0.0138134,-0.0820632,0.0684835,-0.629315,0.716737,0.806208,-1.49365,0.126718,0.118977,-1.22197,0.0937203,0.109569,-24.9746,0.142243
-261.735,0.854964,0.0182096,8,255,0,322.009,0.165982,-1.87832,-0.949496,0.674296,-0.204261,0.0311815,0.0207929,1.35054,-0.306131,-2.59974,8.32074,0.831996,0.16229,-1.13224,-0.992389,-0.534076,-0.248957,0.0776407,0.939293,0.820792,0.723845,-0.150575,-1.1985,-1.86296,0.625251,-0.910052,-0.0122025,1.50147,0.792858,0.934564,-0.203237,-1.22176,-1.57868,0.615189,-0.756263,0.708233,1.16313,0.959649,-0.109743,-0.187563,0.795969,1.13628,-1.28557,-1.05353,0.99126,-1.80372,0.692001,-0.0614806,1.19002,-0.124244,-0.185013,-0.0575118,0.503462,1.91623,1.46128,0.0995081,-0.52536,0.799567,0.511109,-0.55394,1.85557,-1.514,-0.366383,0.98947,0.094894,-0.343284,-0.355257,1.97112,2.27134,0.142356,-1.27557,-0.0434973,-1.27414,0.133474,0.318775,0.0593625,-0.005271,0.652404,0.0399402,-1.60581,0.788485,1.94403,0.0876339,0.708164,-1.46122,0.212767,-1.74733,-0.447577,0.457846,-0.923649,-0.512657,0.0271629,-1.38687,0.996393,1.33497,0.106327,-1.28225,0.686113,-0.536535,0.0314516,0.0828056,0.666471,0.115055,1.27412,0.604247,-1.18314,1.17723,1.30642,-2.58085,0.132632,0.119945,-2.27275,0.126732,0.115044,-7.90051,5.61064,-1.6996,0.259453,0.173012,11.2375,-2.54723,-21.6318,0.682895,0.133206,-0.929331,-0.814545,-0.438365,-0.204342,0.0637268,0.770964,0.573907,-0.119384,-0.950244,-1.47706,0.495736,-0.721543,-0.00967489,1.19045,0.896853,-0.195036,-1.17246,-1.51498,0.590365,-0.725747,0.679655,1.1162,-0.075942,-0.129794,0.550811,0.786308,-0.889613,-0.729047,0.685952,-1.24817,-0.00611782,0.118417,-0.0123633,-0.0184103,-0.00572289,0.0500985,0.19068,0.145409,-0.0498535,0.0758742,0.0485012,-0.0525656,0.176082,-0.143669,-0.0347675,0.0938948,-0.0458196,-0.0474177,0.263094,0.303166,0.0190009,-0.170255,-0.00580578,-0.170065,0.0279355,0.00520217,-0.000461919,0.0571727,0.00350011,-0.140723,0.0690981,0.170363,0.0192358,-0.0396911,0.00577937,-0.0474626,-0.0121575,0.0124364,-0.025089,-0.0139252,-0.114841,0.082507,0.110543,0.00880446,-0.106177,0.056814,-0.0444281,0.00260437,-0.714911,0.711338,0.789399,-1.55947,0.0801428,0.0724765,-1.3733,0.0765777,0.0695149,-25.7361,0.165982
-261.388,0.979421,0.0182096,8,255,0,324.357,0.331491,0.42947,-0.563504,0.639892,-0.126368,0.0982818,0.21673,1.38778,-0.0501748,-2.34792,8.21442,0.652673,0.100085,-0.103657,-0.580928,-0.289122,-0.7652,0.157306,1.4337,1.19987,0.746733,-0.123563,-0.852348,-1.91541,0.78157,-0.571719,1.19362,1.36358,0.80861,0.958772,-0.250624,-0.753896,-1.46079,0.874922,-0.717273,0.0262949,1.32734,0.899265,-0.923554,-0.0569565,-0.682209,2.01722,0.387796,0.0697576,0.915023,-1.72907,0.37277,0.25233,0.482557,-0.369946,0.512341,-1.16037,0.0386386,-1.8895,-0.596182,0.0821584,0.0812677,1.5922,-0.950439,0.804909,-0.169823,1.04672,-2.33973,-0.134391,0.0651518,1.07107,0.260134,1.09434,0.661177,0.571872,0.37956,1.07037,-0.355104,0.130184,0.227077,-0.456331,0.0827522,-0.477447,-0.30182,1.11409,-0.559316,0.811408,0.0476995,0.398,-0.0264167,0.683329,-0.266806,0.9732,2.22109,-1.83236,-0.272796,0.203854,-0.911563,0.609316,0.785405,0.175137,-1.28252,0.364832,-1.06537,0.339277,0.117661,0.687733,0.116166,1.55682,0.701376,-1.37669,0.755847,0.845134,-2.43091,-0.0628926,-0.0360727,-2.18791,-0.165565,-0.0397102,-4.62886,5.25634,-1.03804,0.807328,1.78031,11.3998,-0.412157,-19.2868,0.783123,0.120089,-0.124375,-0.697038,-0.346909,-0.91814,0.188746,1.72025,0.603815,-0.0999147,-0.689217,-1.54882,0.631985,-0.462298,0.965175,1.1026,0.86219,-0.225377,-0.677952,-1.31363,0.786787,-0.645018,0.023646,1.19363,-0.344274,-0.0212317,-0.254307,0.751961,0.144559,0.0260036,0.341094,-0.644548,0.020731,0.0396461,-0.0303941,0.0420931,-0.0953338,0.00317449,-0.155238,-0.0489814,0.00529474,0.103735,-0.0619229,0.0524413,-0.0110643,0.0681956,-0.152438,-0.00875579,0.139436,0.0338653,0.142465,0.0860749,0.0744487,0.0494127,0.139346,-0.046229,0.0108314,-0.0217667,0.00394724,-0.022774,-0.0143966,0.0531413,-0.0266791,0.0387037,0.081134,-0.00538516,0.1393,-0.0543897,0.198391,0.452779,-0.373536,-0.0556107,-0.107255,0.0716926,0.0924114,0.0206067,-0.150903,0.0429264,-0.125352,0.0399196,-0.965575,0.530133,0.592757,-1.70498,-0.0441114,-0.0253005,-1.53455,-0.116124,-0.0278518,-25.5785,0.331491
