# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd15d11df6_model
# start_datetime = 2023-06-16 19:48:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd41e47b7b.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_32f309530119e620202eb517362f8d15-202306161648-1-1de5af.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_32f309530119e620202eb517362f8d15-profile-202306161648-1-78f25a.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0208322
# Diagonal elements of inverse mass matrix:
# 0.0734992, 6.32502, 0.281172, 0.111142, 0.0160599, 0.0403074, 0.149846, 0.0730291, 0.215244, 0.277734, 0.0645114, 0.26438, 0.223964, 0.461605, 0.364514, 0.538938, 0.522556, 0.695474, 0.697875, 0.269699, 0.756227, 0.5923, 0.831547, 0.751211, 0.934404, 0.911705, 0.856237, 0.907518, 1.42083, 0.61606, 0.506844, 0.794995, 0.735507, 0.65491, 0.685821, 1.03467, 0.889165, 1.34192, 0.275209, 0.143319, 0.4466, 0.2969, 0.580845, 0.447049, 0.842941, 0.692527, 0.597883, 0.0766101, 0.0261768, 0.177026, 0.092361, 0.256189, 0.221005, 0.359541, 0.283877, 0.180376, 0.165508, 0.0883148, 0.282279, 0.18196, 0.297783, 0.284188, 0.630379, 0.433739, 0.477289, 0.20184, 0.136644, 0.397443, 0.238938, 0.439105, 0.399202, 0.592846, 0.487257, 0.305655, 0.0761225, 0.044859, 0.277684, 0.141511, 0.211892, 0.207308, 0.373544, 0.247707, 0.133179, 0.0580703, 0.0392683, 0.234459, 0.110229, 0.174057, 0.186532, 0.289205, 0.223756, 0.110532, 0.0206781, 0.00182969, 0.0264152, 0.0731879, 0.163355, 0.165017, 0.171955, 0.22867, 0.146954, 0.159779, 0.189254, 0.153328, 0.162977
-1961.37,0.974575,0.0208322,8,255,0,2023.66,0.187319,14.0698,-2.46581,-1.26525,0.0633893,-0.443391,1.74317,-0.441254,1.57722,-0.415592,4.96555,1.05249,0.787508,1.15305,0.467893,0.437239,1.12772,1.23194,0.4574,0.382943,0.633171,-0.162523,0.296885,-0.342147,-1.25177,-0.0968131,0.0547166,0.23763,0.77284,1.38059,7.64226e-05,0.547348,-0.0985887,-0.859211,0.622607,0.356804,-2.21119,0.393888,-0.171867,-0.429534,-0.0663536,1.30418,0.278893,0.250733,0.29572,-0.248745,0.0992864,0.213603,0.110992,-1.34374,-0.556769,-0.492656,0.894723,-1.11511,-0.152604,0.560485,0.225315,-0.00247019,-1.14695,-0.492509,-0.642137,0.261051,-1.98323,-0.0427743,0.615568,0.608161,-0.449823,-1.30331,-0.569597,-1.42778,-1.16163,0.8875,1.80499,0.746111,-0.0265189,-0.476751,-1.3278,-0.477668,-0.0746108,-0.783589,-1.19732,0.239228,1.05572,0.35157,-0.358215,-1.48211,-0.807562,0.331854,-0.491613,-0.24099,0.712585,1.37911,0.263478,0.40774,1.8848,0.80989,-1.2844,0.324554,0.310195,-1.62456,0.0766011,0.197778,-1.15306,0.134522,0.253144,-12.2441,-6.28267,0.314763,-2.20168,8.65577,-2.19107,7.83178,-2.06364,0.403044,0.30157,0.441553,0.179176,0.167437,0.431852,0.471762,0.175158,0.48934,-0.125604,0.229445,-0.264425,-0.967415,-0.0748211,0.0422872,0.18365,0.543796,3.01019e-05,0.215594,-0.0388329,-0.338433,0.245237,0.140541,-0.870959,-0.0170641,-0.0426469,-0.00658801,0.129487,0.0276903,0.0248944,0.029361,-0.024697,0.119721,0.0622097,-0.753145,-0.312061,-0.276126,0.501479,-0.625,-0.0855325,0.138697,-0.00152057,-0.706026,-0.303173,-0.395279,0.160695,-1.22081,-0.0263305,0.453756,-0.335618,-0.972416,-0.424983,-1.06528,-0.866706,0.662174,1.34672,-0.0279966,-0.503316,-1.40179,-0.504284,-0.0787682,-0.827252,-1.26404,0.252558,0.484854,-0.494019,-2.04399,-1.11372,0.457664,-0.677989,-0.332351,0.982733,-1.04022,0.262853,0.251224,-1.31572,0.0620385,0.160179,-0.933856,0.108948,0.205019,-23.066,0.187319
-1965.72,0.726691,0.0208322,8,255,0,2011.92,0.144236,4.29162,-0.502112,-0.956721,-0.212419,-0.325078,0.886383,-0.695805,0.806277,0.324129,7.72144,0.436586,0.283855,1.00642,0.192776,-0.323024,-0.0616175,-0.864359,-1.3127,0.778485,0.456027,-0.268478,1.42278,-1.19566,-0.621416,0.0948421,1.4179,-0.453955,0.354016,0.322269,-0.887827,0.719997,-1.7468,0.0275696,-1.01595,1.141,0.881359,0.322313,-3.49981,0.540246,0.354283,1.3506,-0.928095,-0.290507,-1.12249,0.375991,0.143434,-0.0655093,0.0585553,-0.783156,0.0393538,-0.550076,-0.106053,-3.24141,0.892811,0.642992,0.0773804,0.0511544,-1.168,-0.0869012,-0.0735661,-0.121537,-1.12446,0.15239,0.51424,0.267169,-0.677103,-1.08648,-0.295665,-0.119529,-1.7002,-1.91264,-0.874761,0.652222,0.146821,-0.587074,-2.03447,-0.57686,-0.311518,-0.441621,-1.22289,0.245816,0.708295,0.249981,-0.509038,-1.37234,-0.698498,-0.100564,-0.94675,-1.59137,0.324081,1.17509,0.263521,0.402771,1.84676,0.824158,-1.29135,0.269133,0.433239,-1.65536,0.178824,0.286074,-1.20337,0.273843,0.369677,-3.87703,-7.38726,-1.64018,-2.51007,6.84415,-5.37261,6.22562,2.50274,0.339876,0.220977,0.783484,0.150073,-0.25147,-0.0479683,-0.67289,-1.02192,0.161441,-0.0950456,0.503687,-0.423282,-0.219991,0.0335756,0.50196,-0.160708,0.103872,-0.286158,0.232065,-0.563016,0.00888603,-0.327455,0.367761,0.284074,-0.501992,0.0774896,0.0508162,0.193722,-0.13312,-0.0416686,-0.161003,0.0539299,-0.042122,0.0376506,-0.503563,0.0253042,-0.353695,-0.068191,-2.0842,0.57407,0.0397921,0.0263057,-0.600632,-0.0446881,-0.0378306,-0.0624992,-0.578243,0.0783649,0.174253,-0.441621,-0.708624,-0.192839,-0.0779595,-1.10891,-1.24746,-0.570539,0.103992,-0.415822,-1.441,-0.408587,-0.220647,-0.312798,-0.866169,0.17411,0.293751,-0.598168,-1.61263,-0.820801,-0.118172,-1.11252,-1.87002,0.380826,-1.06427,0.221808,0.357057,-1.36428,0.14738,0.23577,-0.991767,0.22569,0.304672,-24.13,0.144236
-1952.27,0.981757,0.0208322,8,383,0,2013.45,-0.00433941,10.0274,-1.89337,-1.13245,-0.116762,-0.262781,1.51525,-0.847984,0.616159,0.813606,6.54593,0.666832,0.257033,1.57166,0.754047,0.629295,1.28795,0.158263,-0.85665,0.530461,0.236296,-0.747067,0.0443149,-0.49859,-1.41893,-0.396304,-1.45886,-1.53527,0.433539,0.521642,-0.487227,1.34832,0.261708,-0.7656,-0.474194,0.0999628,-2.39379,0.474898,-0.422634,0.35686,0.722606,0.50519,0.398051,0.226424,0.114231,0.603043,0.0791543,-0.111608,-0.0455782,-0.113195,-0.24838,-0.710762,0.705524,-2.61804,-0.270076,0.779088,0.262754,0.0692564,-0.911113,-0.00238931,-0.485647,0.258553,-3.28155,-0.237783,0.662504,0.355626,-0.788851,-0.867746,-0.89085,-1.02814,-0.961692,-0.20414,0.68704,0.493101,0.188034,-0.578558,-1.50323,-0.945428,-0.59569,-0.844639,-2.23011,-0.0935671,0.943935,0.0876612,-0.765396,-1.36188,-0.838202,-0.0175941,-0.5947,-1.30921,0.0975347,0.979628,0.260003,0.371851,1.68785,0.927276,-0.768563,0.52383,0.476126,-1.144,0.292621,0.393373,-1.06512,0.331901,0.444848,-12.3939,-7.41293,-0.764319,-1.72015,9.9187,-5.55085,4.03334,5.32581,0.353729,0.136346,0.833708,0.399993,0.333817,0.683206,0.0839522,-0.45442,0.102444,-0.323883,0.0192122,-0.216158,-0.615162,-0.171813,-0.632473,-0.665598,0.247726,-0.231383,0.640316,0.124284,-0.363582,-0.225194,0.0474721,-1.13681,-0.0334533,0.028247,0.0571974,0.039988,0.0315075,0.0179224,0.00904184,0.0477335,-0.0869528,-0.0355094,-0.0881891,-0.19351,-0.553746,0.549665,-2.03968,-0.210413,0.174075,0.0458826,-0.603616,-0.00158293,-0.321743,0.171293,-2.17404,-0.157532,0.175359,-0.388983,-0.427886,-0.439279,-0.506979,-0.474211,-0.100662,0.33878,0.177492,-0.546121,-1.41895,-0.892423,-0.562293,-0.797284,-2.10508,-0.0883213,0.0858753,-0.749803,-1.33413,-0.821126,-0.0172356,-0.582585,-1.28254,0.0955477,-0.71267,0.485735,0.4415,-1.06081,0.27134,0.364766,-0.987661,0.307764,0.412497,-23.7374,-0.00433941
-1960.22,0.987853,0.0208322,7,127,0,2013.75,0.054406,4.50821,-0.717988,-1.46298,-0.300459,-0.382229,1.71885,-0.81412,0.663153,1.18888,4.97176,0.41451,0.18302,1.7137,-0.0916155,0.102894,0.766159,-0.77428,-0.192785,0.655744,1.81543,-0.941155,2.71251,-0.832587,-1.62445,0.140561,-0.476884,0.988688,0.209457,0.978935,-0.604016,0.627347,-1.39664,-1.32245,-0.506458,0.224361,0.0659094,0.417953,-0.783479,-0.0393932,-0.0426763,1.0533,1.65357,0.0118771,-0.142234,0.354003,0.376897,0.193802,-0.0678974,-0.600524,0.294427,0.0328271,0.459746,-2.35128,0.0326233,1.06897,0.141071,0.285887,-1.19298,0.0992923,-0.744308,0.351193,-2.19052,-0.0357275,0.61408,0.231312,-0.331696,-0.75988,-0.25856,-0.442023,-1.17476,-1.58035,-0.112307,1.02763,0.235419,-0.488951,-2.05081,-0.41673,-0.0805033,0.305377,-2.09205,0.0178518,0.766256,0.194958,-0.330841,-0.982884,-0.479382,-0.150965,-0.656865,-1.60545,0.967012,1.42405,0.27567,0.377745,1.70733,0.81582,-1.14591,0.350989,0.539263,-1.5372,0.260854,0.355443,-1.15703,0.338468,0.38687,-3.56966,-7.27359,-1.49381,-1.90035,8.5457,-4.04761,3.29703,5.91083,0.271813,0.120014,1.12375,-0.0600763,0.0674719,0.502404,-0.507729,-0.126418,0.380253,-0.197131,0.568154,-0.174391,-0.340252,0.0294414,-0.0998866,0.207087,0.409149,-0.25245,0.262202,-0.583729,-0.552724,-0.211676,0.0937723,0.0275471,-0.29529,-0.0148472,-0.0160846,0.396983,0.623226,0.00447644,-0.0536075,0.133423,0.207168,-0.07258,-0.641939,0.314733,0.0350911,0.491452,-2.51344,0.0348732,0.0866289,0.175557,-0.732586,0.0609734,-0.457065,0.21566,-1.34516,-0.0219396,0.237703,-0.34086,-0.780874,-0.265703,-0.454235,-1.20722,-1.62401,-0.11541,0.180391,-0.374661,-1.57144,-0.319322,-0.0616861,0.233997,-1.60305,0.0136791,0.27763,-0.471134,-1.39968,-0.682664,-0.214983,-0.93541,-2.28624,1.37707,-0.934857,0.286344,0.439942,-1.25408,0.21281,0.289977,-0.94393,0.276129,0.315616,-23.2272,0.054406
-1957.9,0.973815,0.0208322,8,255,0,2010.49,-0.127288,14.3595,-2.98189,-1.20701,0.116914,-0.637647,1.0551,-0.390997,0.97069,0.366987,6.25799,0.428125,0.817587,0.156236,1.31274,-0.0293072,1.13816,0.564033,-0.902922,0.359938,-1.43492,0.391952,-2.50717,-0.0929211,0.587418,-0.55308,0.906246,-1.29476,0.0707772,-0.0135736,-0.149854,0.124454,-0.230624,0.279994,0.636934,0.300026,-1.17805,0.614705,-0.62124,0.0101314,-1.44654,0.503963,-1.58671,-0.481087,-2.35749,-0.403424,0.434941,-0.156524,0.117531,-0.989323,0.389065,0.0048887,0.243894,-1.81779,-0.0324697,1.06982,-0.642925,0.149248,-1.40315,0.0580038,-0.632427,0.095376,-1.14691,0.980561,0.782127,0.0425413,-0.493264,-0.986165,0.188483,-1.12803,-1.47211,-0.592835,0.815029,0.74836,-0.147524,-0.2523,-1.75448,-0.452934,0.720053,0.273545,-1.07745,0.184418,0.99273,-0.151221,-0.70798,-2.22608,-0.810412,-0.0542452,-1.12341,-1.44164,0.814926,0.880599,0.268949,0.411618,2.07446,0.703499,-0.906913,0.852937,0.874369,-1.55494,0.538964,0.654454,-1.12362,0.617673,0.738032,-18.6606,-7.55348,0.731646,-3.99039,6.60282,-2.44686,6.07457,2.2966,0.154099,0.294281,0.0562354,0.472507,-0.0105488,0.409666,0.203017,-0.324996,-0.10156,0.0277413,-0.177451,-0.0065767,0.0415758,-0.0391455,0.0641416,-0.0916394,-0.00834374,-0.092116,0.0765022,-0.141766,0.172114,0.391527,0.184428,-0.724152,-0.270203,0.00440655,-0.62916,0.219194,-0.690126,-0.209244,-1.02537,-0.175466,-0.167452,0.125736,-1.05839,0.416228,0.00523,0.260921,-1.9447,-0.0347366,-0.502849,0.116731,-1.09744,0.0453663,-0.494639,0.0745962,-0.897027,0.766924,0.0318362,-0.369139,-0.738006,0.141053,-0.84417,-1.10167,-0.443654,0.609936,-0.146452,-0.250466,-1.74172,-0.449641,0.714818,0.271557,-1.06961,0.183077,-0.133165,-0.623446,-1.96028,-0.713648,-0.0477683,-0.989278,-1.2695,0.717624,-0.638012,0.60004,0.615117,-1.0939,0.379161,0.460407,-0.790466,0.434532,0.519205,-23.5105,-0.127288
-1966.06,0.978025,0.0208322,8,255,0,2015.29,-0.692676,5.62334,-0.579604,-1.26604,-0.197965,-0.55557,0.997766,-0.59591,1.2715,1.02107,6.74844,-0.357631,1.61553,0.654855,-0.948364,0.0971989,0.421742,-0.734621,0.0962908,0.156136,0.86053,-1.40581,2.29686,-0.150455,-1.38445,1.04433,-0.774923,1.05614,0.00242982,0.363524,-1.60816,-0.219107,-0.799778,-1.09118,-0.503557,0.0681998,0.48174,0.0843077,-0.752871,0.11519,-0.0314532,-0.293335,0.940496,-0.19716,-1.11082,-0.461459,0.579518,-0.0642794,0.126837,-0.812694,0.257973,-0.0039476,0.242498,-2.42493,0.664869,1.36003,-0.138263,0.213694,-1.1848,0.0686577,-0.453469,0.172124,-1.81536,-0.264522,1.12885,-0.155832,-0.367023,-1.3321,-0.161653,-0.268321,-1.3503,-1.19002,0.717925,0.787456,0.0525192,-0.56328,-2.02337,-0.656742,-0.292352,-1.65019,-2.11322,0.669181,0.960181,0.21309,-0.354829,-1.47947,-1.03184,0.326096,-0.90476,-1.81674,0.589908,1.14967,0.241625,0.38786,1.77986,0.819857,-0.0685768,1.34399,1.35287,-0.453507,1.11963,1.28026,-0.223096,1.27299,1.48169,-3.91143,-8.54383,-1.33595,-3.74923,6.73337,-4.02146,8.58066,6.89062,-0.055839,0.252242,0.102246,-0.148074,0.0151762,0.065849,-0.114701,0.0150344,0.00209094,-0.00341587,0.00558095,-0.000365579,-0.00336398,0.00253753,-0.00188293,0.00256623,0.0306478,-0.13558,-0.0184724,-0.0674274,-0.0919949,-0.0424537,0.00574977,0.0406144,-0.436303,0.0667546,-0.0182277,-0.169993,0.545035,-0.114258,-0.64374,-0.267424,-0.0874219,0.172503,-1.10529,0.350851,-0.00536886,0.329805,-3.29799,0.904242,-0.156079,0.24123,-1.33747,0.0775046,-0.511901,0.194302,-2.04928,-0.298607,-0.122711,-0.289014,-1.04897,-0.127295,-0.211291,-1.0633,-0.937086,0.565334,0.0504279,-0.540851,-1.9428,-0.630591,-0.28071,-1.58448,-2.02908,0.642536,0.244982,-0.407935,-1.7009,-1.18627,0.374901,-1.04017,-2.08865,0.678198,-0.0562231,1.10188,1.10916,-0.371811,0.917936,1.04963,-0.182907,1.04367,1.21477,-24.0648,-0.692676
