# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd15d11df6_model
# start_datetime = 2023-06-16 19:48:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd41e47b7b.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_32f309530119e620202eb517362f8d15-202306161648-2-1de5af.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_32f309530119e620202eb517362f8d15-profile-202306161648-2-78f25a.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0212944
# Diagonal elements of inverse mass matrix:
# 0.0934002, 4.91806, 0.307967, 0.102516, 0.0125588, 0.0347639, 0.143867, 0.0899639, 0.240159, 0.2801, 0.0568237, 0.239717, 0.173701, 0.433959, 0.340194, 0.565382, 0.497562, 0.8056, 0.806886, 0.237627, 0.696513, 0.531649, 0.865767, 0.753163, 0.893502, 0.921551, 1.09502, 0.896656, 1.39455, 0.700335, 0.580346, 0.798231, 0.729139, 0.897909, 0.753709, 1.08445, 1.1036, 1.44765, 0.279679, 0.131042, 0.508317, 0.403527, 0.579962, 0.543633, 0.786305, 0.571354, 0.515847, 0.0665033, 0.0245589, 0.246197, 0.104257, 0.225618, 0.254287, 0.416715, 0.301888, 0.146478, 0.112955, 0.0599836, 0.29483, 0.174699, 0.31272, 0.265557, 0.482264, 0.466873, 0.231411, 0.187402, 0.205342, 0.399402, 0.245571, 0.458697, 0.475913, 0.566911, 0.628549, 0.568864, 0.0599338, 0.0292612, 0.25591, 0.100621, 0.187333, 0.174099, 0.268843, 0.248999, 0.107636, 0.0385063, 0.0380914, 0.244485, 0.0938745, 0.168937, 0.133913, 0.281538, 0.226909, 0.107997, 0.019913, 0.00190318, 0.0288221, 0.078659, 0.196278, 0.154129, 0.155085, 0.273809, 0.135641, 0.147862, 0.218451, 0.142417, 0.147732
-1980.66,0.64792,0.0212944,8,255,0,2031.03,0.0792564,8.41264,-2.03574,-1.21744,-0.0359936,-0.523069,1.95183,-0.365339,0.765557,-0.0956816,3.99515,0.118407,0.375083,1.0127,1.12744,0.769425,0.424817,-0.0562688,-1.23196,0.469692,0.0249519,-0.114468,0.318697,-0.367468,-2.0322,-0.0246662,0.559115,-0.595199,0.265001,0.491724,0.304544,-0.0313961,-0.766224,-0.651989,-1.32166,-1.49288,-0.499574,0.170017,-0.584054,0.342146,-1.22291,0.0604921,1.20251,-0.830833,-0.161307,-0.495417,0.362701,-0.0814834,0.434509,-1.36039,0.913715,-0.999407,1.09146,-1.67644,-0.171171,0.574259,-0.741526,0.358129,-2.02953,0.286249,0.145813,-0.298547,-1.09865,-1.29672,0.374793,-0.48681,-0.501568,-1.1015,-0.106565,-0.567835,-0.961823,0.37621,0.688057,0.638528,0.075515,-0.740336,-2.60114,-0.699484,0.0558259,-0.920339,-0.985732,0.130189,0.655299,0.442188,-0.453854,-1.85909,-0.809746,-0.829692,0.204686,-1.38358,0.216058,1.05391,0.34968,0.401631,1.95113,0.639683,-1.3309,0.643465,0.525595,-1.94103,0.300221,0.469096,-1.51011,0.449797,0.428054,-8.13311,-4.86388,-0.1438,-2.08974,7.79787,-1.45959,3.05852,-0.382263,0.0556147,0.176174,0.475657,0.529552,0.361393,0.199533,-0.0264291,-0.578644,0.00661226,-0.0303341,0.084455,-0.0973793,-0.538535,-0.00653656,0.148166,-0.157728,0.0836017,0.0517777,-0.00533788,-0.130271,-0.110849,-0.224705,-0.253816,-0.0849363,-0.211837,0.124097,-0.443552,0.0219406,0.436151,-0.301344,-0.0585064,-0.179688,-0.0467926,0.249521,-0.781219,0.52471,-0.573919,0.62678,-0.962711,-0.0982966,-0.277919,0.134225,-0.760656,0.107284,0.0546498,-0.111894,-0.411767,-0.486002,-0.310842,-0.320265,-0.703339,-0.0680446,-0.362579,-0.614151,0.24022,0.439344,0.0494849,-0.485141,-1.70452,-0.458371,0.0365826,-0.603097,-0.645949,0.0853129,0.466028,-0.478323,-1.95932,-0.853404,-0.874424,0.215721,-1.45817,0.227706,-0.851356,0.411614,0.336215,-1.24165,0.192046,0.300073,-0.965993,0.287728,0.273819,-22.3266,0.0792564
-1975.13,0.995525,0.0212944,7,255,0,2027.23,-0.00564813,10.5719,-2.91034,-1.43985,-0.00549922,-0.690339,1.62258,-0.593395,0.860552,0.0908231,4.55424,0.0214967,0.554862,0.813319,1.34146,0.725315,0.296527,0.618257,-0.573305,0.321781,0.367033,-0.394029,0.000314593,-0.0048585,-2.03801,-1.07333,-0.125258,-1.16759,0.449309,-0.19477,-0.519469,0.714426,0.338464,-0.645912,-0.605829,-1.22617,-0.619063,0.0908265,-0.629919,0.217233,-0.256456,0.314046,1.69673,-0.467634,-0.0670982,0.0171051,0.633808,-0.477105,0.420094,-1.60249,0.544766,-1.067,1.63493,-2.66633,0.419923,0.379155,-0.904227,0.547091,-1.13146,0.351068,0.317895,-0.541933,-0.813174,-1.11929,0.468559,-0.54966,-0.380733,-0.948115,-0.296418,-0.105701,-0.708037,0.115017,0.873064,0.51077,0.141416,-0.496922,-2.79882,-1.08087,0.311571,-0.489181,-0.800989,0.541672,0.716975,0.0943525,-0.566322,-1.65271,-0.792341,-0.861097,-0.7444,-2.29794,0.611594,0.844422,0.330284,0.399981,1.95625,0.816632,-1.01295,0.489006,0.548655,-1.40714,0.366938,0.455526,-1.227,0.439908,0.478784,-13.2544,-6.55743,-0.0250448,-3.14397,7.3896,-2.70246,3.91916,0.41363,0.00691723,0.178544,0.261711,0.431657,0.233393,0.0954169,0.198943,-0.184479,0.164911,-0.177041,0.00014135,-0.00218297,-0.915697,-0.482257,-0.0562794,-0.524611,-0.0176903,-0.0471816,0.0648889,0.0307415,-0.058666,-0.0550254,-0.111369,-0.0562274,-0.399248,0.137684,-0.162544,0.199045,1.0754,-0.296391,-0.0425274,0.0108414,-0.180897,0.159281,-0.607592,0.206551,-0.404557,0.619892,-1.01095,0.159216,-0.423684,0.256344,-0.530156,0.164496,0.148953,-0.253927,-0.38102,-0.524452,-0.28075,-0.194467,-0.484269,-0.151402,-0.0539888,-0.361644,0.0587475,0.445935,0.101391,-0.356281,-2.00668,-0.774953,0.223388,-0.35073,-0.574289,0.388365,0.0796733,-0.478214,-1.39558,-0.66907,-0.727129,-0.628588,-1.94043,0.516443,-0.827207,0.399338,0.448049,-1.14912,0.299653,0.371997,-1.00201,0.359243,0.39099,-22.5779,-0.00564813
-1973.96,0.997486,0.0212944,8,255,0,2032.57,0.0664389,11.4091,-2.86703,-1.24078,0.0539956,-0.501198,1.53451,-0.742261,0.641776,0.656533,5.4082,-0.183972,0.873035,0.430033,0.902533,0.787591,0.0430328,0.411101,-2.13063,0.399219,-0.20103,-0.0260815,0.190217,0.117708,-1.79049,-0.342743,0.342591,-0.430535,0.271906,-0.2868,-1.31174,-0.281775,-0.00873019,-0.347992,-1.3683,0.118441,-0.0971433,0.150606,-0.457168,0.243933,0.0514697,0.922213,1.41869,-0.760487,-0.320853,-0.610102,0.668137,-0.395812,0.574585,-1.26885,0.524139,-1.15448,1.70819,-2.53745,0.128922,0.615243,-0.95323,0.570867,-1.12423,0.390536,-0.150345,-0.223129,-0.730937,-1.39955,0.402579,-0.647563,-0.436269,-1.23425,-0.499852,0.306484,-1.46635,-0.27994,1.20722,0.625825,0.125843,-0.514251,-2.43738,-0.515191,-0.0146742,-0.268779,-0.560268,0.0784022,0.751136,-0.0266051,-0.595587,-1.6697,-0.232035,-0.691966,-0.594911,-2.06144,0.595132,1.04393,0.336472,0.42188,1.86198,0.934577,-0.934721,0.421102,0.457832,-1.38958,0.232442,0.300983,-1.11068,0.317197,0.303397,-15.5055,-6.71037,0.292019,-2.71058,8.29894,-4.0143,3.47085,3.55066,-0.0734449,0.348532,0.171677,0.360308,0.314421,0.0171795,0.164119,-0.850588,-0.0546612,-0.00709171,0.0517213,0.0320056,-0.486846,-0.093194,0.0931526,-0.117065,-0.0431939,-0.197556,-0.0424371,-0.00131482,-0.0524097,-0.206075,0.017838,-0.0146304,-0.305451,0.162981,0.0343888,0.616165,0.947883,-0.50811,-0.214374,-0.407632,-0.243521,0.353509,-0.780652,0.322473,-0.710288,1.05095,-1.56115,0.0793181,-0.38375,0.229819,-0.452592,0.157222,-0.0605257,-0.0898269,-0.29426,-0.56343,-0.405262,-0.273028,-0.772426,-0.31282,0.191806,-0.917678,-0.175193,0.75551,0.0945254,-0.386272,-1.83081,-0.386978,-0.0110223,-0.201889,-0.420837,0.0588907,-0.0277739,-0.621753,-1.74306,-0.242229,-0.722367,-0.621047,-2.152,0.621278,-0.873569,0.393552,0.427879,-1.29867,0.217235,0.281292,-1.03801,0.296446,0.283548,-23.1061,0.0664389
-1967.2,0.96971,0.0212944,8,255,0,2024.83,-0.266024,12.7601,-0.644151,-0.877182,0.0541397,-0.333878,0.867782,-0.180022,1.15855,0.707335,9.72219,0.324701,1.14891,1.65625,0.332118,-0.284901,1.95341,-0.566134,1.71488,0.318436,0.478459,0.444608,0.179568,0.012386,0.263567,1.1209,0.0046791,0.216115,0.166568,1.10392,1.0038,1.41236,0.584207,-0.0461457,-0.0840478,0.14106,-0.361641,0.104244,-0.82629,1.12525,-1.40627,0.359778,-2.32452,-0.0662767,-2.08541,0.850756,0.292098,0.0669266,0.203517,-0.578363,-0.150622,0.116854,0.484703,-2.34736,1.08231,1.17941,0.753351,0.307498,-1.1852,0.121677,-0.0861418,1.13233,-3.06078,2.20996,0.653691,0.240368,-0.106641,-1.19663,-0.703713,-1.11318,-0.741413,-1.27669,0.42357,0.58027,0.116673,-0.121948,-0.963169,-0.305187,0.320648,-0.341485,-1.71445,0.826666,1.85785,-0.0872118,-0.334923,-1.35475,-0.894173,0.479846,-0.0574064,-0.593817,0.904047,1.22966,0.221006,0.394191,1.78707,1.23909,-0.434089,0.596933,0.58675,-0.697662,0.449564,0.534175,-0.597926,0.467135,0.441852,-6.26256,-8.52813,0.526357,-3.24603,8.43674,-1.75021,11.2636,6.87685,0.103396,0.365855,0.527411,0.105758,-0.0907226,0.622036,-0.180277,0.546081,0.0796958,0.0740574,0.0299102,0.00206311,0.0439018,0.186705,0.000779388,0.0359979,0.115077,0.104641,0.147231,0.0609003,-0.00481043,-0.00876151,0.0147047,-0.0376991,-0.241358,0.328685,-0.41077,0.10509,-0.678987,-0.0193593,-0.609145,0.248504,0.0789339,0.240029,-0.682127,-0.177645,0.137819,0.571664,-2.76849,1.27649,0.492459,0.201009,-0.774752,0.0795389,-0.0563101,0.740197,-2.0008,1.44463,0.139478,-0.0618804,-0.694365,-0.408343,-0.645947,-0.43022,-0.740823,0.245785,0.216761,-0.226561,-1.78942,-0.566991,0.595715,-0.634428,-3.18519,1.53582,-0.107241,-0.411843,-1.66589,-1.09953,0.590048,-0.0705905,-0.730195,1.11167,-0.537875,0.739654,0.727036,-0.864466,0.557051,0.66189,-0.740884,0.578823,0.547495,-25.3236,-0.266024
-1960.77,0.994209,0.0212944,7,127,0,2014.23,-0.182796,13.2395,-2.03952,-0.845196,0.243449,-0.39162,1.65165,0.322237,0.293902,0.112344,5.8147,0.452526,1.54032,0.228571,0.140506,0.818492,1.8291,0.41694,-1.02067,0.455663,0.437903,0.267347,0.0552546,-1.08406,-1.28915,0.511896,0.575575,-0.509484,0.517011,1.43675,0.643097,-0.762249,-0.936993,-0.864065,1.11943,0.688566,-0.610547,0.336431,-0.299429,1.28133,-0.844851,0.862294,-0.251427,0.357681,-0.654902,-0.657453,0.392829,0.0918781,0.310403,-0.515801,0.251181,-0.17733,0.880466,-0.993222,-0.0756826,1.51625,-0.323648,0.86288,-1.88925,-0.181213,0.340912,0.746066,-0.749888,0.336654,0.501262,0.0666916,-0.108502,-1.13834,-0.210937,0.50172,-0.290406,-0.361245,1.27119,0.660579,0.182573,-0.0916467,-1.37398,-0.279288,0.152817,-0.257794,-0.376555,-0.032952,1.39512,0.0817104,-0.148886,-2.51938,-1.37532,0.311037,-0.178154,-1.81342,1.06605,0.886345,0.303618,0.407741,2.10979,1.05519,-0.565684,0.523273,0.616115,-0.891082,0.411837,0.536042,-0.646035,0.445714,0.369299,-11.8592,-4.91456,1.41558,-2.27715,9.60382,1.87371,1.70895,0.653249,0.206199,0.701867,0.104151,0.0640234,0.372957,0.833455,0.189984,-0.465081,0.226401,0.138221,0.0285673,-0.56047,-0.666507,0.264656,0.297579,-0.263409,0.483366,0.216358,-0.256444,-0.315234,-0.290698,0.37661,0.231655,-0.205407,-0.117624,0.503344,-0.331882,0.338734,-0.0987677,0.140507,-0.257264,-0.258266,0.13931,0.470648,-0.782081,0.380853,-0.268876,1.335,-1.50597,-0.114754,-0.162232,0.432529,-0.947011,-0.0908351,0.170886,0.373974,-0.37589,0.168752,0.0440551,-0.071674,-0.751963,-0.139341,0.331426,-0.191836,-0.238631,0.83972,0.254712,-0.127858,-1.91688,-0.389641,0.213199,-0.359654,-0.525339,-0.045972,0.0724236,-0.131964,-2.23304,-1.21901,0.275686,-0.157906,-1.60732,0.944887,-0.596903,0.552152,0.650117,-0.94026,0.434566,0.565626,-0.681689,0.470313,0.38968,-23.5309,-0.182796
-1958.85,0.94223,0.0212944,8,255,0,2013.88,-0.422059,5.80381,-1.20141,-1.05886,-0.0466359,-0.402406,1.02735,-0.346585,-0.0247352,1.12231,7.41101,0.0922084,0.468375,0.604025,0.495048,-0.0901579,0.394613,-0.370282,-0.50878,0.737236,0.577387,0.303578,0.125082,-0.855208,-0.174176,1.2986,0.556837,-0.68361,0.438562,0.316047,1.0019,0.485244,0.776217,-0.38254,0.67808,1.26133,-0.198488,0.177904,-0.125693,0.392224,-1.17051,0.493458,-0.434892,0.490459,-1.47183,0.169382,0.716293,0.0724714,0.398191,-0.78833,0.0731994,-0.026268,0.815149,-2.2653,0.409949,0.930749,0.662276,0.45943,-1.39474,0.684085,-0.128338,1.15438,-2.67604,-0.0302994,0.733782,0.522362,0.0864696,-1.37991,-0.434769,-1.36588,-0.73911,-0.673651,-0.384318,0.648772,0.142668,-0.143192,-1.42439,-0.0894758,0.0589705,0.0371439,-1.75278,0.316056,1.35108,-0.0643162,-0.19724,-1.95804,-0.746395,0.525558,-0.901777,-0.988347,0.0937132,1.01308,0.267415,0.402625,1.59005,0.721588,-0.459357,1.15393,1.11825,-0.842601,0.857149,0.893769,-0.675678,0.954303,1.28359,-8.90362,-7.8472,-0.345619,-2.98223,7.6137,-2.56854,-0.183313,8.31745,0.0679794,0.345303,0.445309,0.364967,-0.0664677,0.290923,-0.272985,-0.375091,0.25322,0.133138,0.0548562,-0.375062,-0.0763872,0.569519,0.244208,-0.299805,0.0562258,0.178241,0.0863266,0.138092,-0.0680552,0.120633,0.224395,-0.0353118,-0.0900334,0.280947,-0.838431,0.353461,-0.31151,0.351312,-1.05426,0.121327,0.0674527,0.370616,-0.733738,0.0681303,-0.0244489,0.758699,-2.10842,0.38156,0.485966,0.337121,-1.02343,0.501969,-0.0941717,0.847063,-1.96363,-0.0222332,0.338894,0.056099,-0.895249,-0.282066,-0.886147,-0.479514,-0.437046,-0.249334,0.192756,-0.193464,-1.92447,-0.120889,0.079674,0.0501844,-2.36815,0.427017,-0.0651576,-0.19982,-1.98365,-0.756159,0.532433,-0.913574,-1.00128,0.0949391,-0.331467,0.832659,0.806913,-0.608011,0.618508,0.644933,-0.487561,0.688613,0.926221,-24.3478,-0.422059
