# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/model_noprior_part_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0199378
# Diagonal elements of inverse mass matrix:
# 0.0749085, 5.76149, 0.319244, 0.112363, 0.013655, 0.035529, 0.139104, 0.0808088, 0.194692, 0.21744, 0.0642257, 0.289026, 0.194926, 0.49391, 0.32761, 0.554865, 0.543852, 0.682735, 0.762417, 0.27769, 0.827172, 0.684077, 0.786268, 0.889711, 0.898935, 0.826641, 0.850759, 0.821767, 1.49385, 0.686345, 0.572285, 0.848308, 0.831532, 0.772825, 0.874003, 0.879161, 0.901841, 1.45818, 0.246798, 0.123043, 0.395363, 0.34824, 0.565381, 0.462991, 0.751652, 0.612896, 0.390333, 0.070577, 0.0334992, 0.224961, 0.096519, 0.175008, 0.263867, 0.479056, 0.292126, 0.149067, 0.112052, 0.0445761, 0.227615, 0.126645, 0.238338, 0.263499, 0.470918, 0.371818, 0.174901, 0.264224, 0.146208, 0.397578, 0.223318, 0.516094, 0.413232, 0.482177, 0.512004, 0.338514, 0.053879, 0.025894, 0.27026, 0.0861232, 0.184771, 0.148801, 0.297055, 0.228362, 0.110742, 0.0465052, 0.0280795, 0.24415, 0.0947194, 0.165317, 0.162478, 0.322142, 0.276337, 0.10452, 0.0217416, 0.00158968, 0.0261961, 0.0710875, 0.149505, 0.151562, 0.156628, 0.217173, 0.130152, 0.1392, 0.171085, 0.141396, 0.146742
-1943.79,0.99011,0.0199378,8,255,0,2012.1,-0.217978,11.8384,-1.23377,-1.88649,0.0463886,-0.710848,2.17913,0.69265,-1.66087,1.5064,5.01554,-0.0508488,0.612427,-0.874171,0.1103,-0.09109,1.26733,-0.446322,-0.374612,1.06695,-0.358444,0.819982,-0.150896,0.135548,-1.0548,-1.57107,0.330808,0.672612,0.201137,-0.798221,0.443284,-0.0052174,-0.786718,-1.17165,1.7236,-0.160085,-2.18138,0.215858,0.277178,1.09467,1.23145,0.865964,0.0817867,1.25226,-1.14034,0.337718,0.45584,-0.0682259,0.257337,0.655679,0.041598,-0.610719,0.39033,-2.13277,1.09105,1.21332,-0.1524,0.197993,0.473608,0.0345355,-0.19527,0.387732,-1.08095,0.71468,1.91776,-0.639565,-0.0883864,2.07013,-0.442882,-1.11154,-0.808662,-0.896961,0.622544,0.748768,-0.11911,-0.13201,1.63176,-0.655541,0.407896,-0.640061,-1.65684,0.713447,1.29484,-0.118347,-0.27709,1.41722,-0.760935,-0.447484,-0.631648,-1.62626,0.751688,1.24347,0.229185,0.401381,1.87628,0.732506,-0.820572,0.872526,1.04025,-1.08526,0.747343,0.789559,-0.969623,0.842322,0.85505,-6.188,-9.46178,0.232664,-3.56529,10.9295,3.47401,-8.33015,7.55543,-0.054253,0.653427,-0.932694,0.117684,-0.0971882,1.35218,-0.476202,-0.399691,-0.0720964,0.164929,-0.0303508,0.0272637,-0.212159,-0.316,0.0665377,0.135287,-0.172302,0.0956862,-0.00112622,-0.169819,-0.252909,0.372053,-0.0345555,-0.470868,0.126349,0.498994,0.561343,0.394741,0.0372816,0.570829,-0.519813,0.153945,-0.08278,0.312233,0.79555,0.0504718,-0.740998,0.473596,-2.58774,1.3238,-0.292267,0.379703,0.908268,0.066231,-0.374482,0.743577,-2.07301,1.37059,-0.478886,-0.0661809,1.55005,-0.331616,-0.832288,-0.605501,-0.671616,0.466141,-0.154228,-0.170931,2.11286,-0.848819,0.52816,-0.828775,-2.14534,0.923798,-0.147161,-0.344554,1.76227,-0.946201,-0.556433,-0.785436,-2.0222,0.934702,-0.601074,0.63913,0.761986,-0.794959,0.547433,0.578356,-0.710254,0.617006,0.626329,-23.592,-0.217978
-1947.18,0.941035,0.0199378,8,255,0,1994.4,0.498091,11.9365,-1.66475,-1.08305,0.0917455,-0.484735,0.977855,0.493615,-1.00137,0.736584,7.12405,0.322459,0.489265,-0.343862,0.688751,-0.213893,1.32756,-0.56491,-1.08789,0.913524,0.580701,0.315963,1.33908,0.431823,0.156317,0.570941,-0.232459,-0.917164,0.0938641,-0.184241,0.751853,0.479188,1.77837,0.696485,-0.837511,0.317918,1.39091,0.0201874,0.693768,0.101218,-0.183431,1.08775,-0.201143,-1.9355,-1.70544,-1.12024,0.494553,0.453551,0.224586,0.532519,0.344854,0.118034,0.752361,-1.78532,0.744701,1.20518,0.24314,0.358099,1.24933,0.314753,0.226116,0.647233,-2.27136,-0.171413,0.882357,-0.135003,-0.442098,1.47373,-0.0388402,-0.726693,-1.21495,-0.312586,-0.0136903,0.82957,0.0294115,-0.317386,1.90543,-0.299635,0.179911,-0.964828,-2.11636,-0.705397,1.02509,0.146101,-0.289526,0.930621,-0.489368,-0.0906634,-0.366611,-1.0209,0.287981,1.7126,0.265288,0.376776,1.68815,0.740461,-1.718,-0.111373,-0.0257464,-2.13595,-0.391833,-0.176891,-1.83526,-0.162348,-0.0617816,-11.8598,-7.71568,0.653599,-3.45327,6.96629,3.51654,-7.13378,5.24746,0.294574,0.446955,-0.314127,0.629191,-0.195397,1.21276,-0.516059,-0.993813,0.054507,0.0296575,0.125692,0.0405327,0.0146725,0.0535908,-0.0218196,-0.0860887,-0.00371935,0.015178,0.00967357,0.0359008,0.0140602,-0.0169072,0.00641794,0.028079,0.343105,0.0500575,-0.0907165,0.537952,-0.0994759,-0.957208,-0.843433,-0.554017,0.54661,0.270666,0.64178,0.415611,0.142252,0.906729,-2.15163,0.897497,0.214536,0.315971,1.10236,0.277724,0.199515,0.571091,-2.00415,-0.151248,-0.111995,-0.366751,1.22256,-0.0322207,-0.602843,-1.00789,-0.259312,-0.011357,0.0301496,-0.32535,1.95324,-0.307154,0.184426,-0.98904,-2.16947,-0.723099,0.250213,-0.495843,1.59378,-0.838092,-0.15527,-0.627857,-1.7484,0.493196,-1.27211,-0.0824672,-0.0190642,-1.58159,-0.290137,-0.130981,-1.35894,-0.120212,-0.0457468,-24.387,0.498091
-1944.15,0.932252,0.0199378,8,255,0,1998.66,0.452889,14.2124,-1.44351,-0.821285,0.145931,-0.320456,0.693696,0.274626,-1.03493,0.829394,9.37335,-0.39505,0.56728,-0.464149,0.456355,-0.0131799,0.0334141,-0.394752,-0.997166,0.766193,0.0806076,0.0472952,0.597912,0.949201,-0.134441,-0.325399,-0.342411,-1.6273,0.31449,-1.00077,0.166818,0.141946,0.899215,0.45609,-0.207795,-1.20563,1.36575,0.0635343,0.82556,0.391504,0.344491,1.33249,0.299156,-0.749523,-1.68153,-1.33368,0.661361,0.0118884,0.162201,0.446544,0.217904,0.307366,0.410394,-1.10667,-0.422006,2.28939,0.0556705,0.189923,1.01406,0.574716,0.218059,0.0895653,-2.06496,-0.321374,1.06904,-0.00549406,0.0448481,0.930015,0.0671836,-0.0530672,-1.95391,-0.857832,0.380907,0.648846,0.168064,-0.181217,2.06932,-0.229828,-0.0368203,-0.357128,-1.94851,0.51465,0.936424,-0.0351814,-0.213603,1.2638,-0.489038,0.246793,-0.71428,-1.4294,1.09961,1.46165,0.279664,0.364315,1.83795,0.73445,-1.65324,0.0178028,0.114983,-2.30874,-0.272633,-0.0825959,-1.81546,-0.142032,-0.0620933,-13.5306,-7.6982,1.36787,-3.00375,6.50226,2.57417,-9.70078,7.7742,-0.302684,0.434646,-0.355627,0.349656,-0.0100983,0.0256017,-0.302456,-0.764021,0.0253503,0.0148739,0.188037,0.298514,-0.0422805,-0.102335,-0.107685,-0.51177,-0.063583,0.0105987,0.00901843,0.057131,0.0289774,-0.0132021,-0.0765989,0.0867718,0.545993,0.258926,0.227833,0.881256,0.19785,-0.495706,-1.1121,-0.882044,0.0272171,0.371342,1.02231,0.498866,0.70368,0.939551,-2.53361,-0.966136,0.059514,0.203036,1.08407,0.614394,0.233114,0.095749,-2.20753,-0.343561,-0.0035648,0.0290995,0.603436,0.0435918,-0.0344324,-1.26779,-0.556601,0.24715,0.157379,-0.169696,1.93776,-0.215216,-0.0344794,-0.334423,-1.82463,0.481931,-0.0514227,-0.312212,1.84723,-0.714801,0.360725,-1.04403,-2.08928,1.60724,-1.21422,0.0130752,0.0844495,-1.69565,-0.200235,-0.0606626,-1.33336,-0.104315,-0.0456044,-25.4314,0.452889
-1942.25,0.608469,0.0199378,8,255,0,2001.94,0.369566,14.1059,-1.42314,-0.818676,0.122039,-0.273251,0.749689,0.304875,-0.951561,1.02665,9.9297,-0.375451,0.695457,-0.905265,0.200324,-0.237851,0.408555,-0.504577,-0.813489,0.808685,-0.263388,0.241578,-0.151069,1.05933,-0.0991327,-0.200588,-0.483118,-1.43092,0.109976,-1.29477,0.329957,-0.713822,1.27993,0.750555,-0.235073,-1.05455,1.29026,0.0344237,0.576406,0.341246,0.511837,0.90078,-0.207468,-0.542543,-1.56654,-1.50436,0.74494,0.126294,0.16162,0.197779,0.259521,0.190256,0.517841,-1.28272,-0.096558,2.40928,0.173136,0.224483,0.908276,0.570698,-0.0645379,0.168844,-1.97878,-0.373111,1.20759,-0.16467,-0.176467,0.903231,0.106131,-0.278427,-1.66881,-0.377108,0.561801,0.634384,0.00450673,-0.303498,1.52063,-0.349556,-0.084049,-0.404374,-2.07855,0.230782,0.831002,-0.122617,-0.224721,0.96259,-0.452466,0.154493,-0.72393,-1.61123,0.891897,1.58935,0.272197,0.374372,1.76164,0.741878,-1.63264,0.0644764,0.0620501,-1.91375,-0.0565953,-0.0322295,-1.68443,-0.136471,0.0665923,-14.1314,-8.12921,1.21181,-2.7133,7.44418,3.02731,-9.44871,10.1943,-0.303622,0.562406,-0.732075,0.161999,-0.192346,0.330392,-0.408044,-0.657857,-0.0289664,0.0265679,-0.016614,0.116501,-0.0109022,-0.02206,-0.0531315,-0.157367,-0.044571,0.0113584,-0.0245724,0.0440599,0.0258369,-0.00809209,-0.0363015,0.0444155,0.429388,0.254207,0.381287,0.671027,-0.154551,-0.404162,-1.16697,-1.12066,0.304277,0.389388,0.476505,0.625258,0.45838,1.24762,-3.09043,-0.232635,0.209077,0.271085,1.09683,0.68917,-0.0779354,0.203895,-2.38957,-0.450566,-0.104464,-0.111948,0.572995,0.0673277,-0.17663,-1.05866,-0.239231,0.356397,0.0037451,-0.252208,1.26364,-0.290482,-0.0698449,-0.336035,-1.72728,0.19178,-0.194881,-0.357161,1.52989,-0.719127,0.245543,-1.15058,-2.56081,1.41754,-1.21122,0.0478336,0.0460336,-1.41977,-0.0419868,-0.0239104,-1.24964,-0.101245,0.0494033,-25.7563,0.369566
-1942.27,0.828993,0.0199378,8,255,0,1989.45,0.440614,13.203,-1.72451,-1.45209,0.193902,-0.700397,1.43811,0.586369,-1.002,0.740916,5.79675,0.442968,0.601084,-0.969524,1.2326,0.923003,1.26576,0.340253,-0.172327,0.729553,0.283067,0.546283,0.680075,1.75391,0.0446644,-1.15947,0.690342,-0.567239,0.0577644,0.17667,-0.984814,-0.742675,1.77374,0.0600233,0.307114,1.02996,-1.24728,0.0775468,0.413703,0.482893,0.443106,0.976278,-0.321127,0.598448,0.0986482,0.92818,0.617955,0.0711065,0.154262,0.791131,0.146589,-0.590096,0.511876,-1.11212,0.242104,1.64626,0.0318115,0.159595,1.0689,0.208275,-0.337434,0.548907,-1.83761,0.210637,1.42148,-0.00581289,-0.141956,0.89172,-0.0924453,-0.315298,-0.0950837,-0.742316,-0.0635128,1.31245,-0.0114951,-0.186846,1.81103,-0.188023,-0.11175,-0.247648,-1.89668,-0.103393,1.43084,0.0705388,-0.307794,1.33364,-0.390794,0.0433693,0.0415834,-1.12349,0.200046,1.47181,0.25509,0.397337,1.87892,0.689714,-1.89126,-0.0704448,0.0564825,-2.35958,-0.356989,-0.0573406,-2.02975,-0.072201,-0.0746889,-9.99656,-8.41743,1.124,-4.06003,8.33636,3.39904,-5.80837,4.29491,0.323168,0.438523,-0.707319,0.899245,0.673379,0.92344,0.248233,-0.125722,0.0163512,0.0315558,0.0392842,0.101314,0.00258001,-0.0669762,0.0398772,-0.0327662,0.0137002,-0.0763692,-0.0575921,0.137548,0.00465462,0.0238157,0.0798699,-0.0967224,0.25565,0.298406,0.27382,0.603296,-0.198442,0.369814,0.0609602,0.573574,0.11706,0.253956,1.30241,0.241324,-0.971453,0.842682,-1.83084,0.398567,0.0452194,0.226861,1.51942,0.296058,-0.479656,0.78026,-2.61213,0.299416,-0.00762914,-0.186311,1.17034,-0.12133,-0.413814,-0.124793,-0.974255,-0.0833576,-0.0164477,-0.267347,2.59129,-0.26903,-0.159897,-0.354345,-2.71385,-0.147938,0.10382,-0.453014,1.96286,-0.575175,0.0638314,0.0612029,-1.65356,0.29443,-1.30443,-0.0485867,0.0389568,-1.62743,-0.24622,-0.0395486,-1.39994,-0.049798,-0.0515139,-24.078,0.440614
-1955.51,0.981408,0.0199378,8,255,0,1997.04,0.476733,13.4284,-1.4458,-1.20367,0.0846623,-0.454972,1.21053,0.695677,-1.49684,0.865578,6.89295,0.0782122,0.792506,-1.3191,1.10065,-0.309788,1.2355,-0.883042,-0.847912,0.31314,0.559085,-2.15261,-0.689456,-1.4707,-0.830453,-0.0502283,-0.0121569,1.21814,0.080063,-1.00397,-1.60724,-0.522142,-0.456716,-0.693109,-0.27765,-0.165789,0.818932,0.0895606,0.292115,0.0594112,0.243597,0.856237,-0.427798,-1.11086,-3.24334,-0.818907,0.808637,0.233308,0.134526,0.648365,0.577815,0.154658,0.861107,-1.71768,0.428721,0.908557,0.0539783,0.104437,0.313727,-0.0696926,-0.0667965,0.279638,-0.989786,0.424648,2.13424,0.383421,-0.85252,0.815649,-0.450765,-0.835784,-1.89789,-0.90792,1.45596,0.467639,0.431558,-0.608769,1.84413,-0.288455,0.373592,-0.798331,-1.23115,1.3634,0.736081,0.0317164,-0.670445,1.6133,-0.880018,-0.0252089,-1.55259,-2.03958,1.01078,0.967492,0.286386,0.381439,1.75358,1.00274,-1.33016,0.0237098,0.057174,-1.71304,-0.0874838,-0.178335,-1.44088,-0.144541,-0.00535552,-9.96586,-8.29685,0.583573,-3.1361,8.34414,4.79527,-10.3177,5.96639,0.0244914,0.248166,-0.413065,0.344658,-0.097007,0.386885,-0.276516,-0.265515,0.0447621,-0.172344,-0.0552,-0.117748,-0.0664886,-0.00402143,-0.000973315,0.097528,-0.0899158,-0.143945,-0.0467634,-0.0409038,-0.0620753,-0.0248665,-0.0148482,0.0733441,0.236215,0.0480421,0.196982,0.692385,-0.345933,-0.89828,-2.62269,-0.662199,0.211974,0.122224,0.589076,0.524978,0.140516,0.782365,-1.56061,0.389517,0.115203,0.222893,0.669569,-0.148741,-0.14256,0.596814,-2.11244,0.9063,0.179303,-0.398671,0.381429,-0.210795,-0.390845,-0.887527,-0.424579,0.680866,0.317661,-0.448103,1.35743,-0.212326,0.274994,-0.587636,-0.906225,1.00357,0.0306854,-0.64865,1.56086,-0.85141,-0.0243894,-1.50212,-1.97328,0.977923,-1.33381,0.0237747,0.0573307,-1.71773,-0.0877235,-0.178824,-1.44483,-0.144937,-0.00537019,-24.2679,0.476733
