# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_ef13312cd2f_model
# start_datetime = 2023-06-16 14:13:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/standata-ef123ff4b01.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_08e181b24ccdd8ab650ed682bc542235-202306161113-1-657bd6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_08e181b24ccdd8ab650ed682bc542235-profile-202306161113-1-416518.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0255586
# Diagonal elements of inverse mass matrix:
# 0.0517457, 5.31371, 0.345007, 0.106883, 0.014018, 0.0399484, 0.143659, 0.0849373, 0.237969, 0.23329, 0.0631404, 0.329555, 0.249239, 0.412906, 0.388963, 0.647049, 0.541448, 0.566859, 0.712584, 0.26753, 0.599465, 0.514618, 0.890972, 0.696015, 0.933167, 1.0037, 0.898608, 1.02203, 1.34513, 0.703804, 0.450448, 0.875697, 0.800334, 0.937198, 0.887933, 0.99693, 1.04231, 1.34377, 0.261922, 0.121673, 0.435736, 0.335459, 0.599739, 0.459434, 0.684763, 0.553067, 0.384192, 0.068533, 0.0299856, 0.170398, 0.0875785, 0.200024, 0.1969, 0.344817, 0.274636, 0.131728, 0.128095, 0.0513418, 0.231034, 0.116383, 0.256253, 0.292168, 0.364204, 0.438195, 0.163915, 0.175091, 0.104617, 0.417792, 0.30087, 0.477174, 0.414607, 0.485779, 0.532216, 0.410557, 0.0691735, 0.0307908, 0.287455, 0.096115, 0.170331, 0.182996, 0.335527, 0.276027, 0.111462, 0.0555372, 0.0403319, 0.248459, 0.101097, 0.178123, 0.16013, 0.310235, 0.246146, 0.100863, 0.0215525, 0.00155241, 0.0222979, 0.0721897, 0.152374, 0.123043, 0.131865, 0.221362, 0.107656, 0.121177, 0.174232, 0.117455, 0.123905
-1964.31,0.997779,0.0255586,7,127,0,2031.83,-0.238074,9.6929,-1.47029,-1.18148,0.111826,-0.437432,1.27873,-0.34167,0.87456,1.14427,5.73205,-0.244592,0.412267,1.30001,0.554279,1.13373,-0.16912,-0.632887,-2.16992,0.701054,0.718979,0.402224,0.0862814,-0.416976,-1.22314,0.941046,0.877273,-1.88935,0.242862,0.886993,0.148494,0.317085,-0.261617,0.343717,-0.433534,0.00979852,-0.86312,0.228755,-1.12091,0.800986,-0.258642,0.545056,-0.678462,-1.37447,-2.33028,1.63191,0.354353,-0.0438159,0.456665,-0.844413,0.237233,0.220481,0.974589,-2.56288,-0.3757,0.963646,-0.0228046,0.714708,-2.02639,0.612263,-1.20523,1.43344,-2.7765,-1.08859,0.565597,0.0594797,-0.329048,-2.03656,0.426039,0.18797,-1.78952,-0.516272,1.47186,0.315536,-0.0395345,-0.198626,-1.12527,-0.220571,-0.0471647,-0.175806,-1.1121,0.0214577,1.59866,-0.212113,-0.320083,-1.2973,-0.906803,0.109262,-0.579241,-0.9474,0.826522,1.00036,0.263757,0.384665,1.7047,0.873539,-0.661068,0.67116,0.742291,-1.09016,0.579965,0.758066,-0.82663,0.681434,0.696181,-8.42779,-6.7723,0.640995,-2.50738,7.32977,-1.95847,5.01303,6.55904,-0.171472,0.289021,0.911378,0.38858,0.794804,-0.118562,-0.443688,-1.52123,0.174612,0.0976849,0.0209544,-0.101267,-0.297053,0.228544,0.213056,-0.458851,0.202904,0.0339689,0.0725348,-0.0598463,0.078627,-0.0991731,0.00224146,-0.197443,-0.397199,0.283832,-0.0916506,0.193142,-0.240415,-0.487049,-0.82574,0.578271,-0.042223,0.440063,-0.813715,0.228609,0.212466,0.939159,-2.46971,-0.362042,-0.0128982,0.404237,-1.14612,0.346294,-0.681673,0.810747,-1.57038,-0.615701,0.018768,-0.103827,-0.64261,0.134431,0.0593114,-0.564659,-0.162903,0.464426,-0.063202,-0.317534,-1.79891,-0.352617,-0.0754002,-0.281054,-1.77787,0.0343035,-0.212188,-0.320197,-1.29776,-0.907126,0.109301,-0.579448,-0.947737,0.826816,-0.577468,0.586284,0.64842,-0.952296,0.506622,0.6622,-0.722094,0.595259,0.608142,-26.3572,-0.238074
-1969.26,0.994048,0.0255586,7,127,0,2018.58,-0.30402,9.12595,-2.03635,-1.21327,0.0993317,-0.389887,0.973402,-0.44479,0.767204,1.2613,5.63709,0.572137,0.719796,0.747759,0.734134,0.473528,1.70749,0.242653,-0.229645,0.637026,0.662325,0.288436,0.894103,-0.248365,0.324635,0.311005,-1.85051,0.394165,0.241138,0.637152,0.141132,0.948593,0.320017,0.0967712,0.398984,0.35119,-0.557786,0.460723,-0.555873,0.46265,-0.275149,0.324983,0.784555,-0.93022,-1.15422,-1.66513,0.379324,0.343513,0.246572,-1.09239,0.69743,-0.0175432,0.616966,-2.23578,-0.545928,0.86889,-0.182404,0.461253,-1.56421,0.700935,-0.423778,1.67441,-2.5548,-0.351951,0.330818,0.350614,-0.190625,-2.39857,-0.167409,0.197402,-2.62164,-0.709291,0.456357,0.378159,0.141461,-0.0897134,-1.26543,-0.142639,0.708692,-0.898739,-1.07666,-0.10132,1.07353,0.346388,-0.45038,-2.12032,-0.539241,-0.355414,-0.888627,-0.871892,0.679922,0.858875,0.316394,0.392721,1.83209,0.780132,-0.60514,0.85605,0.823006,-1.18811,0.74898,0.859195,-0.8376,0.754595,0.86167,-11.4791,-6.83933,0.559941,-2.19783,5.48715,-2.50732,4.3248,7.11004,0.364466,0.458528,0.476341,0.467662,0.30165,1.08771,0.154576,-0.14629,0.159712,0.0695529,0.215602,-0.0598902,0.0782817,0.0749951,-0.446228,0.095048,0.293551,0.0650228,0.437039,0.147439,0.0445847,0.183821,0.161801,-0.256985,-0.210856,0.175494,-0.10437,0.123274,0.2976,-0.352855,-0.437822,-0.631622,0.298475,0.214244,-0.949168,0.60599,-0.0152431,0.536075,-1.94264,-0.474351,-0.0603426,0.152591,-0.517468,0.231882,-0.140194,0.553927,-0.845176,-0.116432,0.132588,-0.0720865,-0.90704,-0.0633073,0.0746493,-0.991394,-0.268224,0.172575,0.151863,-0.0963101,-1.35847,-0.153127,0.760802,-0.964824,-1.15583,-0.10877,0.297503,-0.38682,-1.82109,-0.46314,-0.305256,-0.763219,-0.748846,0.583968,-0.472089,0.667832,0.642054,-0.926887,0.584303,0.670286,-0.653439,0.588683,0.672217,-25.7309,-0.30402
-1977.68,0.986345,0.0255586,7,255,0,2021.95,-0.26902,10.0105,-2.07862,-1.11845,-0.0139659,-0.301176,1.30579,-0.426668,0.936753,1.44074,5.99772,-0.0080544,0.628148,0.776984,0.865624,0.538934,1.14001,-0.0679206,-0.474048,0.679394,0.492295,-0.0744148,-0.0647804,-0.278341,0.807849,-0.0723629,-1.42539,-0.184659,0.309,0.142687,-0.112315,0.771395,0.504256,1.15092,0.144691,0.19931,-1.71021,0.467383,-0.791823,0.487972,0.426387,0.686034,-0.586236,-1.33595,-0.0429836,-1.78499,0.370935,0.335712,0.190655,-1.24917,0.896042,0.861403,0.850298,-1.47225,-0.35334,0.610091,-0.0717728,0.518651,-1.4434,0.670083,-0.544455,2.04375,-1.74315,0.477224,0.351405,0.620259,-0.493245,-1.96185,-0.423635,-0.602131,-2.80071,-1.39838,0.584194,0.46865,-0.00387944,-0.339261,-1.35305,-0.265858,0.736448,-0.551256,-0.217091,-0.503297,1.39022,0.475343,-0.519863,-1.74807,-0.661632,-0.191742,-0.787509,-1.4539,-0.253727,0.853756,0.344513,0.413217,1.87911,0.666784,-0.894632,1.04045,1.03819,-1.41591,0.824525,0.817996,-1.00765,1.01416,0.932345,-12.467,-6.70815,-0.0837638,-1.80637,7.83177,-2.55903,5.61838,8.64113,-0.00547212,0.42676,0.527879,0.5881,0.366149,0.774514,-0.0461449,-0.322065,0.152119,-0.0229942,-0.0200171,-0.0860074,0.249626,-0.0223602,-0.440445,-0.0570598,0.0666897,-0.0524943,0.360537,0.235681,0.537922,0.067626,0.0931544,-0.799324,-0.293715,0.181006,0.158162,0.254474,-0.217455,-0.495549,-0.0159441,-0.662116,0.204815,0.116317,-0.762107,0.546667,0.525534,0.51876,-0.898206,-0.21557,-0.0252213,0.182257,-0.507218,0.23547,-0.191324,0.718184,-0.61255,0.167699,0.290685,-0.231159,-0.919421,-0.198537,-0.282189,-1.31255,-0.65535,0.273783,-0.00539326,-0.471646,-1.88103,-0.3696,1.02382,-0.766366,-0.301803,-0.699692,0.405826,-0.443836,-1.49242,-0.564872,-0.1637,-0.67234,-1.24128,-0.216621,-0.596526,0.693757,0.692245,-0.944107,0.54978,0.545426,-0.671884,0.676226,0.621672,-26.1576,-0.26902
-1993.71,0.971146,0.0255586,8,255,0,2041.18,0.237576,6.27886,-1.52217,-1.09922,-0.168533,-0.39479,1.54504,-0.940058,0.209116,-0.30651,4.96328,0.126477,-0.0614991,1.2278,0.2198,0.521631,0.996971,0.201272,-0.639482,0.837823,-0.106569,-3.58307,-0.245753,-0.173058,0.759978,-0.166839,-1.52728,-0.229608,0.0638505,0.328953,-0.463697,0.992875,-1.05393,0.00834661,0.45036,0.281253,-0.800358,0.569687,-0.691279,0.00832915,-0.480288,-0.198078,-1.21318,0.9952,-0.84577,1.38671,0.523152,-0.582038,-0.253516,-0.250899,0.175515,-1.3455,0.158273,-2.2899,1.43155,0.457728,-1.81845,0.144179,-1.61492,-0.733318,-0.943103,0.55243,0.039032,0.870758,0.158151,-0.0687867,-1.19671,-1.40758,-0.855437,-0.614081,-1.91913,-1.18509,0.0677994,0.415128,-0.598258,-0.64875,-2.03212,-0.878357,0.366326,-0.877794,-1.7313,0.905915,0.696297,0.0732783,-0.867384,-1.84069,-0.546615,-0.67552,-1.56057,-1.31807,0.536599,0.713028,0.332381,0.381346,1.90149,0.739491,-1.4017,0.149928,0.287055,-1.92882,0.115327,0.190684,-1.67529,0.00572718,0.127421,-7.55495,-5.45573,-0.836476,-1.95945,7.66845,-4.66577,1.0379,-1.52129,0.105965,-0.0515254,1.02868,0.184154,0.437034,0.835286,0.16863,-0.535773,-0.00680446,-0.228781,-0.0156914,-0.0110499,0.048525,-0.0106527,-0.0975176,-0.0146606,0.1874,-0.264162,0.565628,-0.600411,0.00475495,0.256564,0.160226,-0.455953,-0.361644,0.00435741,-0.251263,-0.103625,-0.634675,0.52064,-0.442466,0.725459,-0.266415,-0.116041,-0.114843,0.0803382,-0.615873,0.072446,-1.04815,0.655258,-0.28759,0.0228021,-0.255402,-0.115975,-0.149153,0.0873674,0.00617295,0.137711,-0.0285553,-0.496789,-0.584324,-0.355116,-0.254922,-0.796684,-0.491964,0.0281454,-0.416565,-0.451722,-1.41496,-0.611597,0.255071,-0.611205,-1.2055,0.630786,0.0522495,-0.618469,-1.31246,-0.389751,-0.481664,-1.11273,-0.939819,0.38261,-1.03655,0.11087,0.212275,-1.42635,0.0852837,0.141009,-1.23887,0.0042352,0.0942269,-24.1397,0.237576
-1996.99,0.972421,0.0255586,8,511,0,2063.21,-0.0336489,10.2035,-2.39876,-0.897632,-0.0227721,-0.206696,1.31334,-0.497539,0.660884,0.307622,5.39227,0.86335,0.545803,2.46256,1.27178,0.682888,1.71993,-0.952429,-0.439531,0.316296,0.570448,-2.1488,0.882922,1.06431,-1.00825,1.04606,0.685096,-0.0778687,0.0712175,0.978875,-0.738053,-0.285284,0.197882,-0.0718047,-0.618986,-1.06171,-1.43398,0.445616,-0.0192513,-0.581699,-0.377978,0.886455,0.221644,-0.598604,-0.0798504,-1.65934,0.182085,0.27265,-0.110867,-1.32206,0.33033,0.305395,1.81878,-1.15699,0.359074,0.47547,-0.125462,-1.50573,-0.264125,0.814215,0.123649,-0.424937,-1.90328,0.0876985,0.0956831,0.32209,-1.00848,-0.801211,-0.767151,-0.0332525,-0.752433,-0.217404,1.03418,0.475994,0.218634,-0.384294,-0.847083,0.00328037,0.129999,-0.209618,-2.00204,-0.3301,1.2475,-0.000519485,-0.843257,-1.76679,-0.392647,0.689716,-0.899315,-0.957324,1.08793,0.966654,0.310031,0.390555,1.95529,0.574725,-1.42193,0.831801,0.808939,-1.97889,0.308747,0.579147,-1.59006,0.71796,0.744884,-12.9348,-4.84028,-0.122793,-1.11456,7.0819,-2.68286,3.56367,1.65878,0.273075,0.172636,0.778899,0.40226,0.215995,0.544007,-0.30125,-0.139022,0.0406258,-0.153032,0.0628795,0.0757973,-0.0718053,0.074498,0.0487908,-0.00554561,0.436203,-0.328888,-0.127127,0.0881795,-0.0319973,-0.27583,-0.473115,-0.639004,-0.00350537,-0.105919,-0.0688242,0.16141,0.0403581,-0.108997,-0.0145396,-0.302142,0.129637,-0.052714,-0.628598,0.157062,0.145206,0.864774,-0.550114,0.170729,-0.0120046,-0.144073,-0.0252723,0.0779066,0.0118312,-0.0406593,-0.182112,0.00839127,0.153313,-0.48003,-0.381372,-0.365159,-0.015828,-0.358154,-0.103483,0.492265,0.272746,-0.479405,-1.05673,0.00409226,0.162173,-0.261497,-2.49754,-0.411798,-0.000502162,-0.815138,-1.70787,-0.379554,0.666716,-0.869327,-0.925401,1.05165,-0.817217,0.478057,0.464917,-1.13732,0.177444,0.33285,-0.913848,0.41263,0.428103,-25.9217,-0.0336489
-1998.52,0.982807,0.0255586,8,511,0,2052.5,-0.422676,7.44003,-1.14621,-1.24067,-0.111051,-0.40369,1.54284,-0.446844,1.4435,0.604231,4.70373,-0.138472,0.24013,0.961717,0.103907,0.872127,0.221894,-0.333187,0.346972,1.51733,0.69852,-1.56234,-0.273482,-1.11249,0.386653,-0.643646,-0.177047,0.299988,0.100489,0.509116,0.680475,1.95694,-0.72013,-0.122634,0.218567,1.46477,0.674504,0.252008,0.130525,0.493799,0.21577,0.849641,0.137493,-0.30728,-1.89904,1.2289,0.37472,-0.406471,0.272681,-0.223578,0.155775,0.216403,0.261334,-2.73398,-0.0861653,0.703645,-1.3378,-1.25852,-0.659523,0.98013,0.657448,1.49087,-0.069207,-0.411031,0.00695227,-0.105317,-0.302702,-1.7899,-0.809055,-0.457755,-0.750046,-0.750206,1.12287,0.537997,-0.0394552,-0.261025,-1.22488,-0.189279,0.334511,-0.885667,-1.94213,0.178673,1.0972,-0.0445808,-0.622414,-2.7602,-1.80486,0.806009,-0.909702,-1.4869,0.990141,0.575285,0.311123,0.405937,1.98576,0.65926,-0.729009,1.1811,1.26564,-1.12636,0.839158,1.02447,-0.767792,1.15622,1.35277,-5.39146,-5.83578,-0.522354,-1.89885,7.25709,-2.10183,6.78983,2.84214,-0.210108,0.364357,1.45924,0.157661,1.3233,0.336686,-0.505554,0.526471,0.0701936,-0.156998,-0.0274819,-0.111793,0.0388544,-0.0646794,-0.0177913,0.0301455,0.128302,0.171485,0.493165,-0.181479,-0.0309049,0.0550806,0.369135,0.169981,0.0489101,0.185036,0.0808534,0.318377,0.0515212,-0.115144,-0.711606,0.460493,-0.286011,0.191871,-0.157319,0.10961,0.152271,0.183886,-1.92375,-0.0606298,-0.00930076,-0.00874955,-0.00458519,0.00681413,0.00457076,0.0103649,-0.000481146,-0.0028576,-0.0566605,-0.162853,-0.962959,-0.43527,-0.246271,-0.403523,-0.403609,0.604101,-0.0432904,-0.286398,-1.34394,-0.207678,0.367027,-0.971757,-2.13091,0.19604,-0.0256467,-0.358065,-1.5879,-1.03831,0.463685,-0.523338,-0.855392,0.569613,-0.480606,0.778655,0.834388,-0.742566,0.553223,0.675394,-0.506175,0.762248,0.89183,-24.779,-0.422676
