# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_11b65979a50_model
# start_datetime = 2023-06-28 14:53:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/standata-11b63355ece5.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_08e181b24ccdd8ab650ed682bc542235-202306281153-4-974233.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_08e181b24ccdd8ab650ed682bc542235-profile-202306281153-4-61181a.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0197305
# Diagonal elements of inverse mass matrix:
# 0.0557435, 6.49405, 0.330504, 0.106154, 0.0163731, 0.0379878, 0.144419, 0.092274, 0.204627, 0.223772, 0.0622909, 0.362073, 0.323743, 0.390025, 0.376066, 0.62111, 0.620826, 0.703502, 0.680193, 0.330209, 0.728928, 0.598918, 0.78838, 0.738244, 0.835223, 0.776814, 0.83932, 0.883438, 1.34286, 0.660455, 0.505645, 0.812526, 0.761321, 0.898551, 0.875342, 0.772424, 0.91412, 1.42599, 0.310053, 0.132556, 0.456396, 0.454968, 0.604742, 0.483075, 0.702374, 0.713765, 0.417884, 0.0679469, 0.0312617, 0.192863, 0.0957718, 0.232793, 0.240345, 0.360317, 0.23513, 0.127914, 0.1188, 0.0475411, 0.258259, 0.157707, 0.324903, 0.223825, 0.34453, 0.382453, 0.179905, 0.165773, 0.0837167, 0.340614, 0.173062, 0.41456, 0.36875, 0.611797, 0.511145, 0.260764, 0.0600828, 0.0292205, 0.280055, 0.0832135, 0.186236, 0.154819, 0.311133, 0.231505, 0.102943, 0.0537544, 0.0250287, 0.210423, 0.0994549, 0.181494, 0.147056, 0.265135, 0.293668, 0.0884223, 0.0208775, 0.00143478, 0.0239496, 0.0712609, 0.170555, 0.10692, 0.108674, 0.246008, 0.0949121, 0.102923, 0.19746, 0.100311, 0.10434
-1959.61,0.594126,0.0197305,8,255,0,2012.39,-0.0305179,9.37571,-1.08779,-1.34069,-0.207776,-0.481469,1.40087,-0.713588,1.4401,0.262088,6.25957,0.903211,0.414805,0.628914,-0.932001,0.958935,-0.318164,0.0860734,0.231859,0.454708,0.793539,-0.434269,0.160687,-0.441348,-1.80701,-0.128812,-0.617594,-0.540119,0.527063,0.918804,-0.790096,0.581772,-1.04027,-0.309936,-0.240837,0.443123,-1.74923,0.4083,-0.103521,0.0810565,-1.05557,-0.233806,0.292872,-1.09619,0.643901,0.634737,0.323102,0.378086,0.00784143,-1.12814,0.232713,-0.558553,1.22526,-2.88623,0.884881,0.801528,0.269473,0.196645,-1.26639,0.271357,0.131313,-0.784083,-2.04136,1.22895,0.540706,0.323696,-0.370769,-1.02887,-0.696072,-0.373006,-1.35524,-0.0689341,1.0007,1.08161,0.193902,-0.612254,-1.49361,-1.42204,-0.389725,-0.458819,-1.83265,1.46078,0.707875,0.486509,-0.379386,-1.27082,-0.731976,-0.44041,-0.898148,-1.61479,0.350074,1.53018,0.295339,0.395228,1.75737,0.636162,-1.33555,0.789293,0.751341,-1.81126,0.449161,0.543543,-1.38949,0.481172,0.613682,-6.80912,-8.39216,-1.30059,-3.01379,8.76882,-4.46675,9.01442,1.64056,0.410697,0.188615,0.285972,-0.423788,0.436035,-0.144672,0.0391382,0.105428,0.418245,-0.228887,0.0846922,-0.232618,-0.952406,-0.0678922,-0.325511,-0.284677,0.375147,-0.322596,0.237537,-0.424742,-0.126547,-0.0983339,0.180927,-0.714212,-0.0334479,0.0261895,-0.341058,-0.0755433,0.0946275,-0.35418,0.208046,0.205085,0.303047,0.00628513,-0.904237,0.186526,-0.447696,0.982078,-2.3134,0.709257,0.145706,0.106327,-0.684744,0.146724,0.0710016,-0.423958,-1.10378,0.6645,0.350113,-0.401028,-1.11283,-0.752879,-0.403447,-1.46584,-0.0745599,1.08237,0.137258,-0.433399,-1.05729,-1.00663,-0.275876,-0.324786,-1.29729,1.03405,0.744443,-0.580527,-1.94458,-1.12005,-0.673905,-1.37432,-2.47092,0.535675,-0.849628,0.502119,0.477975,-1.15226,0.28574,0.345782,-0.883944,0.306104,0.390401,-26.3305,-0.0305179
-1960.72,0.993843,0.0197305,8,255,0,2004.19,0.000292805,8.48818,-1.6168,-1.34134,-0.200825,-0.585864,1.67022,-0.614689,0.953467,0.434276,5.36481,0.285882,0.785768,2.63893,0.556065,-0.794642,0.966869,-0.497926,-0.191111,0.332744,0.507932,-0.61174,0.31864,-1.10701,-0.0402436,-0.815694,0.900671,0.016401,0.245233,0.373271,-0.75788,0.494743,-0.620481,-1.12433,-1.20059,0.00823503,0.0516972,0.334558,-1.69366,0.101141,-0.164117,0.907953,-0.585794,0.19851,-1.23598,0.265049,0.232778,-0.00996295,0.0945966,-1.03627,-1.12279,-0.728427,0.0129086,-2.00635,0.777416,0.583508,-0.086946,0.0998218,-1.32591,-0.428157,-0.915281,-0.0752118,-1.72385,0.0947547,0.641574,0.148008,-0.236788,-0.523418,-0.52141,-0.637978,-0.733736,-1.44492,0.214091,1.36159,0.169654,-0.450131,-2.09919,-0.524377,0.821586,-0.41491,-1.49636,-0.391945,0.81621,-0.0562635,-0.58459,-1.49102,-1.38024,0.40424,-0.717019,-1.2219,0.986363,1.10315,0.280268,0.396957,1.97298,1.06509,-0.764125,0.372396,0.440439,-1.04627,0.234059,0.318107,-0.821168,0.340286,0.455945,-8.67383,-7.19602,-1.07739,-3.14305,8.96039,-3.29769,5.11516,2.32981,0.0951258,0.26146,0.878089,0.185028,-0.264413,0.32172,-0.165682,-0.0635911,0.124562,-0.150019,0.0781411,-0.271476,-0.00986907,-0.200035,0.220874,0.00402208,0.124881,-0.253555,0.16552,-0.207587,-0.376155,-0.401668,0.0027551,0.0172957,-0.394247,0.0235433,-0.0382028,0.211351,-0.13636,0.0462086,-0.287709,0.0616975,-0.00581346,0.0551978,-0.604674,-0.655154,-0.425043,0.00753224,-1.17072,0.453628,-0.0557823,0.0640431,-0.85067,-0.274695,-0.587221,-0.0482539,-1.10598,0.0607921,0.201527,-0.322409,-0.712683,-0.709949,-0.868667,-0.99905,-1.9674,0.291505,0.138473,-0.367402,-1.71338,-0.428002,0.670587,-0.338654,-1.22135,-0.31991,-0.062067,-0.64489,-1.64481,-1.52261,0.445937,-0.790978,-1.34794,1.0881,-0.813862,0.396636,0.469108,-1.11437,0.249294,0.338812,-0.874617,0.362435,0.485623,-25.6428,0.000292805
-1964.76,0.97251,0.0197305,8,255,0,2018.54,-0.391276,8.07952,-1.34193,-1.55209,-0.243694,-0.58305,1.33712,-0.631317,1.89297,0.842129,4.92333,0.850565,0.160884,-0.2435,0.298326,1.38096,-0.103154,-0.0514735,-0.242484,0.489061,0.763629,-0.384136,0.796231,-0.378906,-1.01746,-0.382768,-0.556843,-0.674012,0.411803,0.764771,-0.456433,1.0596,-0.334326,1.21268,0.126996,0.576508,-0.887103,0.368231,0.069661,0.159293,0.178009,-0.684852,0.901729,-0.173296,0.360225,0.309961,0.0349019,0.412646,0.0188441,-0.686455,0.518341,0.452187,0.627785,-2.03941,0.0622789,0.629284,0.188621,-0.0447701,-1.11319,0.355267,0.428826,-0.0269275,-1.92598,0.368112,0.964694,0.580009,-0.530752,-1.58662,-0.415313,-0.0493635,-2.11174,0.0113653,1.19582,0.716306,0.279994,-0.608989,-1.65132,-0.568281,-0.454042,-1.07639,-1.30432,1.44132,1.04236,0.510828,-0.740501,-2.01655,-0.809879,0.32867,-1.55959,-1.70111,0.905935,0.867342,0.285133,0.398216,1.74703,1.06041,-0.400243,0.776979,0.772881,-0.582589,0.562522,0.711366,-0.43801,0.604288,0.669888,-6.60675,-7.64147,-1.19979,-2.87055,6.58309,-3.10818,9.31971,4.14608,0.415978,0.078682,-0.119086,0.1459,0.675376,-0.0504486,-0.0251737,-0.118589,0.314464,-0.158188,0.32789,-0.156034,-0.418993,-0.157625,-0.229309,-0.27756,0.281613,-0.168073,0.390177,-0.123109,0.446546,0.046764,0.212288,-0.326659,0.0024313,0.00555964,0.00621285,-0.0239027,0.0314721,-0.00604836,0.0125725,0.0108182,0.259672,0.0118583,-0.431975,0.326184,0.284554,0.395055,-1.28337,0.0391911,0.181961,-0.0431895,-1.07389,0.342724,0.413686,-0.0259768,-1.85798,0.355115,0.415464,-0.380181,-1.13651,-0.297491,-0.0353594,-1.51265,0.00814106,0.856575,0.291854,-0.634785,-1.72127,-0.592352,-0.473274,-1.12198,-1.35957,1.50237,0.443063,-0.642267,-1.74904,-0.702442,0.285069,-1.35269,-1.47544,0.785755,-0.424421,0.823915,0.819569,-0.617782,0.596503,0.754338,-0.46447,0.640792,0.710354,-25.2365,-0.391276
-1961.57,0.990588,0.0197305,8,255,0,2004.24,0.0288866,10.5369,-1.43836,-1.23547,-0.0932181,-0.38691,1.63582,-0.64484,0.307129,0.771201,7.4137,0.767133,0.740964,2.3769,0.105007,-0.118334,1.87087,-0.621232,-2.21995,0.403267,-0.16663,-0.703283,0.65147,-1.97877,-1.19378,0.791737,1.28332,0.462461,0.304346,0.459385,-0.109139,1.16881,-0.999036,0.234322,1.34474,0.206619,-1.16413,0.609829,-0.623829,-1.62545,-0.407933,1.01427,-0.910012,0.144167,-0.426867,-0.375239,0.0211897,0.0981779,0.0978765,-0.685129,-0.114258,-0.93384,0.757422,-1.66223,0.349564,1.43539,0.103581,0.0600681,-0.414975,-0.00877329,-0.226682,0.684889,-1.37732,-0.526475,1.09589,0.502452,-0.334343,-0.819315,-0.317975,-1.04194,-1.10943,0.570127,0.889721,0.854448,0.000564425,-0.550259,-1.31951,-0.812744,0.187938,0.337783,-1.21908,-0.527191,0.990939,0.172706,-0.312082,-0.88093,-0.803251,-0.259528,-0.569299,-1.08627,0.465447,1.77186,0.290665,0.401285,1.75995,0.659746,-1.21917,0.439926,0.605715,-1.79756,0.303984,0.397419,-1.38886,0.439347,0.582319,-10.6636,-9.15941,-0.691091,-2.86843,12.1275,-4.78065,2.27696,5.71745,0.30936,0.298806,0.958525,0.042346,-0.0477202,0.75446,-0.250522,-0.895234,-0.0507132,-0.214042,0.198272,-0.60223,-0.363323,0.240962,0.390574,0.140748,0.280146,-0.0665561,0.712774,-0.609241,0.142896,0.820059,0.126002,-0.709919,-0.0132187,-0.0344428,-0.00864398,0.021492,-0.0192829,0.00305485,-0.00904518,-0.0079512,0.140923,0.140491,-0.983426,-0.164004,-1.34042,1.08719,-2.38594,0.501759,0.113514,0.0658282,-0.454769,-0.00961459,-0.248419,0.750566,-1.5094,-0.576961,0.429319,-0.285679,-0.700063,-0.271693,-0.890288,-0.947954,0.487144,0.760221,0.000559311,-0.545273,-1.30755,-0.80538,0.186235,0.334722,-1.20803,-0.522414,0.306011,-0.552965,-1.56088,-1.42325,-0.459846,-1.00872,-1.92473,0.824706,-0.804345,0.29024,0.399618,-1.18594,0.200552,0.262196,-0.916294,0.289857,0.384183,-27.5234,0.0288866
-1964.87,0.99187,0.0197305,8,255,0,2013.49,0.00196039,9.54365,-1.39724,-1.85805,-0.0518603,-0.663734,1.58049,-1.00658,1.80006,0.907167,4.30703,0.523753,0.241928,0.672799,0.204171,0.744921,1.14714,0.117075,-0.230066,0.790427,2.01465,-2.12199,0.993802,-0.194227,0.00474656,-1.82933,-1.44655,-1.71484,0.15641,1.33566,-0.969907,-0.226068,0.633158,-0.31554,-1.57806,0.494063,0.13758,0.268114,-0.254294,-0.245637,1.12731,1.12984,0.95104,0.282913,0.342734,0.0338635,0.351758,0.110275,0.00112079,-0.634952,0.261603,-0.482805,0.534499,-1.51965,0.442105,1.57994,0.0795874,-0.0648024,-1.56276,0.496031,-0.014909,0.0244241,-1.46701,0.492317,0.519621,0.56929,-0.51848,-1.44801,-0.290175,-0.345129,-1.38013,-1.87194,0.984926,0.859231,0.550217,-0.728486,-2.01466,-0.139652,-0.51329,-1.31949,-2.19332,1.12439,0.796722,0.419196,-0.724421,-2.25266,-0.703207,0.387136,-0.997926,-1.93561,0.660099,0.846063,0.233815,0.386741,1.88554,0.611937,-1.33169,0.599506,0.743849,-1.87395,0.292956,0.484765,-1.48621,0.509208,0.639383,-6.01797,-8.00269,-0.223364,-2.85872,6.80724,-4.33539,7.7529,3.9072,0.413989,0.191226,0.531799,0.161383,0.588806,0.906731,0.0925395,-0.18185,0.315111,-0.331902,0.155441,-0.0303791,0.000742411,-0.286127,-0.226255,-0.268219,0.358108,-0.260046,-0.0606121,0.169759,-0.0846006,-0.423099,0.132465,0.0368871,-0.08945,-0.086405,0.396539,0.39743,0.334536,0.0995169,0.120559,0.0119118,0.174228,0.00177079,-1.00319,0.413318,-0.762803,0.844477,-2.40096,0.6985,0.0413553,-0.0336727,-0.812043,0.257748,-0.00774704,0.0126913,-0.76229,0.255819,0.489151,-0.445494,-1.24417,-0.249328,-0.296545,-1.18585,-1.60843,0.846279,0.43837,-0.580401,-1.60512,-0.111264,-0.408949,-1.05126,-1.74746,0.895826,0.354667,-0.612906,-1.9059,-0.594957,0.327541,-0.844308,-1.63765,0.558485,-0.81491,0.366859,0.455189,-1.14674,0.179271,0.296646,-0.909466,0.311603,0.391262,-25.7288,0.00196039
-1965.88,0.979405,0.0197305,8,255,0,2020.71,0.0144576,10.6051,-2.64892,-2.00764,0.0221052,-0.780661,2.28483,-1.11459,0.907227,1.19123,4.34028,0.456034,1.18362,1.41496,1.2288,-0.623817,0.63488,-0.879376,-1.21168,0.433386,0.30896,0.183887,-0.369083,-0.0727296,-1.22838,1.67463,1.67327,0.693443,0.148944,0.137361,0.944348,1.20754,-0.199647,-0.060425,1.25228,0.137142,-1.12948,0.193938,-1.04457,1.21636,-2.03095,1.13144,-0.378374,-0.297858,-2.05698,0.349183,0.355304,-0.0489519,0.195704,-0.866873,0.443431,-0.594713,0.623841,-1.36421,-0.150096,1.52963,0.143908,0.391953,-1.4839,0.463758,0.0349264,0.607541,-2.25225,-0.592884,0.728903,0.360033,0.0308131,-1.12319,-0.0371711,-0.792607,-1.30472,0.0275608,0.0411965,0.910784,0.0146918,-0.228273,-1.72391,-0.465403,0.698815,-0.199954,-1.13817,-0.0774331,1.1835,0.313317,-0.183397,-1.51529,-0.786354,-0.16677,-0.781924,-1.4952,0.309915,1.35112,0.268617,0.39052,1.98011,0.685675,-1.1701,0.557577,0.510838,-1.60096,0.36327,0.407925,-1.37181,0.399282,0.569941,-11.497,-8.71373,0.0959426,-3.38828,9.91679,-4.83761,3.93762,5.17025,0.197639,0.512966,0.613224,0.532547,-0.270354,0.275148,-0.381109,-0.525124,0.0460178,0.0273888,-0.0549727,-0.0108326,-0.18296,0.249426,0.249223,0.103284,0.0266397,0.183145,0.234188,-0.0387191,-0.0117187,0.242865,0.0265972,-0.219049,-0.371139,0.432179,-0.721605,0.402003,-0.134438,-0.10583,-0.730852,0.124066,-0.0748784,0.299354,-1.326,0.678286,-0.909691,0.954247,-2.08674,-0.229591,0.104895,0.285696,-1.08162,0.338035,0.025458,0.442839,-1.64167,-0.432155,0.327912,0.0280641,-1.02298,-0.0338549,-0.721894,-1.18832,0.025102,0.0375211,0.0173877,-0.270161,-2.04025,-0.550805,0.827048,-0.236646,-1.34702,-0.0916421,0.423329,-0.247792,-2.04734,-1.06246,-0.225327,-1.05647,-2.0202,0.418733,-0.802307,0.382317,0.350269,-1.09774,0.249085,0.279704,-0.940616,0.273778,0.390794,-26.1311,0.0144576
