# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-alt/model_part_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0177871
# Diagonal elements of inverse mass matrix:
# 0.0854699, 5.99185, 0.336583, 0.103347, 0.013165, 0.0379353, 0.151607, 0.0954054, 0.251009, 0.260099, 0.0629546, 0.290662, 0.233968, 0.56078, 0.352781, 0.531104, 0.5383, 0.67458, 0.689671, 0.37719, 0.679665, 0.672248, 0.893626, 0.841934, 0.807427, 0.880878, 0.810521, 0.956705, 1.29263, 0.654779, 0.635651, 1.02173, 0.816682, 0.749274, 0.813713, 0.996615, 0.976778, 1.35595, 0.215929, 0.135754, 0.412195, 0.412914, 0.588754, 0.518792, 0.699988, 0.643938, 0.339758, 0.0781612, 0.0318695, 0.171531, 0.100321, 0.244012, 0.20918, 0.505735, 0.379992, 0.131883, 0.145002, 0.0683008, 0.301892, 0.156797, 0.392533, 0.267877, 0.480374, 0.446363, 0.199123, 0.150958, 0.125992, 0.348216, 0.234804, 0.478051, 0.415717, 0.719334, 0.402307, 0.318092, 0.0581141, 0.0339756, 0.2767, 0.0894027, 0.195715, 0.177025, 0.302775, 0.244737, 0.124287, 0.0464163, 0.0277782, 0.213395, 0.103858, 0.191294, 0.139672, 0.264249, 0.263842, 0.101517, 0.0276404, 0.00162784, 0.0241473, 0.0818345, 0.197098, 0.168347, 0.174492, 0.279653, 0.14348, 0.155365, 0.231476, 0.153304, 0.162811
-1979.25,0.930931,0.0177871,8,255,0,2030.06,-0.208356,6.78231,-1.3559,-1.12791,-0.0744037,-0.429216,1.44601,0.228473,-0.550763,0.479033,5.517,-0.626937,1.16973,-0.870856,0.786511,0.546897,0.970599,0.918251,-0.0587631,0.55799,-0.029859,0.116948,0.156407,-0.684939,-1.15073,-0.0696436,1.2233,-1.82588,0.374286,-0.173607,0.490862,-1.60251,-0.713604,1.42831,0.670024,1.85256,-0.301997,0.444856,0.0639373,0.594093,0.937995,0.422126,0.737314,0.0764188,-0.412826,-2.12126,0.628633,-0.124976,1.04479,1.08198,0.0866552,-0.0383932,1.69982,-1.97846,-0.803029,0.623503,-0.0359028,0.656432,1.06992,-0.245803,0.110522,0.236791,-2.89565,1.00404,0.742488,-0.62031,0.216835,1.51751,-2.11556,-0.173037,-0.190666,-1.22522,0.463438,0.311934,-0.27437,-0.225371,2.73115,-0.720482,0.299458,-0.57518,-1.49241,1.21287,0.523171,-0.429801,-0.0941515,1.63367,-1.3296,0.361885,-0.326415,-1.83172,0.727265,0.984802,0.309326,0.401073,1.79361,0.675351,-0.973121,0.873528,0.788022,-1.40689,0.664468,0.638362,-1.14469,0.762183,0.769307,-7.48049,-6.22268,-0.410485,-2.36798,7.97766,1.26049,-3.03856,2.64283,-0.349825,0.6527,-0.485929,0.438865,0.305163,0.541585,0.512375,-0.0327892,-0.0111758,0.0437719,0.058541,-0.256363,-0.430703,-0.0260666,0.457864,-0.683403,-0.0772304,0.218363,-0.712887,-0.317451,0.635393,0.298064,0.824123,-0.134345,0.0401931,0.373466,0.589655,0.265362,0.4635,0.0480393,-0.259516,-1.3335,-0.0779231,0.65143,0.67462,0.0540298,-0.0239383,1.05984,-1.23357,-0.500691,-0.0266574,0.487393,0.7944,-0.182506,0.0820612,0.175815,-2.14998,0.745489,-0.193496,0.0676381,0.473363,-0.659913,-0.053976,-0.0594752,-0.382187,0.144562,-0.143543,-0.117908,1.42886,-0.376936,0.156668,-0.300918,-0.780789,0.634537,-0.423268,-0.0927205,1.60884,-1.30939,0.356385,-0.321454,-1.80388,0.716212,-0.657198,0.589938,0.532191,-0.950145,0.448749,0.431118,-0.773064,0.514741,0.519552,-24.7311,-0.208356
-1974.07,0.972677,0.0177871,8,255,0,2039.97,-0.0244457,8.28558,-1.26565,-0.978148,0.00573674,-0.327029,1.32812,0.108715,-0.621312,0.55673,6.12707,-0.485831,1.09872,-0.709171,0.864753,0.0379743,1.00981,0.216917,-0.127112,0.621022,-0.612102,0.757504,-0.384937,-0.0740966,-1.47122,0.176875,1.93755,-1.66836,0.470904,-1.05414,0.594004,-0.221021,-0.708162,1.23864,0.813743,1.77809,-0.330857,0.306854,-0.130417,0.494239,0.96214,0.04582,0.833332,-0.195865,-0.762159,-2.43267,0.646659,-0.230836,0.817917,1.16716,0.0649151,0.0841563,1.44264,-2.70369,-0.623775,0.638361,0.205618,0.512578,1.25981,-0.357109,0.320141,0.473483,-2.34147,1.14772,0.748599,-0.530096,-0.224167,1.72451,-1.78233,-0.694352,-0.317234,-0.881535,0.700232,0.330239,-0.318792,-0.165044,2.85514,-1.03397,-0.179981,-0.516237,-1.41362,1.49634,0.44292,-0.136608,-0.262605,1.71712,-0.851661,0.212521,-0.535837,-2.56709,0.685222,0.919955,0.29511,0.396699,1.8501,0.703092,-1.01288,0.631981,0.836937,-1.49293,0.515667,0.663759,-1.21575,0.487739,0.635807,-7.75471,-5.99318,0.0351494,-2.00373,8.13748,0.666103,-3.80682,3.41112,-0.301712,0.682331,-0.440411,0.537031,0.0235829,0.627113,0.13471,-0.0789392,-0.288241,0.356712,-0.181268,-0.0348924,-0.692802,0.0832912,0.912403,-0.785638,-0.323468,0.182273,-0.0678213,-0.217302,0.380082,0.2497,0.545616,-0.101525,-0.0843351,0.319604,0.622177,0.0296299,0.538882,-0.126658,-0.492857,-1.57311,-0.147357,0.522126,0.745068,0.0414392,0.0537221,0.920921,-1.72593,-0.398193,0.153925,0.383716,0.943094,-0.267332,0.239658,0.354449,-1.75282,0.85918,-0.175058,-0.0740286,0.5695,-0.588594,-0.229302,-0.104763,-0.291117,0.231244,-0.141199,-0.0731011,1.2646,-0.457967,-0.0797172,-0.228651,-0.62612,0.662757,-0.125673,-0.241585,1.57967,-0.783489,0.19551,-0.492946,-2.36161,0.630373,-0.71215,0.444341,0.588443,-1.04966,0.362561,0.466684,-0.854782,0.342926,0.447031,-25.6333,-0.0244457
-1975.05,0.848906,0.0177871,8,255,0,2028.63,-0.368425,11.8046,-1.51653,-0.929816,0.0494003,-0.331365,1.06422,0.17637,-1.16725,0.785575,7.38553,0.256955,0.902447,-1.63632,0.185991,-0.331834,0.607263,0.0705599,0.0114052,0.527053,-0.647565,0.677443,-1.83088,-0.421692,0.164871,1.88506,0.831166,-1.57661,0.250436,0.0412321,0.247233,-1.34973,-0.625523,0.781622,0.152649,1.06487,-0.132039,0.463229,0.470324,0.682845,-0.0730233,0.950972,-1.79555,0.0065556,-0.517246,-1.45732,0.476127,0.195734,0.694467,1.43398,-0.405279,0.377069,1.22594,-2.37207,0.643329,0.616339,0.0267801,0.54986,0.451688,-0.0481496,1.31809,0.697767,-2.01933,0.554178,0.757246,-0.164316,0.151684,1.27763,-1.02579,-0.661297,0.240102,-0.292,0.468892,0.52951,-0.120912,-0.360409,2.91379,-0.762577,-0.0103474,-1.28109,-1.30972,1.42705,0.749996,-0.525479,-0.225172,1.71162,-0.609007,0.232535,-0.65012,-1.29511,0.496451,1.19597,0.258159,0.400695,1.76012,1.06672,-0.455874,0.792267,0.681917,-0.819536,0.565397,0.557699,-0.586826,0.572199,0.715819,-11.2003,-6.86718,0.364847,-2.44731,7.85982,1.30258,-8.62079,5.80189,0.135429,0.475637,-0.862429,0.0980274,-0.174894,0.32006,0.0371888,0.00601115,-0.162174,0.169656,-0.458519,-0.105607,0.0412897,0.472087,0.208154,-0.39484,0.0190999,0.114525,-0.625235,-0.28976,0.36207,0.0707113,0.49328,-0.0611644,0.223934,0.325121,-0.0347683,0.452783,-0.854911,0.0031213,-0.246275,-0.693867,0.120639,0.428027,0.883817,-0.249789,0.232403,0.755596,-1.462,0.396509,0.0202792,0.416379,0.342039,-0.0364611,0.998117,0.528381,-1.52913,0.41965,-0.0870072,0.080318,0.67652,-0.543168,-0.350164,0.127136,-0.154617,0.248283,-0.0906836,-0.270305,2.18533,-0.57193,-0.00776053,-0.960809,-0.982285,1.07029,-0.628456,-0.269298,2.04704,-0.728352,0.278104,-0.777522,-1.54891,0.593738,-0.486289,0.845127,0.727414,-0.874215,0.60312,0.594908,-0.625979,0.610376,0.763578,-27.6422,-0.368425
-1976.62,0.930136,0.0177871,8,255,0,2030.69,-0.315569,7.86199,-2.02292,-1.04582,0.0148781,-0.429832,1.1897,0.449919,-0.315311,0.305625,5.74599,-0.243275,0.825382,-0.212934,0.163589,0.417038,1.46276,-0.0260008,-1.1413,0.630913,-0.29061,0.679427,0.989373,-1.10193,-1.76794,-0.033214,-0.160781,-0.45318,0.199648,-0.0448468,0.140157,-0.53191,-0.402674,-1.07639,0.550931,0.417339,-1.27894,0.730331,0.403889,0.730889,1.13063,0.0826165,1.24498,-2.1985,-1.92012,1.65852,0.216595,0.0345097,0.170964,0.38729,0.51072,-0.884455,0.562027,-1.49381,-0.219321,1.46997,0.0740247,0.795633,2.17853,-0.031544,-1.14186,0.962136,-1.61613,0.301385,0.425707,-0.0373804,-0.0889103,0.604338,-0.240994,-0.564396,-1.46903,-0.701717,0.665858,0.804398,0.260122,-0.0651467,1.80397,-0.854827,-1.21152,-1.11796,-1.52607,-0.450849,0.764639,0.342605,-0.205262,1.00158,-0.918741,-0.373608,-0.623852,-0.816184,0.511711,0.963292,0.274822,0.405781,2.08078,1.05646,-0.437675,0.760747,0.729286,-0.819304,0.534817,0.607357,-0.627733,0.697272,0.693773,-11.6237,-6.00926,0.0854892,-2.46981,6.83602,2.58523,-1.81177,1.75612,-0.153485,0.520744,-0.134343,0.10321,0.263114,0.922873,-0.0164042,-0.72006,-0.0580198,0.135646,0.197526,-0.219999,-0.352967,-0.00663111,-0.0320996,-0.0904766,-0.032753,0.102361,-0.38847,-0.294085,-0.786119,0.402362,0.304796,-0.934048,0.0874802,0.158307,0.244888,0.0178943,0.269657,-0.476184,-0.415887,0.359226,0.050728,0.251312,0.569304,0.750741,-1.30012,0.826161,-2.19584,-0.322395,0.0315128,0.338706,0.927415,-0.0134285,-0.486096,0.409588,-0.687997,0.128302,-0.0300687,-0.0715193,0.486128,-0.193855,-0.453998,-1.18168,-0.564459,0.535615,0.1989,-0.0498137,1.37938,-0.653635,-0.926374,-0.854838,-1.16689,-0.344737,0.330028,-0.197727,0.964811,-0.885016,-0.359894,-0.600952,-0.786223,0.492927,-0.462384,0.803695,0.770458,-0.865558,0.56501,0.641646,-0.663172,0.736637,0.73294,-25.6749,-0.315569
-1983.13,0.966352,0.0177871,8,255,0,2028.15,0.0463362,9.95671,-0.747893,-1.50806,0.224333,-0.530108,2.04717,0.516963,-1.20203,0.925403,4.30424,-0.0717215,1.2342,-2.02691,1.19614,-1.29422,0.575896,-0.214806,-0.190488,0.492232,-0.0250153,1.06076,-1.40735,-0.581074,0.742166,0.507949,1.2322,0.196115,0.0909586,-0.409649,-0.349218,-1.96894,-1.29689,-0.0259477,-0.400037,0.894302,-0.121512,0.146502,1.37425,1.16427,-0.0431368,1.86555,-2.24276,1.87398,-0.208025,-1.45165,0.347159,0.260044,0.442587,0.406341,0.76684,-0.393141,0.602382,-2.83387,0.757721,0.914548,0.706247,0.435088,0.889511,0.5153,0.39914,0.36096,-1.65595,0.135975,0.798294,-0.362072,-0.243259,1.24494,-0.283863,-0.898005,-0.793682,-1.65366,0.43436,0.827683,-0.34371,-0.28225,2.50394,-0.374028,0.156997,-0.10275,-2.25512,1.31723,0.693117,-0.412235,-0.250614,2.63424,-0.902539,0.11085,-0.53083,-2.70075,0.505769,0.788848,0.294234,0.383134,1.79609,0.666866,-1.26691,0.548052,0.603971,-1.70805,0.280951,0.402023,-1.40556,0.516299,0.518303,-3.21912,-6.49106,0.965586,-2.28171,8.8115,2.22513,-5.17385,3.98316,-0.0353036,0.607514,-0.997708,0.58878,-0.637054,0.283474,-0.105734,-0.0937641,-0.00227535,0.0964853,-0.12801,-0.0528537,0.0675064,0.0462023,0.11208,0.0178383,-0.0600143,-0.051161,-0.288453,-0.189996,-0.00380138,-0.058606,0.131017,-0.0178017,0.477081,0.404185,-0.0149753,0.647641,-0.778594,0.650569,-0.0722177,-0.503954,0.237823,0.404767,0.371619,0.701312,-0.359546,0.550907,-2.59171,0.692973,0.563792,0.347328,0.710091,0.411361,0.318631,0.288152,-1.32194,0.108548,-0.299681,-0.201341,1.03042,-0.234949,-0.743263,-0.656917,-1.36871,0.359512,-0.238231,-0.195632,1.73553,-0.259245,0.108817,-0.0712181,-1.56306,0.912997,-0.325191,-0.197696,2.07801,-0.711966,0.087444,-0.418745,-2.13048,0.398975,-0.844862,0.365477,0.402768,-1.13904,0.187357,0.268096,-0.937317,0.344302,0.345639,-25.4493,0.0463362
-1983.43,0.997688,0.0177871,8,255,0,2034.14,0.0104097,9.03454,-1.40885,-1.59767,-0.00719093,-0.651354,1.99191,0.538933,-1.08545,0.885542,4.50471,0.347126,0.807647,-1.50806,0.375875,-0.413829,0.27112,-0.458174,-0.389353,0.409627,0.912634,0.972444,-0.784684,-1.04282,0.855746,0.79987,0.283683,1.12261,0.139173,-0.383893,-0.308978,-1.02502,-1.9423,0.507426,-0.793579,1.77602,0.746567,0.118279,0.874997,1.093,-0.249,1.67936,-1.55981,2.65445,-0.409824,-2.02298,0.253031,0.160293,0.369023,0.811853,0.316483,-0.474811,1.15321,-2.13468,0.203505,1.05118,0.25609,0.601673,0.933459,0.680215,-0.263979,0.412032,-1.86118,0.181638,0.705509,-0.616576,0.0958319,1.48207,-0.451508,-1.54071,-1.40211,-0.998695,0.688364,0.564765,-0.309722,-0.236191,2.74073,-0.536942,-0.188668,0.155715,-2.31674,1.31051,0.818479,-0.14764,-0.318701,2.47016,-0.914344,0.0146791,-0.371676,-2.06651,0.791765,0.716204,0.250451,0.374034,1.64846,0.564826,-1.36453,0.768853,0.84815,-2.10843,0.505771,0.720991,-1.81765,0.567083,0.701986,-6.34645,-7.19704,-0.032393,-2.93416,8.97298,2.42773,-4.88964,3.98911,0.142192,0.330834,-0.617742,0.153969,-0.169515,0.111058,-0.18768,-0.15949,0.127014,0.135338,-0.109207,-0.145132,0.119096,0.11132,0.0394809,0.156237,-0.0454066,-0.0365457,-0.121239,-0.229734,0.060018,-0.093864,0.210067,0.0883035,0.221401,0.276563,-0.0630047,0.424929,-0.394681,0.671656,-0.103698,-0.511876,0.168498,0.387911,0.853405,0.332681,-0.499113,1.21223,-2.24394,0.213921,0.180673,0.424486,0.658564,0.479898,-0.18624,0.290692,-1.31308,0.128147,-0.34822,0.0541225,0.837019,-0.254996,-0.870138,-0.791861,-0.564028,0.388763,-0.253501,-0.193318,2.24323,-0.439475,-0.154421,0.127449,-1.8962,1.07262,-0.10574,-0.228255,1.76914,-0.654857,0.0105132,-0.266196,-1.48004,0.567065,-0.770722,0.434268,0.479058,-1.19089,0.285673,0.407235,-1.02666,0.320303,0.3965,-25.3471,0.0104097
