# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_ef15cf8542b_model
# start_datetime = 2023-06-16 15:48:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/standata-ef15b6d8bad.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_fdd4c9acbc20a2e373126c404e00965f-202306161248-1-08fdf4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_fdd4c9acbc20a2e373126c404e00965f-profile-202306161248-1-873207.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.018639
# Diagonal elements of inverse mass matrix:
# 0.0559657, 4.26379, 0.199923, 0.123778, 0.0123393, 0.0362486, 0.109601, 0.0835747, 0.164015, 0.190727, 0.062405, 0.371986, 0.244652, 0.635265, 0.405873, 0.606758, 0.588455, 0.572902, 0.604427, 0.255786, 0.757552, 0.659068, 0.810267, 0.6915, 0.937256, 0.950075, 0.912611, 1.02747, 1.32029, 0.745488, 0.497387, 0.919879, 0.640538, 1.01571, 0.637223, 0.889174, 0.948126, 0.922767, 0.193789, 0.0570136, 0.228445, 0.172969, 0.318346, 0.285168, 0.449646, 0.484757, 0.274615, 0.0437605, 0.0121501, 0.108858, 0.042238, 0.0963486, 0.107867, 0.333233, 0.155041, 0.105602, 0.0618197, 0.0170484, 0.162188, 0.0679442, 0.143325, 0.0878831, 0.368291, 0.168871, 0.122403, 0.0790103, 0.0505487, 0.24513, 0.105665, 0.302176, 0.323072, 0.404806, 0.377177, 0.155975, 0.0337945, 0.0159074, 0.213509, 0.0604749, 0.0984856, 0.107285, 0.287659, 0.181679, 0.0923809, 0.028345, 0.0225774, 0.186279, 0.0607187, 0.0817255, 0.0909114, 0.208211, 0.130548, 0.0714233, 0.00150417, 0.0240664, 0.0601282, 0.159956, 0.138157, 0.142154, 0.224914, 0.121114, 0.132575, 0.18398, 0.129716, 0.134814
-2012.1,0.988506,0.018639,9,511,0,2080.29,0.582225,6.79215,-1.48067,-1.67355,-0.281428,-0.755466,1.40423,-1.09049,0.849509,0.149358,5.2631,0.948376,0.388878,0.95462,-0.120396,-1.87285,1.39613,-1.60162,0.099932,0.361757,0.709949,-0.458993,-0.243986,-0.288603,-1.55458,-0.563922,0.936625,-0.311914,0.495111,0.933815,-0.891349,0.357089,-0.350982,0.156793,-0.235011,0.346222,0.546506,0.276999,-0.686484,-2.06235,0.218298,0.79793,-0.105526,-1.08237,-0.877234,-0.572427,0.0803283,0.16224,-0.0542859,-0.907622,0.231712,-0.750674,1.06488,-2.15065,0.266089,0.998057,0.135169,-0.0248535,-0.700816,-0.120942,-0.392793,0.305818,-1.27202,0.432296,1.70941,0.108517,-0.773701,-1.59363,-0.605264,-1.82262,-1.50263,-0.136719,0.702282,0.566874,0.579354,-0.61847,-2.33081,-0.506505,-0.373396,-0.686709,-1.67806,0.447781,0.886675,0.278788,-0.497803,-1.22867,-0.813024,-0.609465,-0.180317,-1.2989,0.140706,1.60547,0.422313,1.88407,1.16358,-1.20335,-0.11225,-0.120097,-1.42753,-0.306807,-0.248675,-1.27973,-0.159063,-0.100724,-7.79291,-8.80806,-1.48118,-3.97609,7.3906,-5.73935,4.47104,0.786084,0.343082,0.140679,0.345341,-0.0435541,-0.677518,0.505061,-0.579398,0.0361511,0.351504,-0.227253,-0.1208,-0.142891,-0.76969,-0.279204,0.463734,-0.154432,0.258666,-0.246903,0.0989133,-0.0972218,0.0434316,-0.0650978,0.0959034,0.151382,-0.0551441,-0.165665,0.0175355,0.0640964,-0.00847669,-0.0869451,-0.0704667,-0.0459821,0.161925,-0.0541804,-0.905858,0.231262,-0.749216,1.06281,-2.14647,0.265572,0.23106,-0.0424849,-1.19798,-0.20674,-0.671445,0.522769,-2.17441,0.738972,0.0615155,-0.438591,-0.903386,-0.343109,-1.0332,-0.851802,-0.0775026,0.398106,0.513698,-0.548381,-2.06667,-0.449105,-0.33108,-0.608887,-1.48789,0.397036,0.447585,-0.799208,-1.97259,-1.30529,-0.978479,-0.289494,-2.08535,0.225899,-1.40019,-0.130612,-0.139743,-1.66104,-0.356995,-0.289353,-1.48907,-0.185083,-0.117201,-25.4302,0.582225
-2011.18,0.991904,0.018639,8,511,0,2060.92,0.136236,9.30268,-1.16006,-1.0513,-0.101889,-0.333881,1.23564,-0.639869,1.38826,0.153595,6.23726,0.49954,0.870612,2.539,-0.00535238,0.360517,0.884049,-0.6058,-0.330845,0.229334,0.664418,-0.228056,1.08712,-0.709626,-2.0094,-0.415331,0.97204,0.289925,0.325942,1.09007,-0.519977,1.6668,0.399083,-0.655579,0.193906,-0.461348,-3.22763,0.240763,-0.210663,-0.289393,0.808097,1.30916,-1.61754,-1.8483,-0.400125,0.990063,0.0234486,-0.0746212,0.208122,-0.597698,-0.16511,-0.340332,0.944478,-2.17415,1.29095,0.825176,0.423537,0.124605,-0.867379,0.149359,-0.861189,0.269746,-2.04791,0.524416,1.17116,0.365721,-0.346711,-0.905562,-0.125618,-0.09492,-1.1246,-1.59279,0.653635,0.853171,0.0981214,-0.407186,-1.13803,-0.736577,-0.0137341,-0.677809,-1.90428,0.693605,1.1426,0.145165,-0.34288,-1.04394,-0.966913,0.201122,-0.333369,-1.25057,0.834792,1.40712,0.400609,1.78939,0.993868,-0.915522,0.27294,0.342389,-1.32312,0.112602,0.161787,-1.06349,0.133447,0.324905,-7.2356,-6.55721,-0.63551,-2.08251,7.70704,-3.99103,8.65893,0.958014,0.114562,0.199661,0.582281,-0.00122748,0.082679,0.202743,-0.138931,-0.0758741,0.216561,-0.0743328,0.354338,-0.231297,-0.654947,-0.135374,0.316828,0.0944986,0.262449,-0.125191,0.401304,0.0960843,-0.157839,0.0466855,-0.111075,-0.777094,-0.00493974,-0.00678585,0.0189487,0.0306981,-0.0379291,-0.04334,-0.00938237,0.0232156,-0.0615756,0.171737,-0.493205,-0.136245,-0.280834,0.77936,-1.79406,1.06526,0.49603,0.145933,-1.01584,0.174923,-1.00859,0.315916,-2.39844,0.614176,0.312023,-0.295804,-0.7726,-0.107174,-0.080983,-0.959476,-1.35892,0.557663,0.112113,-0.465251,-1.30031,-0.841612,-0.0156926,-0.774464,-2.17583,0.792513,0.204265,-0.482475,-1.46895,-1.36057,0.283004,-0.469092,-1.7597,1.17465,-0.909907,0.271266,0.340289,-1.315,0.111911,0.160795,-1.05697,0.132628,0.322913,-26.5938,0.136236
-2011.46,0.955376,0.018639,8,255,0,2057.12,0.0486188,9.06377,-1.16756,-1.50819,-0.0827559,-0.504878,1.40765,-0.910464,1.3259,1.11036,5.78842,0.166493,0.755674,1.92298,1.33038,-0.187975,0.433976,0.88689,-0.668533,0.486059,0.956631,-0.264926,1.4024,-0.819651,-1.48382,0.240629,0.956304,-0.669421,0.285713,0.761218,-0.372484,1.2058,-0.0445867,-0.41385,1.72918,-0.492058,-1.99125,0.274367,-0.480013,-0.291628,0.369615,1.77536,-0.463095,-2.7934,-0.334434,2.25569,0.0211145,0.0769506,0.13251,-0.661013,-0.0692811,-0.356794,0.453972,-2.46619,0.84643,1.38925,0.238005,0.0728677,-1.03484,0.335869,-0.516604,0.143937,-2.09199,0.279061,1.12187,0.319894,-0.525434,-0.494446,-0.362037,-1.16329,-0.790511,-0.775291,1.43076,0.675064,0.311091,-0.337735,-1.67144,-0.614968,0.205863,-0.615864,-1.57475,0.879438,1.277,0.0583162,-0.483103,-1.3059,-0.56874,0.125869,-0.620976,-1.39289,0.508286,1.18945,0.395864,1.73244,0.900836,-0.922546,0.356531,0.376005,-1.22176,0.23746,0.363023,-1.07651,0.383959,0.392089,-6.75835,-8.73004,-0.479026,-2.92245,8.14808,-5.27014,7.67488,6.42721,0.0809254,0.367302,0.934683,0.646645,-0.091367,0.210938,0.431081,-0.324947,0.273322,-0.0756929,0.400685,-0.234185,-0.423948,0.0687508,0.273228,-0.191262,0.208853,-0.102197,0.330831,-0.0122331,-0.113547,0.474429,-0.135004,-0.546334,-0.0101352,-0.00615758,0.00780424,0.0374859,-0.00977803,-0.0589813,-0.0070614,0.0476278,0.106903,0.184089,-0.91831,-0.0962485,-0.495675,0.630678,-3.42614,1.1759,0.267011,0.081748,-1.16096,0.376801,-0.579562,0.161478,-2.34694,0.31307,0.215949,-0.354702,-0.333783,-0.244398,-0.785299,-0.533645,-0.523371,0.965852,0.397262,-0.431286,-2.13442,-0.785311,0.262886,-0.786456,-2.01095,1.12304,0.0693641,-0.574626,-1.5533,-0.676488,0.149715,-0.73862,-1.65677,0.604581,-0.831063,0.321176,0.338719,-1.10061,0.213912,0.327024,-0.969763,0.345884,0.353208,-26.3766,0.0486188
-2009.29,0.996538,0.018639,8,511,0,2060.59,-0.317685,6.93989,-1.20321,-1.3027,-0.191119,-0.501202,1.04174,-0.487396,0.875911,1.31649,6.53151,0.685366,0.241988,0.166812,0.34999,0.05239,1.71284,-2.11581,0.00619318,0.471216,0.342998,-0.327108,0.23789,-0.510709,-0.13341,0.34728,-0.295789,-0.153802,0.565963,1.01293,-0.889483,0.21925,0.0502459,-0.0347417,-1.59527,-0.108467,0.0362885,0.353484,0.678224,0.687931,-1.04267,2.3256,0.179067,-1.19675,-0.441575,1.33618,0.0891889,0.131169,-0.000195794,-0.601958,0.107478,0.253649,0.684631,-1.48674,0.189752,2.08303,0.152875,-0.0016879,-0.979404,0.0164804,0.248995,-0.202093,-2.12429,0.694527,1.08655,0.298982,-0.434234,-0.940848,-0.185428,-0.339061,-0.738924,0.298241,-0.376842,1.00079,-0.0225723,-0.68592,-1.75207,-0.801105,0.146973,-0.717546,-2.46362,1.00209,0.885984,0.297407,-0.583747,-1.64628,-0.683906,-0.237826,-0.433913,-1.42368,0.857507,1.13055,0.416482,1.8696,0.671435,-0.72024,1.02524,1.07999,-1.19574,0.841628,1.05479,-0.906333,0.951551,1.02912,-7.85878,-8.50858,-1.2483,-3.27361,6.80417,-3.18343,5.72103,8.5987,0.322956,0.114029,0.0786044,0.164921,0.024687,0.807118,-0.997003,0.00291832,0.194124,-0.185131,0.134637,-0.289042,-0.0755049,0.196547,-0.167406,-0.0870461,0.358052,-0.314418,0.0775012,0.0177611,-0.0122806,-0.5639,-0.0383414,0.0128274,0.0604901,0.0613558,-0.0929947,0.207417,0.0159708,-0.106737,-0.0393836,0.119172,0.273228,-0.000407844,-1.25389,0.22388,0.528357,1.4261,-3.09691,0.395259,0.166106,-0.00183398,-1.06417,0.0179067,0.270545,-0.219584,-2.30814,0.754635,0.299218,-0.434577,-0.941591,-0.185574,-0.339329,-0.739508,0.298476,-0.37714,-0.0199987,-0.607715,-1.55231,-0.709766,0.130216,-0.635735,-2.18273,0.887833,0.336233,-0.659956,-1.86121,-0.773191,-0.268874,-0.490562,-1.60954,0.969456,-0.483594,0.688379,0.725146,-0.802863,0.565098,0.708221,-0.608543,0.638904,0.690985,-26.0454,-0.317685
-2006.51,0.671573,0.018639,8,255,0,2066,-0.44544,8.82453,-1.17256,-1.38829,-0.114863,-0.538515,1.21582,-0.506995,1.37843,0.510581,5.84541,0.720187,1.22929,1.05003,-0.160961,-0.825855,0.191159,-0.245398,-0.857571,0.258462,1.40273,0.343531,-0.143667,-0.838148,-0.500665,0.689856,-0.490513,-0.358506,0.283342,1.61188,-0.325118,0.444988,-0.639603,-0.921346,1.08038,1.03859,-0.81585,0.261338,0.235173,0.447845,-1.3065,1.82141,1.17711,-1.07024,-1.19637,0.342336,0.315367,0.0271119,0.102158,-0.579945,-0.121607,-0.413822,0.068898,-1.75969,0.317861,1.65043,0.277066,0.17002,-1.02763,-0.352929,-0.20425,0.630646,-2.16467,0.381001,0.975163,0.525788,-0.241477,-0.739684,-0.395188,-0.447051,-0.840612,-2.01861,0.508264,1.01192,0.444036,-0.370805,-2.2701,-0.483858,0.677396,-0.711778,-1.88378,0.727255,0.913325,0.36817,-0.258148,-1.36335,-0.857955,0.162579,-0.595224,-1.41992,0.644916,1.40163,0.406474,1.80921,0.776958,-0.339116,1.15408,1.15216,-0.871992,0.888897,0.965411,-0.573853,0.977624,1.11053,-6.8541,-8.11513,-0.671422,-3.14784,7.107,-2.96359,8.05749,2.98456,0.186141,0.317725,0.271393,-0.0416024,-0.213453,0.0494075,-0.063426,-0.22165,0.397451,0.0973366,-0.0407068,-0.237482,-0.141859,0.195465,-0.138983,-0.10158,0.421245,-0.0849656,0.116292,-0.167153,-0.240783,0.282343,0.271423,-0.213212,0.0741656,0.141235,-0.412025,0.574412,0.371222,-0.337518,-0.377296,0.107961,0.0447461,0.168604,-0.957156,-0.200703,-0.682983,0.113711,-2.90424,0.524606,0.270184,0.165797,-1.00211,-0.344163,-0.199177,0.614982,-2.11091,0.371538,0.532054,-0.244355,-0.748498,-0.399897,-0.452379,-0.850629,-2.04267,0.514321,0.405549,-0.338665,-2.07334,-0.44192,0.618683,-0.650084,-1.72051,0.66422,0.516037,-0.361827,-1.91092,-1.20253,0.227875,-0.834282,-1.9902,0.903932,-0.263479,0.89667,0.895181,-0.677501,0.690636,0.750084,-0.445859,0.759573,0.862835,-26.379,-0.44544
-1997.96,0.956421,0.018639,8,255,0,2057.43,-0.447886,8.43683,-1.8134,-1.45494,-0.215539,-0.517161,1.03326,-0.688211,1.56421,1.05695,6.18321,1.6499,1.0726,1.25898,-0.776392,-0.307138,0.497918,0.387328,-0.879698,0.315861,1.86198,-0.250652,-0.0360233,-1.03364,-0.204168,-0.595773,0.213676,-0.0566427,0.364757,1.72702,-0.0940964,0.028649,-0.793799,-0.1995,-0.0933535,1.00248,0.540886,0.294255,0.0716924,0.170908,-1.98838,0.627125,0.436255,-1.33409,-1.3252,-0.0983293,0.184355,0.0950328,0.133688,-0.480583,-0.266989,-0.110124,0.227518,-1.81495,0.202204,1.6027,0.334409,0.135054,-0.6914,-0.260589,0.0219898,0.263152,-1.91227,0.450274,1.33139,0.516185,-0.227595,-0.910917,-0.479944,-0.277331,-0.775198,-0.82331,0.392782,1.10282,0.455945,-0.340348,-1.75964,-0.513069,0.442601,-0.558764,-2.4236,0.491873,1.0875,0.32319,-0.410891,-1.27434,-0.585858,0.122758,-0.684076,-1.4829,0.776498,1.6048,0.403757,1.7826,0.664892,-0.500726,1.34476,1.30981,-1.09841,1.07932,1.0963,-0.658911,1.10128,1.2804,-11.2126,-8.99622,-1.33272,-3.19771,6.38888,-4.25535,9.67181,6.53534,0.52114,0.338794,0.397662,-0.245232,-0.0970131,0.157273,0.122342,-0.277863,0.679171,-0.0914269,-0.0131398,-0.377026,-0.0744716,-0.217312,0.0779399,-0.0206608,0.508184,-0.0276884,0.00843013,-0.23358,-0.058704,-0.0274698,0.294986,0.159159,0.0132169,0.0315077,-0.366568,0.115614,0.0804259,-0.245947,-0.244307,-0.0181275,0.152309,0.214263,-0.770233,-0.427904,-0.176496,0.364644,-2.90883,0.324073,0.445228,0.179809,-0.920524,-0.346946,0.029277,0.350358,-2.54597,0.599491,0.569261,-0.250997,-1.00458,-0.529294,-0.305847,-0.854906,-0.907966,0.433169,0.495841,-0.370129,-1.91361,-0.557963,0.481329,-0.607657,-2.63567,0.534912,0.518655,-0.659398,-2.04506,-0.940185,0.197001,-1.0978,-2.37976,1.24612,-0.332928,0.89412,0.870882,-0.730326,0.717628,0.728922,-0.438104,0.732229,0.851325,-26.5522,-0.447886
