# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_ef15cf8542b_model
# start_datetime = 2023-06-16 15:48:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/standata-ef15b6d8bad.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_fdd4c9acbc20a2e373126c404e00965f-202306161248-3-08fdf4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_fdd4c9acbc20a2e373126c404e00965f-profile-202306161248-3-873207.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0202188
# Diagonal elements of inverse mass matrix:
# 0.0653865, 4.1544, 0.223362, 0.125444, 0.0103055, 0.0367546, 0.106993, 0.082304, 0.218964, 0.191242, 0.0604212, 0.218665, 0.318249, 0.424066, 0.313586, 0.470794, 0.539808, 0.591352, 0.717695, 0.237398, 0.704453, 0.659982, 0.785046, 0.762242, 0.978373, 0.706639, 0.987145, 0.951851, 1.59067, 0.705296, 0.603958, 0.743198, 0.630447, 0.78995, 0.906506, 0.813356, 0.847645, 1.11047, 0.126497, 0.0629611, 0.238377, 0.170349, 0.28347, 0.234513, 0.507329, 0.401356, 0.228572, 0.0422019, 0.0143082, 0.136593, 0.0399708, 0.115982, 0.131129, 0.387162, 0.126263, 0.110918, 0.0516, 0.0160767, 0.193042, 0.0596892, 0.109874, 0.0830962, 0.436705, 0.193913, 0.142946, 0.0721399, 0.0438553, 0.217683, 0.126765, 0.285954, 0.310596, 0.337103, 0.332711, 0.152908, 0.030386, 0.014032, 0.200809, 0.0518197, 0.100806, 0.11617, 0.250446, 0.131354, 0.0822282, 0.0260987, 0.0204094, 0.200121, 0.0592999, 0.111027, 0.0899997, 0.227431, 0.145195, 0.0853174, 0.00138125, 0.0226379, 0.0688537, 0.166366, 0.13651, 0.137776, 0.235749, 0.118481, 0.12785, 0.183034, 0.128729, 0.138358
-2031.86,0.989648,0.0202188,8,255,0,2098.72,-0.333868,9.74922,-2.12985,-1.31177,-0.0319551,-0.577763,1.2581,-0.709268,1.32318,0.547572,5.37589,-0.34287,1.19823,1.15242,0.361588,-0.0156769,0.655139,-1.00091,-0.138244,0.362578,-0.690624,1.70448,-0.310447,-0.931441,0.141443,-2.05572,-0.552307,-0.971052,0.0292123,-0.266066,-0.910925,-1.89108,-0.608555,1.26444,0.136328,1.58351,-0.726146,0.0117534,-0.496286,0.388611,-1.78058,0.1149,-0.110535,0.0718044,-1.11619,-0.310284,0.260073,-0.439227,0.343585,-0.436356,0.088641,0.0179147,0.804658,-2.36465,0.349187,1.01866,-0.661257,0.596404,-1.60923,-0.513027,-0.683663,0.28245,-2.58214,-0.415641,0.482015,0.0953192,-0.0930961,-1.31791,-0.572202,-1.72748,-1.56419,-1.37212,0.779063,0.591057,-0.608277,-0.526952,-2.41287,-1.07285,0.541067,-1.14775,-2.37264,1.18919,0.715674,0.0849639,-0.300666,-1.08561,-0.399577,-0.0500735,-0.548547,-1.65885,0.220936,1.45469,0.404793,1.81545,0.583064,-0.812065,1.24793,1.37695,-1.33856,0.979756,1.30637,-0.878765,1.25373,1.29927,-11.4499,-7.05193,-0.171787,-3.10599,6.7634,-3.81295,7.11329,2.94369,-0.124317,0.434452,0.417841,0.131104,-0.00568409,0.237539,-0.362909,-0.0501244,-0.0201747,0.0497916,-0.00906887,-0.0272095,0.00413188,-0.0600523,-0.0161341,-0.0283666,-0.00312718,-0.0107065,-0.0222266,-0.00715259,0.0148615,0.00160231,0.0186116,-0.00853468,-0.129071,0.101067,-0.463082,0.0298825,-0.0287471,0.0186744,-0.290291,-0.0806966,-0.447423,0.349996,-0.444499,0.0902952,0.018249,0.819674,-2.40878,0.355704,-0.318735,0.287475,-0.775671,-0.247287,-0.329536,0.136145,-1.24463,-0.200345,0.056339,-0.0550251,-0.77896,-0.338204,-1.02104,-0.924522,-0.811,0.46047,-0.435328,-0.377126,-1.72682,-0.767812,0.387227,-0.821418,-1.69804,0.85107,0.123596,-0.437375,-1.57922,-0.58126,-0.0728413,-0.797964,-2.41311,0.321393,-0.473486,0.727624,0.802848,-0.780463,0.57126,0.761699,-0.512376,0.731006,0.757556,-26.1213,-0.333868
-2028.45,0.999043,0.0202188,8,255,0,2085.48,-0.200884,4.33706,-0.236895,-1.24732,-0.268782,-0.583684,1.05097,-0.220382,1.23327,0.97306,6.02045,0.669029,0.95171,0.180575,-0.248297,-0.505244,1.21407,-0.505628,-0.691011,0.429296,1.02333,-0.978222,-0.351579,-1.11076,-0.224691,1.99868,1.60111,-0.298106,0.0928864,-1.26391,-1.88486,0.834211,-1.01653,-1.1932,0.900515,-1.76586,-1.00878,0.00658571,-0.249789,0.0920487,-1.39106,-0.428354,-0.826686,-0.65989,-1.53181,1.11973,0.346554,0.177371,0.0286986,-1.4503,-0.21991,-0.388119,0.661019,-3.15289,0.72365,0.993108,0.46444,0.0743704,-1.37776,0.17286,-0.227162,0.557279,-1.18434,1.18395,1.08048,-0.0181799,-0.433042,-0.747064,-0.835736,0.238555,-1.18159,-1.04095,0.547536,0.689382,0.314026,-0.532645,-2.31619,-1.07352,0.103632,-0.569602,-1.9945,0.800351,0.730007,0.312552,-0.453856,-1.47246,-0.673232,-0.00715625,-0.634648,-1.77647,0.750265,1.17079,0.415644,1.84377,0.607589,-1.07667,0.889494,1.01319,-1.52857,0.743474,0.853531,-1.03358,0.881149,1.06781,-1.42621,-7.50945,-1.61819,-3.51404,6.3273,-1.3268,7.42487,5.85826,0.287212,0.408565,0.0775202,-0.106593,-0.216899,0.521194,-0.217064,-0.296648,0.0950531,-0.0908635,-0.0326569,-0.103175,-0.0208707,0.18565,0.148721,-0.02769,-0.00832373,-0.0124132,0.00549387,-0.0066946,-0.00785806,0.00593053,-0.0116294,-0.00664353,-0.0865652,0.0318998,-0.482078,-0.148448,-0.286491,-0.228687,-0.530853,0.388045,0.176149,0.0285008,-1.4403,-0.218394,-0.385444,0.656464,-3.13116,0.718663,0.501817,0.0803556,-1.48864,0.186771,-0.245444,0.602129,-1.27965,1.27923,-0.0125329,-0.298531,-0.515013,-0.576141,0.164456,-0.814565,-0.71761,0.377462,0.229241,-0.388835,-1.69084,-0.783676,0.0756524,-0.415814,-1.456,0.584262,0.365933,-0.531371,-1.72395,-0.788214,-0.00837848,-0.743041,-2.07987,0.878404,-0.65417,0.540447,0.615601,-0.928743,0.451727,0.518596,-0.627993,0.535377,0.64879,-24.2317,-0.200884
-2026.57,0.908978,0.0202188,8,255,0,2085.62,-0.229654,11.9918,-1.11369,-1.33319,0.0405245,-0.580367,1.1415,-0.505748,1.24309,1.14534,7.50532,-0.0774936,1.11454,0.109805,0.103829,0.461258,0.982305,-0.297665,0.321076,0.48847,0.844519,0.137792,-0.492998,1.43266,-0.595265,-1.24734,-0.952986,0.658432,0.0278355,0.069089,2.27595,0.31006,0.95259,1.63313,0.285082,-0.0844774,1.05201,0.0146883,-0.150315,0.224974,-0.14756,0.306684,-0.704565,-0.030882,-1.11877,0.235294,0.904099,-0.246615,0.206311,-0.247153,0.144392,0.0394062,0.528359,-1.69294,0.398803,2.11224,-0.0010938,0.266927,-1.59458,-0.327887,-0.279229,-0.0589944,-1.78915,-0.093259,0.922613,0.315218,-0.0355408,-0.986122,-0.0550456,-1.11859,-0.806836,-0.997909,0.833292,1.08829,-0.150111,-0.240636,-2.04522,-0.326192,0.122741,-0.57246,-1.75931,0.88389,0.902138,0.390096,-0.428584,-2.38316,-1.35264,-0.223567,-0.614576,-1.6205,1.19676,0.802796,0.388974,1.74721,0.498341,-1.05711,1.10699,1.33756,-1.83007,0.826341,1.25969,-1.33009,1.05437,1.39642,-8.3586,-10.0061,0.304149,-4.35584,8.5673,-3.7958,9.32979,8.59618,-0.0378533,0.544421,0.0536365,0.0507175,0.225311,0.479827,-0.1454,0.156836,0.0235076,0.00383551,-0.0137228,0.0398788,-0.0165695,-0.0347203,-0.0265268,0.0183278,0.0010148,0.0334297,0.00455423,0.0139919,0.0239878,0.00418735,-0.00124083,0.0154522,-0.1359,0.203399,-0.133409,0.277272,-0.636997,-0.0279204,-1.01148,0.212729,-0.52091,0.435779,-0.522046,0.304991,0.0832352,1.11602,-3.57589,0.842368,-0.00100915,0.24627,-1.47118,-0.302513,-0.25762,-0.054429,-1.65069,-0.0860419,0.34305,-0.0386789,-1.07319,-0.0599058,-1.21735,-0.878075,-1.08602,0.906867,-0.135421,-0.217087,-1.84507,-0.29427,0.11073,-0.516438,-1.58714,0.797391,0.313167,-0.344066,-1.9132,-1.0859,-0.179479,-0.493379,-1.30093,0.960757,-0.526801,0.551657,0.666563,-0.912001,0.4118,0.627755,-0.662837,0.525435,0.695895,-28.174,-0.229654
-2016.31,0.433584,0.0202188,8,255,0,2091.95,-0.119563,12.2744,-1.52671,-1.25417,0.051186,-0.671645,0.94775,-0.437619,1.28934,0.674933,7.23411,0.0326696,0.693959,-0.240212,0.605721,0.363634,1.19214,-0.675865,0.373183,0.479756,1.74826,-0.238054,-0.146696,1.18054,0.700084,-1.30246,-1.39046,0.908745,0.0130381,-0.941948,1.3755,-0.146368,1.45472,1.0217,0.0124599,-0.418599,1.13711,0.00883138,-0.331466,0.18608,-0.918925,0.347293,-0.324685,-0.367355,-1.43887,0.38205,1.35636,-0.112892,0.162055,-0.749366,-0.116268,0.0629202,0.598274,-1.38925,0.103952,1.8728,-0.275052,0.240858,-1.77734,0.0766978,-0.0282257,-0.0320757,-2.96421,0.109982,0.863954,0.103681,-0.195276,-1.08901,-0.0975027,-0.894557,-0.39249,-1.05807,1.00235,1.06899,-0.0350907,-0.233595,-1.97929,-0.324799,0.0729569,-0.585703,-2.56418,0.646861,1.25896,0.269036,-0.388669,-2.53178,-1.04138,-0.361899,-0.394818,-2.26212,1.61872,1.0026,0.390422,1.72389,0.627141,-1.11207,0.938016,0.866713,-1.48373,0.697429,0.800731,-1.29106,0.683073,0.741348,-11.0444,-9.07282,0.370285,-4.85876,6.85613,-3.16579,9.32727,4.88254,0.0156735,0.332931,-0.115243,0.290598,0.174456,0.571934,-0.32425,0.179037,0.022794,-0.00310378,-0.00191264,0.0153919,0.00912777,-0.0169816,-0.0181289,0.0118483,-0.0083187,0.0121476,-0.00129263,0.0128472,0.00902298,0.000110038,-0.00369681,0.0100423,-0.449589,0.252391,-1.2464,0.471056,-0.440391,-0.498266,-1.95162,0.518198,-0.211425,0.303497,-1.40341,-0.217746,0.117837,1.12045,-2.6018,0.194681,-0.237632,0.208091,-1.53554,0.0662633,-0.0243857,-0.0277119,-2.56094,0.0950193,0.110834,-0.208749,-1.16415,-0.10423,-0.956274,-0.419568,-1.13107,1.0715,-0.0441776,-0.294086,-2.49184,-0.408908,0.0918496,-0.737375,-3.22819,0.81437,0.269735,-0.389678,-2.53836,-1.04409,-0.362839,-0.395844,-2.268,1.62293,-0.697426,0.588268,0.543551,-0.93051,0.437386,0.502171,-0.809676,0.428383,0.46493,-28.2764,-0.119563
-2006.37,0.922654,0.0202188,8,255,0,2069.4,-0.0851642,8.33584,-1.08662,-1.74131,-0.0326462,-0.703655,1.19073,-0.757913,1.63267,1.58676,5.11345,-0.143115,0.841861,0.956446,1.23915,-0.0310178,0.505179,-0.724621,0.225474,0.547388,-1.3706,-0.0111325,0.125796,-0.364055,-0.786482,-1.42765,1.16312,-0.351035,0.0164199,-0.188569,0.28423,0.167089,-1.55025,0.0515251,-0.840595,0.0371053,-2.54906,0.0226482,-0.379658,0.0713107,-0.541362,0.443801,0.347996,-0.472098,-2.73862,0.515682,0.817718,0.140673,0.201503,-0.961466,0.210757,0.131459,0.873461,-2.2469,0.896333,1.15873,0.0560971,0.184796,-0.730648,0.312365,0.168764,0.509946,-1.68203,1.24297,1.24133,0.20875,-0.111345,-0.395107,-0.0611274,-0.285652,-0.405166,-0.66442,0.444376,2.17768,0.236568,-0.334275,-1.97176,-0.456122,0.0349902,-0.600932,-1.75181,0.778198,1.01032,0.022412,-0.258828,-1.65244,-0.486658,0.465827,-0.867472,-1.89358,0.764646,1.20599,0.433236,2.02632,0.760685,-1.02489,0.614229,0.612388,-1.25983,0.427533,0.539798,-1.09424,0.545842,0.630598,-5.55636,-8.90409,-0.166935,-3.5981,6.08875,-3.87555,8.34855,8.11381,-0.0783394,0.460825,0.523547,0.678295,-0.0169788,0.276529,-0.396649,0.123422,-0.0225052,-0.000182795,0.00206557,-0.00597776,-0.012914,-0.0234419,0.0190983,-0.00576397,-0.00427077,0.00643732,0.00378426,-0.0351104,0.00116695,-0.019038,0.00084037,-0.0577318,-0.310453,0.0583121,-0.442681,0.362904,0.284563,-0.386043,-2.23942,0.421683,0.163003,0.233488,-1.11408,0.244211,0.152326,1.01211,-2.60355,1.03861,0.0696352,0.229394,-0.906978,0.387749,0.209493,0.633013,-2.08796,1.54294,0.45459,-0.242473,-0.860414,-0.133116,-0.622058,-0.88232,-1.44689,0.967708,0.239008,-0.337723,-1.9921,-0.460827,0.0353512,-0.60713,-1.76988,0.786225,0.0270285,-0.312143,-1.99281,-0.586903,0.56178,-1.04616,-2.28363,0.922152,-0.779615,0.467235,0.465834,-0.958334,0.325218,0.410616,-0.832371,0.415214,0.479687,-26.1515,-0.0851642
-2023.92,0.823055,0.0202188,8,255,0,2065.14,0.216784,6.07543,-1.71323,-1.45103,-0.135903,-0.707808,1.1507,-0.728865,1.09155,0.368464,4.47714,0.311728,0.809704,0.926654,0.29223,-0.876282,0.892261,-0.241153,-0.231841,0.432181,1.54784,-0.58475,-0.444739,-1.84251,-1.07541,0.982445,2.23083,0.654882,0.055993,-0.670257,0.287615,0.423231,2.09678,0.707012,-0.63105,0.609541,0.525209,0.0453663,-0.363923,0.695738,-1.46923,0.23614,-1.07346,-1.80815,-1.4942,-0.535064,0.373978,-0.0710517,0.205016,-0.829846,0.258466,-0.246689,0.564223,-1.97198,0.0382833,1.11522,-0.199803,0.200716,-1.39116,0.0312915,-0.165256,0.647953,-2.16816,0.499927,0.876187,0.289944,-0.526223,-1.80959,-0.753386,-1.26991,-1.48815,-1.55296,0.713967,0.451807,0.283556,-0.254728,-1.6983,-0.109248,-0.185198,-0.58331,-1.74384,0.00510213,1.34259,-0.122633,-0.427018,-1.44967,-0.700195,0.086714,-0.586262,-1.01581,-0.136115,1.16187,0.375736,1.82586,0.71468,-1.44542,0.256433,0.409179,-1.67685,-0.00177847,0.132682,-1.5031,0.138846,0.352403,-7.67039,-6.49646,-0.608455,-3.16895,5.15184,-3.26323,4.88703,1.64967,0.134723,0.349939,0.400483,0.126296,-0.378713,0.385619,-0.104222,-0.100197,0.0866683,-0.0327419,-0.0249022,-0.103168,-0.0602153,0.05501,0.12491,0.0366688,-0.0304071,0.013048,0.0192004,0.0951231,0.0320745,-0.0286284,0.0276526,0.0238268,-0.136099,0.260191,-0.549462,0.0883114,-0.401453,-0.676209,-0.558798,-0.200103,-0.0792384,0.228639,-0.925463,0.288246,-0.275113,0.629233,-2.19919,0.0426943,-0.175065,0.175865,-1.21891,0.0274172,-0.144795,0.567728,-1.89972,0.43803,0.130999,-0.237751,-0.817584,-0.340385,-0.573754,-0.672356,-0.701636,0.322575,0.380701,-0.341996,-2.28013,-0.146675,-0.248645,-0.783147,-2.34127,0.00685007,-0.142483,-0.496138,-1.68432,-0.813534,0.10075,-0.681159,-1.18024,-0.158148,-1.03301,0.183267,0.292432,-1.19841,-0.00127104,0.0948249,-1.07423,0.0992307,0.251855,-24.4177,0.216784
