# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-alt/model_part_noar_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0187661
# Diagonal elements of inverse mass matrix:
# 0.083997, 4.44695, 0.229488, 0.0959595, 0.0102325, 0.0293319, 0.0871055, 0.0675691, 0.19371, 0.170562, 0.0554615, 0.302501, 0.352985, 0.425409, 0.422743, 0.56311, 0.575899, 0.641075, 0.607143, 0.556459, 0.635587, 0.648219, 0.706774, 0.932929, 0.918838, 0.794869, 0.895168, 0.942342, 1.09063, 0.661898, 0.624723, 0.958367, 0.721255, 0.795736, 0.729083, 0.907993, 1.00033, 0.852726, 0.153054, 0.0802355, 0.273758, 0.16123, 0.355531, 0.231545, 0.418022, 0.385499, 0.389297, 0.0354486, 0.0131665, 0.120232, 0.0412671, 0.0890677, 0.0999249, 0.367873, 0.162385, 0.089709, 0.0594191, 0.0207794, 0.180997, 0.0620334, 0.141349, 0.11044, 0.35825, 0.180077, 0.12097, 0.0750916, 0.0517077, 0.241166, 0.116453, 0.302823, 0.273548, 0.392145, 0.313569, 0.159202, 0.0290743, 0.0181734, 0.215163, 0.0527455, 0.0998929, 0.113995, 0.255498, 0.175411, 0.0811207, 0.0297086, 0.0237968, 0.199116, 0.0653006, 0.104059, 0.100472, 0.210167, 0.134128, 0.0805524, 0.00139821, 0.0231099, 0.0857456, 0.231174, 0.132565, 0.13824, 0.316636, 0.127797, 0.132951, 0.26444, 0.126154, 0.136954
-2003.57,0.832788,0.0187661,8,255,0,2058.89,-0.409479,10.0055,-1.04927,-0.90601,-0.0519486,-0.397939,0.673651,0.424643,-1.02991,0.565874,9.15748,-0.217463,0.48596,-1.12366,0.581329,0.820991,1.97569,-0.320619,-0.155316,0.368504,-1.3572,-1.35931,0.430527,-0.959501,-0.692506,1.95019,0.704043,-0.933524,0.0554897,-1.06026,-1.20592,-1.04523,0.0655198,-0.700048,-0.947407,-0.233486,0.263481,0.104999,-0.0273693,0.0755502,0.796307,0.631146,-0.384563,-1.4397,-1.39114,0.0546068,0.874645,-0.0704424,0.105004,1.75555,0.0461385,-0.11,0.485807,-4.16535,0.484275,0.665981,-0.00631287,0.0700396,0.745605,0.124494,-0.183982,0.215343,-2.05341,-0.118129,1.13147,-0.0886657,-0.468756,1.25694,-0.301363,-0.856984,-1.52267,-1.75127,0.248172,0.812048,-0.0720086,-0.438357,1.59471,-0.616023,-0.0576153,-1.00184,-1.46653,1.23996,1.21536,-0.189409,-0.43638,1.13926,-0.466743,-0.120175,-0.528066,-1.34205,0.556894,1.58922,0.421151,2.04203,0.982646,-0.31248,0.7964,0.849106,-0.553797,0.717711,0.838951,-0.421407,0.766426,0.768344,-9.60872,-8.29678,-0.475718,-3.64412,6.16894,3.88866,-9.43142,5.18198,-0.0801361,0.179078,-0.414073,0.214222,0.302538,0.728051,-0.118149,-0.0572347,-0.0753107,-0.0754278,0.0238898,-0.0532425,-0.038427,0.108216,0.0390671,-0.051801,-0.111327,-0.126621,-0.109749,0.00687954,-0.0735046,-0.0994772,-0.0245159,0.0276654,-0.0239384,0.0660796,0.696487,0.552029,-0.336356,-1.25923,-1.21675,0.0477616,-0.0469133,0.0699309,1.16916,0.0307274,-0.0732581,0.323538,-2.77404,0.322518,-0.00714284,0.0792479,0.843633,0.140862,-0.208171,0.243655,-2.32338,-0.13366,-0.0720008,-0.380652,1.0207,-0.244721,-0.695912,-1.23648,-1.42212,0.201528,-0.0875164,-0.532762,1.93815,-0.748691,-0.0700234,-1.21759,-1.78236,1.507,-0.301012,-0.693503,1.81054,-0.741757,-0.190984,-0.839213,-2.13282,0.885026,-0.307057,0.782579,0.834371,-0.544187,0.705256,0.824392,-0.414094,0.753125,0.75501,-28.0999,-0.409479
-2005.94,0.912764,0.0187661,8,255,0,2054.05,-0.198769,7.89255,-0.316328,-0.39016,-0.0401961,-0.137947,0.354563,0.0753417,-0.416828,0.496826,19.6844,-0.925636,0.486361,-1.50125,0.71031,0.240892,0.0127637,-1.39935,-0.866832,0.340343,0.0847811,-0.0688314,-0.744341,0.374222,0.353378,-0.450277,-0.25201,0.269601,0.205516,-0.476526,-0.352867,0.0491146,-0.0491804,0.940056,0.452325,0.0528788,-1.56588,0.345681,-0.242469,0.1182,0.397002,0.0558713,0.00684478,0.353526,-2.42902,0.130824,0.786247,0.142746,0.106591,0.418947,-0.00229503,0.197304,0.48424,-1.29106,0.173451,2.01654,-0.351868,0.0178968,0.843569,0.103325,-0.181403,0.232243,-1.76964,0.879967,1.40153,-1.23215,-0.704892,1.57513,-0.496073,-0.0339014,-1.11185,-1.2326,0.907812,0.351067,-0.0589349,-0.339119,1.01187,-0.43889,0.308112,0.204676,-1.86357,-0.0317739,1.44664,-0.21292,-0.522258,1.56805,-0.799954,0.630326,-0.238399,-1.92025,0.45489,1.03144,0.404637,1.72198,0.551743,-1.12526,1.07549,1.2279,-1.75358,0.897612,1.11955,-1.34366,1.09714,1.16474,-6.22673,-7.68006,-0.791236,-2.71541,6.97935,1.48306,-8.20501,9.77972,-0.315034,0.16553,-0.510939,0.241749,0.0819859,0.00434404,-0.476261,-0.29502,0.0174238,-0.0141459,-0.152974,0.0769085,0.0726246,-0.092539,-0.051792,0.0554072,-0.164726,-0.121979,0.016978,-0.0170007,0.324959,0.15636,0.0182792,-0.541296,-0.19064,0.0929345,0.312141,0.0439286,0.00538168,0.277958,-1.90981,0.10286,0.287852,0.214946,0.844822,-0.00462801,0.39787,0.976488,-2.60348,0.349769,-0.493153,0.0250829,1.18229,0.144813,-0.254241,0.325495,-2.48021,1.2333,-0.432567,-0.247464,0.552978,-0.174155,-0.0119017,-0.390334,-0.432724,0.318703,-0.0852578,-0.490584,1.46382,-0.634917,0.445728,0.296093,-2.69592,-0.0459655,-0.219614,-0.538679,1.61735,-0.825106,0.650144,-0.245895,-1.98063,0.469192,-0.620855,0.593397,0.677486,-0.967526,0.495252,0.617706,-0.741353,0.60534,0.642638,-30.2862,-0.198769
-2001.92,0.0125608,0.0187661,7,127,0,2060.99,-0.221954,7.1679,-0.368116,-0.434496,-0.0428422,-0.165556,0.320638,0.113075,-0.393311,0.621588,19.8181,-0.914993,0.555923,-1.47218,0.813661,0.207284,-0.00281446,-1.18594,-0.811658,0.363297,-0.171877,0.0426673,-0.831833,0.232177,0.301278,-0.408304,-0.130865,0.0845833,0.197803,-0.472998,-0.28467,0.0361723,0.249324,1.17132,0.527303,0.284475,-1.40714,0.33425,-0.290094,0.07591,0.476018,0.171515,-0.0650211,0.413692,-2.38694,0.138634,0.799311,0.149445,0.123521,0.368389,0.0144338,0.255511,0.43766,-1.30562,0.171156,2.00398,-0.263906,0.045158,0.834488,0.0660535,-0.226232,0.237204,-1.90863,0.782848,1.34847,-1.2505,-0.697858,1.69306,-0.504457,0.0833995,-1.02151,-1.36324,0.943229,0.351253,-0.0669457,-0.311404,0.970888,-0.458671,0.246052,0.219255,-1.80427,-0.000437808,1.45946,-0.161077,-0.535213,1.54365,-0.78558,0.603038,-0.271878,-1.78717,0.449513,1.05843,0.405136,1.70581,0.508525,-1.08722,1.06412,1.14507,-1.72271,0.953665,1.15333,-1.31462,1.01308,1.17786,-7.29537,-8.6109,-0.849052,-3.28101,6.35444,2.24093,-7.79468,12.3187,-0.332414,0.201965,-0.534841,0.295601,0.0753056,-0.00102248,-0.43085,-0.294873,-0.0339978,0.00843973,-0.164539,0.0459253,0.0595937,-0.0807637,-0.0258856,0.0167308,-0.1581,-0.095151,0.0120906,0.0833365,0.391513,0.176251,0.0950857,-0.470338,-0.231875,0.0606757,0.380486,0.137094,-0.0519721,0.330668,-1.90791,0.110811,0.299484,0.247533,0.738242,0.0289249,0.512037,0.87706,-2.61642,0.342993,-0.35587,0.0608943,1.12529,0.0890713,-0.305068,0.319863,-2.57374,1.05565,-0.439244,-0.245125,0.594692,-0.177192,0.0292944,-0.358808,-0.478842,0.331312,-0.0977044,-0.45448,1.41697,-0.66941,0.359103,0.319993,-2.63326,-0.000638961,-0.170488,-0.566484,1.63384,-0.831479,0.638272,-0.287763,-1.89159,0.475777,-0.552881,0.54113,0.582299,-0.876039,0.484963,0.586497,-0.668517,0.515176,0.598972,-30.0137,-0.221954
-2001.92,0.00165393,0.0187661,8,255,0,2049.18,-0.221954,7.1679,-0.368116,-0.434496,-0.0428422,-0.165556,0.320638,0.113075,-0.393311,0.621588,19.8181,-0.914993,0.555923,-1.47218,0.813661,0.207284,-0.00281446,-1.18594,-0.811658,0.363297,-0.171877,0.0426673,-0.831833,0.232177,0.301278,-0.408304,-0.130865,0.0845833,0.197803,-0.472998,-0.28467,0.0361723,0.249324,1.17132,0.527303,0.284475,-1.40714,0.33425,-0.290094,0.07591,0.476018,0.171515,-0.0650211,0.413692,-2.38694,0.138634,0.799311,0.149445,0.123521,0.368389,0.0144338,0.255511,0.43766,-1.30562,0.171156,2.00398,-0.263906,0.045158,0.834488,0.0660535,-0.226232,0.237204,-1.90863,0.782848,1.34847,-1.2505,-0.697858,1.69306,-0.504457,0.0833995,-1.02151,-1.36324,0.943229,0.351253,-0.0669457,-0.311404,0.970888,-0.458671,0.246052,0.219255,-1.80427,-0.000437808,1.45946,-0.161077,-0.535213,1.54365,-0.78558,0.603038,-0.271878,-1.78717,0.449513,1.05843,0.405136,1.70581,0.508525,-1.08722,1.06412,1.14507,-1.72271,0.953665,1.15333,-1.31462,1.01308,1.17786,-7.29537,-8.6109,-0.849052,-3.28101,6.35444,2.24093,-7.79468,12.3187,-0.332414,0.201965,-0.534841,0.295601,0.0753056,-0.00102248,-0.43085,-0.294873,-0.0339978,0.00843973,-0.164539,0.0459253,0.0595937,-0.0807637,-0.0258856,0.0167308,-0.1581,-0.095151,0.0120906,0.0833365,0.391513,0.176251,0.0950857,-0.470338,-0.231875,0.0606757,0.380486,0.137094,-0.0519721,0.330668,-1.90791,0.110811,0.299484,0.247533,0.738242,0.0289249,0.512037,0.87706,-2.61642,0.342993,-0.35587,0.0608943,1.12529,0.0890713,-0.305068,0.319863,-2.57374,1.05565,-0.439244,-0.245125,0.594692,-0.177192,0.0292944,-0.358808,-0.478842,0.331312,-0.0977044,-0.45448,1.41697,-0.66941,0.359103,0.319993,-2.63326,-0.000638961,-0.170488,-0.566484,1.63384,-0.831479,0.638272,-0.287763,-1.89159,0.475777,-0.552881,0.54113,0.582299,-0.876039,0.484963,0.586497,-0.668517,0.515176,0.598972,-30.0137,-0.221954
-1994.66,0.826835,0.0187661,8,511,0,2053.19,-0.0194837,11.7211,-0.873542,-1.05106,0.0209726,-0.448392,0.984383,0.300382,-0.803901,1.0012,9.37112,-1.00726,1.71985,-0.512456,0.322191,-0.182366,1.37945,0.20335,0.0471395,0.266209,-0.912644,0.38381,0.286174,-0.781671,-0.923077,3.24453,0.141778,-0.623449,0.215999,-0.811371,0.212897,-0.954806,-0.534787,-1.05197,0.706597,-0.319809,-0.15292,0.0719448,0.0815339,0.211645,0.379022,0.128594,-0.100107,-0.231849,-1.55799,0.551647,1.07481,-0.0344559,0.137125,0.896819,0.142454,-0.0499791,0.746698,-1.85364,0.44016,1.73725,-0.0944999,0.174718,0.802653,-0.0272587,0.106979,1.09322,-1.66291,-0.202119,1.43342,-0.147668,-0.137806,1.52449,-0.403549,-0.888523,-0.552726,-1.67839,0.0278519,0.815389,-0.315294,-0.395069,2.38839,-0.658985,0.282284,-0.421843,-2.35583,0.792141,0.88587,-0.340195,-0.353685,1.91723,-0.785761,-0.109222,-0.292253,-1.90653,0.815471,1.14827,0.394443,1.88135,0.603527,-1.26324,0.720913,0.672676,-1.79848,0.52421,0.76287,-1.49609,0.662099,0.696591,-8.18607,-9.84964,0.196537,-4.20193,9.22477,2.81491,-7.53345,9.38237,-0.268142,0.45784,-0.136421,0.0857701,-0.0485476,0.367223,0.0541337,0.012549,-0.19713,0.0829025,0.0618132,-0.16884,-0.199384,0.700815,0.030624,-0.134664,-0.0583739,0.0153168,-0.0686933,-0.0384751,-0.0756838,0.050836,-0.0230086,-0.0110018,0.0876336,0.227479,0.407377,0.138215,-0.107596,-0.249194,-1.67454,0.592917,-0.0598585,0.238221,1.558,0.247478,-0.0868262,1.2972,-3.22023,0.764667,-0.135458,0.250444,1.15054,-0.0390732,0.153346,1.56705,-2.38365,-0.289721,-0.120407,-0.112365,1.24305,-0.329049,-0.724492,-0.450687,-1.36854,0.0227101,-0.27931,-0.34998,2.1158,-0.583774,0.250067,-0.373698,-2.08696,0.701734,-0.390636,-0.406127,2.20151,-0.902267,-0.125417,-0.335586,-2.18922,0.936382,-0.762399,0.43509,0.405978,-1.08543,0.316375,0.460412,-0.902931,0.399594,0.420411,-28.8192,-0.0194837
-2013.76,0.96782,0.0187661,8,255,0,2057.64,-0.0640844,9.64549,-0.681838,-1.21364,0.00914007,-0.410983,1.07009,0.568189,-1.25097,1.16356,7.23655,-0.697406,1.65076,-1.32212,2.23056,-0.896258,3.23354,-0.441168,-1.1289,0.322319,-0.230153,0.435848,-0.293157,0.144252,0.131523,-0.47941,-0.895665,0.866086,0.267195,-1.33255,0.0696234,0.976669,-1.03267,1.46638,1.30941,-1.01929,0.206711,0.125934,-0.382546,0.449921,1.21934,0.447541,-0.847706,0.450483,-3.01238,-0.14062,0.638137,-0.081969,0.219768,0.815073,0.214422,-0.376432,1.03734,-2.71701,0.391873,1.13725,-0.0892032,0.457187,1.22446,0.149412,-0.0194516,0.387681,-3.6589,1.07523,0.67411,-1.12844,-0.515056,1.48077,0.121582,-0.821384,-0.971483,-2.14838,0.251395,0.452542,-0.0504287,-0.258985,1.05555,-0.441563,0.269538,-0.0730268,-1.77511,0.857047,1.3744,-0.159498,-0.271273,1.25712,-0.398599,-0.0798242,-0.204584,-1.59626,0.189594,1.40787,0.396257,1.71879,0.674849,-1.07183,0.635233,0.742478,-1.49054,0.565733,0.607136,-1.19509,0.670554,0.802511,-4.93415,-8.78259,0.0661426,-2.9741,7.74374,4.11173,-9.05272,8.42015,-0.224787,0.532072,-0.426145,0.71895,-0.288881,1.04223,-0.142197,-0.363866,-0.0614957,0.116457,-0.0783301,0.0385436,0.0351424,-0.128096,-0.239318,0.231414,-0.167813,0.00876796,0.122996,-0.130049,0.184667,0.1649,-0.128363,0.0260319,-0.244116,0.287111,0.778108,0.285592,-0.540952,0.28747,-1.92231,-0.0897348,-0.0932196,0.249933,0.926946,0.243853,-0.428099,1.17972,-3.08993,0.445659,-0.0601328,0.308194,0.825422,0.10072,-0.0131125,0.261339,-2.4665,0.72482,-0.510667,-0.233085,0.670113,0.0550209,-0.371711,-0.439637,-0.972231,0.113767,-0.0693092,-0.355949,1.45074,-0.606884,0.370453,-0.100368,-2.43971,1.17793,-0.224553,-0.381919,1.76987,-0.561178,-0.112382,-0.288028,-2.24733,0.266925,-0.723325,0.428686,0.50106,-1.00589,0.381784,0.409725,-0.806505,0.452522,0.541573,-27.0938,-0.0640844
