# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd534bd99f_model
# start_datetime = 2023-06-16 18:21:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd58bbfc46.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_7d99574a200a4c33f6bf861988cee63c-202306161521-1-306b93.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_7d99574a200a4c33f6bf861988cee63c-profile-202306161521-1-1b16c7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0251684
# Diagonal elements of inverse mass matrix:
# 0.105957, 1.55543, 0.670061, 0.0682057, 0.0138612, 0.0152946, 0.071579, 0.251302, 0.168571, 0.451766, 0.0633322, 0.10554, 0.0121701, 0.142689, 0.163228, 0.157062, 0.1486, 0.283171, 0.259308, 0.101924, 0.068366, 0.0122351, 0.0648574, 0.1986, 0.104254, 0.175953, 0.211766, 0.213709, 0.0930896, 0.0378305, 0.0075338, 0.064736, 0.133003, 0.11415, 0.0652885, 0.164992, 0.116126, 0.0645812, 0.121715, 0.0523706, 0.287302, 0.25285, 0.404272, 0.292933, 0.605509, 0.455793, 0.304182, 0.58994, 0.558108, 0.852108, 0.806509, 1.01878, 0.837354, 0.81847, 0.728283, 1.26924, 0.675641, 0.467642, 0.808038, 0.629402, 0.757499, 1.03197, 0.802418, 0.780882, 1.8821, 0.0176846, 0.0107773, 0.116867, 0.0820906, 0.125388, 0.0839245, 0.238965, 0.264606, 0.111211, 0.735965, 0.583727, 0.927216, 0.750561, 0.940818, 0.705387, 0.951937, 0.748042, 1.34866, 0.510717, 0.432388, 0.881548, 0.59224, 0.903428, 0.860975, 0.863515, 0.895794, 1.35259, 0.0576846, 0.0469308, 0.181125, 0.0339878, 0.160565, 0.148546, 0.243492, 0.27291, 0.07983, 0.00209802, 0.00153101, 0.0246663, 0.0584902, 0.13823, 0.178393, 0.195926, 0.269767, 0.128361, 0.131814, 0.221713, 0.126048, 0.123994
-274.805,0.982781,0.0251684,7,127,0,322.528,0.0745437,-0.527879,-2.60473,-0.146901,-0.492493,-0.44968,0.329039,2.86362,0.290649,-0.999839,2.88104,0.73961,0.187221,-0.914575,-0.495222,1.24237,-0.70495,0.55949,1.42615,0.727217,1.2703,-0.104052,-1.23049,-1.45371,-0.27754,-1.40651,0.449549,1.67991,0.711395,0.238738,-0.138757,-0.445686,-0.862079,0.58927,-0.406903,0.694409,0.29263,1.66013,-0.0300973,0.0790468,-0.142962,0.826429,-0.715392,-0.235332,-0.0529657,-0.772702,1.0771,-0.49169,0.00801477,-0.229543,2.05297,0.0690561,-0.515997,0.788039,-1.77341,0.205137,0.261007,0.0635937,-0.181613,-0.279589,1.19281,0.0944628,-1.08592,1.38172,0.0138929,-0.262516,-0.303764,1.05492,0.877486,0.550165,-0.85062,1.20385,-1.57955,1.37263,-0.146735,0.11717,-1.18217,0.112222,1.47915,0.927968,0.866362,0.137365,0.174083,0.7943,-0.527447,0.331675,0.234605,0.692327,0.786317,1.67987,0.96033,0.00525448,-0.414547,0.690469,1.35714,0.204319,-1.19049,0.744669,-0.144705,-0.187604,0.109548,0.613227,0.137768,1.748,0.967962,-0.577081,0.819855,0.9054,-1.56035,0.236164,0.295487,-1.36597,0.180501,0.149496,-7.50433,-0.423227,-1.41889,-1.29555,0.947974,8.25022,0.837372,-2.88058,0.537857,0.13615,-0.665094,-0.360134,0.903471,-0.512651,0.406871,1.03712,0.903682,-0.0740223,-0.875362,-1.03416,-0.197441,-1.00058,0.319807,1.19508,0.396336,-0.230355,-0.739897,-1.43116,0.978266,-0.675512,1.15281,0.485805,-0.0324177,0.085141,-0.153984,0.890144,-0.770546,-0.253475,-0.0570492,-0.832274,-0.100864,0.00164413,-0.0470878,0.421141,0.014166,-0.10585,0.161656,-0.363792,0.00362613,0.0008835,-0.00252312,-0.0038843,0.0165715,0.00131236,-0.0150865,0.019196,-0.360337,-0.416956,1.44801,1.20446,0.755172,-1.16759,1.65245,-2.16814,-0.0255441,0.0203972,-0.205796,0.0195359,0.257495,0.161543,0.150819,0.0239129,0.00417364,-0.00277146,0.00174278,0.00123273,0.00363782,0.00413169,0.00882686,0.00504604,-0.0454128,0.0756397,0.148673,0.0223828,-0.130416,0.0815772,-0.0158522,-0.0205516,-0.558592,0.793589,0.876393,-1.51036,0.228598,0.28602,-1.32221,0.174718,0.144706,-20.8405,0.0745437
-276.945,0.977611,0.0251684,8,255,0,332.508,0.0999523,-0.528677,0.335534,-0.358971,-0.776549,-0.333662,2.04171,3.2453,1.27195,-1.39729,2.2219,0.432834,-0.0204408,-0.265562,-1.00678,0.565473,-0.0405709,0.599141,2.09993,0.829091,0.734492,-0.301917,-0.355676,-1.56387,-1.29154,-1.21728,1.10552,1.68799,0.86223,0.670499,-0.418461,-0.58548,-2.36626,1.47281,-0.687989,1.77861,0.742463,0.685545,0.0491457,0.0313257,-0.0308054,0.0579791,-0.826969,-0.344971,0.364031,-0.887829,0.964881,-0.381178,-0.206057,0.895074,0.0874202,-2.06515,0.447138,0.602986,-1.7066,0.189043,-1.10189,0.28036,0.671663,-0.415449,0.402649,-1.80118,-0.0201208,0.262628,0.0425593,-0.181296,-0.265687,1.1679,0.62545,0.355884,-0.284325,1.26627,-1.18948,0.998852,-0.0646399,0.2283,-0.556512,-0.255986,0.167638,1.04755,0.589744,0.913838,0.180172,1.73979,-0.52371,1.34525,-0.77294,-0.845125,2.54563,0.448857,1.34337,0.0337514,-0.250394,0.280567,0.811384,0.0333498,-0.425639,0.545769,-0.362982,-0.331741,0.176228,0.608355,0.130887,1.69851,1.12711,-0.587477,0.653173,0.743547,-1.36434,0.141885,0.195934,-1.16025,0.0996301,0.0673353,0.745526,-0.797599,-1.72542,-0.741366,4.53647,7.21074,2.82615,-3.10464,0.358859,-0.0169473,-0.220175,-0.834708,0.468828,-0.0336369,0.496742,1.74103,0.633301,-0.260322,-0.306675,-1.34841,-1.1136,-1.04957,0.953209,1.45544,0.459657,-0.286874,-0.401373,-1.62218,1.00968,-0.471647,1.21932,0.508992,0.0474197,0.0302256,-0.0297236,0.0559429,-0.797927,-0.332856,0.351247,-0.856649,-0.0720592,-0.0389537,0.169208,0.0165262,-0.390403,0.0845285,0.113991,-0.322621,-0.0468956,0.0119319,0.0285855,-0.0176812,0.0171365,-0.076657,-0.000856327,0.0111773,-0.181088,-0.265382,1.16656,0.624732,0.355475,-0.283998,1.26482,-1.18811,-0.0116463,0.0411333,-0.100268,-0.0461217,0.0302038,0.188739,0.106256,0.164648,0.0587205,-0.017676,0.0454041,-0.0260879,-0.0285242,0.0859187,0.0151496,0.0453408,-0.0441266,0.0494438,0.142989,0.00587718,-0.0750096,0.0961799,-0.0639678,-0.0584622,-0.66215,0.736197,0.838059,-1.53776,0.15992,0.220838,-1.30773,0.112294,0.0758942,-20.3473,0.0999523
-284.273,0.937919,0.0251684,8,255,0,337.915,-0.657108,-2.39977,-1.77011,0.354963,-0.372223,-0.0792338,0.00944216,2.06836,-0.309919,-0.816858,5.26757,1.29372,-0.134934,-1.31889,-1.47115,0.905086,-0.554142,0.82001,1.0957,0.586908,0.708085,-0.267545,-0.416781,-1.6074,1.31205,-1.57473,-0.192245,0.710688,0.829071,0.48125,-0.19055,-0.398575,-1.25819,0.833152,-0.486406,1.05109,0.754674,1.2831,0.747214,0.124843,-0.982701,1.09598,-1.42578,-0.19746,-0.496057,-2.23596,0.489628,0.157244,-0.0644295,0.880881,0.780968,1.06519,0.581034,-1.25948,-0.00575375,0.133454,1.36683,-0.394262,-1.07057,0.488724,-1.35221,-0.411388,1.10547,-0.287372,0.135318,0.00383577,-0.32358,0.921035,0.676069,0.506402,-0.283288,1.1438,-1.74299,1.35178,0.531013,-0.351578,1.22051,0.820884,1.1733,-1.30156,-0.0661739,-0.853737,0.094434,-0.411857,-1.47593,-0.186408,0.0435607,-0.912253,-1.90532,-1.67785,-1.85685,0.113432,-0.554181,0.72754,1.39935,0.147068,-0.97038,0.63491,-0.285267,-0.0920736,0.113512,0.633427,0.139738,1.8016,1.16942,0.136422,1.27506,1.40559,-0.721704,0.861735,0.853327,-0.409021,0.769833,0.707377,-9.3242,1.86979,-1.96071,-0.41737,0.0497373,10.8952,-1.63252,-4.30286,0.759297,-0.0791937,-0.774068,-0.86343,0.531203,-0.325231,0.481271,0.643077,0.587053,-0.221814,-0.345541,-1.33265,1.08778,-1.30557,-0.159384,0.589211,0.617492,-0.244495,-0.511412,-1.61438,1.06902,-0.624108,1.34865,0.968322,0.365857,0.0611264,-0.481158,0.536623,-0.698101,-0.0966819,-0.242883,-1.09479,0.0209848,-0.00859837,0.117557,0.104223,0.142154,0.0775412,-0.168082,-0.00076786,0.184956,-0.0533508,-0.144868,0.0661331,-0.182978,-0.0556682,0.14959,-0.0388866,0.00518513,-0.437411,1.24504,0.913899,0.684546,-0.382945,1.54616,-2.35614,0.0501457,-0.0332009,0.115257,0.0775193,0.1108,-0.122911,-0.00624906,-0.0806218,-0.0467177,-0.167417,-0.0211446,0.00494116,-0.103478,-0.216124,-0.190321,-0.210625,-0.0629064,0.0825849,0.158843,0.0166941,-0.11015,0.0720702,-0.0323814,-0.0104515,0.159535,1.49108,1.64373,-0.843977,1.00773,0.997899,-0.478319,0.90026,0.827222,-22.3484,-0.657108
-275.467,0.765912,0.0251684,7,127,0,338.909,-0.384991,-0.646131,-0.865854,0.389907,-0.279209,-0.117605,0.449217,2.45423,-0.0121879,-0.890349,4.57083,0.589291,-0.0723867,-0.99069,-1.43291,1.41415,-0.0814419,-0.299374,1.21545,0.603739,0.988628,-0.314605,-0.517189,-1.50095,0.74658,-1.33764,0.465507,1.00952,0.605256,0.1416,-0.143396,-0.432235,-0.760292,0.640371,-0.217357,0.607581,0.152951,1.85503,-0.00863575,-0.0180239,-0.524733,1.39789,-1.60874,-0.258253,-1.02136,-1.30119,0.544746,-1.19514,0.0850388,-1.13165,-0.0258555,-1.1323,1.29215,-0.208286,-0.736225,0.194327,-1.38705,0.00346294,-0.381007,-0.700601,-0.697266,-1.17094,0.418001,1.15082,0.0910496,-0.323581,-0.185767,0.850814,0.504479,0.315599,-0.0856531,0.895327,-1.30449,1.93388,-0.0766938,1.46372,0.544138,-0.763065,2.21073,-0.0960995,0.0153121,-0.62307,0.00529307,1.1713,-2.68769,0.963856,-0.876457,-0.67502,-1.21247,0.125636,-0.478563,0.015416,-0.446298,0.413237,0.780192,0.140879,-0.607555,0.4512,-0.447003,0.225655,0.159186,0.635676,0.135441,1.73697,1.12567,-0.128013,1.13628,1.18011,-1.03963,0.541996,0.661541,-0.738214,0.540379,0.530217,-3.95767,1.7822,-1.27622,-0.537554,2.0533,11.2179,-0.0557091,-4.06964,0.355778,-0.0437027,-0.598118,-0.865106,0.853775,-0.0491696,-0.180744,0.733812,0.598373,-0.190417,-0.313031,-0.908459,0.451872,-0.809614,0.281751,0.611019,0.262672,-0.266004,-0.801809,-1.41037,1.18791,-0.403204,1.12708,0.283729,-0.00470429,-0.00981842,-0.285846,0.761494,-0.876356,-0.140682,-0.556382,-0.708817,-0.232247,0.0165253,-0.21991,-0.00502441,-0.220036,0.2511,-0.0404754,-0.143068,-0.12629,0.000315299,-0.0346905,-0.0637895,-0.0634858,-0.106614,0.0380588,0.104781,-0.625768,-0.359252,1.64537,0.975602,0.610332,-0.165643,1.73146,-2.52273,-0.000405946,0.00774755,0.00288016,-0.00403896,0.0117015,-0.000508661,8.10482e-05,-0.00329795,0.0180568,-0.0414334,0.0148588,-0.0135114,-0.0104061,-0.0186914,0.0019368,-0.00737752,-0.0710445,0.0657816,0.124196,0.0224259,-0.0967143,0.0718247,-0.0711566,0.035921,-0.1441,1.27908,1.32841,-1.17028,0.610108,0.744676,-0.830984,0.608288,0.596849,-21.8518,-0.384991
-298.314,0.60758,0.0251684,7,255,0,344.291,-0.296587,-0.801019,-0.860246,0.441517,-0.3144,-0.131727,0.160811,2.36778,0.256883,-1.92075,5.04898,1.16837,-0.0267988,-1.14867,-1.32712,0.517718,-0.729691,-0.326761,1.87325,0.869506,0.720981,-0.129934,-0.845528,-1.37314,0.70951,-1.44755,-0.353425,1.98264,0.814974,0.445937,-0.216778,-0.49961,-1.62639,1.13835,-0.605639,0.755746,1.02115,1.07368,0.439444,0.23652,-1.50731,0.964506,-0.529382,-0.703499,-0.362566,0.418722,0.416878,-0.38947,-0.472484,0.931867,-1.47619,-1.0241,1.84828,-1.20615,0.230839,0.0529524,1.17698,0.497291,-0.703128,0.569701,0.0202191,-0.29867,-0.467152,0.622975,0.243244,0.0667712,-0.182,0.568422,0.480865,0.218603,-0.409116,0.614223,-1.11599,1.56549,0.648194,0.303407,1.04628,-1.8329,-0.486083,0.310649,-0.40888,-0.0975946,0.00197313,0.878088,-3.0605,-0.458423,0.374432,-1.10828,0.478526,2.19208,-0.463057,0.00491204,-0.568967,0.568815,1.06027,0.117827,-0.884356,0.79752,-0.106609,-0.371602,0.133384,0.604807,0.137855,1.72865,1.00541,-0.265287,1.12705,1.24938,-1.15436,0.555191,0.644733,-0.979699,0.476876,0.493669,-4.34337,2.22921,-1.5874,-0.665087,0.811934,11.9549,1.297,-9.69785,1.0159,-0.0233018,-0.998776,-1.15394,0.450159,-0.63447,-0.28412,1.6288,0.587581,-0.105893,-0.689083,-1.11907,0.578232,-1.17971,-0.288032,1.6158,0.478792,-0.232749,-0.536419,-1.74621,1.22222,-0.65026,0.811426,1.09638,0.183194,0.0985999,-0.628365,0.402081,-0.220688,-0.293273,-0.151146,0.174556,-0.0206233,-0.0250191,0.0493446,-0.078168,-0.0542283,0.0978707,-0.0638686,0.0122235,0.286292,0.120963,-0.171032,0.138576,0.00491817,-0.0726497,-0.113632,0.151535,0.10453,-0.28492,0.88986,0.75279,0.342221,-0.640468,0.961561,-1.74708,0.00127897,0.000598661,0.00206445,-0.00361655,-0.000959105,0.000612951,-0.000806773,-0.000192567,0.0043132,-0.0150333,-0.00225179,0.00183922,-0.00544394,0.00235054,0.0107676,-0.00227456,-0.0758909,0.0758707,0.141423,0.0157162,-0.117959,0.106376,-0.0142199,-0.0495656,-0.266722,1.13315,1.25614,-1.16061,0.558195,0.648221,-0.985,0.479456,0.49634,-21.7131,-0.296587
-291.384,0.907867,0.0251684,8,255,0,348.925,0.0354517,-0.809779,-1.58226,-0.178652,-0.489308,-0.194344,1.00307,2.59272,0.0841154,-0.483212,2.90502,0.688064,-0.0371107,-0.36869,-0.824239,1.08691,-0.0815089,0.62651,1.09737,0.761738,0.81153,-0.122985,-0.419359,-1.32052,-0.252411,-0.946718,1.31565,1.33473,0.91704,0.314485,-0.135448,-0.506436,-1.08503,1.21568,-0.40929,1.60289,0.790627,1.16302,-0.206296,0.0670668,0.0770074,0.285309,-0.791833,0.174988,0.76322,-1.44121,0.296914,-1.31288,0.483276,0.863706,2.39704,0.6183,-0.0438136,0.389027,-0.844552,0.139628,-0.257518,0.305643,0.208513,1.04157,0.878213,-1.35636,0.771348,-0.920523,0.047168,-0.208878,-0.242312,1.22999,0.947778,0.69137,-0.462665,1.56088,-2.21056,0.884761,1.10012,2.27434,-0.221835,0.172076,1.00599,-0.164729,-0.0849901,2.1115,0.0413756,0.489871,0.545431,1.96146,-0.773716,1.61039,1.91823,-0.600272,1.07098,0.0145348,-0.605194,0.915789,2.11576,0.493601,-1.24347,1.59999,0.0754011,-0.739521,0.071736,0.620469,0.13774,1.65945,1.1499,-0.49257,0.695335,0.765931,-1.24595,0.206749,0.218662,-1.08183,0.128004,0.147453,-4.59651,-0.518987,-1.42145,-0.564574,2.91394,7.53192,0.244357,-1.40374,0.524125,-0.0282687,-0.280845,-0.627855,0.827942,-0.0620884,0.477236,0.835905,0.744206,-0.112782,-0.384569,-1.21097,-0.231471,-0.868179,1.20651,1.224,0.365752,-0.157528,-0.588995,-1.26191,1.41386,-0.476012,1.86419,0.919515,-0.0612522,0.0199131,0.0228646,0.0847123,-0.235107,0.0519564,0.226611,-0.427915,-0.183315,0.067479,0.120598,0.334694,0.086332,-0.00611762,0.0543191,-0.117923,-0.0121466,0.0144166,0.00983513,0.0491287,0.0414236,-0.0639768,0.036383,-0.0434192,-0.184807,-0.214388,1.08824,0.838557,0.611697,-0.409348,1.38101,-1.95582,0.0455182,0.0941021,-0.00917858,0.00711976,0.0416235,-0.00681575,-0.00351652,0.0873645,0.00712018,0.00792773,0.0285094,-0.0112458,0.0234066,0.0278811,-0.00872484,0.0155665,-0.0434141,0.065695,0.151776,0.0354089,-0.0892014,0.114777,0.00540897,-0.0530503,-0.566407,0.799567,0.880745,-1.43272,0.237741,0.25144,-1.24399,0.147192,0.169556,-20.615,0.0354517
