# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd534bd99f_model
# start_datetime = 2023-06-16 18:21:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd58bbfc46.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_7d99574a200a4c33f6bf861988cee63c-202306161521-2-306b93.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_7d99574a200a4c33f6bf861988cee63c-profile-202306161521-2-1b16c7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0190242
# Diagonal elements of inverse mass matrix:
# 0.0989205, 1.7873, 0.490833, 0.0741379, 0.0173577, 0.0171323, 0.0772675, 0.280672, 0.140055, 0.465559, 0.0727269, 0.0852428, 0.00981271, 0.122229, 0.15296, 0.170347, 0.128811, 0.265729, 0.264787, 0.088421, 0.0714473, 0.0089554, 0.0700062, 0.160721, 0.10545, 0.157044, 0.208269, 0.217326, 0.0830415, 0.037623, 0.0094085, 0.0689055, 0.174664, 0.135618, 0.070449, 0.174621, 0.150397, 0.0887718, 0.23042, 0.0870778, 0.26711, 0.322523, 0.610207, 0.361114, 0.456657, 0.505717, 0.675066, 0.679555, 0.42938, 0.841065, 0.777451, 0.792093, 0.804417, 0.779191, 1.04778, 1.50964, 0.622542, 0.494358, 0.84055, 0.796377, 1.04221, 0.970921, 0.918597, 0.791048, 1.23704, 0.0206984, 0.0106837, 0.11049, 0.0718847, 0.12695, 0.0741172, 0.230236, 0.240667, 0.115491, 0.61379, 0.457376, 0.775885, 0.753736, 0.861258, 0.929692, 0.834663, 0.982611, 1.35959, 0.499446, 0.333643, 0.797751, 0.703139, 0.879164, 0.786543, 0.96136, 0.883438, 1.07218, 0.0697627, 0.0570366, 0.217994, 0.0458014, 0.166268, 0.152836, 0.239126, 0.369694, 0.0924135, 0.00173946, 0.00154992, 0.023552, 0.0737428, 0.108625, 0.160521, 0.174906, 0.238032, 0.105949, 0.10562, 0.191385, 0.102955, 0.102264
-268.586,0.84004,0.0190242,8,255,0,330.301,-0.335011,1.62532,-1.18657,-0.0934165,-0.286276,-0.231252,0.671173,1.77713,0.57559,-0.906147,4.91483,0.49284,0.0444815,-0.490318,-0.770956,0.172634,-0.118484,0.20232,1.67217,1.00585,0.62612,-0.166145,-0.538075,-1.15476,-0.0109717,-1.00095,0.154096,1.27455,1.07457,1.09621,-0.364019,-1.20546,-2.17378,1.3324,-0.786307,2.22789,1.82272,0.638772,0.0144757,0.0865939,-0.0760029,0.422436,-0.812642,-0.446007,0.398196,-0.77778,1.79107,-1.73246,0.390357,-1.08486,-1.56857,0.400642,-0.787387,0.471857,0.583506,0.0589136,0.0575677,0.362411,-2.58594,0.501087,0.19522,-1.26045,-1.31,0.400838,0.219273,-0.316452,-0.264678,0.96852,0.686963,0.31647,0.011644,1.19658,-1.47156,1.18381,0.13909,-0.323007,0.109502,0.825174,-0.31445,-0.488461,0.604678,0.949624,0.18404,0.294242,-0.195657,-0.193374,-0.618749,-0.350417,1.49654,-0.0165138,0.0643472,0.462477,-0.94677,1.2967,1.98675,0.506353,-1.27609,0.82957,0.255965,-0.330751,0.0605267,0.627066,0.130603,1.61018,1.00449,-0.155166,1.18771,1.25965,-1.2633,0.607146,0.657423,-0.878559,0.65314,0.504864,-5.83178,-0.459126,-1.407,-1.13657,3.2987,8.7343,2.82892,-4.45356,0.495723,0.0447418,-0.493186,-0.775466,0.173644,-0.119177,0.203503,1.68195,0.67281,-0.178534,-0.578199,-1.24087,-0.0117899,-1.07559,0.165587,1.36959,0.700228,-0.232526,-0.770014,-1.38855,0.851103,-0.502271,1.42311,1.1643,0.025927,0.155096,-0.136127,0.756613,-1.4555,-0.798832,0.713198,-1.39306,-0.102065,0.0229973,-0.063913,-0.0924102,0.0236033,-0.0463878,0.0277988,0.0343764,0.012623,0.0794669,-0.567028,0.109875,0.0428064,-0.276383,-0.287247,0.087893,-0.37462,-0.313329,1.14655,0.813236,0.374642,0.0137843,1.41653,-1.74205,0.0255981,-0.0594462,0.0201528,0.151865,-0.0578713,-0.0898963,0.111285,0.174769,0.13608,-0.0904867,-0.0894309,-0.286157,-0.162059,0.692114,-0.00763724,0.0297591,-0.0573049,0.0784849,0.120252,0.0306479,-0.0772377,0.0502112,0.0154927,-0.0200193,-0.155863,1.19304,1.26531,-1.26898,0.609871,0.660375,-0.882504,0.656072,0.50713,-22.0958,-0.335011
-282.092,0.995787,0.0190242,8,255,0,330.571,-0.341797,3.66795,-2.34168,0.453083,-0.0844512,-0.00973312,0.417603,1.96803,-0.0616056,-1.83975,5.02634,0.817277,0.0473005,-0.787806,-1.03182,1.19855,0.069355,0.277137,1.48993,0.852619,0.92527,-0.207055,-0.383331,-1.52893,0.47106,-1.30246,0.629998,1.72743,0.813588,0.953807,-0.482369,-1.09514,-2.2687,1.87001,-0.74413,1.51019,1.73557,0.617873,0.514173,0.0642646,-0.774576,0.964995,-1.31773,0.038219,-0.984358,-1.24329,0.741192,0.995,0.395499,0.493999,2.51004,-1.26186,0.753687,-0.395969,-0.34256,0.0656878,-0.730684,0.140077,2.26511,-0.358983,-0.709906,0.217011,1.77875,0.570691,0.0374173,-0.0733591,-0.149563,0.678471,0.461882,0.345643,-0.223601,0.69915,-1.18143,1.94474,0.853973,1.22631,0.0341648,-0.18244,0.574613,1.7363,-0.56218,0.356778,0.00716536,-0.919962,-1.67387,2.10451,1.2125,-0.338504,-1.14851,-0.0226234,1.41401,0.0609931,-1.09559,1.1952,1.73133,0.407281,-1.53848,0.451522,0.00813395,-1.56279,0.0665539,0.61861,0.134746,1.75547,1.43814,-0.148164,0.85622,0.896052,-0.765909,0.471159,0.480754,-0.631648,0.392591,0.350235,-11.7701,2.27735,-0.424481,-0.048922,2.09901,9.89199,-0.309651,-9.2472,0.696826,0.0403293,-0.671699,-0.879751,1.0219,0.0591334,0.236292,1.27034,0.752789,-0.168458,-0.311874,-1.24392,0.383249,-1.05966,0.512558,1.40542,0.589332,-0.298043,-0.676654,-1.40177,1.15543,-0.459778,0.933104,1.07236,0.3811,0.0476324,-0.574109,0.715246,-0.976688,0.0283276,-0.729598,-0.921518,0.0653594,0.0259794,0.0324497,0.164879,-0.0828888,0.0495081,-0.0260104,-0.022502,-0.0273402,0.00524131,0.0847544,-0.0134322,-0.0265628,0.00811998,0.0665561,0.0213537,-0.142665,-0.290861,1.31945,0.898241,0.672186,-0.434846,1.35967,-2.29758,0.00611902,0.00878697,0.000244803,-0.00130724,0.00411731,0.0124412,-0.00402822,0.00255644,-0.0561113,-0.102094,0.128361,0.0739541,-0.0206464,-0.0700511,-0.00137987,0.0862446,-0.0729159,0.0795455,0.115227,0.0271061,-0.102392,0.0300506,0.000541346,-0.10401,-0.213081,1.23137,1.28865,-1.10149,0.677595,0.691393,-0.9084,0.564601,0.503687,-22.8937,-0.341797
-273.659,0.689391,0.0190242,8,255,0,340.357,-0.216497,-1.9715,0.236563,0.240657,-0.246437,-0.00124067,0.437672,1.38433,0.20204,-1.16202,7.04952,0.487454,0.0439578,-0.256727,-0.68932,0.166371,-0.30739,0.505402,1.16303,1.1724,1.0946,-0.174304,-0.217665,-1.95678,-0.158605,-0.881967,0.339595,1.2386,0.689793,0.543896,-0.178882,-0.173193,-1.50099,1.08795,-0.794854,1.39621,0.784211,1.02326,-0.0401145,0.167819,-0.230002,0.705382,-1.66434,-0.683475,0.587857,-0.834114,0.600488,-1.64495,-0.200695,0.409465,-0.895791,0.324664,0.14154,0.363339,-0.351063,0.0884514,0.736906,0.92212,-2.69652,1.14878,0.327372,-1.77842,-2.00979,0.0382683,0.0392294,-0.0601972,-0.0868728,0.428344,0.245684,0.214815,-0.128911,0.61748,-0.638966,3.03907,-0.631868,-0.362505,0.0743723,0.44484,-0.481316,-1.61904,0.695635,-0.231962,0.150753,1.45309,-2.09611,-0.440108,-0.940552,0.381888,2.02295,-0.367236,-1.25882,0.0181367,-0.810133,0.647256,1.73328,0.172234,-1.08935,1.44433,-1.42547,0.511282,0.0786472,0.612993,0.125729,1.64851,0.752297,-0.425627,1.41795,1.60437,-1.72235,0.665801,0.765464,-1.38629,0.515823,0.520872,1.66765,1.69651,-1.73726,-0.00874611,3.08538,9.75885,1.42429,-8.19167,0.57149,0.0515361,-0.300987,-0.808157,0.195053,-0.360383,0.592532,1.36353,0.755048,-0.120234,-0.150143,-1.34977,-0.109405,-0.608375,0.23425,0.854379,0.556549,-0.183043,-0.177223,-1.53591,1.11326,-0.813345,1.42869,0.802454,-0.0240883,0.100773,-0.138113,0.423573,-0.999414,-0.410419,0.353001,-0.500876,-0.145498,-0.0177518,0.0362178,-0.079234,0.028717,0.0125194,0.0321378,-0.031052,0.0289084,0.0361743,-0.105783,0.045066,0.0128426,-0.0697664,-0.0788431,0.00150124,-0.182943,-0.264013,1.30177,0.746651,0.652838,-0.391769,1.87656,-1.94186,-0.095256,-0.0546487,0.0112118,0.067061,-0.0725598,-0.244075,0.104869,-0.034969,0.0263542,-0.0380166,-0.00798212,-0.0170586,0.00692621,0.0366897,-0.00666047,-0.0228308,-0.0637147,0.0509049,0.136318,0.0135457,-0.0856741,0.113592,-0.112109,0.0402109,-0.320198,1.06672,1.20696,-1.29572,0.50088,0.575856,-1.0429,0.388052,0.39185,-23.4476,-0.216497
-274.029,0.998933,0.0190242,8,255,0,330.515,-0.126251,-0.337586,0.316573,0.276264,-0.240189,-0.131813,0.535105,1.79568,0.357842,-1.63609,5.85738,0.902611,-0.0428345,-1.17748,-1.10931,0.994247,0.00345666,0.161607,1.55714,0.773898,0.997402,-0.333635,-0.777026,-2.08552,-0.396345,-1.71166,0.589649,2.0495,0.678585,0.684968,-0.3317,-1.1832,-1.98584,1.21482,-0.330588,1.23964,1.10624,0.851764,-0.236265,0.0314385,-0.529048,0.670003,-0.833904,0.249267,-0.980864,-1.35244,0.612965,-0.163428,0.221176,0.0967782,0.827529,-1.34065,-0.103113,-0.647823,-1.02175,0.196551,0.560791,1.65299,0.0988702,-0.338151,1.20276,0.627749,0.439107,-1.05485,0.0281102,-0.271143,-0.236179,0.671074,0.5218,0.412515,-0.137423,0.923208,-1.2471,1.67925,0.128701,1.10614,-1.17358,0.601316,0.797692,0.181407,0.479437,1.32998,0.0104077,-1.85434,-2.38863,1.57286,-0.977681,-1.96981,0.0888386,0.742778,-0.153606,0.0723239,-0.94882,0.595434,1.82017,0.234918,-1.38249,0.814599,0.334468,-1.17338,0.0802239,0.628946,0.132212,1.57329,1.17552,-0.336973,0.839557,0.944149,-1.11248,0.398001,0.413137,-0.966635,0.233361,0.248323,1.85429,1.61818,-1.40688,-0.77208,3.13431,10.518,2.09601,-9.58317,0.698529,-0.0331495,-0.911249,-0.858496,0.769445,0.0026751,0.125067,1.20507,0.676822,-0.2264,-0.527278,-1.4152,-0.268954,-1.16151,0.400127,1.39076,0.583432,-0.28253,-1.0078,-1.69147,1.03474,-0.281583,1.05588,0.942252,-0.144822,0.0192707,-0.324288,0.410688,-0.511154,0.152792,-0.601235,-0.829001,-0.0321221,0.0434724,0.0190219,0.162652,-0.263507,-0.020267,-0.127331,-0.200826,0.0157639,0.0464658,0.00277926,-0.00950548,0.0338097,0.0176461,0.0123434,-0.029652,-0.455319,-0.396604,1.1269,0.876234,0.692718,-0.230768,1.5503,-2.09419,0.00133948,0.0115124,-0.0122143,0.00625831,0.00830212,0.00188803,0.00498983,0.013842,-0.134113,-0.172755,0.113756,-0.0707097,-0.142464,0.00642515,0.0537206,-0.0111094,-0.076118,0.047768,0.146021,0.0188461,-0.110909,0.0653503,0.0268323,-0.0941332,-0.396119,0.986916,1.10987,-1.30775,0.467859,0.485651,-1.1363,0.274321,0.291909,-22.0629,-0.126251
-271.815,0.777515,0.0190242,8,255,0,323.697,-0.38131,0.443546,-0.660267,0.653881,-0.123791,0.132596,0.144664,1.44228,0.0121404,-1.84005,7.98859,0.55938,-0.0291259,-0.215693,-0.778763,0.276357,-0.586557,0.281837,1.4846,0.991766,1.20613,-0.421379,-0.758568,-1.93372,0.484024,-1.98839,0.450342,1.74373,0.553298,0.540215,-0.266291,-0.155894,-1.70826,1.20834,-1.16546,1.15772,0.873412,0.910082,-0.109699,0.146959,-0.170681,1.28854,-1.3734,-0.141085,-0.282199,0.17128,0.465832,-1.35829,-0.111889,0.633927,-0.346091,0.998557,0.864208,-1.4799,-0.154569,0.084689,-0.719311,-0.660447,-0.376808,0.536879,-1.41816,-1.86539,0.0787627,0.810525,0.168063,-0.183882,-0.229019,0.922893,0.595676,0.243084,-0.416583,1.17687,-1.4127,1.69309,0.297161,-0.306614,0.865829,-0.715595,0.281206,-0.949162,-0.218001,-0.143354,0.274443,-0.566593,-1.19703,0.362427,0.590412,1.49443,-0.328712,-1.98833,-0.835328,0.113847,-0.868414,0.664163,1.39396,0.457976,-1.00924,0.633218,-0.899997,0.298512,0.102971,0.622301,0.127422,1.69162,0.968563,-0.169967,1.30875,1.37219,-1.13314,0.71868,0.710048,-0.922612,0.689945,0.620378,-5.2746,5.22359,-0.988914,1.05926,1.15567,11.5218,0.0969844,-14.6994,0.554774,-0.028886,-0.213917,-0.772351,0.274081,-0.581727,0.279516,1.47238,0.667351,-0.233148,-0.419714,-1.06992,0.26781,-1.10017,0.249174,0.964803,0.49164,-0.242347,-0.141876,-1.55466,1.09969,-1.06067,1.05362,0.794877,-0.0511014,0.0684583,-0.0795089,0.600242,-0.639775,-0.065722,-0.131457,0.0797878,-0.115032,-0.00947579,0.0536866,-0.0293101,0.0845668,0.0731889,-0.125331,-0.0130903,-0.120889,-0.110997,-0.0633274,0.0902293,-0.238341,-0.313503,0.0132371,0.136219,-0.311329,-0.38775,1.56254,1.00853,0.411564,-0.705313,1.99255,-2.39182,0.0815538,-0.0841481,0.237621,-0.19639,0.0771749,-0.260491,-0.0598288,-0.0393425,-0.0645047,-0.136278,0.0412611,0.0672163,0.170136,-0.0374227,-0.226365,-0.0950992,-0.0894214,0.0683895,0.143538,0.0471582,-0.103922,0.0652031,-0.0926736,0.0307381,-0.164623,1.26761,1.32905,-1.09752,0.696087,0.687726,-0.893607,0.668255,0.600875,-22.9366,-0.38131
-286.824,0.975575,0.0190242,8,255,0,332.999,-0.576065,0.0776871,-0.755381,0.134687,-0.363479,-0.0801548,0.978162,2.44695,0.182693,-0.492768,3.89126,0.788369,-0.0649217,-0.70855,-1.65631,0.793588,0.103761,0.379088,1.42562,0.611538,0.674922,-0.575673,-0.0909713,-2.38321,-0.481829,-1.6533,0.972171,1.63212,0.5681,0.499349,-0.304132,-0.598722,-1.1883,1.70556,-0.264474,0.460991,0.398303,1.06413,0.337599,-0.168057,-0.514813,1.82212,-1.73031,-0.123154,0.593084,-2.6245,0.188126,-0.75722,-0.348849,0.719458,1.19586,-1.36458,-0.575127,1.2169,-0.632985,0.0275657,-0.931428,-1.91326,-1.01058,-1.05131,0.79109,0.073209,-0.124728,-0.356074,0.0306552,-0.145726,-0.203088,0.730726,0.538793,0.256631,-0.333784,1.2191,-1.07155,1.72249,0.235173,-1.30565,-1.05005,0.998585,-0.483099,0.75864,0.809167,0.590914,0.00775316,-0.304131,-0.539889,1.50517,-0.981558,-1.4541,0.835396,0.993795,0.269342,0.128031,-0.365727,0.479938,1.13704,0.181115,-0.666757,0.762187,0.155876,-0.704012,0.134797,0.619647,0.138821,1.73542,0.987896,0.0484257,1.36695,1.5829,-0.835188,0.906452,0.927356,-0.641942,0.781884,0.760555,-2.93938,0.524101,-1.41439,-0.311903,3.80628,9.52172,0.710907,-1.91749,0.482118,-0.0397021,-0.433305,-1.0129,0.485309,0.0634538,0.231827,0.871819,0.383423,-0.327039,-0.0516807,-1.3539,-0.273727,-0.939239,0.55229,0.927207,0.53137,-0.323635,-0.637115,-1.2645,1.81493,-0.281434,0.490553,0.423844,0.0635113,-0.031616,-0.0968499,0.34279,-0.325518,-0.0231686,0.111575,-0.493737,-0.0208733,-0.00961629,0.0198324,0.0329647,-0.0376156,-0.0158538,0.0335447,-0.0174487,-0.0285532,-0.0586515,-0.0309797,-0.032228,0.024251,0.00224424,-0.00382355,-0.0109155,-0.251012,-0.349818,1.25867,0.928068,0.442046,-0.57494,2.09989,-1.84573,0.00182334,-0.0101229,-0.0081412,0.00774219,-0.00374554,0.00588186,0.0062736,0.00458146,-0.0389382,-0.0691225,0.192708,-0.12567,-0.18617,0.106956,0.127236,0.0344841,-0.0492989,0.0646942,0.15327,0.0244138,-0.0898768,0.102741,0.0210116,-0.0948987,0.0478395,1.35041,1.56374,-0.825079,0.895481,0.916132,-0.634172,0.77242,0.75135,-21.1142,-0.576065
