# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/model_sim_part_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.022454
# Diagonal elements of inverse mass matrix:
# 0.0721768, 6.28586, 0.298714, 0.120497, 0.022531, 0.0743522, 0.154416, 0.120864, 0.228598, 0.26658, 0.0809872, 0.281619, 0.207016, 0.469094, 0.278228, 0.44218, 0.421741, 0.542345, 0.509737, 0.20683, 0.299754, 0.200784, 0.572865, 0.227592, 0.41058, 0.483042, 0.659827, 0.565353, 0.489779, 0.420489, 0.273889, 0.735278, 0.329967, 0.608498, 0.511166, 0.716222, 0.512529, 0.994088, 0.404066, 0.308312, 0.649882, 0.430197, 0.525401, 0.549078, 0.627174, 0.610449, 0.529781, 0.104065, 0.0423908, 0.15072, 0.0640882, 0.153726, 0.17838, 0.360078, 0.257798, 0.116815, 0.337729, 0.266974, 0.629665, 0.294317, 0.579138, 0.627972, 0.70759, 0.656408, 0.60744, 0.412878, 0.335914, 0.652864, 0.383592, 0.597575, 0.690044, 0.610469, 0.68781, 0.709866, 0.128627, 0.0736129, 0.280569, 0.11456, 0.251775, 0.247385, 0.348397, 0.330312, 0.13165, 0.0668292, 0.0545222, 0.202823, 0.0979605, 0.180277, 0.133899, 0.325182, 0.206942, 0.0955007, 0.00712694, 0.00139503, 0.0181805, 0.0836114, 0.196456, 0.157733, 0.155226, 0.295015, 0.140743, 0.154731, 0.166708, 0.132915, 0.152171
-1859.56,0.921311,0.022454,8,255,0,1907.45,-0.164067,8.72395,-3.43728,-1.99592,-0.220633,-0.687522,2.12193,0.771737,-1.57389,1.2985,3.14376,0.162991,0.7035,-0.997757,0.439814,1.79625,1.07264,-0.415401,0.108583,0.339076,-0.279952,-0.917551,-1.54862,0.629913,-0.602354,-0.731509,0.415974,-1.69454,0.364581,0.0724855,-0.297108,-0.529051,0.169264,0.587951,0.0440683,0.991615,-0.556684,0.928496,0.904885,-0.16833,0.192138,0.0481489,1.31248,0.496971,1.39971,0.750846,0.395943,0.207982,-0.181278,0.417124,0.350209,0.819243,0.810359,-2.83528,1.24289,0.997774,0.360204,-0.436399,-0.0304992,0.486787,0.180355,-1.03022,-1.65248,0.143412,0.0265282,0.268599,-1.87127,0.611816,-0.369348,-0.38733,-0.398242,0.0917493,0.147075,0.310979,-0.0758015,-0.639387,2.27457,-0.684352,0.604868,-0.947138,-1.02127,0.393186,0.806003,0.525455,-0.723744,1.33466,-0.638766,0.402285,-0.0989527,-0.939471,0.0649097,1.0397,0.212095,0.424644,2.19476,0.700128,-1.00435,0.807377,0.710665,-1.64326,0.662606,0.719462,-0.851084,0.509895,0.693721,-10.806,-6.27471,-0.693618,-2.16141,6.67084,2.42616,-4.94793,4.08219,0.0552664,0.23854,-0.338315,0.14913,0.609063,0.363706,-0.140852,0.0368179,-0.102065,-0.334522,-0.564596,0.229654,-0.219607,-0.266694,0.151656,-0.617798,0.0673025,-0.275864,-0.491222,0.157161,0.54591,0.0409172,0.920711,-0.516879,0.358283,-0.0666492,0.0760758,0.0190642,0.519666,0.196772,0.554206,0.297293,0.207519,-0.180875,0.416196,0.349429,0.817419,0.808555,-2.82897,1.24013,0.00955557,-0.0115769,-0.00080909,0.0129136,0.0047845,-0.0273298,-0.0438374,0.00380447,0.0835286,-0.581928,0.190262,-0.11486,-0.120452,-0.123845,0.0285321,0.0457373,-0.0610962,-0.515348,1.83331,-0.551589,0.487525,-0.763396,-0.823146,0.316909,0.546317,-0.752478,1.38764,-0.664126,0.418256,-0.102881,-0.97677,0.0674867,-0.703171,0.565267,0.497556,-1.15049,0.463908,0.503715,-0.595868,0.356991,0.485693,-24.8647,-0.164067
-1871.36,0.826925,0.022454,8,255,0,1912.59,-0.216796,4.4575,-3.32483,-1.0565,-0.348088,-0.0506878,1.61605,0.928227,-0.648043,0.711419,3.25722,-0.138421,0.599525,-2.97186,0.271082,0.931132,1.93562,0.874706,0.44418,0.515458,-1.0487,-0.452366,-1.52728,-0.445066,-1.26615,0.740384,1.63184,1.45595,0.554269,-0.939982,-0.214993,-1.4443,0.552856,-0.281854,0.38424,0.652085,-0.105485,0.622775,2.57379,-0.766065,1.69589,0.0360279,-0.660575,1.17217,-0.391284,0.573513,0.0531008,0.0733117,-0.0739233,0.0625483,0.461096,0.467428,0.689342,-2.65045,0.819428,0.762302,0.354668,-0.0233363,0.253371,-0.167146,0.311219,2.0284,-1.52734,0.281181,0.179327,0.524279,-0.986815,0.13671,-0.177617,-1.01147,-1.16765,0.183925,-0.663225,0.384563,0.358955,-0.739123,1.84251,0.239947,0.416492,-0.794502,0.0598563,-0.110714,0.632499,-0.140437,-0.591525,1.21887,-0.73804,-0.590942,-0.119011,-2.01104,-0.255203,1.22432,0.272414,0.451401,2.38014,0.886407,-0.85313,0.764997,0.672233,-1.10255,0.598953,0.619871,-0.653341,0.462046,0.565134,-10.8297,-3.44126,-1.1338,-0.165101,5.26381,3.02344,-2.11082,2.31725,-0.0713501,0.30903,-1.53187,0.139731,0.47996,0.997731,0.450874,0.228956,-0.581261,-0.250732,-0.846523,-0.246687,-0.70179,0.410372,0.904478,0.806987,-0.585397,-0.133892,-0.899472,0.344305,-0.175532,0.239295,0.406102,-0.0656933,0.13667,-0.0406787,0.0900532,0.00191311,-0.035077,0.0622432,-0.0207775,0.030454,0.0558857,-0.0563519,0.0476807,0.351495,0.356322,0.525487,-2.02044,0.624651,0.0636014,-0.00418483,0.0454361,-0.0299738,0.0558099,0.363747,-0.273892,0.0504233,0.201618,-0.379492,0.0525735,-0.0683047,-0.388974,-0.449034,0.0707308,-0.255052,0.227039,-0.467495,1.16538,0.151766,0.263431,-0.502522,0.0378591,-0.0700266,-0.171939,-0.724213,1.49228,-0.903594,-0.723499,-0.145707,-2.46214,-0.312449,-0.75622,0.678099,0.595872,-0.977309,0.530916,0.549458,-0.579126,0.409561,0.500939,-22.8667,-0.216796
-1873.61,0.982576,0.022454,8,255,0,1922.48,-0.220346,5.57314,-1.62213,-0.753999,-0.130527,-0.104095,0.772754,0.387053,-0.557603,0.158332,5.55075,-0.734079,0.322035,-1.18447,0.817936,-0.727358,0.113899,0.16461,-0.48287,0.771916,-0.588163,-0.127148,-0.896482,0.46256,-0.436166,-0.438273,1.08248,-1.56886,0.704729,-0.363438,-0.345386,-1.16989,0.239813,0.324931,1.50657,1.7253,-0.928508,0.626725,0.683349,-0.858548,-1.30068,-0.991116,0.157681,-0.989453,-0.445224,-0.680383,0.0441666,-0.0720029,0.0124724,0.386492,0.340872,0.111396,0.702003,-0.99469,0.511299,1.98714,-0.862709,2.12244,-0.695357,0.605936,-0.627856,-0.854748,-0.424391,1.07606,0.0169098,-0.615914,-1.59986,1.19185,1.01136,-0.366215,-0.643842,-0.500302,0.222634,0.301889,-0.289885,-0.600544,1.9488,-0.93601,0.607777,-0.802291,-0.162745,0.352838,0.779922,0.113066,-0.771569,1.45866,-0.710467,-0.713751,-0.0623831,-1.14849,-0.115001,0.848573,0.182703,0.414835,1.89354,0.648869,-0.989689,0.907452,0.977105,-1.45876,0.710242,0.986338,-0.974542,0.695383,0.962769,-9.00403,-4.18526,-0.724522,-0.577803,4.28937,2.14844,-3.09512,0.878863,-0.566647,0.248584,-0.914311,0.631378,-0.56146,0.0879202,0.127065,-0.372735,-0.414496,-0.089605,-0.631777,0.325979,-0.307379,-0.308864,0.762857,-1.10562,-0.227776,-0.216462,-0.733197,0.150297,0.203642,0.944208,1.08129,-0.58192,0.0301812,-0.0379192,-0.0574468,-0.0437743,0.00696424,-0.0437008,-0.0196641,-0.0300503,-0.14308,0.0247844,0.768014,0.677361,0.22136,1.39498,-1.97659,1.01602,-0.0145882,0.03589,-0.0117583,0.0102462,-0.0106169,-0.0144536,-0.00717636,0.0181959,-0.185938,-0.482982,0.359807,0.30532,-0.110556,-0.194369,-0.151036,0.0672107,-0.226088,-0.468378,1.51992,-0.730015,0.474019,-0.625725,-0.126928,0.275186,0.0959447,-0.654733,1.23778,-0.602883,-0.60567,-0.0529366,-0.97458,-0.0975864,-0.642178,0.588817,0.634013,-0.946544,0.460854,0.640004,-0.632349,0.451212,0.624711,-25.0679,-0.220346
-1864.97,0.997789,0.022454,8,255,0,1922.99,-0.527121,2.54805,-2.50859,-1.17454,-0.387765,-0.0503541,1.39423,1.34084,-0.0720041,1.15595,4.89832,0.126156,0.630744,-2.73037,-0.0954228,0.751363,1.63452,0.595526,-0.468168,0.648817,-1.24949,0.0262271,-3.36687,0.111064,-2.02615,1.31831,0.566971,-0.24571,0.39935,-0.360206,0.0496166,-0.705304,-0.0709906,-0.371617,0.186924,1.16831,-0.690729,1.50211,-1.38755,-0.499506,0.81403,-0.54874,-0.52702,0.842485,-0.131304,-0.417931,0.0175081,0.152418,0.0579626,-0.101918,0.15453,0.194237,0.548569,-1.99447,0.333455,1.0443,-0.0633051,2.14828,-0.68131,0.819166,0.111792,-0.527207,2.23747,-0.856138,0.102463,0.0338549,-0.454002,-0.727381,-0.691044,-1.84635,-0.909665,-0.0759072,-1.38669,0.738076,0.443191,-1.1012,2.07426,-0.523627,1.01443,-0.704214,0.406634,0.045508,0.454204,-0.128555,-0.429799,1.18614,-0.527528,-0.686048,-0.115803,-1.70148,-0.299161,1.54762,0.230786,0.396041,2.02471,0.770578,-0.484527,1.18827,1.25631,-0.997518,1.08768,1.29486,-0.277351,0.964281,1.09595,-12.2879,-5.7533,-1.8994,-0.246651,6.8294,6.56787,-0.352699,5.66223,0.0818521,0.409237,-1.77151,-0.061912,0.487497,1.0605,0.386387,-0.303755,-0.498984,0.0104738,-1.34456,0.0443532,-0.809143,0.526468,0.22642,-0.0981243,-0.541067,0.0745294,-1.05944,-0.106635,-0.558207,0.280779,1.75492,-1.03755,-0.0242934,-0.00874542,0.0142521,-0.0096074,-0.00922713,0.0147503,-0.00229888,-0.00731718,0.159171,0.0605305,-0.106433,0.161376,0.202842,0.572872,-2.08283,0.348228,-0.00648642,0.220118,-0.0698089,0.0839341,0.0114546,-0.0540191,0.229258,-0.0877223,0.0249875,-0.335088,-0.536862,-0.510043,-1.36274,-0.671402,-0.0560253,-1.02348,0.201299,-0.500169,0.942139,-0.237834,0.460759,-0.319857,0.184695,0.0206699,-0.198954,-0.665167,1.83569,-0.816414,-1.06174,-0.179219,-2.63324,-0.462989,-0.373366,0.915656,0.968087,-0.768666,0.838143,0.997791,-0.213721,0.743053,0.844513,-23.2609,-0.527121
-1859.94,0.901153,0.022454,8,255,0,1919.22,-0.502822,2.71893,-2.63626,-1.14884,-0.402573,-0.0327741,1.58398,1.21865,0.0785055,1.14372,4.47371,0.125156,0.515391,-2.61543,0.11598,0.878331,1.02074,0.773035,-0.123768,0.697078,-1.22151,-0.046772,-3.47121,-0.10693,-1.64414,1.34699,0.423536,-0.274546,0.39544,0.10455,-0.159811,-1.33786,-0.0892058,0.0448094,0.290376,1.60279,-0.681876,1.14224,-1.65296,-0.446902,1.1877,-0.879237,-0.713089,0.944171,-0.119581,0.0638788,0.016568,0.189553,0.00129492,-0.179296,0.117162,0.348009,0.343083,-1.91395,0.517098,1.15807,0.106193,2.06933,-0.361037,0.52625,-0.0398244,-0.819543,1.91201,-0.86814,0.0655091,-0.217854,-0.418509,-0.201449,-0.554973,-2.08933,-0.806476,0.3388,-1.45873,0.367257,0.314042,-1.07937,1.94573,-0.631334,1.01802,-1.01607,0.822935,-0.166221,0.432057,-0.0729457,-0.404958,0.939043,-0.558563,-0.597571,-0.225616,-1.93669,-0.353035,1.33497,0.238711,0.400151,1.97853,0.772432,-0.504069,1.17502,1.09668,-0.895436,1.03939,0.993178,-0.452737,0.993459,1.02504,-11.7939,-5.13958,-1.801,-0.146622,7.08625,5.45188,0.351211,5.11669,0.0872434,0.359268,-1.82316,0.0808471,0.612265,0.711538,0.538866,-0.0862757,-0.483032,-0.0184955,-1.37265,-0.0422844,-0.650159,0.532651,0.167483,-0.108566,0.119421,-0.182542,-1.52816,-0.101894,0.0511829,0.331679,1.83077,-0.778865,-0.0273863,-0.00740428,0.0196778,-0.0145672,-0.0118145,0.015643,-0.00198121,0.00105835,0.219515,0.0014996,-0.207638,0.135682,0.403019,0.397315,-2.21649,0.598835,0.00695663,0.13556,-0.0236512,0.0344742,-0.00260886,-0.0536876,0.125254,-0.0568711,-0.0800086,-0.1537,-0.0739835,-0.203818,-0.767322,-0.296184,0.124427,-0.535728,0.135684,-0.466351,0.840668,-0.272772,0.439843,-0.438998,0.355555,-0.071817,-0.0973804,-0.540607,1.25359,-0.745666,-0.79774,-0.30119,-2.58542,-0.471291,-0.389359,0.90762,0.847108,-0.691663,0.802855,0.767162,-0.349708,0.767379,0.791773,-22.9342,-0.502822
-1864.86,0.983965,0.022454,8,255,0,1907.02,-0.421523,2.38336,-2.75411,-1.25304,-0.420811,-0.0640409,1.19393,1.41711,-0.233624,1.51994,4.9208,0.110007,0.452194,-2.22246,0.20921,0.0915605,-0.0926196,0.820518,-0.632403,0.651509,-1.3211,-0.823712,-3.06201,-0.483273,-1.49377,0.835052,1.31498,-0.649338,0.378264,-0.560761,-0.187966,-1.03062,0.452993,0.204663,0.504055,-0.0248431,-1.12779,0.71274,-1.36733,-0.537963,1.23513,-0.595188,0.0184866,1.96714,-0.506462,1.1301,0.0458669,-0.00421865,0.0286191,-0.251252,0.0526978,0.413492,0.618527,-2.22436,0.302171,1.5679,0.142843,1.55406,-0.0194041,0.657223,-0.588003,-2.19933,3.09386,0.551103,0.0476216,-0.465755,-0.722999,-0.661126,-0.0357541,-1.63509,-1.24731,-0.171629,-2.00399,0.37513,0.607901,-1.20727,1.94602,-0.407429,1.4374,-1.27262,0.34549,0.25401,0.508758,-0.311215,-0.458004,0.721862,-0.628846,-0.669539,0.098735,-2.00663,-0.0866739,1.43875,0.222652,0.397279,1.92508,0.71237,-0.666143,1.14155,1.01748,-1.13787,1.0064,0.956109,-0.59516,0.889064,0.999883,-13.5524,-6.16597,-2.07073,-0.315133,5.87509,6.97332,-1.14962,7.47934,0.0716703,0.294608,-1.44796,0.136303,0.0596525,-0.0603426,0.534575,-0.412016,-0.499726,-0.311581,-1.15825,-0.182805,-0.56504,0.31587,0.497408,-0.245621,-0.399677,-0.133971,-0.734568,0.322867,0.145871,0.359261,-0.0177067,-0.803821,-0.0627152,-0.0246747,0.0566518,-0.0272994,0.000847925,0.0902266,-0.0232298,0.0518343,-0.00661442,0.0448719,-0.393938,0.0826249,0.648314,0.969788,-3.48758,0.473775,0.00680243,0.0740069,-0.000924054,0.031298,-0.0280017,-0.104736,0.147334,0.0262444,-0.174719,-0.271219,-0.248008,-0.0134125,-0.613373,-0.467904,-0.0643834,-0.751758,0.309275,-0.614207,0.990054,-0.207283,0.73129,-0.647454,0.175771,0.12923,-0.447761,-0.658954,1.03858,-0.904753,-0.963301,0.142055,-2.88703,-0.124702,-0.47454,0.813206,0.724819,-0.810588,0.716931,0.681103,-0.423974,0.633343,0.712286,-23.1123,-0.421523
