# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1538720cf26b_model
# start_datetime = 2023-06-19 14:24:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/standata-15382cd8736d.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-202306191124-1-1bbe1d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-profile-202306191124-1-56f6e7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.318207
# Diagonal elements of inverse mass matrix:
# 19.5225, 13.8179, 1.1302, 1.01335, 1.09132, 0.8928, 1.06133, 1.03736, 0.886179, 1.09627, 1.39331, 0.972711, 1.04093, 1.07623, 0.967348, 1.02175, 0.901618, 1.00014, 0.978133, 1.09869, 1.02702, 0.94739, 0.976268, 1.05905, 0.976505, 0.950145, 0.896352, 0.937814, 1.07679, 0.956354, 1.13896, 1.05506, 0.994701, 0.82549, 1.10949, 1.22057, 0.95059, 1.27832, 1.19433, 0.925184, 0.921011, 1.02365, 0.915947, 1.07996, 1.01284, 0.812642, 1.3235, 1.01075, 1.07192, 1.09166, 1.00854, 1.078, 0.769889, 0.956856, 1.04228, 1.15503, 0.781379, 0.929599, 1.10121, 0.962656, 1.14025, 0.924024, 0.832963, 0.892197, 1.44871, 1.23005, 0.94014, 1.01404, 0.883586, 1.06943, 1.11854, 1.06808, 0.940614, 1.27779, 0.755448, 0.861331, 0.945564, 1.04946, 1.01407, 0.939769, 0.926889, 0.862392, 1.67453, 1.02173, 1.31232, 1.13765, 0.982037, 0.820958, 0.939909, 1.1289, 0.994409, 1.50506, 1.05738, 1.03901, 1.01279, 1.1607, 1.18555, 1.04182, 0.879821, 0.931712, 1.47187, 1.4675, 1.32438, 1.59489, 1.16591, 1.08453, 1.03225, 0.959444, 1.04994, 0.870626, 1.04916, 0.911032, 1.12334, 1.06535
-160.019,0.781825,0.318207,4,15,0,213.386,3.75698,-4.47256,0.60754,-0.82808,-1.26112,-0.0953768,0.31817,-1.51621,-1.43355,-0.24091,6.49294,-0.892497,-0.671998,0.442882,-0.325094,0.677031,-0.969153,1.27077,-0.211545,1.12527,0.19292,0.717799,0.123897,1.26521,-2.38192,-0.195625,0.225581,0.972826,2.26992,0.214429,0.257227,1.19009,0.090947,1.35307,0.688291,0.559591,-0.548176,9.6255,0.217169,1.23404,0.049946,-0.315416,0.853929,0.386498,-0.748206,-1.11573,0.404523,-0.448164,0.613331,-0.528849,-0.173659,-1.1403,1.09834,-0.30617,0.977927,5.9016,-1.14072,1.67036,0.668723,-1.06809,-1.62417,-0.149938,-0.702912,2.49867,1.59152,-0.745638,0.724482,0.636992,-0.634696,-0.939273,-0.703526,1.35759,-0.744916,0.1694,0.628806,0.0383247,-0.450856,-0.200687,-1.12435,1.1371,0.889458,0.0784304,4.71342,-0.498568,-1.77367,0.988989,0.0921383,-0.536669,-1.51532,-0.178979,-0.309511,0.250237,-1.45209,-0.984369,-0.994957,0.467506,1.46897,-1.55056,0.0620492,-0.850249,0.451941,0.716274,4.38944,5.32313,5.45747,-1.37233,0.113301,-0.0112975,-1.59942,0.709481,0.73916,-0.86174,0.511434,0.429788,3.94472,-5.37667,-8.1884,-0.619276,2.06586,-9.84467,-9.30797,-1.56421,-1.0043,-0.756177,0.49836,-0.365817,0.76184,-1.09055,1.42995,-0.238044,0.437913,1.62935,0.281236,2.87192,-5.40677,-0.444052,0.51205,2.20824,2.06399,2.47594,11.4552,0.87541,13.024,6.62514,5.38634,-5.27647,0.0878497,0.499196,0.0202043,-0.127593,0.345434,0.156347,-0.302667,-0.45134,-2.64488,3.61963,-3.12106,-1.02486,-6.72959,6.48197,-1.80689,5.77133,-1.81547,2.6584,1.06428,-1.69989,-2.58489,-0.238628,-1.1187,3.97666,-0.126311,0.122727,0.107906,-0.107517,-0.159113,-0.119177,0.229975,-0.126189,2.96383,0.180641,-2.12507,-0.945924,-5.29955,5.35966,4.19239,0.369676,-0.12476,-0.443838,0.247482,0.0230565,-0.134295,-0.37919,-0.0447871,-0.0774512,-0.656261,-0.444877,-0.449662,0.211285,0.663886,-0.700761,0.0280426,-0.384262,-7.48943,0.618339,-0.0616558,-8.72878,3.87197,4.03394,-4.70292,2.79114,2.34556,-36.9302,3.75698
-158.382,0.925855,0.318207,4,15,0,216.348,3.57964,6.29457,-1.16723,0.57623,1.13195,0.110747,-0.436984,1.52599,1.08918,0.182847,0.660619,0.997695,0.91145,-0.537024,0.382365,-0.492957,0.735425,-1.81261,0.207827,2.51404,0.102573,-0.816958,-0.0648933,-0.360458,2.35956,0.0558814,-0.391549,-0.722061,2.11743,-0.0543876,0.33449,-1.14517,-0.617045,-1.42425,-1.48558,-1.16571,0.220129,0.107411,0.141246,-0.641787,-0.020925,-0.433833,-1.03845,0.104772,0.376579,1.15408,9.25489,-0.266491,-0.497271,0.431571,-0.127472,0.924507,-1.12262,0.140403,-0.814882,0.830494,1.15783,-1.8092,-0.377083,0.974856,1.3532,0.0794357,0.826529,-2.64961,2.0018,-0.336044,-0.627153,-0.602138,0.903981,1.01672,0.306896,-0.253604,0.544472,9.65881,-0.612263,0.252322,0.112731,0.23798,0.952094,-1.12081,-0.679283,-0.0122454,3.10473,0.308175,0.231185,-0.40758,0.00950875,0.518871,1.63735,0.850673,0.694038,0.609326,1.45599,0.758481,0.81822,-0.969181,-1.73972,1.60205,-0.0541532,0.689393,0.390437,0.66997,1.84982,1.96667,0.27828,-0.132289,-0.30382,-0.698285,1.42744,-0.747754,-0.708418,1.19711,0.657981,-0.297856,-0.771094,0.380669,0.747785,0.0731619,-0.28868,1.0081,0.71953,0.120792,2.50825,2.29142,-1.3501,0.961282,-1.23932,1.84889,-4.55697,0.522486,0.21719,-1.72985,-0.137407,-0.763243,4.9962,0.118325,-0.829076,-1.52891,-0.0058418,0.0359277,-0.123003,-0.0662772,-0.15298,-0.159567,-0.12521,0.0236442,1.30722,-5.93966,-0.193658,-4.01508,-9.61075,0.969653,3.48519,10.6809,-0.221319,-0.412981,0.358417,-0.105865,0.767798,-0.932327,0.116604,-0.676755,2.31775,-3.62166,-0.754845,1.95147,2.70884,0.159015,1.65455,-5.304,-3.24578,-6.05755,-5.81593,8.73138,9.82034,2.96425,-2.44952,5.25895,-1.90091,0.78339,0.349999,0.738864,2.956,-3.47982,-2.10899,-0.0380187,0.187779,0.140867,-0.248349,0.00579392,0.316162,0.997678,0.518337,0.422895,0.568475,0.296139,0.319464,-0.378405,-0.679251,0.625501,-0.0211434,0.269165,-0.0368134,-0.0845469,-0.194319,0.397227,-0.208085,-0.197138,0.333131,0.183103,-0.0828873,-32.6824,3.57964
-157.633,0.645533,0.318207,4,15,0,206.01,-3.53486,1.27242,0.317778,-1.2021,1.04063,-0.943683,-0.402387,-1.10678,-0.273549,0.798261,8.35552,-1.19734,-0.396977,-0.597843,-1.11503,-0.523497,0.0403147,0.649479,0.160796,3.95938,0.089371,0.29539,-0.56436,-0.0465354,-1.18935,-0.217736,0.765607,3.1375,4.39224,-0.372418,0.20884,-1.33341,-0.643142,0.0179576,1.99973,1.48274,0.0234724,1.6625,-0.556263,-0.101529,-0.498844,-0.0655312,-0.394044,-1.34013,0.0459911,0.0602246,0.662646,0.436538,0.288032,-0.796615,0.757109,-0.23485,0.112727,-0.529736,0.894399,2.18004,0.795678,1.37924,2.29222,-1.1512,-0.590953,0.319159,-0.012872,-0.874701,1.94202,-0.746701,-0.0661408,0.16625,0.536414,0.245053,-0.764044,0.58631,1.70035,0.355751,-1.42176,0.684013,-1.0339,-1.10569,-0.732905,-1.02213,-0.227222,0.978441,1.74793,-0.725126,-0.137491,-0.304957,0.922223,-0.63509,-0.484266,-0.0634224,-1.64674,6.66963,-1.04133,0.58528,0.75525,-0.214885,1.46805,0.650074,0.804871,0.679506,0.00760711,0.337217,3.64812,6.24664,0.105216,-0.116017,-0.241768,0.882469,-1.82324,-1.28306,-0.485,-0.540034,0.113421,1.42336,2.6552,-10.0441,8.69503,-7.88496,-3.36215,-9.24769,-2.28565,6.66988,-4.74071,-1.57178,-2.36709,-4.41483,-2.07272,0.159621,2.57153,0.636651,0.392539,1.29742,-2.4788,-0.204395,-5.22392,-0.956346,3.36272,13.7806,-0.619144,0.347196,-2.2168,-1.06922,0.0298544,3.32455,2.46505,0.0390229,-0.368606,-0.0672778,-0.330557,-0.043424,-0.261112,-0.888031,0.0304758,0.0399076,0.951671,0.627923,-1.73665,1.65053,-0.511983,0.245751,-1.15485,1.94983,1.54522,2.67851,4.45155,-2.23566,-1.14764,0.619814,-0.0249977,-1.69869,-0.265639,-0.0235296,0.0591436,0.19083,0.0871778,-0.271809,0.20858,0.604902,-2.48513,1.1956,-1.80719,-1.93267,-1.28106,-1.78662,-0.397168,1.71024,-4.83632,-0.917012,-2.03395,6.15088,-4.23582,-3.22988,-0.423004,-10.9832,-0.00792154,0.00445229,0.00574527,-0.00163465,0.0111676,0.00494519,0.00612274,0.00516908,-0.0122068,-0.0254378,0.0928496,-0.191833,-0.134998,-0.0510296,-0.0568201,0.0119337,0.14976,-32.2646,-3.53486
-153.699,0.702216,0.318207,4,15,0,220.595,-1.24207,1.84689,-0.37578,1.03888,-0.87026,0.91827,0.150027,1.31607,0.421313,-1.08946,0.431606,1.20662,0.671496,0.415817,1.11679,0.539598,0.024808,-0.500835,-0.17047,0.28733,-0.278419,-0.264788,0.543509,0.128627,1.20821,0.235117,-0.474561,-3.11144,0.374586,0.360149,-0.396205,1.27565,0.647652,-0.0908252,-1.94146,-1.31252,0.023364,4.2415,0.961233,0.101822,0.494723,0.0551684,0.293643,1.59865,-0.195289,0.145159,3.27137,-0.305909,-0.260068,0.817067,-0.688743,0.10006,-0.0798418,0.544309,-0.744177,2.87155,-0.661345,-1.4363,-1.78439,1.15518,0.249834,-0.361259,0.0833386,0.824974,2.18268,0.406328,0.0549242,-0.172185,-0.601905,-0.196332,0.282825,-0.0810563,-1.7084,4.54591,1.53698,-0.740638,1.05446,1.09813,0.680559,0.939493,0.267568,-1.14605,1.56912,0.679381,0.132821,0.272962,-0.895542,0.528227,0.452802,-0.103969,1.6996,0.735443,1.09836,-0.653248,-0.791526,-0.0876143,-1.26143,-0.788075,-0.794756,-0.692438,1.29442,0.369634,2.54516,2.35252,9.05785,0.243988,0.409697,-0.89684,1.9333,1.4146,0.552844,0.400328,-0.357133,-1.48028,-0.162189,0.448389,-0.37561,0.396331,0.0647528,0.568026,0.181842,-0.470217,0.346698,0.192941,0.119477,0.320886,0.155043,0.00712809,-0.143905,-0.0489811,-0.104292,-0.0991857,0.20359,0.0481818,0.452577,0.0880716,-0.177764,-1.1655,1.52757,-1.6805,5.41065,2.74701,-0.385235,-8.23471,-5.56704,0.0990984,3.14455,0.333097,1.61842,0.180476,0.960614,5.22978,-0.638862,0.474868,-0.878433,-0.7468,2.34625,-1.97776,0.287328,-0.22927,1.56301,-2.13694,-1.44351,-3.13498,-3.89475,2.52139,0.545308,-0.788513,0.181901,1.80065,1.84713,0.249681,-0.78274,-2.73621,-0.892507,1.2857,-0.368475,-7.76626,2.4117,-1.16215,1.65458,1.72309,1.06788,1.47418,0.419846,-1.79828,0.499646,0.0976824,0.200748,-0.65862,0.388481,0.33301,-0.0764633,1.24996,1.42174,-0.845579,-1.02457,-0.11341,-1.63282,-1.0201,-1.02875,-0.896306,2.21,3.71097,-8.12345,17.5115,12.8132,5.00758,3.62611,-3.23486,-13.4081,-32.3793,-1.24207
-155.618,0.637395,0.318207,4,15,0,203.631,-3.85142,0.147757,0.0842143,-1.12169,0.658899,-0.771908,-0.212924,-1.33855,-0.29286,1.1811,2.48716,-1.20422,-0.690433,-0.515292,-1.11698,-0.69799,-0.0254779,0.45282,0.162648,5.74217,0.307727,0.259993,-0.558587,-0.0631467,-1.23668,-0.226018,0.467,3.15534,7.9017,-0.36358,0.554573,-1.13265,-0.670505,0.508315,1.53446,2.02855,0.0111964,1.99784,-0.94018,-0.151026,-0.501177,0.0784519,-0.200576,-1.54863,0.122771,-0.14351,1.97841,0.279474,0.541001,-0.68917,0.778029,-0.289724,0.28108,-0.525926,0.448967,0.157549,0.631885,1.39077,1.71529,-1.15212,-0.559467,0.396487,-0.205541,-0.81839,2.53491,-0.620729,-0.0581286,0.265252,0.770903,0.10975,-0.162189,0.199421,1.72096,1.60965,-0.814088,0.500174,-1.03725,-1.05605,-0.523935,-0.909268,-0.218404,1.14099,1.93003,-0.638604,-0.063905,-0.634301,0.870649,-0.785352,-0.402528,0.0101006,-1.68661,7.45329,-1.24823,0.836715,0.79328,-0.0891314,1.43414,0.528802,0.843073,0.752355,0.0174692,0.533335,1.22251,10.4586,0.315026,-0.0248254,-0.527134,0.906732,-1.89966,-1.17327,-0.655878,-0.427619,0.309341,1.4216,0.209454,-2.78983,1.63879,-1.91986,-0.529574,-3.32918,-0.728389,2.93759,-6.91486,-3.96458,-2.95889,-6.41387,-4.00798,-0.146299,2.60017,0.93395,2.43157,2.05439,-4.41379,-0.498966,-9.77186,-1.78593,3.69009,24.9325,-0.726375,1.10795,-2.26286,-1.33956,1.01553,3.06561,4.05272,0.0223686,-1.86006,-0.29879,-0.991533,0.15521,-0.396822,-3.06382,0.242892,-0.283922,0.044031,0.0852344,-0.108578,0.122578,-0.0456459,0.0442839,-0.0828593,0.0707344,1.60177,3.52548,4.3481,-2.92051,-1.4182,1.00506,-0.521028,-2.07455,-0.999156,-0.0935666,0.426962,1.24088,0.176659,-0.261068,0.320998,2.77014,-1.57121,0.965351,-2.00193,-2.03821,-1.01121,-1.75492,-0.421527,2.20215,-4.7597,-0.476302,-4.72763,6.4892,-5.85346,-3.00016,0.0752828,-12.5708,-0.0218055,0.0146167,0.0138579,-0.00155705,0.0250532,0.00923774,0.0147278,0.013143,-0.00782065,-0.166061,0.285644,-0.598443,-0.36961,-0.206619,-0.134711,0.0974503,0.447841,-33.3656,-3.85142
-154.911,0.799911,0.318207,4,15,0,214.144,0.696332,1.16025,-0.046573,1.04983,-0.861706,0.685275,0.379863,1.25586,-0.111203,-1.05687,2.38356,0.690701,0.659617,0.783392,1.36473,0.500263,-0.290172,-0.140556,-0.278915,0.828753,0.196809,-0.130889,0.344455,0.20958,1.46108,-0.351767,-0.712965,-2.88167,0.329066,0.0831912,-0.631736,1.01854,0.639137,0.141998,-1.56088,-2.06641,0.148117,2.61754,0.952021,0.679626,0.879731,-0.163874,-0.0154836,1.42644,-0.0206331,0.663285,3.5635,-0.256187,-0.435601,0.71771,-0.542737,0.201496,-0.00651102,0.412706,-0.195833,10.6226,-0.1325,-2.04107,-1.83659,0.658548,0.575032,-0.32695,0.273102,0.619584,0.147415,0.626605,-0.230116,0.120691,-0.647518,-0.023168,0.104365,0.025568,-1.49291,1.05183,0.949958,-1.58916,0.871926,0.876164,0.37203,0.9451,0.286757,-0.237194,4.03373,0.729414,0.0522119,0.476869,-0.56757,1.6282,0.191096,-0.00956353,1.77352,0.200956,1.26941,-0.765546,-0.598067,-0.0101809,-1.45488,-0.29987,-0.358246,-0.833799,1.13687,0.34352,4.9323,2.21055,6.22799,-0.00521893,0.725621,-0.694689,1.48535,1.47392,0.346566,-0.0539088,-0.334362,-1.43314,-0.11101,2.50234,-2.05393,1.63339,0.905426,2.99343,-0.265059,-2.51912,0.57242,0.546659,0.649239,1.13102,0.414594,-0.240481,-0.116486,-0.231151,0.0647633,-0.0430712,0.113349,0.0689656,0.480793,-0.115755,-0.234613,-0.948259,0.217756,-1.6536,2.66608,1.67297,0.371687,-4.08566,-5.40892,0.387702,3.39253,2.42185,3.13492,-0.583965,-0.0551759,5.08311,-0.0735261,2.36362,-2.72138,-4.62722,7.62396,-5.76529,2.14042,-0.0691641,4.38402,-2.08026,-0.0195325,-0.300885,-0.270742,0.0970801,0.0847686,-0.0481975,0.0402594,0.0913363,0.65908,-0.242042,0.126946,-0.681077,-0.0243687,0.109774,0.0268931,-1.57028,3.83187,-6.41023,3.51711,3.53421,1.50067,3.81227,1.1567,-0.956777,0.14658,0.0104923,0.0958295,-0.114056,0.327195,0.0384017,-0.00192184,0.356398,1.44316,-0.870326,-0.679924,-0.0115744,-1.654,-0.340913,-0.407279,-0.947921,-0.0325034,4.51916,-4.32652,9.25075,9.17955,2.15841,-0.335743,-2.0824,-8.92558,-33.5463,0.696332
