# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1538720cf26b_model
# start_datetime = 2023-06-19 14:24:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/standata-15382cd8736d.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-202306191124-2-1bbe1d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-profile-202306191124-2-56f6e7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.337377
# Diagonal elements of inverse mass matrix:
# 12.5347, 19.1618, 1.11041, 0.953243, 0.928429, 0.989365, 0.984003, 0.864024, 1.0769, 0.963723, 1.50176, 1.17515, 0.940163, 0.877119, 0.981852, 1.10479, 0.985102, 1.03098, 0.840833, 1.39402, 1.11999, 1.02817, 0.975163, 1.09823, 1.03058, 1.0435, 1.02246, 1.10382, 1.69131, 1.04518, 1.13389, 0.953471, 0.90888, 0.776051, 0.826702, 0.922905, 0.88226, 1.94309, 1.07778, 1.15292, 1.0236, 0.906484, 0.958558, 0.975689, 0.934821, 0.990694, 1.341, 0.906512, 0.920179, 0.852273, 1.04647, 0.97353, 0.84692, 0.845954, 1.03521, 1.11173, 0.959502, 0.838957, 0.976635, 0.945095, 0.944924, 1.01896, 1.02393, 0.983177, 1.67869, 0.983116, 0.924923, 1.16821, 0.956243, 1.09774, 1.16337, 0.980211, 1.06091, 1.21823, 0.829199, 0.93294, 0.897912, 0.849373, 0.988464, 1.18421, 1.02602, 1.16543, 1.30903, 1.18231, 1.29248, 0.892401, 0.891511, 0.853618, 1.00364, 1.08309, 0.964687, 1.87555, 0.978741, 1.18368, 0.912278, 0.958391, 1.10516, 0.912658, 0.959735, 0.980335, 0.965388, 1.67302, 1.10802, 1.22005, 1.28806, 0.890682, 0.891649, 0.916689, 0.990623, 0.785982, 0.921949, 1.15572, 0.948139, 1.01956
-163.36,0.991128,0.337377,4,15,0,218.343,-2.58611,-5.09185,1.13886,0.591285,-0.458691,-1.02324,-2.09144,0.0266548,0.639376,-0.64357,7.89576,0.0606192,-0.359072,1.67524,0.746971,-0.507109,-1.16154,0.234998,0.126429,4.06461,-0.69554,1.85726,0.488811,-0.288318,0.0189661,0.702724,-0.171005,-0.0127655,1.14297,1.4485,-0.989342,1.3613,0.648659,0.0463278,-0.637301,-0.951902,1.03565,5.60562,0.970206,-0.05051,-0.226927,0.452134,-0.0768054,-0.341812,1.89646,0.861482,7.96472,0.302598,0.629394,0.0324114,-0.208952,1.35998,0.863877,1.00913,-0.667466,1.48891,1.53965,-1.09638,1.52389,1.81065,0.7321,1.30906,-1.02522,-1.40496,15.508,-0.0195579,-0.751117,-0.190569,1.40807,-0.73272,0.376494,-0.620232,0.452016,2.40779,-0.438218,-1.40497,0.0525558,0.349424,-1.19002,-0.560162,-0.12695,0.334491,4.27961,-0.417807,-1.23823,-1.37523,-1.32309,-1.10489,-0.670036,-0.499117,0.495752,1.59603,0.419474,-1.46708,-0.682829,0.411708,-0.702576,0.245603,-1.73144,0.919579,0.0831394,0.316646,0.616469,7.36024,0.210647,0.229788,1.98439,0.0147996,-1.00235,0.269358,0.152839,-1.99858,-1.72454,-1.02217,8.99219,4.66865,-3.62172,-8.07926,-16.5135,0.21046,5.04836,-5.08148,0.246393,-1.45949,6.80918,3.03615,-2.0612,-4.72119,0.955175,0.513884,-0.794978,2.12279,0.558694,-0.329537,0.0216776,0.803189,-0.195453,-0.0145905,8.11974,-5.54587,7.63094,3.63613,0.259696,-3.57247,-5.336,5.80544,7.72742,-0.402298,-1.80741,3.60112,-0.611734,-2.72244,15.1048,6.86146,0.45054,0.937107,0.0482575,-0.31111,2.02488,1.28623,1.5025,-0.993793,23.8769,-17.0026,23.6325,28.0795,11.3534,20.3009,-15.8991,-21.7881,-0.0470914,-1.80853,-0.458851,3.39034,-1.76424,0.90652,-1.49339,1.08836,-1.8754,-6.01272,0.224918,1.4954,-5.0928,-2.39727,-0.543295,1.43149,-0.666832,-1.97625,-2.19491,-2.11169,-1.76343,-1.0694,-0.796604,0.791233,0.0348748,-0.121972,-0.05677,0.0342291,-0.0584117,0.0204193,-0.143951,0.0764532,0.0484042,0.418006,0.00311749,-0.211143,0.0567396,0.0321951,-0.420997,-0.363269,-0.215318,-40.1172,-2.58611
-162.555,0.797953,0.337377,4,15,0,235.09,0.575976,6.70845,-1.14262,-0.76903,0.686286,0.905761,2.22918,0.088405,-0.678131,0.546485,0.250827,0.151639,0.491063,-1.07499,-0.660356,0.573881,1.32522,-0.258805,0.410008,2.15573,0.772346,-1.98408,-0.483697,0.225801,0.0161305,-0.708976,0.235977,-0.0944828,0.596485,-1.39263,1.10223,-1.26881,-0.563615,0.347863,0.597931,0.966112,-0.514716,2.26969,-0.977614,-0.0398463,0.280247,-0.302797,0.00886407,0.535932,-1.41248,-0.91847,0.462273,-0.276743,-1.01238,-0.379166,0.220692,-1.31243,-0.454123,-0.658324,0.693675,3.6867,-1.63532,0.683778,-1.6271,-2.12361,-0.467215,-1.12084,0.968691,1.59617,0.0854398,0.181932,0.937615,0.238359,-1.44553,0.725806,-0.362194,0.634416,-0.44865,2.19477,-0.0433568,1.28889,-0.494591,-0.407372,1.09757,0.723709,0.125332,-0.0674503,1.83351,0.251964,1.20286,1.4049,1.25456,1.75811,0.598476,0.543225,-0.21199,1.34985,-0.551467,1.11367,0.598556,-0.386038,0.749501,-0.228235,1.79487,-1.05635,1.04123,0.36036,4.27266,1.23508,7.64235,-0.36243,-2.1877,0.267907,0.876133,-0.446751,-0.0256272,1.71079,1.30833,0.956193,-0.2866,-0.192893,0.172139,0.227189,0.559137,0.0221743,-0.170093,0.137073,0.326892,1.0586,-2.3174,-1.42355,1.23713,2.85682,-0.557913,0.883868,0.460692,-1.18347,-0.288518,0.134687,0.0096216,-0.422894,0.140757,-0.0563575,-3.16084,2.50172,-2.8798,-1.27923,0.789543,1.35712,2.19278,-1.16825,-0.451925,-0.0184199,0.129551,-0.139975,0.00409763,0.247747,-0.652953,-0.424584,-1.02027,-3.73236,-1.39787,0.813626,-4.83853,-1.67422,-2.42705,2.55737,-0.139721,0.0584219,-0.139019,-0.181441,-0.0399188,-0.0957641,0.0827648,0.136376,0.399299,2.05785,0.523144,-3.17261,1.59298,-0.794934,1.3924,-0.984686,-0.0794952,2.36319,-0.906838,-0.746921,2.01241,1.32693,0.229797,-0.123671,0.340115,1.62369,1.89641,1.69347,2.3732,0.807855,0.733275,-0.286156,-0.574202,1.15958,0.623232,-0.401954,0.780401,-0.237644,1.86887,-1.0999,-2.76982,-16.7192,2.04744,6.69572,-3.41423,-0.195852,13.0744,9.9987,7.30756,-31.2837,0.575976
-149.93,0.969636,0.337377,4,15,0,210.603,-0.801891,-0.144509,1.06726,-0.107036,-0.243147,-0.836001,-1.76889,-0.245312,0.805687,-0.722772,0.830472,-0.588503,-1.2947,1.44634,0.379579,-1.3202,-1.70066,0.506651,-0.805626,1.37708,0.650175,1.63452,0.0829104,-0.112972,0.52541,0.523499,0.131816,-1.35651,0.43526,1.49298,-0.541609,0.919838,0.161471,-0.429671,-0.00897166,-0.346952,0.0117948,2.03086,0.504984,1.05713,-0.288244,0.377536,-1.3025,-1.19165,1.68849,0.869107,1.6891,-0.419984,0.656824,0.329518,-0.963553,0.530557,0.376989,0.647779,-0.329033,0.741601,1.14892,-0.576086,1.01213,1.7043,0.762461,0.862506,0.110257,-0.615404,12.3695,-0.849316,-0.965636,-0.556319,0.783642,-1.0587,0.801705,-1.09621,0.79556,2.76893,-0.158184,-0.693585,0.332222,0.610095,-0.84291,0.195734,-0.202661,-0.14046,1.28054,-0.455804,-0.0462152,-0.729885,-1.60399,-1.57335,-0.524446,0.516798,0.182488,1.22824,0.588484,-0.715043,-0.170172,1.12641,-0.840899,0.208965,-1.79519,0.549468,0.224259,0.343996,2.53358,6.3677,0.851866,0.275396,2.50548,-0.661789,-1.03778,0.0911145,-0.594221,-0.884552,-0.488686,0.296756,0.886327,-0.0888902,-0.201927,-0.694276,-1.46901,-0.203725,0.669101,-0.600243,-0.810415,-1.7829,1.99172,0.522709,-1.81801,-2.34194,0.697698,-1.10941,0.282995,0.711439,0.0360876,-0.0491722,0.22869,0.227858,0.0573742,-0.590436,3.03204,-1.09993,1.86806,0.327925,-0.872601,-0.0182202,-0.70461,0.0239536,0.852967,1.78559,-0.486872,0.637695,-2.20006,-2.01281,2.85202,1.46801,-0.311461,0.487102,0.244371,-0.714572,0.393462,0.279576,0.480394,-0.244011,14.2116,-7.12589,12.5195,21.0813,9.43124,10.6688,1.36382,-7.61223,-2.35169,-2.67378,-1.54041,2.16985,-2.93146,2.21986,-3.03531,2.20285,-0.202561,-0.888164,0.425424,0.781252,-1.07938,0.250645,-0.259516,-0.179865,-0.559835,-0.0567633,-0.896472,-1.97008,-1.93245,-0.644145,0.63475,0.224138,0.131973,-0.160355,-0.0381625,0.252608,-0.188579,0.0468622,-0.402587,0.123223,0.2346,2.13433,-0.563755,-0.884049,0.0776174,-0.506197,-0.75352,-0.416295,0.252796,-27.6747,-0.801891
-149.894,0.969931,0.337377,4,15,0,193.241,-0.359213,0.398431,-1.18768,0.178817,-0.0772422,1.58162,1.56517,0.623766,-1.20873,0.929082,1.47976,0.588437,0.941726,-1.6514,0.0859176,0.940032,1.19088,-0.409174,1.82633,4.41323,-0.378868,-1.60286,-0.637382,0.133933,-0.356608,-0.98033,-0.865765,0.936729,2.21726,-1.42961,0.473415,-0.880123,-0.0342004,0.971233,-0.65816,0.667122,-0.957623,1.60129,-0.478571,-1.19409,0.318956,0.33508,1.55186,0.477049,-1.48417,-0.716979,3.14596,0.732264,0.0211366,0.192447,1.2836,-0.8473,0.214656,-0.843737,-0.484688,4.00081,-1.20177,0.917308,-0.963665,-1.82646,-1.0375,-0.000233738,-0.20482,0.42678,0.154864,0.800118,0.405116,0.324818,-1.0062,0.600353,-1.07596,0.910091,-0.678957,1.58915,0.696337,-0.0888491,-0.848501,0.0659693,0.422009,-0.105538,-0.482508,0.129356,1.99702,0.599781,0.0667221,0.984102,1.23301,1.44191,-0.0222138,-0.510412,0.266122,4.81975,-0.708477,0.603282,-0.35346,-0.489195,1.03735,-1.07775,1.57333,-0.893054,0.782459,0.680822,0.540407,2.99102,3.14814,-0.344095,-2.31287,0.117806,1.13712,0.208148,0.718089,1.03025,0.615658,-0.344159,-1.75748,0.264606,-0.1143,2.34042,2.31608,0.923025,-1.78863,1.37482,2.59691,4.15606,-7.288,0.379174,4.14858,5.25562,-1.80578,8.06003,-0.840048,-3.55395,-1.41324,0.296963,-0.790691,-2.17364,-1.91962,2.07697,-2.28923,0.758075,-1.40933,-0.0547648,1.55523,-1.05391,1.06826,-1.53343,-1.50557,-3.75655,1.00342,1.05415,4.88207,1.50078,-4.66912,-2.25558,2.92965,0.0845634,0.769942,5.13546,-3.38989,0.8588,-3.37563,-1.93914,-0.186111,0.142058,-0.149237,-0.282854,-0.160672,-3.61978e-05,-0.0317194,0.066093,1.27151,0.64379,0.516184,-1.599,0.954051,-1.70986,1.44627,-1.07897,1.3906,-0.177433,-1.69447,0.131742,0.842758,-0.210762,-0.963577,0.258326,2.8908,0.321584,4.74313,5.94281,6.94964,-0.107065,-2.46006,1.28264,-0.554354,0.472043,-0.276568,-0.382775,0.811683,-0.843297,1.23107,-0.698779,-1.08326,-7.28124,0.370869,3.57982,0.65528,2.26064,3.24336,1.93818,-1.08346,-28.3407,-0.359213
-149.859,0.785567,0.337377,4,15,0,193.659,2.22732,-2.74122,0.97753,-0.568344,0.424816,-1.8263,-1.21168,-0.577709,1.09377,-1.03655,3.25979,-0.466996,-1.33182,1.03827,-0.499742,-0.606282,-0.339469,0.361006,-1.69742,0.132493,0.577879,1.4001,-0.224357,0.0399942,-0.378624,1.52811,0.230152,-0.263621,2.4899,1.48167,-0.633991,0.430985,1.01275,-0.647818,1.30531,-0.668997,0.873887,1.96112,0.589099,1.10632,-0.63838,-0.35374,-1.00972,-0.678032,1.29912,0.0711494,2.14732,-0.283792,0.495202,-0.762117,-0.900982,0.106404,-0.677179,1.04732,0.528889,1.16392,0.521062,-1.08171,1.41515,1.54771,0.607682,0.271254,0.260671,-0.172151,2.90631,0.216312,-0.657821,-0.136947,0.918126,-0.564101,1.0659,-0.90022,0.809535,3.9164,-0.5848,0.864249,0.57514,0.150219,-0.211544,0.15705,0.304095,0.0189537,1.17849,-0.71782,-0.142247,-0.808768,-0.90492,-1.34595,0.35213,0.0358087,-0.58387,1.754,0.596967,-0.430745,0.680308,-0.122814,-1.21966,1.04858,-1.70421,1.14972,0.0765052,0.262186,7.12176,5.36769,2.1807,-0.284827,2.50017,-0.950792,-1.15055,-0.010956,-0.275945,-1.36856,-0.949254,0.356958,3.18654,-1.85268,1.38481,-5.95336,-3.94983,-1.88321,3.56546,-3.37892,-0.0618737,-0.176457,0.137564,-0.0662124,-0.0803283,-0.0449774,0.0478308,-0.224897,1.43886,3.48611,-0.558626,0.0995813,-0.942733,3.80483,0.573055,-0.656388,2.90573,-1.24333,0.845212,1.98613,-1.27045,2.55987,-1.31198,1.71379,1.26498,2.37561,-1.37081,-0.759593,-2.16818,-1.45595,2.78963,0.152781,-0.330311,0.576374,-0.887043,-1.04867,0.123845,-0.788182,1.219,0.615584,1.51437,-3.14377,4.11285,4.49814,1.76611,0.788348,0.757591,-0.500325,0.847166,-2.57629,-0.536339,3.59575,-2.20924,4.1745,-3.52562,3.17047,-0.689181,1.01851,0.677797,0.177032,-0.249302,0.185082,0.358374,0.0223368,-1.25906,-0.249502,-1.41858,-1.58723,-2.3608,0.617638,0.0628085,-1.02411,0.0456711,-0.0329542,0.0520471,-0.00939594,-0.0933102,0.0802219,-0.130381,0.0879593,-0.621121,5.45212,-2.07339,-2.50901,-0.0238917,-0.601752,-2.98441,-2.07003,0.778417,-29.2884,2.22732
-154.132,0.626075,0.337377,4,15,0,218.175,-0.777881,-2.94229,-1.03719,0.392724,-0.541794,1.86856,1.1038,0.848602,-1.06665,0.669088,2.65254,0.8126,1.2529,-1.27435,0.505666,0.708459,0.462612,-0.30893,1.22536,10.697,-0.495749,-1.3975,0.210532,0.092888,0.356628,-1.52218,-0.234336,0.345773,0.112983,-1.48384,0.707344,-0.377795,-0.817283,-0.113383,-1.41652,0.725164,-0.846711,0.545594,-0.565797,-1.16656,0.617414,-0.0637287,0.90588,0.757072,-0.820799,-0.231991,3.94363,-0.229209,-0.68976,1.1126,0.877718,-0.153775,0.103033,-1.1045,-0.489544,3.83326,-0.580561,1.38588,-1.58329,-1.43831,-0.818938,-0.374591,-0.217027,-0.0672751,3.61326,-0.30827,0.650587,0.299151,-0.786464,0.555755,-1.26296,0.759765,-0.80963,1.12976,-0.144209,-0.961538,-0.517568,0.411004,0.176014,0.000471645,-0.266404,-0.151265,5.04282,0.670106,0.0968872,0.807163,1.22418,1.37382,-0.257735,-0.058552,0.582127,5.59875,-0.873547,0.324299,-0.860841,-0.197275,1.18665,-1.14282,1.95761,-0.954671,0.148792,0.777115,0.187584,3.97614,1.8412,0.351691,-1.94345,0.724282,1.21355,1.01044,0.330321,1.41035,0.985906,-0.425121,-2.75119,1.04171,-1.43713,4.95642,2.92786,2.25095,-2.82934,1.77478,8.69235,13.4022,-13.6317,5.40909,7.57836,4.94854,-3.30461,13.1076,-0.0560111,-0.157893,0.0237864,0.0104947,0.0402928,-0.17198,-0.0264759,0.0390664,-0.809577,0.385923,-0.206123,-0.445905,-0.0618612,-0.772846,0.395645,-0.461961,-2.2313,-4.60047,2.43485,-0.251323,3.57246,2.98561,-3.23693,-0.914887,-0.878617,-2.64403,4.2649,3.36452,-0.589459,0.394952,-4.23385,-1.87655,-2.09772,5.00756,-5.72084,-5.19698,-2.95904,-1.35349,-0.784175,-0.243083,-0.348272,0.735009,0.33797,-0.888518,0.627872,-1.42685,0.858355,-0.914691,-0.72722,-4.84886,-2.61,2.07262,0.887607,0.00237842,-1.34343,-0.7628,3.75175,0.542447,4.5191,6.85389,7.69169,-1.44299,-0.327818,3.25918,-0.129977,0.0482533,-0.128087,-0.0293531,0.176565,-0.170042,0.291277,-0.142048,0.647534,-3.57828,1.33355,2.23439,1.86041,0.608187,2.59673,1.81525,-0.782733,-33.1002,-0.777881
