# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-alt/prior_diss_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.337194
# Diagonal elements of inverse mass matrix:
# 15.7589, 53.897, 1.11894, 0.825239, 0.884665, 1.13997, 1.21036, 1.12248, 0.856688, 1.0132, 1.48187, 1.07365, 0.935782, 0.974075, 0.969929, 0.974829, 0.868199, 0.904471, 0.914535, 1.30522, 1.06509, 1.02399, 0.976965, 1.0314, 0.954535, 0.970938, 1.04908, 0.905556, 1.76675, 0.893298, 0.929656, 0.919005, 0.896742, 1.02717, 0.907907, 0.979324, 1.0917, 1.3922, 0.961754, 0.804912, 1.05239, 1.05922, 0.910088, 1.04071, 0.959931, 1.02718, 1.32262, 0.99161, 0.971908, 1.10338, 0.971033, 0.878073, 1.00445, 0.983426, 1.22179, 2.11738, 0.987409, 1.05915, 0.985833, 0.949807, 1.08395, 1.05857, 1.24699, 0.983523, 1.19265, 0.940263, 0.93389, 0.972325, 1.05668, 1.00014, 0.938008, 0.805942, 1.10021, 1.33137, 1.18697, 1.1822, 0.905861, 0.869272, 1.03851, 0.873509, 1.07629, 0.910783, 1.66913, 1.00542, 1.06201, 1.16961, 0.825535, 1.10902, 1.00365, 0.984764, 1.02194, 1.21298, 1.22637, 0.843761, 0.921799, 1.16034, 0.947402, 1.06611, 0.862209, 1.1254, 1.08664, 1.31613, 1.04407, 1.29504, 1.51411, 1.06866, 0.979315, 1.15255, 1.04156, 0.952565, 1.05255, 0.844414, 1.05843, 1.03411
-163.602,1,0.337194,4,15,0,224.093,-5.61962,-1.03286,-0.0242861,-1.11767,0.867308,0.649763,-1.10006,-0.242036,-0.572375,1.24429,1.56009,0.01286,-1.48599,0.610739,-0.196367,1.48057,-1.11606,-1.30731,0.0269269,2.61883,-2.09935,-0.986315,1.57981,1.6134,0.0606423,-0.705103,-0.612014,1.87048,2.55826,-0.697547,-0.945104,1.18253,1.08061,0.707494,-0.717544,0.138243,-2.15549,0.356674,-0.0108085,0.357023,-2.19501,0.626237,1.15996,1.55446,-0.738139,-1.76602,0.911965,0.691497,-1.861,2.36145,0.280229,0.486277,0.162281,-0.124197,-1.68622,2.85268,-0.0325202,-0.602143,0.722379,-1.2277,-1.06549,-0.84765,0.183108,0.649462,1.86765,-0.137607,2.25626,0.218885,0.343051,-0.716102,-0.0519754,-1.50752,0.0609567,2.7841,-0.0398448,0.800851,-0.72589,-0.471084,-0.977114,-0.351289,-1.90197,-0.399242,2.1596,-0.29,0.274936,0.374739,-0.652862,0.298864,-0.471741,-0.136929,0.911855,2.5971,1.31322,0.551413,-1.65683,-1.66874,0.0644722,-0.702499,0.193207,0.522716,0.0889891,0.558583,2.64459,1.46992,0.746707,0.358085,-1.96916,-1.10342,-0.345304,-0.704468,0.837754,-0.543378,0.33354,-0.243343,-0.0378884,-1.74366,1.35308,1.01369,-1.71619,-0.377596,-0.892954,1.94119,0.0336781,-3.89156,1.59942,-0.51425,3.87735,-2.92278,-3.42363,0.0705169,-5.37068,-2.52325,4.04157,4.1275,0.155139,-1.80384,-1.56569,4.78517,-0.248797,-0.337093,0.421779,0.385426,0.252344,-0.255929,0.0493077,-0.768805,-0.00985701,0.325592,-2.00177,0.571107,1.05784,1.41761,-0.673157,-1.61055,1.97262,-5.30884,6.73647,0.799405,1.38719,0.462936,-0.354295,-4.81025,-0.0607364,-1.12459,1.34915,-2.2929,-1.98997,-1.58311,0.341981,1.21297,-0.383111,6.28165,0.609397,0.955089,-1.9937,-0.144705,-4.19708,0.16971,-0.0860488,1.72952,-1.56763,-1.01735,-2.11017,-0.758643,-4.1075,-0.862203,-0.753159,0.714036,0.973235,-1.69555,0.77618,-1.22516,-0.355619,2.36818,0.116862,0.0490697,-0.14744,-0.1485,0.00573732,-0.0625147,0.0171933,0.046516,0.267384,-1.47039,-0.82393,-0.257841,-0.526031,0.625557,-0.405744,0.249057,-0.181706,-26.4286,-5.61962
-164.698,0.958791,0.337194,4,15,0,217.207,4.37866,1.87891,0.0959523,0.765189,-0.619772,-0.533967,0.640016,0.2584,1.28841,-1.23712,2.30093,-0.00499361,2.0018,-0.477709,0.343925,-1.58985,1.04818,1.05414,-0.26201,3.29529,2.09784,0.986775,-1.53625,-1.54319,-0.0377399,0.706753,0.601024,-1.86509,3.61864,0.619522,1.06514,-0.487419,-0.707759,-0.727294,0.793167,-0.376573,2.19471,8.62206,0.237814,0.0776752,2.19601,-0.625733,-1.25816,-1.56239,0.648623,1.75166,6.0874,-0.837119,1.86967,-2.37214,-0.209295,-0.363201,-0.153519,0.0435599,1.46478,2.47858,0.0311424,0.60086,-0.645425,1.14294,1.03218,0.850755,-0.802458,-0.750474,2.8267,0.200585,-2.18674,-0.425952,-0.347068,0.613015,0.00308336,1.36519,-0.105615,1.2793,0.16742,-0.881738,1.16667,0.247187,0.926476,0.554152,1.92567,0.135206,3.51923,0.171528,-0.274175,-0.528796,0.908366,-0.251049,0.469806,0.072142,-0.852804,3.11011,-1.27098,-0.399171,1.29818,1.59329,-0.152537,0.695053,0.157805,-0.447104,0.247119,0.285687,1.36718,2.65771,0.0285575,-0.357203,2.03453,1.15063,0.301193,0.663742,-0.842417,0.747928,-0.338497,0.183475,0.220779,1.76065,-1.42605,-1.22862,1.47263,0.594559,2.96454,-2.84654,-0.0164554,6.59651,-1.57419,1.13333,-5.23903,3.45405,3.47371,-0.863401,7.59133,3.57078,-5.55914,-5.58424,-0.136567,2.55749,2.17489,-6.74909,5.34155,9.18371,-4.20256,-6.10234,-6.27077,6.83873,-3.24683,18.9229,1.44767,0.47284,13.368,-3.80909,-7.65891,-9.51087,3.94843,10.663,-2.07487,4.63413,-5.87956,-0.518755,-0.900225,-0.380509,0.107967,3.63058,0.0880302,1.69845,-1.82442,3.23074,2.91767,2.40483,-2.26831,-2.12136,0.256608,-2.79748,-0.544919,-0.444003,0.784228,0.00394453,1.74648,-0.135113,0.589189,-3.10304,4.10578,0.869907,3.26048,1.95019,6.77688,0.475823,0.533473,-0.852715,-1.64461,2.82512,-0.780791,1.46115,0.22437,-2.65231,-0.314083,-0.0986426,0.320805,0.393731,-0.0376948,0.171761,0.0389967,-0.110488,-0.0102008,0.0581013,0.0328591,0.00860134,0.0189548,-0.0240573,0.021359,-0.00966664,0.0052396,-32.7189,4.37866
-168.244,0.895125,0.337194,4,15,0,214.894,1.57916,-4.03378,0.191526,-0.736103,0.626477,0.522884,-0.532989,-0.70476,-1.29935,0.989376,1.62014,-0.16444,-1.95945,0.758954,-0.648926,1.58907,-1.05533,-1.01326,0.299379,3.49732,-2.22561,-0.602227,1.5399,1.90274,0.243538,-0.973176,-0.294992,1.93685,3.60129,-0.591358,-0.862661,0.675978,0.67259,0.45845,-0.817904,0.897873,-1.57413,0.513111,-0.0845777,-0.023646,-2.37872,-0.0208745,1.24208,1.18212,-0.602758,-2.15446,1.07849,0.846758,-2.28237,2.8139,0.53514,0.353365,0.250432,-0.0573042,-0.980591,6.24282,0.361854,-0.943362,0.534425,-1.19163,-1.28508,-0.918971,0.792137,0.555392,1.90297,-0.243882,2.37581,0.371365,-0.0556342,-0.70804,-0.012354,-1.40902,0.261261,0.658053,0.809653,0.775825,-1.0852,-0.250584,-0.73943,-0.540474,-1.93233,-0.0796877,2.91852,0.000117759,-0.375976,0.769955,-0.837657,0.388447,-0.3339,-0.0764038,0.84085,0.821466,0.831928,0.421204,-1.21856,-1.98445,0.206943,-0.815836,-0.156345,0.6286,1.00157,0.490899,3.44768,3.91308,23.0051,0.133365,-1.79275,-1.17178,-0.890188,-0.69713,0.565843,-0.698636,-0.0909609,-0.459688,0.310299,-1.19259,1.01498,0.847143,-0.863515,-1.14181,-2.10513,1.60293,-0.575101,-6.85284,2.6543,-2.2695,5.55748,-3.69082,-3.54369,1.04702,-8.01508,-2.16879,5.54561,6.85232,0.877048,-3.50468,-1.06235,6.97514,-0.303432,-0.442641,0.346852,0.345114,0.235236,-0.419675,0.460709,-0.807704,-0.0912158,-0.0255019,-2.56542,-0.0225128,1.33957,1.2749,-0.650066,-2.32356,5.28616,-14.2484,17.5667,3.34078,2.20599,1.5634,-0.35774,-6.12165,0.688595,-1.79519,1.01699,-2.26763,-2.44546,-1.74877,1.50741,1.05689,-0.160487,1.56341,0.244378,-0.0366103,-0.465928,-0.00812956,-0.927208,0.171924,2.36299,2.26426,-3.16717,-0.731336,-2.15804,-1.57739,-5.63954,-0.23257,9.67348e-05,-0.308852,0.632492,-0.688107,0.319096,-0.274287,-0.0627632,0.69073,0.833233,0.421864,-1.22047,-1.98756,0.207267,-0.817115,-0.15659,0.629586,3.06807,-41.2423,-26.957,-20.4789,-16.0375,13.0173,-16.0722,-2.09257,-10.5752,-36.5684,1.57916
-169.91,0.996531,0.337194,4,15,0,219.142,-0.0544256,2.66703,-0.181325,1.3401,-0.538011,-0.496405,0.469969,0.725648,1.39249,-0.98717,0.749841,0.172711,1.99445,-0.574818,0.596216,-1.74617,0.992174,1.00383,-0.479391,2.11157,2.23034,0.59014,-1.54515,-1.903,-0.127098,0.990929,0.292805,-1.63461,2.89382,0.624579,0.559407,-0.724718,-0.381899,-0.342007,0.413038,-0.765215,1.53007,7.81968,-0.184051,-0.610329,2.4055,0.017743,-1.05264,-1.18493,0.706535,2.15698,0.891442,-0.95717,2.27949,-2.74734,-0.528345,-0.390378,-0.280283,0.257204,0.823084,0.290741,-0.480428,0.94181,-0.659831,0.768602,1.20719,0.918922,-0.949574,-0.567441,3.77315,0.0215602,-2.43003,-0.293305,0.0556232,0.707311,-0.105396,1.32348,-0.332396,2.84806,-0.701939,-0.84727,1.23027,0.142178,0.739714,0.0156796,1.9018,-0.0322229,2.05938,0.169428,0.377148,-0.643003,0.753658,-0.380627,0.369843,0.087656,-0.921353,4.28429,-1.07342,-0.775353,1.11422,1.92695,-0.0523534,0.824637,0.645261,-0.630814,0.159887,0.37531,0.155963,6.01754,0.0179259,-0.149273,1.79218,1.26439,0.92328,0.648173,-0.551498,0.278252,0.0879673,0.464277,-0.135965,1.00486,-0.403422,-0.372225,0.352402,0.544121,1.04414,-0.74022,0.364692,4.21142,-1.21377,1.25895,-3.68715,2.09505,2.11967,-1.01227,6.45419,1.70776,-4.47138,-5.50695,-0.367797,2.86757,0.847324,-4.73026,4.88401,4.37439,-5.66706,-2.98633,-2.67439,3.22983,-5.98374,11.9647,-0.164071,-0.544073,2.14436,0.0158168,-0.938367,-1.0563,0.629835,1.92282,-0.278288,0.66274,-0.798764,-0.153611,-0.113499,-0.0814896,0.0747798,0.239304,-1.81273,3.55359,-2.48964,2.90005,4.55489,3.46723,-3.58288,-2.14104,0.0614048,-6.92086,-0.83535,0.158418,2.01446,-0.300175,3.76934,-0.946683,-1.44556,-1.74485,2.5336,0.292799,1.52335,0.0322903,3.91653,-0.0663592,0.725879,1.61581,-2.75481,3.22889,-1.63072,1.58451,0.375544,-3.94734,-0.171625,-0.123969,0.17815,0.308093,-0.00837063,0.131849,0.103169,-0.100859,-0.00267585,0.0321263,0.0226653,0.0165506,0.0116191,-0.00988608,0.0049879,0.00157689,0.00832257,-28.7083,-0.0544256
-164.14,0.896363,0.337194,4,15,0,225.602,0.655645,-1.01832,-0.279407,0.698505,-0.865535,0.498301,-0.355529,-1.18557,0.530737,-0.851083,0.755578,1.35085,-1.01518,-0.702237,0.0892675,-1.86203,1.32607,-1.71802,0.655362,0.60411,1.59492,-0.738891,0.215529,0.491219,1.27337,-0.837699,-0.3534,0.085434,1.12254,-1.54999,1.11721,0.916472,-0.0217028,1.50141,-0.95929,-1.12269,0.903833,0.731772,0.229744,-1.87779,0.624189,-0.292897,0.365236,0.747891,-1.24408,0.485891,3.10394,0.567313,-0.579386,-1.41119,0.557986,-1.08403,1.09166,-0.449454,-0.696904,1.72935,-0.599843,0.295946,0.80424,1.47092,0.473923,-0.0180406,0.51531,-1.31028,1.7714,0.54992,-1.24709,1.94922,-1.02219,-0.115752,0.593099,0.543157,1.08116,1.14377,0.2108,0.505385,-1.46418,-0.199499,0.889161,1.17739,0.132648,0.0622769,0.0881711,-0.26533,-0.750958,-0.627161,0.502399,0.173028,1.75737,-0.506489,0.274276,2.09655,-2.23698,0.627734,2.0969,-0.326101,-0.00727614,0.687526,1.61003,0.146386,0.507167,0.671974,0.0148832,1.14326,0.407748,0.900179,0.0502809,-0.343455,0.977313,-0.51445,-0.446541,1.41184,-0.187346,1.04367,-0.211114,0.527775,-0.653979,0.376505,-0.26863,-0.895794,0.401013,-0.643059,0.81606,-0.613282,-0.424229,0.0539274,-1.12487,0.801093,-1.03787,0.395911,1.79036,-0.829431,0.241939,0.55141,1.42941,-0.940347,-0.396704,0.0959026,-1.13424,0.817545,0.670649,-0.0158815,1.09869,-0.701982,-0.82155,0.6614,0.713114,-5.82857,1.93745,-0.909136,1.13367,2.32141,-3.86156,1.50818,0.981085,-1.00196,-2.44044,0.964955,-1.87467,1.88786,-0.777265,-1.20519,-1.06256,0.524239,1.42463,2.60559,0.839506,-0.0319571,0.91282,-2.32102,0.628982,-1.42639,2.22946,-1.16915,-0.132394,0.67837,0.621248,1.2366,0.0185865,0.0445604,-0.129099,-0.01759,0.0783983,0.103812,0.0116957,0.00549102,-0.556277,-1.57442,-1.31487,1.0533,0.362761,3.6844,-1.06188,0.575034,-1.13452,0.318366,1.06348,-0.165388,-0.00369022,0.348691,0.816554,0.074242,0.367046,0.0205019,-0.140043,0.398497,-0.209766,-0.182076,0.575674,-0.0763897,0.425554,-22.4566,0.655645
-158.007,0.737709,0.337194,4,15,0,218.145,2.41736,4.26682,0.178683,-0.545526,0.884565,-0.32917,0.219576,1.39699,-0.0816375,0.879584,0.432315,-1.3757,0.944271,0.560126,-0.0510683,1.90233,-1.44343,1.69669,-0.629761,0.997994,-1.5977,0.71961,-0.151199,-0.470876,-1.34062,0.892471,0.334755,-0.18423,2.17735,1.93819,-1.12485,-0.837174,0.388656,-1.53135,0.747886,1.07164,-0.975928,1.50028,-0.216424,1.49515,-0.625462,0.291233,-0.505272,-0.730059,1.01812,-0.517637,2.57009,-0.625946,0.611632,1.36757,-0.343495,0.945675,-1.07065,0.282148,0.774766,1.20893,0.62093,-0.296465,-0.86188,-1.30578,-0.542369,0.0185056,-1.01299,1.20693,2.48116,-0.364909,1.40308,-1.70646,1.02286,0.138844,-0.524402,-1.15286,-0.986924,1.38947,-0.234433,-0.372515,1.65258,0.011513,-0.892824,-1.53894,-0.139931,-0.24147,8.10405,0.403173,0.752048,0.830225,-0.171272,-0.135447,-1.95042,0.433676,-0.220939,1.1955,2.23551,-0.964618,-2.21086,0.197144,0.148681,-0.68169,-0.963084,-0.0063076,0.515749,0.505201,10.5577,9.19946,4.11371,-0.883922,-0.0547077,0.261856,-0.956339,0.819535,0.438085,-1.21351,0.186219,-1.04918,0.0772471,-0.235839,0.38241,-0.142305,0.0949261,0.603941,-0.0352931,0.380257,-1.37294,0.942377,0.559002,-0.0509658,1.89852,-1.44053,1.69329,-0.628498,-3.47876,1.56684,-0.329214,-1.02526,-2.91901,1.94323,0.728879,-0.401135,2.90783,-1.68759,-1.256,0.583094,-2.29745,1.12204,1.60776,-1.46417,-0.556231,3.84266,-1.6075,0.748497,-1.2986,-1.87632,2.61665,-1.33038,-0.756727,0.739422,1.6533,-0.415262,1.14326,-1.29434,0.341099,0.936641,1.54063,-0.735576,-2.13846,-3.23985,-1.3457,0.0459153,-2.51338,2.99458,-0.507029,1.94954,-2.37107,1.42123,0.192919,-0.728639,-1.60186,-1.3713,-1.89986,-3.01888,13.3926,0.093302,-7.23549,-12.4716,-1.134,-1.95689,0.481995,0.899076,0.992538,-0.204756,-0.161928,-2.33173,0.518461,-0.264134,1.15296,-0.497501,-1.14025,0.101677,0.076682,-0.351581,-0.49671,-0.00325314,-3.6362,-0.225051,1.0772,-3.9341,3.37133,1.80216,-4.99204,0.766053,-4.31601,-34.2439,2.41736
