# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_c1a5d268a7a_model
# start_datetime = 2023-06-19 13:45:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpIa8Dw8/standata-c1ae185ce3.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpIa8Dw8/model_08e181b24ccdd8ab650ed682bc542235-202306191045-1-1edb83.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpIa8Dw8/model_08e181b24ccdd8ab650ed682bc542235-profile-202306191045-1-7906f1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.399697
# Diagonal elements of inverse mass matrix:
# 14.1417, 20.7788, 1.02133, 0.921742, 0.990352, 1.15479, 0.987574, 0.873335, 0.957483, 0.935501, 1.62784, 1.19756, 0.833053, 0.963717, 1.10872, 1.14872, 0.987282, 1.06243, 0.990654, 1.39127, 0.977616, 1.09132, 1.01098, 0.867712, 0.915638, 0.946176, 1.11738, 1.00761, 1.34326, 1.08946, 0.97313, 1.17915, 1.07315, 0.984125, 1.01087, 0.898625, 0.888834, 1.44949, 0.89741, 1.06337, 1.00157, 0.909646, 1.06559, 0.926492, 0.867217, 1.18524, 1.4294, 1.13128, 0.936401, 1.10999, 1.16083, 0.857214, 0.942857, 1.12556, 0.911652, 1.50236, 0.949015, 0.958665, 1.02678, 1.02351, 0.957117, 0.931857, 0.971942, 0.842081, 1.39171, 1.08714, 1.01486, 0.826015, 0.883788, 1.03458, 0.858191, 0.958385, 0.970201, 1.14603, 0.941357, 0.896955, 0.969931, 1.05939, 0.916715, 1.00154, 1.01931, 1.11533, 1.39796, 0.744676, 1.05339, 0.851308, 1.01239, 0.867773, 1.1317, 1.17383, 1.07709, 1.66351, 1.44189, 1.24153, 0.941695, 1.37013, 1.1621, 0.963448, 0.805925, 1.22404, 0.691044, 1.14413, 1.02535, 1.05853, 0.904888
-158.516,0.793831,0.399697,4,15,0,206.201,0.292596,-1.00181,-1.71347,-0.511132,1.79587,1.14473,0.527545,0.520325,-0.454734,1.93267,0.689092,0.415683,-0.291431,-1.90232,0.13277,1.08464,-1.74881,-0.299272,0.855086,0.222939,0.39505,-0.503032,-1.12904,0.49588,-0.66937,1.70709,-1.75556,1.43724,0.681528,-0.343027,-2.34456,1.30243,-0.0832096,0.430717,1.76629,-1.9694,-0.698512,2.43315,-0.133866,-0.242844,-0.502473,-0.306085,0.724065,2.07904,0.78347,1.22366,0.485293,0.439069,1.22766,-0.539825,0.728234,-0.987163,-0.393359,0.255031,-1.77485,2.7509,-0.793756,-1.56997,0.891969,-0.680298,0.367111,-0.215458,-1.79367,1.37254,1.84428,-0.26177,1.69995,-2.02017,-1.40158,0.533851,0.592641,0.257844,0.0323268,0.236119,1.11417,-0.251765,-1.63955,-1.18208,-0.278659,0.581613,0.117986,-0.306613,3.21357,-0.362184,2.10204,-0.439153,0.136549,-0.642582,-0.497773,0.67606,1.52025,2.65594,0.134628,4.10267,1.81456,4.51956,-1.03543,-0.986125,0.580869,0.90699,0.0389759,1.20421,1.21255,-0.285182,1.01713,-1.18074,-0.352217,1.23752,0.788826,0.363527,0.358552,-0.313354,1.33179,0.0926717,-0.0649711,-0.424102,0.0295996,0.241808,-0.389877,-0.0667193,0.190632,0.269238,-0.34283,-0.769473,0.337956,-0.456194,1.16343,-1.19646,0.979516,-0.834635,-5.70467,3.169,-0.202461,1.048,4.29764,-4.79184,-1.69958,-0.0649643,-0.117851,-0.243847,-0.148541,0.351383,1.00894,0.380212,0.593833,1.20784,3.37718,-1.48501,2.0033,-2.71559,-1.08209,0.701565,-4.88245,-1.4639,-2.89545,1.64504,-1.25466,0.677053,-0.397364,-3.30803,2.53135,-0.0618091,0.401391,-0.477001,-0.330941,0.126053,0.139934,0.0608821,0.00763298,3.58047,-0.809064,-5.26883,-3.79869,-0.895491,1.86906,0.379158,-0.985325,-0.961939,5.58288,-1.16636,0.362664,-1.70666,-1.32205,1.79557,4.03768,-4.67967,-4.45685,2.62527,4.09919,0.176154,5.44248,5.48021,-1.28889,4.59697,-26.7601,0.292596
-147.464,0.852679,0.399697,4,15,0,215.418,-0.0559549,0.056152,1.44854,0.321689,-0.918248,-0.164173,-0.380414,-0.548369,1.33578,-0.763182,3.3468,0.662837,-0.135887,0.642015,-0.189027,-0.829294,1.25112,-0.901186,0.0437855,3.30082,-1.11373,-0.153793,1.59046,0.551632,0.527625,-2.34445,0.215108,-1.19934,3.85881,0.503977,0.371877,-1.10874,0.194748,0.499337,-1.22751,0.119529,0.428176,1.96857,-1.43243,-1.29367,-0.231926,1.40019,0.139238,-3.25863,0.795006,-0.316516,2.86776,-1.42099,-0.0218242,0.468398,-0.583662,0.0537656,-0.42652,0.413969,0.160466,2.3115,1.39828,0.778284,-0.915315,0.420901,-0.193477,-0.666098,0.393027,-1.63502,1.70615,1.19513,-1.58371,2.14691,0.99016,-0.780164,0.728038,1.04123,0.379348,4.68264,-0.460406,0.233656,1.13836,0.67483,1.07116,0.639216,-1.09727,0.637582,1.80631,1.29176,-2.126,-0.0498665,1.39245,0.0393378,1.27699,-0.645937,-2.04521,2.71237,0.82935,1.3379,8.89418,1.16859,0.239151,1.1945,-1.28021,-1.49738,-0.160248,-0.933291,-0.911536,-0.182135,-1.30312,4.84798,1.07663,-3.07319,-0.549455,-1.27317,-1.83528,4.47058,-2.55422,2.1879,-0.448539,2.11917,-0.623942,-2.73735,4.12973,-2.97465,0.144528,-4.29765,-0.593457,6.1373,2.12864,2.036,-9.04677,0.83006,-4.62803,0.992115,0.732066,-2.18264,0.383375,0.982981,-2.41643,0.235301,0.842894,-4.10785,-3.70994,-0.665108,4.0154,0.3993,-9.34495,2.27988,-0.907692,-3.28461,-0.0504466,1.0827,-1.34914,0.124279,-0.985903,0.956891,0.370918,2.38568,1.32787,-1.56167,0.718121,-0.330102,-1.13647,0.670564,-2.78959,5.59637,-7.41593,10.0532,4.63656,-3.65323,3.40914,4.87571,1.77635,-0.831634,0.422055,2.05622,1.21895,1.93484,1.15462,-1.982,1.15167,3.50373,-5.76651,-0.135256,3.77683,0.106699,3.46367,-1.75202,-5.54736,0.27947,1.39588,-1.49604,-1.74983,-0.187264,-1.09064,-1.06521,-0.212842,-1.52282,-30.2007,-0.0559549
-146.521,0.687562,0.399697,4,15,0,202.541,1.0648,-3.58612,-1.83775,1.13114,-0.286068,-1.12878,-0.99209,-0.513162,1.66237,1.85323,3.04116,0.494366,-1.47671,-0.129762,-2.75412,1.26964,-1.11279,-0.375251,-1.10034,0.240564,0.992659,-0.00367221,1.54876,-1.41805,-0.550195,-1.52373,1.21873,-0.276534,5.10179,1.1312,-1.12343,-0.169335,-0.453314,-1.02344,0.332654,0.0346944,-1.07607,2.07961,0.685511,1.53566,0.901935,-0.157196,-0.902205,-0.653594,-0.13755,1.09515,2.8263,1.11104,0.227254,1.22263,-0.643838,0.359299,-0.693658,-1.1873,0.676022,5.02456,-0.663497,1.02081,-0.14989,-1.14607,-0.452221,-0.195595,1.02047,1.50498,2.80102,0.67327,1.72421,-1.6004,-0.588084,-0.84829,0.710947,-1.32734,-0.824329,3.36121,0.328247,-0.637251,1.18568,0.670194,0.330644,-1.6605,-0.0591582,0.385293,1.81461,-0.793516,-0.353841,0.194163,0.232741,-0.257269,-0.27438,0.42226,-0.0796719,3.39851,0.595286,1.42779,2.46852,0.888507,-0.122414,-1.183,0.711668,-1.53279,0.283061,-0.458621,-0.828256,-0.0405059,2.03485,-5.58888,3.43997,-0.869977,-3.43279,-3.0171,-1.56061,5.05553,5.63596,0.118926,-0.355243,-0.0312159,-0.662541,0.305428,-0.267696,-0.0902717,-0.264701,5.06434,-0.0187349,7.90143,-7.23459,-2.80698,-7.77377,6.21771,-1.41082,2.35247,-2.33629,-0.35215,-0.942717,-2.12836,0.691792,0.072151,-2.23782,1.93746,4.34022,2.54914,-0.444282,-2.5499,-1.84725,-0.388759,3.09521,5.5825,1.14185,6.14318,-3.23501,1.80532,-3.48533,-5.96569,3.39671,-1.85847,2.8593,-0.419844,-3.21017,-1.26668,-0.547865,2.85836,4.21547,2.263,5.79543,-5.37927,-1.97668,-2.85128,2.38965,-4.46147,-2.77075,0.595638,-1.15636,2.15155,1.21614,0.599989,-3.01315,-0.107349,0.699155,-2.69677,-1.20253,0.659865,0.790972,-0.874331,-0.932485,1.43505,-0.270766,-0.108766,-1.0511,0.632322,-1.36189,0.251502,-0.407488,-0.735912,-0.0359898,1.80798,-29.4604,1.0648
-142.408,0.777182,0.399697,4,15,0,201.262,2.09458,-3.32154,1.69206,-1.16235,0.203225,0.452063,1.04241,0.706602,-1.6614,-1.87329,0.731845,-0.874751,1.38309,0.112019,2.45964,-0.919318,1.07887,0.31376,1.1538,2.13,-1.05187,0.232648,-1.60195,1.53952,0.512368,1.5345,-1.03284,0.144215,0.409068,-1.00187,1.1169,0.478866,0.352558,0.94782,-0.297586,-0.10566,0.984653,4.55239,-0.835359,-1.44851,-0.991976,0.157713,0.952335,0.529535,-0.070227,-0.817927,2.7029,-1.24831,-0.247856,-1.03419,0.343275,-0.460058,0.671044,1.03634,-0.747697,0.81211,0.669091,-1.00441,0.00725061,0.972391,0.446038,0.217761,-0.984255,-1.29104,2.24035,-0.886366,-1.46683,1.27718,0.467877,0.899247,-0.881977,1.32985,0.841786,2.50651,-0.36887,0.655915,-1.20282,-0.882223,-0.246532,1.4983,-0.0279799,-0.335901,0.562508,0.775704,0.281043,-0.0967814,-0.271005,0.419618,0.217597,-0.310072,0.200687,2.11124,0.51032,2.25614,7.11947,3.85172,-0.229883,1.19001,-0.516807,0.465873,0.407908,0.599358,1.01251,-0.033085,-2.01337,1.23832,-0.850659,0.148729,0.33084,0.762884,0.517123,-1.21589,-1.37096,-1.86322,2.94597,0.238599,5.23903,-1.95814,2.298,0.668307,2.45759,-0.430288,0.0951688,-0.655306,0.629771,0.209594,0.627717,-0.422502,0.058994,-4.56092,5.08457,2.17999,1.60498,4.31485,-1.35473,-0.481008,4.48253,-2.25789,-3.91518,-2.68121,0.426283,2.57406,1.43128,-0.189816,-2.21077,-1.01377,-0.201286,-0.839874,0.278777,-0.373618,0.544962,0.841623,-0.607212,1.499,-2.25023,0.0162439,2.17849,0.99928,0.487859,-2.20507,-2.89238,-2.22168,-3.67661,3.20127,1.17274,2.25397,-2.21068,3.33327,2.10994,-0.207492,0.368957,-0.676593,-0.496257,-0.138676,0.842806,-0.0157389,-0.188947,1.63769,0.593349,-0.204328,-0.572155,0.885912,0.459398,-0.654635,0.423697,-0.885444,4.5836,-1.9906,1.79441,1.57115,2.30856,3.8999,-0.127434,-7.75492,-28.1265,2.09458
-148.752,0.822935,0.399697,4,15,0,198.084,-1.75779,-2.23958,0.551739,2.53902,0.0769272,-1.3143,-1.9889,-0.729935,0.602704,1.4584,0.191991,-0.184688,-0.951211,-1.57622,-1.50221,0.00547871,-0.68176,-0.363842,-0.43626,2.31067,1.63728,-2.04551,0.628663,-0.586333,0.706759,-1.49277,0.00851646,-0.795336,0.565371,0.22059,-0.893072,-1.39732,0.563256,0.249134,0.659198,1.17878,-0.549291,5.17831,1.62828,-0.151161,-0.00935153,-0.136306,-0.808849,-0.661045,0.401886,-0.218243,2.15946,-0.373576,0.160936,0.244125,-0.192158,0.560664,0.638043,-1.71308,0.787309,0.195391,-0.876872,1.0354,0.310278,-0.100742,-1.33717,-0.302522,-1.08623,1.12599,2.09695,0.144665,1.15169,-1.79143,0.0675272,-1.20497,-0.0916925,-2.22888,-0.296163,3.01382,-0.229079,-0.638913,2.32382,-0.143437,0.408691,-1.28708,0.92634,-0.204752,5.24825,0.181183,0.0264554,0.645705,0.274519,-0.300018,1.50745,0.747208,0.335512,2.41245,0.540227,1.42362,4.8501,3.40272,-2.50655,-1.21366,-0.0564174,-1.42,-0.447077,-0.167397,-0.313646,0.865979,0.779163,0.105929,0.487469,0.0147693,-0.252333,-0.38185,-0.140141,0.115714,0.279999,-0.426752,-2.19793,-3.64213,-3.47112,0.0126595,-1.57532,-0.840718,-1.00805,0.92567,-1.15647,0.355428,-0.331496,0.399581,-0.84397,0.00481496,-0.44966,1.14228,-4.6246,-7.23575,2.91671,1.29009,3.41353,6.10411,-2.8444,3.5162,-0.326426,-0.0201942,-0.294346,-1.74667,-1.4275,0.867855,-0.471286,-0.0729932,0.0314455,0.0476998,-0.0375458,0.109549,0.124668,-0.33472,0.153833,-1.83875,2.17117,0.650636,-0.211251,-2.80397,-0.634372,-2.27777,2.36115,0.435995,3.47099,-5.39906,0.203515,-3.63156,-0.276345,-6.71744,-0.892583,-1.20227,-3.35318,12.196,-0.752795,2.14491,-6.75492,4.86166,-1.07459,0.437095,0.0638223,1.55773,0.662263,-0.723778,3.63665,1.8026,0.809404,-8.52908,-4.12974,-0.191972,-4.83185,-1.52128,-0.569606,-1.06725,2.94668,2.65127,-28.4286,-1.75779
-159.119,0.675648,0.399697,4,15,0,209.307,7.24308,1.95506,0.650816,-1.88897,1.02095,0.848237,1.99809,-0.733019,-0.146878,-0.0892157,0.492919,-0.877685,0.834726,0.844961,-0.0839866,0.149724,2.84151,0.783317,0.196354,3.15772,0.440208,1.94697,-0.884081,0.418323,0.110089,0.810779,-1.52324,0.424493,6.72111,0.822971,-0.319818,0.572643,-0.253006,0.0981832,-1.53269,0.0511372,0.337031,5.08926,0.00258192,-0.569189,-0.187635,0.337924,0.774295,0.709944,-0.651874,1.05086,2.25396,-1.11062,-0.191082,-1.50872,0.758411,2.23674,0.228793,0.300603,-1.2054,1.28115,-1.66284,2.18217,-0.765118,0.991346,1.44111,0.186784,1.04652,-2.86949,2.10721,-0.533914,-1.33201,2.10062,1.06102,1.17932,0.87348,1.33319,-0.784516,1.05801,-1.63946,-0.252685,-1.58139,-1.51805,0.516557,1.7395,-0.730684,0.202855,1.63975,1.23995,-0.445703,-0.269815,-0.23702,0.5203,-1.87287,0.991326,1.27969,9.52334,0.535382,0.438898,4.69277,5.02633,0.334249,-0.500657,-0.613987,0.416324,0.944355,0.247841,-1.05758,-0.923202,-0.592385,0.3208,-0.931111,0.503247,0.418113,0.984897,-0.361319,-0.0723992,-0.0439762,-2.77148,2.63583,2.66815,-0.265206,0.472786,8.97269,2.4735,0.620032,2.95869,13.0858,-5.942,2.81159,0.739917,5.44933,-10.2378,2.85306,4.18831,-1.62763,2.91433,-1.28761,0.499679,-7.80025,0.260251,1.71524,0.00581955,-1.28293,-0.422922,0.761668,1.74523,1.60019,-1.4693,2.36859,-1.42288,-0.244805,-1.93291,0.971641,2.86561,0.29312,0.385118,-1.5443,-3.50394,4.59829,-1.61226,2.08897,3.03672,0.393592,2.20523,-6.04661,-0.564888,-1.40928,2.22248,1.12257,1.24774,0.924153,1.41053,-0.830028,-2.6883,-0.41434,-2.59307,-2.48922,0.847022,2.85233,-1.19814,0.332631,11.8084,-4.24458,-2.56954,-2.25722,4.95499,-17.8359,9.44074,12.187,1.68005,-2.51647,-3.0861,2.09258,4.74664,1.24573,-5.31573,-4.64032,-2.97753,-34.9299,7.24308
