# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_c1a5d268a7a_model
# start_datetime = 2023-06-19 13:45:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpIa8Dw8/standata-c1ae185ce3.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpIa8Dw8/model_08e181b24ccdd8ab650ed682bc542235-202306191045-4-1edb83.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpIa8Dw8/model_08e181b24ccdd8ab650ed682bc542235-profile-202306191045-4-7906f1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.375938
# Diagonal elements of inverse mass matrix:
# 12.0115, 25.8528, 1.09353, 0.799369, 0.802212, 1.06311, 1.11947, 0.943412, 1.0633, 1.20105, 0.952619, 0.947096, 0.831968, 0.859995, 1.0581, 0.957867, 0.966319, 0.967106, 0.9975, 1.18926, 0.899338, 1.18229, 1.04655, 0.930306, 0.856622, 0.872967, 0.906382, 1.07301, 1.16363, 1.08655, 1.12811, 1.06476, 1.14249, 0.878248, 1.13373, 0.886488, 1.05592, 1.53561, 0.949654, 1.13458, 1.18369, 1.2284, 0.903342, 1.07744, 1.20229, 1.00473, 1.26611, 0.984646, 1.20548, 0.91899, 1.1044, 1.09306, 0.791512, 1.00598, 0.915344, 1.17734, 0.965822, 0.923675, 1.10546, 1.10484, 0.944651, 1.00894, 0.900805, 0.917753, 1.50965, 1.04504, 0.882541, 0.974192, 1.10114, 0.920614, 1.06096, 1.1955, 0.944502, 1.41556, 0.954397, 1.05961, 0.861514, 1.32263, 1.07038, 0.920235, 1.05682, 0.93068, 1.15143, 0.916938, 1.07874, 0.972397, 0.945275, 0.88666, 0.893006, 0.864106, 1.04262, 1.41765, 1.49866, 1.15587, 1.31092, 1.26491, 0.922309, 0.89389, 1.011, 0.909236, 0.837769, 1.04496, 0.915529, 0.963689, 0.926559
-150.692,0.99297,0.375938,4,15,0,195.167,-0.670203,3.62415,0.0291774,0.0179732,-0.68877,-1.33504,0.930103,0.453587,-0.178384,-0.151489,3.45333,1.04092,-0.378205,1.10624,-0.637105,-1.82337,0.0150754,-0.559545,-0.165929,0.653423,-0.754734,-0.231882,1.51029,0.254489,-0.136271,-0.711157,0.287169,0.226059,1.72675,-0.21926,-1.41184,0.842163,0.903276,0.40274,1.98507,1.64514,0.543426,8.46411,-0.403177,0.644227,1.08148,0.407103,1.74921,0.727196,1.25002,-0.0560559,1.31196,-0.199902,0.57923,0.450241,1.27206,-1.12609,0.093577,2.6591,-0.431737,1.0807,-0.581271,-0.401624,-0.470811,-0.00379604,1.49822,-1.59807,1.46182,-2.35622,7.36428,-0.292409,1.09863,0.474706,-1.19626,-1.6187,2.35345,0.721854,-0.0120382,1.20836,0.263103,-1.38765,0.169087,2.03387,-1.28841,-0.163012,1.45916,0.343552,0.534611,0.32453,-0.8462,0.171901,-0.306857,1.98417,1.07692,0.452905,0.397363,2.66278,0.686524,2.06735,3.44709,2.48304,1.38278,-0.863493,0.404621,-0.212498,0.997718,-1.03896,1.02056,1.4379,0.511829,0.100759,0.0620674,-2.37855,-4.61033,3.21195,1.56639,-0.616019,-0.523142,0.68016,-0.247128,0.722845,-0.416299,-1.19143,0.00985059,-0.36562,-0.108422,-1.30323,-0.400402,2.60788,0.439438,-0.235305,-1.22799,0.495868,0.390346,-1.85584,-11.95,7.12815,7.64543,3.40883,16.8018,13.9247,4.59962,-0.528953,0.845202,1.41887,0.534104,2.2949,0.954054,1.63998,-0.0735433,-0.216034,0.625975,0.486577,1.37471,-1.21696,0.101129,2.87369,-0.466579,-4.28064,-2.95767,-3.46718,-0.0279551,11.0333,-11.7686,10.7653,-17.3518,-0.353336,1.32755,0.573617,-1.44552,-1.95598,2.84382,0.872262,-0.0145465,0.140658,-0.741852,0.0903959,1.08733,-0.688799,-0.0871481,0.780081,0.183667,0.864152,-2.25324,0.457734,-0.817092,5.28341,2.8676,1.20599,1.05809,3.4335,-2.14408,1.00469,-0.52764,2.47737,-2.57977,2.53409,3.57037,1.27089,-30.4603,-0.670203
-154.834,0.922072,0.375938,4,15,0,199.241,-0.754492,1.35583,1.77191,0.142886,0.951733,0.553373,-1.92274,-1.00312,-0.743962,-0.271562,0.152772,-1.77033,0.507639,-1.53081,0.322136,1.20925,0.216342,0.753803,0.501119,8.03217,0.903014,-0.674637,-1.59143,-0.417876,-0.194617,0.349591,-0.272699,0.327465,3.80034,0.671622,0.315321,-1.46689,-1.36942,-0.486389,-2.02785,-1.84465,-0.871128,0.249656,0.419996,-0.79299,-0.99973,-0.0627097,-1.21349,-0.293107,-0.0618383,0.0701616,0.73112,1.15334,1.63309,-1.18977,-0.384202,1.49919,-0.443619,-1.78543,-0.481289,1.49302,0.854829,-0.291869,0.119623,-0.508338,-0.77853,1.96853,-1.85515,2.86986,0.076605,0.472089,-0.66846,-0.653263,0.59713,1.22203,-1.36611,-1.58502,0.231103,1.00866,0.245617,0.807539,0.309189,-0.313892,0.421222,-0.261849,-1.92976,-0.480001,2.22308,-0.263504,-0.189694,0.499401,0.827555,-2.03188,-1.05778,-0.467865,-0.572115,1.56467,0.585144,2.53871,3.13083,3.55737,-0.704368,0.711549,-0.427701,0.242215,-1.26979,0.873312,-1.4016,-0.950745,0.358673,0.270698,0.021829,0.145398,0.0845398,-0.293741,-0.153248,-0.113656,-0.041487,-14.2196,4.07745,-12.2957,2.58745,9.71288,1.73769,6.05468,4.02507,3.43176,-2.56385,-6.04797,-1.58807,-0.739611,1.32856,-1.03635,1.24448,0.167675,0.0787217,-0.366218,-0.341883,-0.12143,-0.506265,-0.460528,-0.217482,0.307067,-0.57977,-0.730922,-0.0458483,-0.887204,-0.214296,-0.0452112,0.0512966,1.72196,2.43823,-1.77635,-0.57362,2.23832,-0.66233,-2.66567,-0.718572,0.0654842,-0.0223586,0.00916372,-0.0389412,-0.0596393,0.150799,-0.142114,0.219846,0.476178,-0.67425,-0.658922,0.602303,1.23262,-1.37795,-1.59875,0.233105,0.546027,1.79523,0.687352,-0.697809,0.936412,-0.582111,-4.29003,-1.06708,-0.412296,-0.296809,0.781397,1.29485,-3.17921,-1.65507,-0.732053,-0.89517,-2.5057,2.53125,-1.52149,0.861648,-4.51711,3.1067,-4.98601,-3.38215,1.27593,-26.8856,-0.754492
-156.54,0.870261,0.375938,4,15,0,208.83,1.96507,0.893055,-1.83997,-0.387844,-0.528382,-0.526019,1.98849,0.942572,0.725309,0.293753,13.6811,1.57547,-0.554305,1.57257,-0.344396,-1.27571,-0.308938,-0.887586,-0.460351,0.297294,-0.814165,0.630675,1.59341,0.507238,-0.0126222,-1.04349,0.213313,-0.330397,1.37894,-0.666291,-0.394706,1.48817,1.36184,0.782148,2.0657,1.88177,0.81817,6.47832,-0.664702,0.889645,0.970594,0.270784,1.0429,0.292848,0.281078,-0.01039,3.28335,-1.17445,-1.30403,1.0523,0.370469,-1.48584,0.181203,1.81595,0.725944,2.62762,-0.641745,0.126269,-0.0762087,0.502987,1.19884,-1.98223,2.1819,-2.61509,11.9282,-0.467808,0.678592,0.861469,-0.519128,-1.36128,1.34354,1.41161,-0.130876,4.8202,-0.473708,-0.713279,0.114422,0.93168,-0.439769,0.238675,1.92625,0.302957,0.545255,-0.0840778,0.187446,-0.352535,-0.60349,2.05129,1.27815,0.784483,0.494393,3.14477,0.484302,2.91684,8.17746,0.126987,0.43132,-0.807443,0.372247,-0.226805,0.890759,-0.871182,1.11667,0.88923,-0.313663,-25.1729,-5.30614,-7.22887,-7.19654,27.2048,12.8955,9.92305,4.01888,0.468379,-0.164791,0.467514,-0.102387,-0.379261,-0.0918453,-0.263874,-0.136859,-1.12268,0.869661,2.19721,0.69945,-0.0174052,-1.4389,0.294146,-0.455597,-4.31644,-2.55703,9.64082,8.82243,5.067,13.3823,12.1907,5.30036,-2.18245,2.92102,3.1868,0.889078,3.42422,0.961524,0.922879,-0.0341141,-3.086,-3.42649,2.76506,0.973453,-3.90424,0.476133,4.77162,1.90751,-7.65485,1.50616,-0.90903,5.99972,14.3,-23.6444,26.0261,-31.1932,-2.25493,3.27095,4.15246,-2.5023,-6.56163,6.47612,6.80423,-0.63085,-0.258292,-0.388919,0.0623893,0.508003,-0.239786,0.130139,1.0503,0.165189,-0.264406,0.589474,-1.10864,-1.89784,6.45083,4.0195,2.46702,1.55475,0.0547718,-0.102534,0.0472704,-0.0288012,0.113115,-0.110629,0.141803,0.11292,-0.039831,-38.1703,1.96507
-152.071,0.970335,0.375938,4,15,0,205.078,2.29609,0.180674,0.470594,-0.00113256,1.03731,-1.09465,1.83424,-0.0736021,1.36461,-0.204705,0.153471,-0.259523,-0.109586,-1.23816,0.388341,-0.143869,0.318466,1.17515,-0.628203,0.148013,-0.761227,0.583195,0.0220435,-0.190679,0.146308,0.874005,1.79291,0.409286,1.86676,1.93014,-1.34216,0.0144758,-0.775115,0.709512,-0.952002,-0.961935,0.793016,7.52499,-1.1463,-0.643951,-0.252984,-0.13512,-1.08496,-0.522952,0.981447,-0.193585,7.38071,1.2118,-0.179279,-1.11336,-1.40159,-1.04142,0.128898,-1.78981,-1.07302,5.11856,-0.0812334,-1.8448,0.364612,1.33299,-2.52475,-0.67061,-2.62906,0.785995,0.674662,1.05645,-1.50166,-0.916126,1.40882,-0.965706,-1.00677,-1.4571,-0.607973,3.92536,-0.619348,-0.00714133,-0.13561,0.816166,-0.26011,1.58848,0.325082,-0.282504,1.46985,-0.0221078,-0.222477,-0.787809,1.15814,-0.438885,-0.319809,0.675193,0.809003,1.46822,0.536651,2.95735,4.75247,0.382696,-0.326177,1.51626,1.31904,0.425421,-1.54662,-0.0301439,1.74305,-0.120284,0.588811,0.0722227,-0.000173816,0.159198,-0.167998,0.281504,-0.0112958,0.209428,-0.0314164,-0.0384129,-0.0162202,-0.183264,0.0574796,-0.0212945,0.0471373,0.173938,-0.0929824,-1.42103,1.08868,0.0411499,-0.355952,0.273121,1.63156,3.34693,0.764039,14.5243,-10.0998,0.108931,-5.83273,5.33907,-7.16381,-7.23855,5.96743,-8.46053,-4.75282,-1.86721,-0.99728,-8.0078,-3.85976,7.24378,-1.42879,6.20266,-0.917648,-5.69877,-7.1741,-5.33057,0.659771,-9.16124,-5.49229,-0.0548051,-1.24461,0.24599,0.899315,-1.70335,-0.452435,-1.77373,0.530281,4.14695,-5.89456,-3.59613,5.53012,-3.79075,-3.95195,-5.71966,-2.38651,-0.910351,-0.0104967,-0.199328,1.19964,-0.382324,2.33483,0.477824,-0.41524,-0.0324589,-0.326644,-1.15667,1.7004,-0.644378,-0.469549,0.991328,1.18779,-0.124827,0.580269,0.504793,0.162807,-0.591884,-0.011536,0.667057,-0.0460322,0.225336,-30.6943,2.29609
-148.813,0.799371,0.375938,4,15,0,208.24,-1.35922,-2.27401,0.635552,-0.405515,0.913631,-0.585935,1.10329,0.0520286,1.31854,0.209018,0.392707,-0.156446,0.105587,-1.47083,0.166464,-0.226238,0.435184,1.06655,-0.705137,0.13992,-0.83125,0.941893,-0.426219,-0.0163334,0.0936257,1.55855,1.19565,-0.0710572,3.38354,1.24363,-0.761049,-0.672873,-0.951193,0.845685,-0.205492,-1.26875,0.464444,18.2072,-1.15751,-0.573468,-0.657026,-0.242831,-1.59178,-0.203683,0.730625,-0.36725,5.83254,0.70531,-0.219313,-0.829332,-1.17645,-1.18511,0.0776319,-1.98062,-0.852742,5.06185,0.359767,-1.88238,0.740737,1.06419,-2.988,-0.208097,-2.1325,-0.290026,0.957749,0.861127,-1.07549,-0.939752,0.342786,-0.662907,-1.01287,-1.46185,-0.774679,3.63963,-0.392158,-0.276084,-0.198583,0.426357,-0.778178,1.69475,0.505277,-0.132154,1.12097,0.152788,0.418511,-0.919832,0.697801,-0.802196,0.316976,0.565993,1.15384,0.564813,0.570974,3.27589,3.93529,0.376979,-0.453109,1.30384,1.57549,-0.263101,-0.97916,0.481621,1.77754,-0.00245547,0.153546,0.249586,-0.159249,0.358789,-0.230101,0.433271,0.020432,0.517799,0.0820829,-0.02189,0.0147738,-0.205798,0.0232916,-0.0316552,0.060891,0.149232,-0.0986628,-2.81257,3.18693,-1.44213,-0.0552646,0.316786,5.2734,4.04552,-0.240425,22.6431,-13.8566,-12.2512,-17.3186,15.3976,-3.74145,-23.1004,8.45625,-6.75123,-3.34478,-3.83213,-1.41632,-9.28412,-1.18799,4.2614,-2.142,3.57017,-1.11013,-4.19795,-5.95501,-5.99884,0.39296,-10.0256,-4.31645,0.344567,-1.80285,0.70944,1.01923,-2.86175,-0.199305,-2.0424,-0.277772,3.13418,-3.9144,-3.42035,1.24762,-2.41274,-3.68647,-5.3206,-2.81954,-0.439596,-0.309481,-0.222605,0.477932,-0.872311,1.89975,0.566398,-0.14814,0.0862963,0.236381,-0.519533,0.394127,-0.45309,0.179032,0.31968,0.651703,-0.170813,0.49152,0.593926,-0.0991836,-0.369123,0.181561,0.670094,-0.000925659,0.0578836,-33.4806,-1.35922
-153.61,0.677863,0.375938,4,15,0,218.627,-0.464394,1.02457,0.202419,0.38479,-0.968438,-1.36833,-0.634917,0.165071,0.375378,1.28413,2.5044,0.260624,-0.561153,1.27091,0.941422,0.109656,-0.840797,-0.657347,-0.657182,4.82719,0.390784,-1.22107,0.00202971,0.969972,-0.3252,-1.13086,-2.13663,-0.246103,1.54051,-0.533474,1.02963,1.1085,0.429401,-1.32727,-0.386387,0.287498,-0.283005,0.0133586,1.35886,0.714505,0.710107,1.2968,2.10574,-0.755049,-0.432572,0.623585,0.905772,1.24466,-0.0477237,0.937739,1.54136,0.474558,0.0102776,1.45578,1.11639,1.15362,-0.447942,0.746427,0.104106,0.281965,2.36571,0.519035,2.05356,0.353201,0.949731,-0.433283,0.420372,0.990186,-0.06481,0.913585,1.57963,-0.615965,0.97828,2.1883,-0.324131,1.3305,0.418819,2.7742,0.429838,-2.19339,-1.73007,-0.10018,0.70209,0.580456,-1.23471,0.309972,0.142626,0.382612,-0.3701,-0.792094,-1.46777,5.84287,0.745958,3.97505,5.14827,2.6183,-0.22573,-1.34873,-0.917234,-0.236112,0.690662,-1.57249,-1.67529,0.940225,-1.57806,0.506939,0.96367,-2.42536,-3.42684,-1.59009,0.413405,0.940099,3.21597,1.25808,-2.70879,6.13493,4.54442,0.529328,-4.05869,-3.17314,-3.17234,0.602007,-1.88107,0.00312679,1.49425,-0.500974,-1.7421,-3.29149,-0.379123,-0.00712647,0.0137544,0.014808,0.0057362,-0.0177305,-0.00516159,0.00384057,-0.00378056,1.23082,0.647178,0.643195,1.17461,1.90732,-0.683902,-0.391811,0.564826,1.43587,-0.0550552,1.0818,1.77816,0.547461,0.0118565,1.67942,1.28789,-0.425424,0.708905,0.0988727,0.267791,2.24679,0.492943,1.95033,0.335446,-0.948153,0.919899,2.16682,-0.141824,1.9992,3.45669,-1.34792,2.14077,-0.227569,0.934128,0.294048,1.94774,0.301785,-1.53995,-1.21467,-0.0703354,3.39153,-7.21422,1.81112,0.833346,2.23555,-2.16244,-4.6281,-8.57596,-0.591028,-3.53137,-2.40159,-0.618211,1.80836,-4.11724,-4.38641,2.46179,-4.13182,-28.026,-0.464394
