# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-alt/prior_part_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.330873
# Diagonal elements of inverse mass matrix:
# 17.6566, 17.4615, 0.948086, 0.917256, 0.835913, 0.983054, 1.12569, 0.860055, 1.01879, 0.801487, 1.92211, 0.828501, 0.902444, 1.10913, 0.981151, 1.073, 0.950486, 0.98573, 1.05711, 1.04131, 0.97757, 0.992949, 1.02946, 0.982309, 0.915487, 0.91187, 0.80469, 0.99934, 1.35408, 1.01912, 1.48134, 0.908263, 0.947424, 0.993605, 0.96201, 0.971987, 0.994162, 1.95988, 1.10308, 0.958789, 0.829468, 0.866256, 0.962938, 0.978584, 1.31147, 0.950899, 1.48542, 0.997603, 0.980319, 1.05981, 1.05404, 0.916018, 0.982321, 1.0766, 0.963054, 1.34103, 0.9276, 1.0094, 0.962573, 1.03124, 0.932227, 1.06351, 0.985782, 1.11736, 1.64326, 1.1154, 1.14709, 0.894783, 0.856545, 1.04578, 0.912517, 1.27617, 1.11394, 1.13702, 1.04212, 0.878705, 1.04936, 1.10658, 0.842668, 1.0358, 1.11367, 1.02853, 1.24591, 1.04365, 0.831129, 0.938206, 0.953844, 1.00588, 1.11055, 1.18759, 0.9977, 1.2423, 1.8644, 1.1957, 1.75063, 1.23791, 1.1763, 1.21066, 0.981957, 0.888599, 1.08104, 1.00761, 0.970148, 1.17853, 0.949625
-139.5,0.926016,0.330873,4,15,0,197.845,-2.48765,2.05366,-0.280552,0.26865,-0.837518,1.59812,0.879588,0.643959,0.721416,-1.09077,0.616156,0.835245,0.548952,0.609539,-0.34734,-0.455113,-0.70518,-0.563028,1.18788,5.39988,-0.0651571,0.439652,0.276462,0.329203,0.186828,0.302602,0.459083,0.539676,0.289734,-0.908899,0.316897,-0.179262,0.611193,0.178638,1.29788,0.94815,-1.19691,4.1,0.148898,1.09352,0.11512,2.04002,0.787789,-1.40116,-1.25256,0.217812,2.88109,-0.23604,0.269274,-0.267289,0.535908,0.669118,-1.22489,-0.0690039,-0.579789,0.423777,-1.11213,-1.43837,0.381374,-0.753028,-2.00413,-0.0126311,-0.197691,0.379217,5.50737,-1.17374,-1.34059,-0.667625,0.277589,0.347284,-0.0227816,-0.135765,0.648306,0.840352,0.970062,-0.299228,0.623229,-0.862492,1.57963,-0.526756,1.81171,0.941825,1.37948,0.109792,-0.646881,0.646108,1.11417,0.771466,-0.105327,0.99262,0.947072,2.5957,0.585186,0.768461,6.02012,2.66264,0.0745281,-0.262651,2.8201,1.76557,0.46531,0.0297448,1.11278,-0.435332,-0.222298,-0.172864,0.16553,-0.516042,0.984691,0.541964,0.396779,0.444505,-0.672087,4.51022,2.96427,3.29144,-1.8756,-2.45756,-3.80789,-3.04028,6.41442,-0.0188783,0.127382,0.0801005,0.0953813,0.0541306,0.0876741,0.133012,0.156363,-3.72648,1.29928,-0.734972,2.50589,0.732414,5.32131,3.88741,-4.90734,0.428989,3.15052,0.331672,5.87747,2.26969,-4.03687,-3.60875,0.627537,-0.100028,0.114112,-0.113271,0.227106,0.283557,-0.51908,-0.0292422,-0.245701,-6.1249,-7.92163,2.10037,-4.1472,-11.0375,-0.0695643,-1.08876,2.08849,-0.986358,-1.12657,-0.56104,0.233272,0.29184,-0.0191445,-0.11409,0.544805,1.33819,-0.41278,0.859734,-1.18979,2.17908,-0.726651,2.49922,1.29923,0.284988,-1.67911,1.6771,2.89205,2.00249,-0.273397,2.57654,2.45831,0.198442,-0.699344,7.50893,4.70109,1.23895,0.0791998,2.96294,-1.15913,-0.591901,-29.0165,-2.48765
-157.047,0.674263,0.330873,4,15,0,198.516,-1.41399,3.06696,0.376879,1.52234,0.342839,1.52484,0.230928,-0.103918,-1.03586,0.773105,18.7367,1.81699,-0.7227,0.345778,-0.943274,0.0911454,0.456987,0.295031,1.86816,1.01737,-1.22459,-0.643155,-0.963343,-0.648125,-0.589903,-1.76159,0.794492,-0.755583,0.586218,-0.581335,1.48618,1.02733,1.18213,-0.00819254,-0.55028,2.45307,-0.581039,1.7978,0.320247,0.792552,-0.17731,1.04132,-0.476804,0.758307,-1.14861,-1.3194,1.5456,0.193559,-1.08886,-0.0609826,-0.95417,1.21619,-0.386194,0.987712,-0.588612,3.28507,-1.12746,0.201254,1.34326,-2.95706,-0.540101,0.347757,0.390194,0.115008,3.46686,-1.82436,-0.584732,-1.0035,0.34135,2.09548,-0.33996,1.88269,0.962074,0.577958,0.150495,0.0370741,-0.286072,0.0585512,-0.0344063,-0.866151,-0.455924,-1.16171,9.0296,0.241393,1.89895,0.703588,-1.53689,-1.0523,2.37773,-0.311534,0.950344,1.40146,0.834681,0.689278,3.65793,1.23338,-1.23928,1.42828,0.975578,0.983115,-0.697824,-0.276827,-0.333389,-0.917547,0.38486,7.06147,28.5237,6.42367,28.5704,4.32683,-1.94708,-19.4086,14.4854,1.84855,-0.735254,0.351785,-0.959659,0.0927286,0.464925,0.300156,1.90061,-0.717874,-0.377029,-0.56473,-0.379943,-0.345812,-1.03268,0.465746,-0.442937,-1.04512,2.67184,1.84693,2.12524,-0.0147285,-0.989292,4.41012,-1.04459,0.494975,1.22497,-0.274051,1.60946,-0.736951,1.17204,-1.77529,-2.03928,0.635854,-3.57699,-0.200332,-3.13451,3.99525,-1.26867,3.2447,-1.93363,-3.90875,0.697719,4.65689,-10.2517,-1.87246,1.20562,1.35275,0.398718,-1.0544,-0.33795,-0.579979,0.197286,1.2111,-0.196482,1.08811,0.556038,1.35891,0.334764,-2.58311,0.528694,-0.310675,-7.821,-4.11681,-10.4897,0.338303,2.6613,0.98605,-2.15389,-1.47475,3.33229,-0.436602,1.33187,-1.52851,1.76162,1.20326,1.21256,-0.860683,-0.341434,-0.411197,-1.13169,0.47468,-34.1039,-1.41399
-162.005,0.960365,0.330873,4,15,0,214.193,-1.83977,3.41001,-0.421151,-1.61905,-0.26417,-0.894197,-0.214844,0.382689,1.23211,-0.887991,0.0832878,-1.76545,0.62177,-0.587038,1.01732,-0.310153,-0.304458,-1.07698,-1.32815,1.04557,1.03579,1.03897,1.20442,-0.0216836,0.789358,1.98967,-0.725896,0.963666,0.328041,-0.0413522,0.405815,-0.917112,-0.873009,-1.26563,1.25139,-2.11696,0.387147,0.241327,0.213182,0.0280951,0.546459,-0.911801,0.588771,-0.73662,0.611925,0.892172,1.23728,-0.384814,0.412911,-0.313066,0.547948,-1.40253,0.594758,0.456217,1.01408,3.13666,1.52784,-0.84465,-1.68294,3.49303,0.787294,-0.72741,0.84893,-0.259142,3.79155,0.928708,-0.697981,0.912341,-0.382396,-1.59105,-0.0322387,-0.615398,-1.20078,1.9068,0.515456,0.151739,0.0996072,-0.623052,0.0440065,0.432151,0.809504,1.74968,0.0367158,-0.829947,-1.88363,-1.12122,1.12082,0.801741,-1.59736,2.4046,-1.36494,1.88315,0.0699447,0.395905,1.6181,2.5715,1.15439,-0.768575,-0.693006,-0.716335,0.541604,0.507738,0.153621,-0.387712,-0.136611,-0.0350768,-0.134847,-0.0220021,-0.0744757,-0.0178939,0.0318733,0.10262,-0.0739588,-1.8459,0.650104,-0.613789,1.06368,-0.324287,-0.318332,-1.12606,-1.38868,0.339781,0.340825,0.395098,-0.00711309,0.258942,0.652693,-0.238124,0.316122,-0.00997942,0.0979342,-0.221324,-0.210681,-0.305432,0.301994,-0.51088,0.0934292,0.263765,0.0347615,0.676121,-1.12815,0.728473,-0.911403,0.757121,1.10386,-1.20703,1.29516,-0.981981,1.71872,-4.39924,1.86555,1.431,3.18081,5.79287,-3.20253,-6.38095,13.244,2.98507,-2.75801,3.21876,-0.982548,1.77086,-1.33091,1.73965,-0.729153,-3.03381,-0.0614727,-1.17344,-2.28965,0.0189254,0.0055712,0.00365716,-0.0228758,0.00161573,0.0158668,0.0297216,0.0642408,-1.56291,-3.54716,-2.11143,2.11067,1.5098,-3.00806,4.52822,-2.57039,2.96852,-1.97639,-1.78207,-1.84206,1.39274,1.30565,0.395037,-0.997002,-0.351296,-25.9974,-1.83977
-157.564,0.977038,0.330873,4,15,0,212.419,0.157798,1.70356,-1.3489,1.88092,0.595476,-0.254049,-2.15244,0.349953,-0.92429,-0.277783,0.116353,1.94256,-0.665919,0.0170904,-0.792182,-0.653253,-1.31359,-0.142324,0.504671,1.68094,0.564766,0.430904,1.19209,1.15147,-0.341201,0.558691,-1.09985,1.11617,0.402006,0.935818,0.131219,1.5967,0.669975,-1.52256,-0.310813,-0.686301,-0.770768,0.236425,1.09455,1.70474,-0.141482,0.376922,0.433017,0.554695,0.792591,1.11068,0.327419,2.12861,0.579827,-0.883543,1.32115,-1.52038,-0.415146,0.350762,-0.0586958,3.26354,0.0726757,0.752885,0.100269,0.0909532,1.08057,1.08343,0.828634,1.28611,4.016,0.769898,-1.87384,-1.67486,0.999436,-1.4075,-1.43182,-0.301442,-1.32071,1.69915,-0.765876,-0.478891,-2.07112,0.934678,0.87354,-1.0971,1.48494,-0.353503,5.9801,0.209128,0.406406,0.15925,-0.319142,-0.322921,0.767189,1.77438,0.191851,5.94813,0.187327,0.354449,1.57917,4.10884,-1.89064,0.0262489,-0.124622,0.197206,1.17906,0.230246,-0.188886,-1.23388,1.88557,-0.156948,0.21885,0.0692852,-0.0295593,-0.250442,0.040718,-0.107544,-0.0323208,3.26533,-1.11937,0.0287279,-1.33161,-1.09808,-2.20808,-0.239239,0.848323,0.227039,0.173226,0.479228,0.462898,-0.137165,0.224597,-0.442146,0.448706,0.221251,0.0310234,0.377499,0.158399,-0.359972,-0.0734841,-0.162259,-0.182229,0.358376,0.558165,-0.0463239,0.123411,0.141778,0.181618,0.259509,0.363658,6.94679,1.89229,-2.88347,4.31162,-4.96181,-1.35484,1.14472,-0.191556,0.291866,3.02359,0.402679,0.365268,4.33957,4.35106,3.3278,5.16504,1.30817,-3.18394,-2.84584,1.69819,-2.39155,-2.43287,-0.512195,-2.24408,-4.58001,-2.86381,-12.3855,5.58947,5.22385,-6.56078,8.88008,-2.11398,1.24392,2.41736,0.947241,-1.8983,-1.92078,4.56334,10.5542,1.14116,-7.76835,0.107853,-0.512054,0.810287,4.84459,0.946046,-0.776103,-5.0698,7.7475,-29.0023,0.157798
-154.253,1,0.330873,4,15,0,199.337,0.0250081,2.15859,0.960818,-1.82219,-1.12758,0.349232,2.09938,-0.530689,0.856943,0.045772,6.74343,-1.64339,0.939703,-0.0139372,0.709,0.627437,0.901408,0.26361,-0.373194,0.558724,-0.485935,-0.446137,-1.16043,-1.27172,-0.0974151,-0.293839,1.08933,-1.20849,8.38038,-0.831005,-0.422259,-1.57417,-0.561107,1.42072,0.264271,0.794108,0.705884,9.69881,-1.09306,-1.57597,0.567523,-0.198048,-0.369543,-0.71969,-0.874835,-1.06976,9.30838,-2.10692,-0.852782,0.951372,-1.39123,1.65704,0.385892,-0.344261,-0.0945239,2.4457,-0.201158,-0.704739,-0.237015,-0.144963,-1.14493,-1.1073,-0.987859,-1.27286,2.6594,-0.765404,1.90439,1.45866,-0.877406,1.22023,1.62668,0.539554,1.33618,2.01584,0.762683,0.556656,2.09551,-0.936409,-0.997535,1.24175,-1.47664,0.48562,0.621833,-0.171385,-0.60151,-0.121356,0.231427,0.446098,-0.754177,-1.88927,-0.0405979,0.760896,0.865967,4.97302,4.60616,1.75341,2.0623,0.188243,-0.323161,-0.06574,-1.20515,-0.386168,-0.0449777,1.20881,-1.26114,6.47921,-12.2878,-7.60374,2.35502,14.157,-3.57866,5.77874,0.30866,-0.918199,0.525035,-0.00778706,0.396135,0.350564,0.503638,0.147285,-0.208513,-4.07232,-3.7388,-9.72483,-10.6575,-0.816376,-2.46248,9.12901,-10.1276,-8.05976,-4.09541,-15.2676,-5.44206,13.7793,2.56311,7.7019,6.84623,-10.1746,-14.6697,5.28272,-1.84351,-3.43985,-6.69915,-8.1433,-9.95772,-5.1529,-2.08565,2.32677,-3.40252,4.05262,0.943776,-0.841959,-0.231177,-0.53496,-1.87418,-0.630315,-0.385515,-3.04481,-2.94476,-2.62711,-3.38505,-1.54293,3.83895,2.94042,-1.76871,2.45978,3.27913,1.08766,2.69352,0.474262,0.346147,1.30306,-0.582291,-0.620301,0.772161,-0.918224,0.301974,-0.130406,-0.457686,-0.0923391,0.176092,0.339434,-0.57385,-1.43754,-0.0308908,3.61607,0.330067,-0.566634,-0.115269,-2.11312,-0.677112,-0.0788645,2.11954,-2.2113,-37.9175,0.0250081
-160.803,0.649485,0.330873,4,15,0,224.022,2.14215,-4.98693,1.94529,-1.2544,-0.336194,-0.0324497,-1.45962,-0.349666,-0.848711,0.841472,12.8172,-0.917685,-0.0220727,0.94605,0.323881,-1.36122,-1.17539,0.998655,-1.61407,1.27784,1.02348,-0.445621,0.281014,-2.40702,-1.5051,0.0856305,0.0211171,-0.552956,6.41543,-0.253608,1.65032,-2.06779,-0.340059,1.31821,1.54957,2.29712,0.491819,0.6559,-0.807307,-1.07146,-1.36331,0.407591,-1.64613,-0.926344,-0.474674,-0.687844,0.498506,-1.60697,-0.250553,0.279887,-0.882677,1.00521,-0.326851,0.751528,1.19178,30.4687,-1.92456,0.636972,-1.94911,-1.32524,1.38572,-0.809294,-0.61858,-0.106885,4.96882,-0.776155,1.34912,0.339991,-0.23413,0.115556,0.623967,-0.613167,-0.328174,3.60985,1.43396,0.900414,1.99858,-0.276844,-0.686828,1.26839,-0.661869,0.682293,4.96792,0.724426,-0.248153,-0.449426,0.972138,0.209102,0.0113234,-0.331311,-1.43951,2.4241,0.705397,0.721929,7.68806,3.29088,0.823669,-0.43691,-1.26056,-0.969433,0.868204,-0.780333,-0.451875,-0.566723,-1.34856,24.9331,-16.0778,-4.30906,-0.415914,-18.7082,-4.48173,-10.8781,10.7853,-1.17265,-0.0282053,1.2089,0.413867,-1.73941,-1.50196,1.27612,-2.06252,6.56604,-2.85885,1.80282,-15.4421,-9.65584,0.549356,0.135475,-3.54745,-0.166342,1.08245,-1.35627,-0.223045,0.864615,1.01637,1.50668,0.322584,-0.402448,-0.534129,-0.67962,0.203187,-0.820606,-0.461789,-0.236628,-0.342895,-48.9622,-7.63402,8.52781,-26.894,30.6273,-9.95873,22.8981,36.3121,-9.56278,3.165,-9.68476,-6.58487,6.8854,-4.02124,-3.07361,-0.53109,-2.8018,4.87012,1.22732,-0.845173,0.41714,2.25243,-2.21344,-1.18466,7.12382,4.47319,9.92878,-1.37534,-3.41211,6.30128,-3.28811,3.38957,1.75608,-0.601547,-1.08945,2.35656,0.506884,0.027449,-0.80313,-3.48952,2.7106,-1.43782,-4.14837,-3.19029,2.85716,-2.56799,-1.48707,-1.86502,-4.43796,-44.4596,2.14215
